#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.102076E-04   0.281941E+08   0.281941E+08   0.375752E+08   0.375747E+08   0.281942E+08   0.281941E+08   0.281941E+08   0.282035E+08  -0.465615E+00   0.979758E+07   0.979758E+07   0.739577E+01
   0.112819E-04   0.281936E+08   0.281936E+08   0.375707E+08   0.375701E+08   0.281937E+08   0.281936E+08   0.281936E+08   0.282030E+08  -0.465595E+00   0.979733E+07   0.979733E+07   0.817387E+01
   0.124693E-04   0.281929E+08   0.281929E+08   0.375652E+08   0.375645E+08   0.281930E+08   0.281929E+08   0.281929E+08   0.282023E+08  -0.465571E+00   0.979702E+07   0.979702E+07   0.903376E+01
   0.137816E-04   0.281920E+08   0.281920E+08   0.375584E+08   0.375576E+08   0.281921E+08   0.281921E+08   0.281920E+08   0.282014E+08  -0.465541E+00   0.979665E+07   0.979665E+07   0.998403E+01
   0.152321E-04   0.281910E+08   0.281910E+08   0.375502E+08   0.375492E+08   0.281911E+08   0.281910E+08   0.281910E+08   0.282004E+08  -0.465505E+00   0.979619E+07   0.979619E+07   0.110341E+02
   0.168352E-04   0.281898E+08   0.281898E+08   0.375402E+08   0.375389E+08   0.281899E+08   0.281898E+08   0.281898E+08   0.281992E+08  -0.465460E+00   0.979563E+07   0.979563E+07   0.121945E+02
   0.186070E-04   0.281882E+08   0.281882E+08   0.375279E+08   0.375264E+08   0.281883E+08   0.281882E+08   0.281882E+08   0.281976E+08  -0.465406E+00   0.979494E+07   0.979494E+07   0.134767E+02
   0.205653E-04   0.281864E+08   0.281864E+08   0.375129E+08   0.375111E+08   0.281865E+08   0.281864E+08   0.281864E+08   0.281957E+08  -0.465340E+00   0.979411E+07   0.979411E+07   0.148934E+02
   0.227297E-04   0.281841E+08   0.281841E+08   0.374946E+08   0.374924E+08   0.281842E+08   0.281841E+08   0.281841E+08   0.281934E+08  -0.465259E+00   0.979309E+07   0.979309E+07   0.164587E+02
   0.251219E-04   0.281813E+08   0.281813E+08   0.374723E+08   0.374695E+08   0.281814E+08   0.281813E+08   0.281813E+08   0.281906E+08  -0.465160E+00   0.979184E+07   0.979184E+07   0.181879E+02
   0.277659E-04   0.281779E+08   0.281779E+08   0.374450E+08   0.374416E+08   0.281780E+08   0.281779E+08   0.281779E+08   0.281872E+08  -0.465039E+00   0.979032E+07   0.979032E+07   0.200980E+02
   0.306881E-04   0.281737E+08   0.281737E+08   0.374117E+08   0.374076E+08   0.281738E+08   0.281737E+08   0.281737E+08   0.281831E+08  -0.464892E+00   0.978846E+07   0.978846E+07   0.222078E+02
   0.339179E-04   0.281686E+08   0.281686E+08   0.373711E+08   0.373661E+08   0.281687E+08   0.281686E+08   0.281686E+08   0.281780E+08  -0.464712E+00   0.978619E+07   0.978619E+07   0.245377E+02
   0.374876E-04   0.281624E+08   0.281624E+08   0.373215E+08   0.373154E+08   0.281625E+08   0.281624E+08   0.281624E+08   0.281717E+08  -0.464492E+00   0.978342E+07   0.978342E+07   0.271102E+02
   0.414330E-04   0.281548E+08   0.281548E+08   0.372610E+08   0.372535E+08   0.281549E+08   0.281548E+08   0.281548E+08   0.281641E+08  -0.464224E+00   0.978003E+07   0.978003E+07   0.299500E+02
   0.457936E-04   0.281456E+08   0.281456E+08   0.371872E+08   0.371781E+08   0.281457E+08   0.281456E+08   0.281456E+08   0.281549E+08  -0.463897E+00   0.977591E+07   0.977590E+07   0.330840E+02
   0.506132E-04   0.281343E+08   0.281342E+08   0.370973E+08   0.370861E+08   0.281344E+08   0.281343E+08   0.281343E+08   0.281435E+08  -0.463498E+00   0.977087E+07   0.977086E+07   0.365416E+02
   0.559400E-04   0.281205E+08   0.281205E+08   0.369877E+08   0.369741E+08   0.281206E+08   0.281205E+08   0.281205E+08   0.281297E+08  -0.463012E+00   0.976472E+07   0.976471E+07   0.403544E+02
   0.618274E-04   0.281037E+08   0.281036E+08   0.368542E+08   0.368376E+08   0.281037E+08   0.281037E+08   0.281037E+08   0.281129E+08  -0.462419E+00   0.975722E+07   0.975722E+07   0.445571E+02
   0.683345E-04   0.280831E+08   0.280831E+08   0.366916E+08   0.366715E+08   0.280832E+08   0.280831E+08   0.280831E+08   0.280923E+08  -0.461697E+00   0.974808E+07   0.974807E+07   0.491867E+02
   0.755264E-04   0.280581E+08   0.280581E+08   0.364939E+08   0.364694E+08   0.280582E+08   0.280581E+08   0.280581E+08   0.280672E+08  -0.460818E+00   0.973694E+07   0.973693E+07   0.542826E+02
   0.834752E-04   0.280276E+08   0.280276E+08   0.362537E+08   0.362239E+08   0.280277E+08   0.280276E+08   0.280276E+08   0.280367E+08  -0.459749E+00   0.972338E+07   0.972336E+07   0.598869E+02
   0.922605E-04   0.279905E+08   0.279904E+08   0.359621E+08   0.359260E+08   0.279906E+08   0.279905E+08   0.279905E+08   0.279995E+08  -0.458449E+00   0.970686E+07   0.970685E+07   0.660433E+02
   0.101971E-03   0.279453E+08   0.279452E+08   0.356088E+08   0.355649E+08   0.279453E+08   0.279453E+08   0.279453E+08   0.279542E+08  -0.456870E+00   0.968678E+07   0.968676E+07   0.727970E+02
   0.112702E-03   0.278903E+08   0.278902E+08   0.351812E+08   0.351281E+08   0.278903E+08   0.278903E+08   0.278903E+08   0.278991E+08  -0.454957E+00   0.966237E+07   0.966234E+07   0.801936E+02
   0.124564E-03   0.278234E+08   0.278233E+08   0.346650E+08   0.346009E+08   0.278235E+08   0.278234E+08   0.278234E+08   0.278321E+08  -0.452640E+00   0.963274E+07   0.963271E+07   0.882777E+02
   0.137674E-03   0.277423E+08   0.277421E+08   0.340435E+08   0.339661E+08   0.277423E+08   0.277422E+08   0.277422E+08   0.277507E+08  -0.449841E+00   0.959684E+07   0.959680E+07   0.970908E+02
   0.152163E-03   0.276438E+08   0.276437E+08   0.332974E+08   0.332046E+08   0.276439E+08   0.276438E+08   0.276438E+08   0.276521E+08  -0.446468E+00   0.955340E+07   0.955335E+07   0.106669E+03
   0.168178E-03   0.275247E+08   0.275245E+08   0.324056E+08   0.322944E+08   0.275247E+08   0.275247E+08   0.275247E+08   0.275328E+08  -0.442415E+00   0.950096E+07   0.950090E+07   0.117039E+03
