#    L    TT             EE             BB             TE          
     2    0.43270E+04    0.48946E-01    0.91982E-06    0.14709E+01
     3    0.36041E+04    0.82114E-01    0.18400E-05    0.23959E+01
     4    0.30554E+04    0.93673E-01    0.30673E-05    0.29861E+01
     5    0.26454E+04    0.84168E-01    0.46022E-05    0.32176E+01
     6    0.23365E+04    0.63108E-01    0.64452E-05    0.31994E+01
     7    0.21004E+04    0.40950E-01    0.85969E-05    0.30200E+01
     8    0.19158E+04    0.24271E-01    0.11058E-04    0.27493E+01
     9    0.17687E+04    0.14746E-01    0.13829E-04    0.24435E+01
    10    0.16507E+04    0.10726E-01    0.16911E-04    0.21427E+01
    11    0.15557E+04    0.94798E-02    0.20305E-04    0.18736E+01
    12    0.14795E+04    0.89019E-02    0.24012E-04    0.16530E+01
    13    0.14170E+04    0.79923E-02    0.28033E-04    0.14907E+01
    14    0.13647E+04    0.68496E-02    0.32368E-04    0.13904E+01
    15    0.13212E+04    0.58360E-02    0.37020E-04    0.13441E+01
    16    0.12859E+04    0.52648E-02    0.41988E-04    0.13400E+01
    17    0.12576E+04    0.52117E-02    0.47275E-04    0.13617E+01
    18    0.12344E+04    0.54879E-02    0.52881E-04    0.13958E+01
    19    0.12165E+04    0.59312E-02    0.58808E-04    0.14424E+01
    20    0.12014E+04    0.64660E-02    0.65056E-04    0.14992E+01
    21    0.11893E+04    0.70684E-02    0.71628E-04    0.15582E+01
    22    0.11803E+04    0.78168E-02    0.78523E-04    0.16105E+01
    23    0.11736E+04    0.87887E-02    0.85743E-04    0.16552E+01
    24    0.11692E+04    0.10011E-01    0.93289E-04    0.16940E+01
    25    0.11666E+04    0.11479E-01    0.10116E-03    0.17315E+01
    26    0.11657E+04    0.13147E-01    0.10936E-03    0.17724E+01
    27    0.11663E+04    0.15002E-01    0.11789E-03    0.18137E+01
    28    0.11684E+04    0.17058E-01    0.12675E-03    0.18517E+01
    29    0.11718E+04    0.19299E-01    0.13594E-03    0.18846E+01
    30    0.11764E+04    0.21719E-01    0.14546E-03    0.19100E+01
    31    0.11818E+04    0.24335E-01    0.15531E-03    0.19293E+01
    32    0.11882E+04    0.27160E-01    0.16550E-03    0.19440E+01
    33    0.11956E+04    0.30192E-01    0.17601E-03    0.19538E+01
    34    0.12038E+04    0.33432E-01    0.18686E-03    0.19577E+01
