#    L    TT             EE             TE             PP             TP          
     2    0.43270E+04    0.48945E-01    0.14710E+01    0.41002E+06    0.69328E+05
     3    0.36041E+04    0.82113E-01    0.23959E+01    0.66024E+06    0.84557E+05
     4    0.30554E+04    0.93670E-01    0.29862E+01    0.89994E+06    0.93009E+05
     5    0.26454E+04    0.84163E-01    0.32176E+01    0.11251E+07    0.97519E+05
     6    0.23365E+04    0.63102E-01    0.31994E+01    0.13348E+07    0.99659E+05
     7    0.21004E+04    0.40941E-01    0.30200E+01    0.15298E+07    0.10034E+06
     8    0.19157E+04    0.24260E-01    0.27493E+01    0.17109E+07    0.10005E+06
     9    0.17687E+04    0.14733E-01    0.24435E+01    0.18794E+07    0.99058E+05
    10    0.16507E+04    0.10709E-01    0.21427E+01    0.20359E+07    0.97614E+05
    11    0.15557E+04    0.94595E-02    0.18736E+01    0.21818E+07    0.95958E+05
    12    0.14795E+04    0.88779E-02    0.16530E+01    0.23174E+07    0.94188E+05
    13    0.14170E+04    0.79642E-02    0.14907E+01    0.24433E+07    0.92334E+05
    14    0.13646E+04    0.68173E-02    0.13905E+01    0.25604E+07    0.90418E+05
    15    0.13212E+04    0.57990E-02    0.13441E+01    0.26693E+07    0.88456E+05
    16    0.12858E+04    0.52228E-02    0.13401E+01    0.27705E+07    0.86468E+05
    17    0.12575E+04    0.51645E-02    0.13617E+01    0.28646E+07    0.84486E+05
    18    0.12343E+04    0.54350E-02    0.13959E+01    0.29521E+07    0.82537E+05
    19    0.12164E+04    0.58724E-02    0.14424E+01    0.30333E+07    0.80611E+05
    20    0.12013E+04    0.64010E-02    0.14993E+01    0.31085E+07    0.78695E+05
    21    0.11892E+04    0.69968E-02    0.15583E+01    0.31781E+07    0.76807E+05
    22    0.11801E+04    0.77384E-02    0.16106E+01    0.32427E+07    0.74966E+05
    23    0.11735E+04    0.87031E-02    0.16553E+01    0.33025E+07    0.73169E+05
    24    0.11690E+04    0.99177E-02    0.16942E+01    0.33576E+07    0.71411E+05
    25    0.11665E+04    0.11378E-01    0.17317E+01    0.34085E+07    0.69693E+05
    26    0.11655E+04    0.13038E-01    0.17727E+01    0.34553E+07    0.68019E+05
    27    0.11661E+04    0.14884E-01    0.18140E+01    0.34984E+07    0.66397E+05
    28    0.11682E+04    0.16931E-01    0.18520E+01    0.35380E+07    0.64827E+05
    29    0.11716E+04    0.19164E-01    0.18849E+01    0.35741E+07    0.63307E+05
    30    0.11761E+04    0.21574E-01    0.19104E+01    0.36067E+07    0.61829E+05
    31    0.11815E+04    0.24181E-01    0.19297E+01    0.36362E+07    0.60388E+05
    32    0.11879E+04    0.26996E-01    0.19445E+01    0.36630E+07    0.58981E+05
    33    0.11953E+04    0.30017E-01    0.19543E+01    0.36870E+07    0.57614E+05
    34    0.12035E+04    0.33247E-01    0.19582E+01    0.37086E+07    0.56289E+05
    35    0.12124E+04    0.36673E-01    0.19518E+01    0.37277E+07    0.55005E+05
    36    0.12220E+04    0.40298E-01    0.19301E+01    0.37445E+07    0.53759E+05
    37    0.12321E+04    0.44159E-01    0.18940E+01    0.37592E+07    0.52546E+05
    38    0.12429E+04    0.48298E-01    0.18471E+01    0.37718E+07    0.51361E+05
    39    0.12545E+04    0.52703E-01    0.17915E+01    0.37825E+07    0.50205E+05
    40    0.12665E+04    0.57357E-01    0.17281E+01    0.37914E+07    0.49082E+05
    41    0.12791E+04    0.62250E-01    0.16573E+01    0.37984E+07    0.47996E+05
    42    0.12920E+04    0.67398E-01    0.15779E+01    0.38038E+07    0.46943E+05
    43    0.13054E+04    0.72822E-01    0.14878E+01    0.38076E+07    0.45923E+05
    44    0.13190E+04    0.78526E-01    0.13863E+01    0.38099E+07    0.44934E+05
    45    0.13332E+04    0.84527E-01    0.12723E+01    0.38108E+07    0.43972E+05
    46    0.13479E+04    0.90837E-01    0.11435E+01    0.38104E+07    0.43037E+05
    47    0.13629E+04    0.97442E-01    0.10004E+01    0.38087E+07    0.42126E+05
    48    0.13782E+04    0.10433E+00    0.84726E+00    0.38058E+07    0.41239E+05
    49    0.13939E+04    0.11146E+00    0.68766E+00    0.38018E+07    0.40373E+05
    50    0.14101E+04    0.11878E+00    0.51837E+00    0.37968E+07    0.39528E+05
    51    0.14266E+04    0.12627E+00    0.33488E+00    0.37907E+07    0.38701E+05
    52    0.14436E+04    0.13401E+00    0.13306E+00    0.37838E+07    0.37896E+05
    53    0.14609E+04    0.14217E+00   -0.89288E-01    0.37759E+07    0.37111E+05
    54    0.14782E+04    0.15075E+00   -0.32639E+00    0.37673E+07    0.36349E+05
    55    0.14958E+04    0.15976E+00   -0.57235E+00    0.37578E+07    0.35611E+05
    56    0.15138E+04    0.16905E+00   -0.82780E+00    0.37476E+07    0.34897E+05
    57    0.15323E+04    0.17852E+00   -0.10932E+01    0.37366E+07    0.34205E+05
    58    0.15513E+04    0.18815E+00   -0.13701E+01    0.37250E+07    0.33532E+05
    59    0.15704E+04    0.19799E+00   -0.16601E+01    0.37127E+07    0.32876E+05
    60    0.15899E+04    0.20807E+00   -0.19635E+01    0.36998E+07    0.32232E+05
    61    0.16099E+04    0.21847E+00   -0.22801E+01    0.36863E+07    0.31599E+05
    62    0.16298E+04    0.22919E+00   -0.26108E+01    0.36723E+07    0.30978E+05
    63    0.16499E+04    0.24018E+00   -0.29563E+01    0.36578E+07    0.30371E+05
    64    0.16706E+04    0.25147E+00   -0.33174E+01    0.36428E+07    0.29779E+05
    65    0.16913E+04    0.26302E+00   -0.36947E+01    0.36273E+07    0.29204E+05
    66    0.17125E+04    0.27478E+00   -0.40860E+01    0.36115E+07    0.28647E+05
    67    0.17340E+04    0.28674E+00   -0.44882E+01    0.35954E+07    0.28108E+05
    68    0.17559E+04    0.29895E+00   -0.48997E+01    0.35789E+07    0.27585E+05
    69    0.17781E+04    0.31136E+00   -0.53183E+01    0.35621E+07    0.27077E+05
    70    0.18007E+04    0.32402E+00   -0.57458E+01    0.35450E+07    0.26583E+05
    71    0.18235E+04    0.33692E+00   -0.61842E+01    0.35277E+07    0.26102E+05
    72    0.18466E+04    0.35002E+00   -0.66353E+01    0.35101E+07    0.25633E+05
    73    0.18698E+04    0.36329E+00   -0.70998E+01    0.34922E+07    0.25175E+05
    74    0.18934E+04    0.37672E+00   -0.75772E+01    0.34742E+07    0.24727E+05
    75    0.19172E+04    0.39031E+00   -0.80662E+01    0.34559E+07    0.24288E+05
    76    0.19414E+04    0.40405E+00   -0.85664E+01    0.34374E+07    0.23858E+05
    77    0.19660E+04    0.41795E+00   -0.90775E+01    0.34187E+07    0.23435E+05
    78    0.19910E+04    0.43203E+00   -0.96008E+01    0.33998E+07    0.23022E+05
    79    0.20162E+04    0.44623E+00   -0.10132E+02    0.33808E+07    0.22618E+05
    80    0.20418E+04    0.46055E+00   -0.10673E+02    0.33617E+07    0.22223E+05
    81    0.20677E+04    0.47495E+00   -0.11223E+02    0.33424E+07    0.21839E+05
    82    0.20938E+04    0.48944E+00   -0.11782E+02    0.33231E+07    0.21464E+05
    83    0.21202E+04    0.50400E+00   -0.12350E+02    0.33036E+07    0.21098E+05
    84    0.21469E+04    0.51863E+00   -0.12923E+02    0.32841E+07    0.20742E+05
    85    0.21738E+04    0.53330E+00   -0.13504E+02    0.32645E+07    0.20396E+05
    86    0.22010E+04    0.54802E+00   -0.14091E+02    0.32449E+07    0.20058E+05
    87    0.22286E+04    0.56277E+00   -0.14683E+02    0.32252E+07    0.19729E+05
    88    0.22562E+04    0.57754E+00   -0.15280E+02    0.32055E+07    0.19407E+05
