#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.102076E-04   0.202065E+08   0.202065E+08   0.269285E+08   0.269281E+08   0.202066E+08   0.202065E+08   0.202065E+08   0.202132E+08  -0.458102E+00   0.950548E+07   0.950548E+07   0.585964E+01
   0.112819E-04   0.202064E+08   0.202064E+08   0.269254E+08   0.269249E+08   0.202065E+08   0.202064E+08   0.202064E+08   0.202132E+08  -0.458100E+00   0.950547E+07   0.950547E+07   0.647614E+01
   0.124693E-04   0.202064E+08   0.202064E+08   0.269217E+08   0.269211E+08   0.202065E+08   0.202064E+08   0.202064E+08   0.202131E+08  -0.458097E+00   0.950547E+07   0.950547E+07   0.715746E+01
   0.137816E-04   0.202063E+08   0.202063E+08   0.269171E+08   0.269164E+08   0.202064E+08   0.202063E+08   0.202063E+08   0.202130E+08  -0.458094E+00   0.950546E+07   0.950546E+07   0.791039E+01
   0.152321E-04   0.202062E+08   0.202062E+08   0.269116E+08   0.269107E+08   0.202063E+08   0.202062E+08   0.202062E+08   0.202129E+08  -0.458091E+00   0.950546E+07   0.950546E+07   0.874244E+01
   0.168352E-04   0.202061E+08   0.202061E+08   0.269048E+08   0.269037E+08   0.202062E+08   0.202061E+08   0.202061E+08   0.202128E+08  -0.458086E+00   0.950545E+07   0.950545E+07   0.966188E+01
   0.186070E-04   0.202060E+08   0.202060E+08   0.268965E+08   0.268952E+08   0.202061E+08   0.202060E+08   0.202060E+08   0.202127E+08  -0.458080E+00   0.950544E+07   0.950544E+07   0.106779E+02
   0.205653E-04   0.202058E+08   0.202058E+08   0.268864E+08   0.268848E+08   0.202059E+08   0.202058E+08   0.202058E+08   0.202125E+08  -0.458074E+00   0.950543E+07   0.950543E+07   0.118005E+02
   0.227297E-04   0.202056E+08   0.202056E+08   0.268740E+08   0.268720E+08   0.202057E+08   0.202056E+08   0.202056E+08   0.202123E+08  -0.458065E+00   0.950542E+07   0.950542E+07   0.130408E+02
   0.251219E-04   0.202054E+08   0.202054E+08   0.268589E+08   0.268565E+08   0.202055E+08   0.202054E+08   0.202054E+08   0.202121E+08  -0.458055E+00   0.950540E+07   0.950540E+07   0.144111E+02
   0.277659E-04   0.202051E+08   0.202051E+08   0.268405E+08   0.268375E+08   0.202052E+08   0.202051E+08   0.202051E+08   0.202118E+08  -0.458043E+00   0.950538E+07   0.950538E+07   0.159249E+02
   0.306881E-04   0.202048E+08   0.202048E+08   0.268180E+08   0.268144E+08   0.202049E+08   0.202048E+08   0.202048E+08   0.202115E+08  -0.458028E+00   0.950536E+07   0.950536E+07   0.175969E+02
   0.339179E-04   0.202043E+08   0.202043E+08   0.267905E+08   0.267861E+08   0.202044E+08   0.202043E+08   0.202043E+08   0.202110E+08  -0.458009E+00   0.950533E+07   0.950533E+07   0.194436E+02
