#    L    TT             EE             BB             TE          
     2    0.33206E+04    0.49215E-01    0.93171E-06    0.17361E+01
     3    0.28785E+04    0.82285E-01    0.18637E-05    0.25328E+01
     4    0.25027E+04    0.93775E-01    0.31069E-05    0.30231E+01
     5    0.22074E+04    0.84222E-01    0.46617E-05    0.31968E+01
     6    0.19792E+04    0.63127E-01    0.65286E-05    0.31485E+01
     7    0.18023E+04    0.40944E-01    0.87083E-05    0.29563E+01
     8    0.16628E+04    0.24251E-01    0.11201E-04    0.26832E+01
     9    0.15512E+04    0.14718E-01    0.14009E-04    0.23801E+01
    10    0.14615E+04    0.10696E-01    0.17131E-04    0.20843E+01
    11    0.13896E+04    0.94508E-02    0.20570E-04    0.18214E+01
    12    0.13325E+04    0.88767E-02    0.24325E-04    0.16083E+01
    13    0.12860E+04    0.79720E-02    0.28398E-04    0.14533E+01
    14    0.12473E+04    0.68342E-02    0.32791E-04    0.13588E+01
    15    0.12155E+04    0.58248E-02    0.37504E-04    0.13167E+01
    16    0.11902E+04    0.52567E-02    0.42539E-04    0.13160E+01
    17    0.11706E+04    0.52060E-02    0.47896E-04    0.13405E+01
    18    0.11551E+04    0.54839E-02    0.53577E-04    0.13777E+01
    19    0.11439E+04    0.59281E-02    0.59583E-04    0.14266E+01
    20    0.11348E+04    0.64629E-02    0.65915E-04    0.14847E+01
    21    0.11281E+04    0.70649E-02    0.72575E-04    0.15442E+01
    22    0.11237E+04    0.78129E-02    0.79564E-04    0.15971E+01
    23    0.11214E+04    0.87848E-02    0.86881E-04    0.16427E+01
    24    0.11208E+04    0.10007E-01    0.94530E-04    0.16828E+01
    25    0.11217E+04    0.11475E-01    0.10251E-03    0.17213E+01
    26    0.11239E+04    0.13144E-01    0.11082E-03    0.17630E+01
    27    0.11274E+04    0.14999E-01    0.11947E-03    0.18049E+01
    28    0.11321E+04    0.17056E-01    0.12845E-03    0.18435E+01
    29    0.11379E+04    0.19298E-01    0.13777E-03    0.18771E+01
    30    0.11446E+04    0.21718E-01    0.14742E-03    0.19034E+01
    31    0.11520E+04    0.24336E-01    0.15741E-03    0.19235E+01
    32    0.11603E+04    0.27161E-01    0.16773E-03    0.19387E+01
