#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.33267E+04    0.17145E+01    0.27325E-02    0.17145E+01    0.49191E-01   -0.53198E-05    0.27325E-02   -0.53198E-05    0.38734E-08
     3    0.28815E+04    0.25153E+01    0.19982E-02    0.25153E+01    0.82256E-01   -0.47713E-05    0.19982E-02   -0.47713E-05    0.24194E-08
     4    0.25042E+04    0.30109E+01    0.15534E-02    0.30109E+01    0.93748E-01   -0.37489E-05    0.15534E-02   -0.37489E-05    0.17165E-08
     5    0.22083E+04    0.31891E+01    0.12543E-02    0.31891E+01    0.84198E-01   -0.26661E-05    0.12543E-02   -0.26661E-05    0.13053E-08
     6    0.19796E+04    0.31441E+01    0.10404E-02    0.31441E+01    0.63106E-01   -0.16795E-05    0.10404E-02   -0.16795E-05    0.10371E-08
     7    0.18026E+04    0.29542E+01    0.88062E-03    0.29542E+01    0.40927E-01   -0.86418E-06    0.88062E-03   -0.86418E-06    0.84965E-09
     8    0.16630E+04    0.26824E+01    0.75695E-03    0.26824E+01    0.24236E-01   -0.24742E-06    0.75695E-03   -0.24742E-06    0.71203E-09
     9    0.15513E+04    0.23801E+01    0.65842E-03    0.23801E+01    0.14704E-01    0.17559E-06    0.65842E-03    0.17559E-06    0.60728E-09
    10    0.14616E+04    0.20846E+01    0.57841E-03    0.20846E+01    0.10680E-01    0.42619E-06    0.57841E-03    0.42619E-06    0.52516E-09
    11    0.13896E+04    0.18218E+01    0.51289E-03    0.18218E+01    0.94321E-02    0.53272E-06    0.51289E-03    0.53272E-06    0.45943E-09
    12    0.13325E+04    0.16087E+01    0.45846E-03    0.16087E+01    0.88543E-02    0.52801E-06    0.45846E-03    0.52801E-06    0.40566E-09
    13    0.12860E+04    0.14537E+01    0.41268E-03    0.14537E+01    0.79451E-02    0.45279E-06    0.41268E-03    0.45279E-06    0.36112E-09
    14    0.12472E+04    0.13590E+01    0.37352E-03    0.13590E+01    0.68024E-02    0.34616E-06    0.37352E-03    0.34616E-06    0.32365E-09
    15    0.12154E+04    0.13169E+01    0.33971E-03    0.13169E+01    0.57877E-02    0.23334E-06    0.33971E-03    0.23334E-06    0.29182E-09
    16    0.11901E+04    0.13161E+01    0.31024E-03    0.13161E+01    0.52143E-02    0.13314E-06    0.31024E-03    0.13314E-06    0.26448E-09
    17    0.11706E+04    0.13406E+01    0.28445E-03    0.13406E+01    0.51580E-02    0.52624E-07    0.28445E-03    0.52624E-07    0.24084E-09
    18    0.11550E+04    0.13777E+01    0.26175E-03    0.13777E+01    0.54301E-02   -0.42768E-08    0.26175E-03   -0.42768E-08    0.22021E-09
    19    0.11438E+04    0.14267E+01    0.24163E-03    0.14267E+01    0.58683E-02   -0.34336E-07    0.24163E-03   -0.34336E-07    0.20211E-09
    20    0.11347E+04    0.14847E+01    0.22363E-03    0.14847E+01    0.63969E-02   -0.37029E-07    0.22363E-03   -0.37029E-07    0.18609E-09
    21    0.11279E+04    0.15443E+01    0.20749E-03    0.15443E+01    0.69922E-02   -0.21930E-07    0.20749E-03   -0.21930E-07    0.17187E-09
    22    0.11236E+04    0.15972E+01    0.19299E-03    0.15972E+01    0.77333E-02   -0.20979E-09    0.19299E-03   -0.20979E-09    0.15918E-09
    23    0.11212E+04    0.16429E+01    0.17991E-03    0.16429E+01    0.86979E-02    0.20674E-07    0.17991E-03    0.20674E-07    0.14781E-09
    24    0.11206E+04    0.16829E+01    0.16805E-03    0.16829E+01    0.99127E-02    0.35632E-07    0.16805E-03    0.35632E-07    0.13757E-09
    25    0.11215E+04    0.17215E+01    0.15726E-03    0.17215E+01    0.11373E-01    0.45339E-07    0.15726E-03    0.45339E-07    0.12831E-09
    26    0.11237E+04    0.17633E+01    0.14743E-03    0.17633E+01    0.13033E-01    0.51217E-07    0.14743E-03    0.51217E-07    0.11992E-09
    27    0.11272E+04    0.18051E+01    0.13845E-03    0.18051E+01    0.14880E-01    0.51924E-07    0.13845E-03    0.51924E-07    0.11229E-09
    28    0.11319E+04    0.18438E+01    0.13024E-03    0.18438E+01    0.16928E-01    0.46043E-07    0.13024E-03    0.46043E-07    0.10533E-09
    29    0.11376E+04    0.18774E+01    0.12270E-03    0.18774E+01    0.19160E-01    0.34646E-07    0.12270E-03    0.34646E-07    0.98964E-10
    30    0.11443E+04    0.19038E+01    0.11576E-03    0.19038E+01    0.21571E-01    0.19960E-07    0.11576E-03    0.19960E-07    0.93115E-10
    31    0.11517E+04    0.19239E+01    0.10935E-03    0.19239E+01    0.24179E-01    0.63607E-08    0.10935E-03    0.63607E-08    0.87734E-10
    32    0.11600E+04    0.19392E+01    0.10341E-03    0.19392E+01    0.26994E-01   -0.21907E-08    0.10341E-03   -0.21907E-08    0.82777E-10
    33    0.11691E+04    0.19493E+01    0.97901E-04    0.19493E+01    0.30015E-01   -0.55245E-08    0.97901E-04   -0.55245E-08    0.78201E-10
    34    0.11788E+04    0.19534E+01    0.92794E-04    0.19534E+01    0.33245E-01   -0.47895E-08    0.92794E-04   -0.47895E-08    0.73967E-10
    35    0.11892E+04    0.19471E+01    0.88053E-04    0.19471E+01    0.36671E-01   -0.26137E-08    0.88053E-04   -0.26137E-08    0.70041E-10
    36    0.12001E+04    0.19258E+01    0.83639E-04    0.19258E+01    0.40296E-01   -0.13036E-08    0.83639E-04   -0.13036E-08    0.66396E-10
    37    0.12114E+04    0.18900E+01    0.79516E-04    0.18900E+01    0.44158E-01   -0.40151E-09    0.79516E-04   -0.40151E-09    0.63005E-10
    38    0.12234E+04    0.18435E+01    0.75655E-04    0.18435E+01    0.48296E-01    0.99072E-09    0.75655E-04    0.99072E-09    0.59846E-10
    39    0.12360E+04    0.17881E+01    0.72038E-04    0.17881E+01    0.52702E-01    0.27675E-08    0.72038E-04    0.27675E-08    0.56898E-10
    40    0.12491E+04    0.17249E+01    0.68650E-04    0.17249E+01    0.57355E-01    0.45722E-08    0.68650E-04    0.45722E-08    0.54143E-10
    41    0.12626E+04    0.16543E+01    0.65477E-04    0.16543E+01    0.62249E-01    0.61060E-08    0.65477E-04    0.61060E-08    0.51563E-10
    42    0.12764E+04    0.15749E+01    0.62504E-04    0.15749E+01    0.67397E-01    0.72997E-08    0.62504E-04    0.72997E-08    0.49144E-10
    43    0.12906E+04    0.14850E+01    0.59716E-04    0.14850E+01    0.72820E-01    0.81420E-08    0.59716E-04    0.81420E-08    0.46877E-10
    44    0.13049E+04    0.13835E+01    0.57096E-04    0.13835E+01    0.78525E-01    0.86213E-08    0.57096E-04    0.86213E-08    0.44748E-10
    45    0.13198E+04    0.12696E+01    0.54629E-04    0.12696E+01    0.84526E-01    0.87260E-08    0.54629E-04    0.87260E-08    0.42746E-10
    46    0.13352E+04    0.11409E+01    0.52301E-04    0.11409E+01    0.90836E-01    0.84674E-08    0.52301E-04    0.84674E-08    0.40861E-10
    47    0.13509E+04    0.99801E+00    0.50101E-04    0.99801E+00    0.97441E-01    0.79469E-08    0.50101E-04    0.79469E-08    0.39083E-10
    48    0.13667E+04    0.84505E+00    0.48021E-04    0.84505E+00    0.10433E+00    0.72884E-08    0.48021E-04    0.72884E-08    0.37408E-10
    49    0.13829E+04    0.68563E+00    0.46051E-04    0.68563E+00    0.11145E+00    0.66161E-08    0.46051E-04    0.66161E-08    0.35826E-10
    50    0.13996E+04    0.51650E+00    0.44185E-04    0.51650E+00    0.11878E+00    0.60539E-08    0.44185E-04    0.60539E-08    0.34331E-10
    51    0.14167E+04    0.33315E+00    0.42412E-04    0.33315E+00    0.12627E+00    0.56856E-08    0.42412E-04    0.56856E-08    0.32917E-10
    52    0.14342E+04    0.13143E+00    0.40729E-04    0.13143E+00    0.13401E+00    0.54342E-08    0.40729E-04    0.54342E-08    0.31579E-10
    53    0.14518E+04   -0.90845E-01    0.39133E-04   -0.90845E-01    0.14217E+00    0.51823E-08    0.39133E-04    0.51823E-08    0.30311E-10
    54    0.14695E+04   -0.32788E+00    0.37620E-04   -0.32788E+00    0.15075E+00    0.48126E-08    0.37620E-04    0.48126E-08    0.29110E-10
    55    0.14875E+04   -0.57379E+00    0.36186E-04   -0.57379E+00    0.15976E+00    0.42079E-08    0.36186E-04    0.42079E-08    0.27970E-10
    56    0.15060E+04   -0.82919E+00    0.34828E-04   -0.82919E+00    0.16905E+00    0.32990E-08    0.34828E-04    0.32990E-08    0.26887E-10
    57    0.15248E+04   -0.10945E+01    0.33540E-04   -0.10945E+01    0.17852E+00    0.22099E-08    0.33540E-04    0.22099E-08    0.25858E-10
    58    0.15441E+04   -0.13714E+01    0.32315E-04   -0.13714E+01    0.18815E+00    0.11128E-08    0.32315E-04    0.11128E-08    0.24879E-10
