#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.102076E-04   0.248310E+08   0.248310E+08   0.330942E+08   0.330938E+08   0.248311E+08   0.248310E+08   0.248310E+08   0.248392E+08  -0.414075E+00   0.716361E+07   0.716361E+07   0.591210E+01
   0.112819E-04   0.248308E+08   0.248308E+08   0.330908E+08   0.330903E+08   0.248308E+08   0.248308E+08   0.248308E+08   0.248390E+08  -0.414064E+00   0.716369E+07   0.716369E+07   0.653412E+01
   0.124693E-04   0.248305E+08   0.248305E+08   0.330867E+08   0.330861E+08   0.248306E+08   0.248305E+08   0.248305E+08   0.248388E+08  -0.414052E+00   0.716379E+07   0.716379E+07   0.722153E+01
   0.137816E-04   0.248302E+08   0.248302E+08   0.330817E+08   0.330810E+08   0.248303E+08   0.248302E+08   0.248302E+08   0.248384E+08  -0.414037E+00   0.716391E+07   0.716391E+07   0.798121E+01
   0.152321E-04   0.248298E+08   0.248298E+08   0.330756E+08   0.330747E+08   0.248299E+08   0.248298E+08   0.248298E+08   0.248380E+08  -0.414018E+00   0.716406E+07   0.716406E+07   0.882070E+01
   0.168352E-04   0.248293E+08   0.248293E+08   0.330682E+08   0.330671E+08   0.248294E+08   0.248293E+08   0.248293E+08   0.248375E+08  -0.413995E+00   0.716425E+07   0.716425E+07   0.974838E+01
   0.186070E-04   0.248287E+08   0.248287E+08   0.330590E+08   0.330577E+08   0.248288E+08   0.248287E+08   0.248287E+08   0.248369E+08  -0.413967E+00   0.716447E+07   0.716447E+07   0.107735E+02
   0.205653E-04   0.248279E+08   0.248279E+08   0.330479E+08   0.330463E+08   0.248280E+08   0.248280E+08   0.248279E+08   0.248362E+08  -0.413933E+00   0.716474E+07   0.716474E+07   0.119061E+02
   0.227297E-04   0.248271E+08   0.248271E+08   0.330343E+08   0.330324E+08   0.248271E+08   0.248271E+08   0.248271E+08   0.248353E+08  -0.413892E+00   0.716508E+07   0.716507E+07   0.131576E+02
   0.251219E-04   0.248260E+08   0.248260E+08   0.330178E+08   0.330154E+08   0.248261E+08   0.248260E+08   0.248260E+08   0.248342E+08  -0.413841E+00   0.716548E+07   0.716548E+07   0.145401E+02
   0.277659E-04   0.248246E+08   0.248246E+08   0.329975E+08   0.329946E+08   0.248247E+08   0.248246E+08   0.248246E+08   0.248329E+08  -0.413779E+00   0.716598E+07   0.716598E+07   0.160675E+02
   0.306881E-04   0.248230E+08   0.248230E+08   0.329728E+08   0.329692E+08   0.248231E+08   0.248230E+08   0.248230E+08   0.248313E+08  -0.413704E+00   0.716658E+07   0.716658E+07   0.177545E+02
   0.339179E-04   0.248210E+08   0.248210E+08   0.329426E+08   0.329383E+08   0.248211E+08   0.248210E+08   0.248210E+08   0.248293E+08  -0.413611E+00   0.716732E+07   0.716732E+07   0.196177E+02
   0.374876E-04   0.248186E+08   0.248186E+08   0.329058E+08   0.329005E+08   0.248187E+08   0.248186E+08   0.248186E+08   0.248269E+08  -0.413499E+00   0.716823E+07   0.716822E+07   0.216751E+02
   0.414330E-04   0.248157E+08   0.248157E+08   0.328609E+08   0.328544E+08   0.248158E+08   0.248157E+08   0.248157E+08   0.248239E+08  -0.413361E+00   0.716933E+07   0.716933E+07   0.239464E+02
   0.457936E-04   0.248121E+08   0.248121E+08   0.328061E+08   0.327982E+08   0.248122E+08   0.248121E+08   0.248121E+08   0.248203E+08  -0.413193E+00   0.717068E+07   0.717067E+07   0.264534E+02
   0.506132E-04   0.248077E+08   0.248077E+08   0.327393E+08   0.327296E+08   0.248078E+08   0.248077E+08   0.248077E+08   0.248159E+08  -0.412988E+00   0.717232E+07   0.717231E+07   0.292197E+02
   0.559400E-04   0.248023E+08   0.248023E+08   0.326579E+08   0.326461E+08   0.248024E+08   0.248023E+08   0.248023E+08   0.248105E+08  -0.412738E+00   0.717432E+07   0.717431E+07   0.322708E+02
   0.618274E-04   0.247958E+08   0.247957E+08   0.325587E+08   0.325443E+08   0.247958E+08   0.247958E+08   0.247958E+08   0.248039E+08  -0.412434E+00   0.717676E+07   0.717675E+07   0.356346E+02
   0.683345E-04   0.247878E+08   0.247877E+08   0.324380E+08   0.324205E+08   0.247879E+08   0.247878E+08   0.247878E+08   0.247959E+08  -0.412062E+00   0.717973E+07   0.717973E+07   0.393412E+02
   0.755264E-04   0.247780E+08   0.247780E+08   0.322910E+08   0.322698E+08   0.247781E+08   0.247780E+08   0.247780E+08   0.247861E+08  -0.411609E+00   0.718336E+07   0.718335E+07   0.434226E+02
   0.834752E-04   0.247662E+08   0.247661E+08   0.321125E+08   0.320866E+08   0.247662E+08   0.247662E+08   0.247662E+08   0.247742E+08  -0.411058E+00   0.718777E+07   0.718776E+07   0.479130E+02
   0.922605E-04   0.247517E+08   0.247516E+08   0.318957E+08   0.318643E+08   0.247518E+08   0.247517E+08   0.247517E+08   0.247597E+08  -0.410386E+00   0.719313E+07   0.719312E+07   0.528485E+02
   0.101971E-03   0.247341E+08   0.247340E+08   0.316328E+08   0.315947E+08   0.247341E+08   0.247341E+08   0.247341E+08   0.247420E+08  -0.409570E+00   0.719966E+07   0.719964E+07   0.582664E+02
   0.112702E-03   0.247126E+08   0.247126E+08   0.313146E+08   0.312685E+08   0.247127E+08   0.247126E+08   0.247126E+08   0.247204E+08  -0.408578E+00   0.720757E+07   0.720755E+07   0.642047E+02
   0.124564E-03   0.246866E+08   0.246865E+08   0.309302E+08   0.308745E+08   0.246866E+08   0.246866E+08   0.246866E+08   0.246943E+08  -0.407374E+00   0.721717E+07   0.721714E+07   0.707014E+02
   0.137674E-03   0.246549E+08   0.246548E+08   0.304671E+08   0.303999E+08   0.246550E+08   0.246549E+08   0.246549E+08   0.246625E+08  -0.405915E+00   0.722878E+07   0.722875E+07   0.777926E+02
   0.152163E-03   0.246165E+08   0.246164E+08   0.299106E+08   0.298299E+08   0.246165E+08   0.246165E+08   0.246165E+08   0.246239E+08  -0.404150E+00   0.724280E+07   0.724277E+07   0.855111E+02
   0.168178E-03   0.245700E+08   0.245698E+08   0.292446E+08   0.291480E+08   0.245700E+08   0.245700E+08   0.245699E+08   0.245772E+08  -0.402019E+00   0.725970E+07   0.725965E+07   0.938834E+02
   0.185878E-03   0.245137E+08   0.245135E+08   0.284512E+08   0.283361E+08   0.245137E+08   0.245137E+08   0.245137E+08   0.245208E+08  -0.399454E+00   0.727998E+07   0.727992E+07   0.102926E+03
   0.205440E-03   0.244459E+08   0.244456E+08   0.275113E+08   0.273748E+08   0.244459E+08   0.244458E+08   0.244458E+08   0.244527E+08  -0.396376E+00   0.730424E+07   0.730417E+07   0.112642E+03
   0.227062E-03   0.243643E+08   0.243640E+08   0.264053E+08   0.262447E+08   0.243642E+08   0.243642E+08   0.243642E+08   0.243708E+08  -0.392696E+00   0.733313E+07   0.733304E+07   0.123013E+03
   0.250959E-03   0.242665E+08   0.242661E+08   0.251152E+08   0.249276E+08   0.242664E+08   0.242664E+08   0.242664E+08   0.242727E+08  -0.388319E+00   0.736732E+07   0.736721E+07   0.133995E+03
   0.277372E-03   0.241497E+08   0.241492E+08   0.236257E+08   0.234090E+08   0.241496E+08   0.241496E+08   0.241496E+08   0.241555E+08  -0.383143E+00   0.740750E+07   0.740738E+07   0.145507E+03
   0.306564E-03   0.240109E+08   0.240104E+08   0.219284E+08   0.216811E+08   0.240108E+08   0.240108E+08   0.240108E+08   0.240163E+08  -0.377066E+00   0.745432E+07   0.745417E+07   0.157423E+03
   0.338828E-03   0.238471E+08   0.238465E+08   0.200246E+08   0.197470E+08   0.238469E+08   0.238470E+08   0.238470E+08   0.238520E+08  -0.369992E+00   0.750828E+07   0.750811E+07   0.169561E+03
   0.374488E-03   0.236552E+08   0.236544E+08   0.179314E+08   0.176256E+08   0.236549E+08   0.236551E+08   0.236551E+08   0.236595E+08  -0.361845E+00   0.756966E+07   0.756946E+07   0.181674E+03
   0.413901E-03   0.234322E+08   0.234313E+08   0.156857E+08   0.153570E+08   0.234319E+08   0.234321E+08   0.234321E+08   0.234360E+08  -0.352586E+00   0.763835E+07   0.763811E+07   0.193444E+03
   0.457462E-03   0.231760E+08   0.231749E+08   0.133495E+08   0.130066E+08   0.231756E+08   0.231758E+08   0.231758E+08   0.231791E+08  -0.342225E+00   0.771365E+07   0.771337E+07   0.204480E+03
   0.505608E-03   0.228854E+08   0.228841E+08   0.110107E+08   0.106661E+08   0.228849E+08   0.228852E+08   0.228852E+08   0.228879E+08  -0.330855E+00   0.779413E+07   0.779381E+07   0.214324E+03
   0.558821E-03   0.225609E+08   0.225594E+08   0.877912E+07   0.844882E+07   0.225602E+08   0.225606E+08   0.225606E+08   0.225628E+08  -0.318661E+00   0.787746E+07   0.787708E+07   0.222478E+03
   0.617635E-03   0.222050E+08   0.222033E+08   0.677384E+07   0.647496E+07   0.222041E+08   0.222047E+08   0.222047E+08   0.222064E+08  -0.305946E+00   0.796030E+07   0.795988E+07   0.228439E+03
   0.682638E-03   0.218232E+08   0.218211E+08   0.509926E+07   0.484681E+07   0.218220E+08   0.218228E+08   0.218228E+08   0.218240E+08  -0.293119E+00   0.803849E+07   0.803802E+07   0.231755E+03
   0.754482E-03   0.214235E+08   0.214212E+08   0.381388E+07   0.361576E+07   0.214221E+08   0.214230E+08   0.214231E+08   0.214240E+08  -0.280674E+00   0.810743E+07   0.810690E+07   0.232091E+03
   0.833888E-03   0.210167E+08   0.210140E+08   0.290151E+07   0.275346E+07   0.210149E+08   0.210161E+08   0.210162E+08   0.210168E+08  -0.269118E+00   0.816280E+07   0.816223E+07   0.229284E+03
   0.921651E-03   0.206150E+08   0.206121E+08   0.226481E+07   0.214811E+07   0.206129E+08   0.206144E+08   0.206145E+08   0.206149E+08  -0.258881E+00   0.820159E+07   0.820098E+07   0.223374E+03
   0.101865E-02   0.202305E+08   0.202273E+08   0.176172E+07   0.164686E+07   0.202279E+08   0.202298E+08   0.202299E+08   0.202302E+08  -0.250211E+00   0.822294E+07   0.822228E+07   0.214583E+03
   0.112586E-02   0.198728E+08   0.198693E+08   0.128453E+07   0.114240E+07   0.198696E+08   0.198720E+08   0.198722E+08   0.198723E+08  -0.243111E+00   0.822848E+07   0.822779E+07   0.203262E+03
   0.124435E-02   0.195473E+08   0.195437E+08   0.833842E+06   0.650116E+06   0.195434E+08   0.195465E+08   0.195467E+08   0.195467E+08  -0.237368E+00   0.822162E+07   0.822091E+07   0.189821E+03
   0.137531E-02   0.192549E+08   0.192511E+08   0.502640E+06   0.285322E+06   0.192501E+08   0.192540E+08   0.192543E+08   0.192541E+08  -0.232670E+00   0.820591E+07   0.820519E+07   0.174741E+03
   0.152006E-02   0.189926E+08   0.189887E+08   0.342766E+06   0.114479E+06   0.189867E+08   0.189916E+08   0.189919E+08   0.189916E+08  -0.228756E+00   0.818354E+07   0.818282E+07   0.158640E+03
   0.168004E-02   0.187559E+08   0.187519E+08   0.260042E+06  -0.389360E+06   0.187486E+08   0.187547E+08   0.187552E+08   0.187548E+08  -0.225463E+00   0.815520E+07   0.815449E+07   0.142312E+03
   0.185685E-02   0.185399E+08   0.185359E+08   0.139658E+06  -0.327769E+06   0.185311E+08   0.185387E+08   0.185392E+08   0.185387E+08  -0.222659E+00   0.812125E+07   0.812054E+07   0.126603E+03
   0.205228E-02   0.183399E+08   0.183359E+08   0.405956E+05  -0.272907E+06   0.183291E+08   0.183385E+08   0.183392E+08   0.183385E+08  -0.220185E+00   0.808236E+07   0.808167E+07   0.112215E+03
   0.226827E-02   0.181510E+08   0.181470E+08   0.337543E+05  -0.225673E+06   0.181379E+08   0.181494E+08   0.181503E+08   0.181494E+08  -0.217925E+00   0.803865E+07   0.803797E+07   0.996276E+02
   0.250700E-02   0.179685E+08   0.179645E+08   0.966168E+04  -0.185507E+06   0.179526E+08   0.179668E+08   0.179679E+08   0.179668E+08  -0.215805E+00   0.798965E+07   0.798898E+07   0.890579E+02
   0.277085E-02   0.177884E+08   0.177842E+08  -0.202658E+05  -0.151852E+06   0.177691E+08   0.177864E+08   0.177877E+08   0.177864E+08  -0.213733E+00   0.793522E+07   0.793455E+07   0.803016E+02
   0.306246E-02   0.176067E+08   0.176022E+08  -0.140368E+05  -0.123980E+06   0.175832E+08   0.176043E+08   0.176059E+08   0.176043E+08  -0.211647E+00   0.787480E+07   0.787413E+07   0.728144E+02
   0.338478E-02   0.174196E+08   0.174149E+08  -0.306715E+05  -0.100913E+06   0.173912E+08   0.174169E+08   0.174188E+08   0.174169E+08  -0.209499E+00   0.780765E+07   0.780698E+07   0.659984E+02
   0.374101E-02   0.172237E+08   0.172188E+08  -0.263786E+05  -0.820075E+05   0.171895E+08   0.172206E+08   0.172229E+08   0.172206E+08  -0.207232E+00   0.773320E+07   0.773254E+07   0.594735E+02
   0.413473E-02   0.170159E+08   0.170106E+08  -0.249061E+05  -0.664903E+05   0.169746E+08   0.170122E+08   0.170150E+08   0.170122E+08  -0.204812E+00   0.765051E+07   0.764985E+07   0.532953E+02
   0.456989E-02   0.167930E+08   0.167873E+08  -0.212360E+05  -0.538319E+05   0.167434E+08   0.167887E+08   0.167920E+08   0.167886E+08  -0.202195E+00   0.755877E+07   0.755812E+07   0.477526E+02
   0.505085E-02   0.165520E+08   0.165458E+08  -0.149738E+05  -0.434957E+05   0.164925E+08   0.165469E+08   0.165509E+08   0.165469E+08  -0.199346E+00   0.745703E+07   0.745638E+07   0.429705E+02
   0.558243E-02   0.162900E+08   0.162833E+08  -0.129319E+05  -0.350782E+05   0.162191E+08   0.162840E+08   0.162889E+08   0.162840E+08  -0.196233E+00   0.734428E+07   0.734363E+07   0.387375E+02
   0.616996E-02   0.160042E+08   0.159968E+08  -0.109785E+05  -0.282352E+05   0.159199E+08   0.159972E+08   0.160030E+08   0.159972E+08  -0.192822E+00   0.721956E+07   0.721892E+07   0.348133E+02
   0.681932E-02   0.156920E+08   0.156838E+08  -0.100428E+05  -0.226766E+05   0.155923E+08   0.156838E+08   0.156906E+08   0.156838E+08  -0.189080E+00   0.708184E+07   0.708120E+07   0.312506E+02
   0.753702E-02   0.153506E+08   0.153414E+08  -0.863672E+04  -0.181674E+05   0.152333E+08   0.153410E+08   0.153490E+08   0.153410E+08  -0.184977E+00   0.693010E+07   0.692946E+07   0.281291E+02
   0.833025E-02   0.149776E+08   0.149672E+08  -0.590059E+04  -0.145150E+05   0.148406E+08   0.149665E+08   0.149758E+08   0.149665E+08  -0.180485E+00   0.676334E+07   0.676271E+07   0.253178E+02
   0.920698E-02   0.145706E+08   0.145588E+08  -0.776813E+04  -0.115618E+05   0.144116E+08   0.145578E+08   0.145686E+08   0.145578E+08  -0.175575E+00   0.658065E+07   0.658002E+07   0.227853E+02
   0.101760E-01   0.141277E+08   0.141143E+08  -0.540627E+04  -0.917861E+04   0.139446E+08   0.141130E+08   0.141255E+08   0.141130E+08  -0.170226E+00   0.638121E+07   0.638058E+07   0.205446E+02
   0.112469E-01   0.136473E+08   0.136319E+08  -0.501759E+04  -0.725868E+04   0.134381E+08   0.136304E+08   0.136447E+08   0.136304E+08  -0.164418E+00   0.616436E+07   0.616373E+07   0.185342E+02
   0.124306E-01   0.131282E+08   0.131105E+08  -0.413923E+04  -0.571633E+04   0.128913E+08   0.131090E+08   0.131252E+08   0.131090E+08  -0.158138E+00   0.592967E+07   0.592905E+07   0.167508E+02
   0.137389E-01   0.125699E+08   0.125496E+08  -0.344864E+04  -0.448040E+04   0.123040E+08   0.125483E+08   0.125664E+08   0.125483E+08  -0.151382E+00   0.567700E+07   0.567637E+07   0.151593E+02
   0.151849E-01   0.119727E+08   0.119495E+08  -0.243388E+04  -0.349331E+04   0.116770E+08   0.119487E+08   0.119688E+08   0.119487E+08  -0.144154E+00   0.540653E+07   0.540590E+07   0.137418E+02
   0.167830E-01   0.113495E+08   0.113231E+08  -0.215254E+04  -0.271057E+04   0.110234E+08   0.113228E+08   0.113451E+08   0.113228E+08  -0.136608E+00   0.512408E+07   0.512346E+07   0.124813E+02
   0.185493E-01   0.106820E+08   0.106520E+08  -0.165372E+04  -0.208813E+04   0.103259E+08   0.106526E+08   0.106769E+08   0.106526E+08  -0.128526E+00   0.482145E+07   0.482082E+07   0.113365E+02
   0.205016E-01   0.998415E+07   0.995042E+07  -0.113929E+04  -0.159745E+04   0.959953E+07   0.995228E+07   0.997849E+07   0.995228E+07  -0.120079E+00   0.450507E+07   0.450444E+07   0.102907E+02
   0.226592E-01   0.925464E+07   0.921716E+07  -0.922117E+03  -0.121192E+04   0.884407E+07   0.922039E+07   0.924835E+07   0.922039E+07  -0.111250E+00   0.417434E+07   0.417371E+07   0.931455E+01
   0.250440E-01   0.851763E+07   0.847662E+07  -0.693875E+03  -0.912895E+03   0.808410E+07   0.848124E+07   0.851075E+07   0.848124E+07  -0.102333E+00   0.384027E+07   0.383964E+07   0.839095E+01
   0.276798E-01   0.778307E+07   0.773906E+07  -0.483958E+03  -0.682698E+03   0.733005E+07   0.774486E+07   0.777568E+07   0.774486E+07  -0.934496E-01   0.350738E+07   0.350676E+07   0.749328E+01
   0.305930E-01   0.705693E+07   0.701085E+07  -0.434293E+03  -0.506599E+03   0.658823E+07   0.701731E+07   0.704919E+07   0.701731E+07  -0.846718E-01   0.317844E+07   0.317783E+07   0.659898E+01
   0.338127E-01   0.635803E+07   0.631127E+07  -0.305661E+03  -0.373544E+03   0.587716E+07   0.631746E+07   0.635018E+07   0.631746E+07  -0.762280E-01   0.286198E+07   0.286140E+07   0.569567E+01
   0.373714E-01   0.570844E+07   0.566284E+07  -0.212033E+03  -0.274483E+03   0.521812E+07   0.566741E+07   0.570078E+07   0.566741E+07  -0.683847E-01   0.256801E+07   0.256748E+07   0.478334E+01
   0.413045E-01   0.512880E+07   0.508646E+07  -0.153266E+03  -0.201840E+03   0.462871E+07   0.508760E+07   0.512169E+07   0.508760E+07  -0.613889E-01   0.230581E+07   0.230533E+07   0.387740E+01
   0.454350E-01   0.464183E+07   0.460453E+07  -0.358477E+02  -0.150957E+03   0.413424E+07   0.460089E+07   0.463556E+07   0.460089E+07  -0.555164E-01   0.208573E+07   0.208531E+07   0.304499E+01
   0.495654E-01   0.426275E+07   0.423134E+07  -0.277024E+02  -0.116485E+03   0.374654E+07   0.422214E+07   0.425747E+07   0.422214E+07  -0.509463E-01   0.191449E+07   0.191414E+07   0.234858E+01
   0.536959E-01   0.395989E+07   0.393439E+07  -0.219605E+02  -0.922060E+02   0.343415E+07   0.391954E+07   0.395561E+07   0.391954E+07  -0.472952E-01   0.177772E+07   0.177743E+07   0.179387E+01
   0.578264E-01   0.370638E+07   0.368608E+07  -0.177505E+02  -0.744189E+02   0.317141E+07   0.366621E+07   0.370297E+07   0.366621E+07  -0.442384E-01   0.166322E+07   0.166298E+07   0.137768E+01
   0.619568E-01   0.348359E+07   0.346729E+07  -0.145558E+02  -0.609336E+02   0.294089E+07   0.344351E+07   0.348086E+07   0.344351E+07  -0.415513E-01   0.156258E+07   0.156238E+07   0.108813E+01
   0.660873E-01   0.327497E+07   0.326124E+07  -0.120456E+02  -0.503484E+02   0.272758E+07   0.323497E+07   0.327267E+07   0.323497E+07  -0.390350E-01   0.146831E+07   0.146814E+07   0.904621E+00
   0.702177E-01   0.307070E+07   0.305812E+07  -0.100200E+02  -0.418161E+02   0.252276E+07   0.303084E+07   0.306859E+07   0.303084E+07  -0.365719E-01   0.137601E+07   0.137584E+07   0.802113E+00
   0.743482E-01   0.287026E+07   0.285765E+07  -0.836674E+01  -0.348610E+02   0.232603E+07   0.283065E+07   0.286814E+07   0.283065E+07  -0.341563E-01   0.128544E+07   0.128528E+07   0.754745E+00
   0.784786E-01   0.267039E+07   0.265697E+07  -0.699661E+01  -0.291055E+02   0.213458E+07   0.263124E+07   0.266814E+07   0.263124E+07  -0.317501E-01   0.119519E+07   0.119502E+07   0.736875E+00
   0.826091E-01   0.247876E+07   0.246418E+07  -0.586981E+01  -0.243788E+02   0.195442E+07   0.244022E+07   0.247631E+07   0.244022E+07  -0.294452E-01   0.110870E+07   0.110852E+07   0.728560E+00
   0.867395E-01   0.230064E+07   0.228498E+07  -0.494861E+01  -0.205200E+02   0.178932E+07   0.226283E+07   0.229801E+07   0.226283E+07  -0.273048E-01   0.102836E+07   0.102818E+07   0.714943E+00
   0.918936E-01   0.210378E+07   0.208737E+07  -0.403899E+01  -0.167154E+02   0.160863E+07   0.206697E+07   0.210102E+07   0.206697E+07  -0.249414E-01   0.939640E+06   0.939454E+06   0.677988E+00
   0.970477E-01   0.194023E+07   0.192404E+07  -0.334587E+01  -0.138208E+02   0.145881E+07   0.190441E+07   0.193752E+07   0.190441E+07  -0.229798E-01   0.866004E+06   0.865825E+06   0.615571E+00
   0.102202E+00   0.181147E+07   0.179648E+07  -0.282185E+01  -0.116351E+02   0.133954E+07   0.177649E+07   0.180896E+07   0.177649E+07  -0.214363E-01   0.808076E+06   0.807912E+06   0.534063E+00
   0.107356E+00   0.171282E+07   0.169973E+07  -0.242263E+01  -0.997166E+01   0.124594E+07   0.167849E+07   0.171062E+07   0.167849E+07  -0.202537E-01   0.763720E+06   0.763577E+06   0.445347E+00
   0.112510E+00   0.163465E+07   0.162372E+07  -0.210902E+01  -0.866614E+01   0.116987E+07   0.160080E+07   0.163282E+07   0.160080E+07  -0.193163E-01   0.728582E+06   0.728460E+06   0.362042E+00
   0.117664E+00   0.156637E+07   0.155742E+07  -0.185118E+01  -0.759397E+01   0.110302E+07   0.153293E+07   0.156487E+07   0.153293E+07  -0.184973E-01   0.697889E+06   0.697785E+06   0.293981E+00
   0.122818E+00   0.149972E+07   0.149222E+07  -0.162973E+01  -0.667441E+01   0.103922E+07   0.146670E+07   0.149846E+07   0.146670E+07  -0.176982E-01   0.667927E+06   0.667836E+06   0.246241E+00
   0.127972E+00   0.142991E+07   0.142317E+07  -0.143375E+01  -0.586196E+01   0.975048E+06   0.139740E+07   0.142878E+07   0.139740E+07  -0.168619E-01   0.636545E+06   0.636461E+06   0.218772E+00
   0.133126E+00   0.135560E+07   0.134897E+07  -0.125817E+01  -0.513545E+01   0.909671E+06   0.132372E+07   0.135448E+07   0.132372E+07  -0.159729E-01   0.603152E+06   0.603069E+06   0.207393E+00
   0.138280E+00   0.127835E+07   0.127138E+07  -0.110149E+01  -0.448837E+01   0.844227E+06   0.124724E+07   0.127718E+07   0.124724E+07  -0.150500E-01   0.568457E+06   0.568372E+06   0.205628E+00
   0.143435E+00   0.120158E+07   0.119407E+07  -0.963818E+00  -0.392080E+01   0.780995E+06   0.117132E+07   0.120032E+07   0.117132E+07  -0.141339E-01   0.534000E+06   0.533912E+06   0.206724E+00
   0.148589E+00   0.112942E+07   0.112144E+07  -0.845510E+00  -0.343389E+01   0.722579E+06   0.110004E+07   0.112808E+07   0.110004E+07  -0.132738E-01   0.501639E+06   0.501547E+06   0.205304E+00
   0.153743E+00   0.106567E+07   0.105749E+07  -0.746350E+00  -0.302635E+01   0.671190E+06   0.103711E+07   0.106429E+07   0.103711E+07  -0.125144E-01   0.473064E+06   0.472973E+06   0.198313E+00
   0.158897E+00   0.101250E+07   0.100450E+07  -0.664901E+00  -0.269194E+01   0.627900E+06   0.984655E+06   0.101116E+07   0.984655E+06  -0.118815E-01   0.449254E+06   0.449166E+06   0.185178E+00
   0.164051E+00   0.969719E+06   0.962224E+06  -0.598360E+00  -0.241898E+01   0.592224E+06   0.942442E+06   0.968461E+06   0.942442E+06  -0.113721E-01   0.430102E+06   0.430020E+06   0.167331E+00
   0.169205E+00   0.935083E+06   0.928323E+06  -0.543229E+00  -0.219297E+01   0.562478E+06   0.908258E+06   0.933948E+06   0.908258E+06  -0.109597E-01   0.414605E+06   0.414530E+06   0.147381E+00
   0.174359E+00   0.905593E+06   0.899638E+06  -0.496232E+00  -0.200047E+01   0.536613E+06   0.879145E+06   0.904593E+06   0.879145E+06  -0.106083E-01   0.401412E+06   0.401345E+06   0.128194E+00
   0.179513E+00   0.878340E+06   0.873106E+06  -0.454761E+00  -0.183077E+01   0.512749E+06   0.852239E+06   0.877461E+06   0.852239E+06  -0.102837E-01   0.389221E+06   0.389161E+06   0.112097E+00
