#           k/h    P           
    0.10000E-03    0.44093E+03
    0.10202E-03    0.44948E+03
    0.10408E-03    0.45819E+03
    0.10618E-03    0.46707E+03
    0.10833E-03    0.47611E+03
    0.11052E-03    0.48534E+03
    0.11275E-03    0.49474E+03
    0.11503E-03    0.50433E+03
    0.11735E-03    0.51410E+03
    0.11972E-03    0.52406E+03
    0.12214E-03    0.53421E+03
    0.12461E-03    0.54456E+03
    0.12712E-03    0.55511E+03
    0.12969E-03    0.56586E+03
    0.13231E-03    0.57682E+03
    0.13499E-03    0.58800E+03
    0.13771E-03    0.59938E+03
    0.14049E-03    0.61099E+03
    0.14333E-03    0.62283E+03
    0.14623E-03    0.63489E+03
    0.14918E-03    0.64719E+03
    0.15220E-03    0.65972E+03
    0.15527E-03    0.67249E+03
    0.15841E-03    0.68552E+03
    0.16161E-03    0.69879E+03
    0.16487E-03    0.71232E+03
    0.16820E-03    0.72611E+03
    0.17160E-03    0.74017E+03
    0.17507E-03    0.75450E+03
    0.17860E-03    0.76910E+03
    0.18221E-03    0.78399E+03
    0.18589E-03    0.79917E+03
    0.18965E-03    0.81463E+03
    0.19348E-03    0.83040E+03
    0.19739E-03    0.84647E+03
    0.20138E-03    0.86285E+03
    0.20544E-03    0.87955E+03
    0.20959E-03    0.89656E+03
    0.21383E-03    0.91391E+03
    0.21815E-03    0.93159E+03
    0.22255E-03    0.94961E+03
    0.22705E-03    0.96798E+03
    0.23164E-03    0.98670E+03
    0.23632E-03    0.10058E+04
    0.24109E-03    0.10252E+04
    0.24596E-03    0.10451E+04
    0.25093E-03    0.10653E+04
    0.25600E-03    0.10858E+04
    0.26117E-03    0.11068E+04
    0.26645E-03    0.11282E+04
    0.27183E-03    0.11500E+04
    0.27732E-03    0.11722E+04
    0.28292E-03    0.11949E+04
    0.28864E-03    0.12180E+04
    0.29447E-03    0.12415E+04
    0.30042E-03    0.12655E+04
    0.30649E-03    0.12899E+04
    0.31268E-03    0.13148E+04
    0.31899E-03    0.13402E+04
    0.32544E-03    0.13660E+04
    0.33201E-03    0.13924E+04
    0.33872E-03    0.14193E+04
    0.34556E-03    0.14466E+04
    0.35254E-03    0.14745E+04
    0.35966E-03    0.15030E+04
