#           k/h    P           
    0.10000E-03    0.37811E+03
    0.10202E-03    0.38544E+03
    0.10408E-03    0.39290E+03
    0.10618E-03    0.40052E+03
    0.10833E-03    0.40828E+03
    0.11052E-03    0.41619E+03
    0.11275E-03    0.42425E+03
    0.11503E-03    0.43247E+03
    0.11735E-03    0.44085E+03
    0.11972E-03    0.44939E+03
    0.12214E-03    0.45810E+03
    0.12461E-03    0.46697E+03
    0.12712E-03    0.47602E+03
    0.12969E-03    0.48524E+03
    0.13231E-03    0.49464E+03
    0.13499E-03    0.50422E+03
    0.13771E-03    0.51398E+03
    0.14049E-03    0.52394E+03
    0.14333E-03    0.53409E+03
    0.14623E-03    0.54443E+03
    0.14918E-03    0.55497E+03
    0.15220E-03    0.56572E+03
    0.15527E-03    0.57667E+03
    0.15841E-03    0.58784E+03
    0.16161E-03    0.59922E+03
    0.16487E-03    0.61083E+03
    0.16820E-03    0.62265E+03
    0.17160E-03    0.63471E+03
    0.17507E-03    0.64699E+03
    0.17860E-03    0.65952E+03
    0.18221E-03    0.67228E+03
    0.18589E-03    0.68530E+03
    0.18965E-03    0.69856E+03
    0.19348E-03    0.71208E+03
    0.19739E-03    0.72586E+03
    0.20138E-03    0.73991E+03
    0.20544E-03    0.75422E+03
    0.20959E-03    0.76882E+03
    0.21383E-03    0.78369E+03
    0.21815E-03    0.79885E+03
    0.22255E-03    0.81430E+03
    0.22705E-03    0.83005E+03
    0.23164E-03    0.84610E+03
    0.23632E-03    0.86247E+03
    0.24109E-03    0.87914E+03
    0.24596E-03    0.89614E+03
    0.25093E-03    0.91346E+03
    0.25600E-03    0.93112E+03
    0.26117E-03    0.94912E+03
    0.26645E-03    0.96746E+03
    0.27183E-03    0.98615E+03
    0.27732E-03    0.10052E+04
    0.28292E-03    0.10246E+04
    0.28864E-03    0.10444E+04
    0.29447E-03    0.10646E+04
    0.30042E-03    0.10851E+04
    0.30649E-03    0.11061E+04
    0.31268E-03    0.11274E+04
    0.31899E-03    0.11492E+04
    0.32544E-03    0.11714E+04
    0.33201E-03    0.11940E+04
    0.33872E-03    0.12170E+04
    0.34556E-03    0.12405E+04
    0.35254E-03    0.12644E+04
    0.35966E-03    0.12888E+04
    0.36693E-03    0.13136E+04
    0.37434E-03    0.13389E+04
    0.38190E-03    0.13647E+04
    0.38962E-03    0.13910E+04
    0.39749E-03    0.14178E+04
    0.40552E-03    0.14451E+04
    0.41371E-03    0.14729E+04
    0.42207E-03    0.15013E+04
    0.43060E-03    0.15301E+04
    0.43929E-03    0.15596E+04
    0.44817E-03    0.15895E+04
    0.45722E-03    0.16201E+04
    0.46646E-03    0.16512E+04
    0.47588E-03    0.16829E+04
    0.48550E-03    0.17152E+04
    0.49530E-03    0.17481E+04
    0.50531E-03    0.17817E+04
    0.51552E-03    0.18159E+04
    0.52593E-03    0.18507E+04
    0.53656E-03    0.18861E+04
    0.54739E-03    0.19223E+04
    0.55845E-03    0.19591E+04
    0.56973E-03    0.19965E+04
    0.58124E-03    0.20347E+04
    0.59299E-03    0.20736E+04
    0.60496E-03    0.21133E+04
    0.61719E-03    0.21536E+04
    0.62965E-03    0.21947E+04
    0.64237E-03    0.22366E+04
    0.65535E-03    0.22793E+04
    0.66859E-03    0.23227E+04
    0.68210E-03    0.23669E+04
    0.69588E-03    0.24120E+04
    0.70993E-03    0.24579E+04
    0.72427E-03    0.25046E+04
    0.73891E-03    0.25522E+04
    0.75383E-03    0.26006E+04
    0.76906E-03    0.26500E+04
    0.78460E-03    0.27002E+04
    0.80045E-03    0.27514E+04
    0.81662E-03    0.28034E+04
    0.83311E-03    0.28565E+04
    0.84994E-03    0.29104E+04
    0.86711E-03    0.29654E+04
    0.88463E-03    0.30213E+04
    0.90250E-03    0.30783E+04
    0.92073E-03    0.31363E+04
    0.93933E-03    0.31953E+04
    0.95831E-03    0.32553E+04
    0.97767E-03    0.33165E+04
    0.99742E-03    0.33787E+04
    0.10176E-02    0.34420E+04
    0.10381E-02    0.35064E+04
    0.10591E-02    0.35720E+04
    0.10805E-02    0.36387E+04
    0.11023E-02    0.37066E+04
    0.11246E-02    0.37756E+04
    0.11473E-02    0.38459E+04
    0.11705E-02    0.39174E+04
    0.11941E-02    0.39901E+04
    0.12182E-02    0.40641E+04
    0.12429E-02    0.41393E+04
    0.12680E-02    0.42158E+04
    0.12936E-02    0.42936E+04
    0.13197E-02    0.43728E+04
    0.13464E-02    0.44532E+04
    0.13736E-02    0.45351E+04
    0.14013E-02    0.46183E+04
    0.14296E-02    0.47028E+04
    0.14585E-02    0.47888E+04
    0.14880E-02    0.48762E+04
    0.15180E-02    0.49650E+04
    0.15487E-02    0.50553E+04
    0.15800E-02    0.51471E+04
    0.16119E-02    0.52403E+04
    0.16445E-02    0.53350E+04
    0.16777E-02    0.54313E+04
    0.17116E-02    0.55290E+04
    0.17462E-02    0.56283E+04
    0.17814E-02    0.57292E+04
    0.18174E-02    0.58316E+04
    0.18541E-02    0.59357E+04
    0.18916E-02    0.60413E+04
    0.19298E-02    0.61485E+04
    0.19688E-02    0.62574E+04
    0.20086E-02    0.63679E+04
    0.20491E-02    0.64800E+04
    0.20905E-02    0.65938E+04
    0.21328E-02    0.67092E+04
    0.21758E-02    0.68264E+04
    0.22198E-02    0.69452E+04
    0.22646E-02    0.70657E+04
    0.23104E-02    0.71879E+04
    0.23571E-02    0.73118E+04
    0.24047E-02    0.74374E+04
    0.24533E-02    0.75647E+04
    0.25028E-02    0.76938E+04
    0.25534E-02    0.78246E+04
    0.26050E-02    0.79571E+04
    0.26576E-02    0.80913E+04
    0.27113E-02    0.82272E+04
    0.27660E-02    0.83649E+04
    0.28219E-02    0.85042E+04
    0.28789E-02    0.86453E+04
    0.29371E-02    0.87881E+04
