#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10563E+04    0.36324E+01    0.11293E-02    0.36324E+01    0.51015E-01   -0.62227E-05    0.11293E-02   -0.62227E-05    0.75217E-08
     3    0.99406E+03    0.44712E+01    0.80470E-03    0.44712E+01    0.84195E-01   -0.54426E-05    0.80470E-03   -0.54426E-05    0.45866E-08
     4    0.93296E+03    0.45610E+01    0.61120E-03    0.45610E+01    0.95519E-01   -0.42778E-05    0.61120E-03   -0.42778E-05    0.31760E-08
     5    0.88530E+03    0.42117E+01    0.48344E-03    0.42117E+01    0.85601E-01   -0.30964E-05    0.48344E-03   -0.30964E-05    0.23626E-08
     6    0.85066E+03    0.36570E+01    0.39369E-03    0.36570E+01    0.64013E-01   -0.20377E-05    0.39369E-03   -0.20377E-05    0.18403E-08
     7    0.82684E+03    0.30430E+01    0.32791E-03    0.30430E+01    0.41301E-01   -0.11698E-05    0.32791E-03   -0.11698E-05    0.14809E-08
     8    0.81104E+03    0.24606E+01    0.27755E-03    0.24606E+01    0.24117E-01   -0.51365E-06    0.27755E-03   -0.51365E-06    0.12209E-08
     9    0.80140E+03    0.19618E+01    0.23760E-03    0.19618E+01    0.14195E-01   -0.59130E-07    0.23760E-03   -0.59130E-07    0.10258E-08
    10    0.79663E+03    0.15702E+01    0.20543E-03    0.15702E+01    0.99273E-02    0.21793E-06    0.20543E-03    0.21793E-06    0.87496E-09
    11    0.79534E+03    0.12931E+01    0.17960E-03    0.12931E+01    0.85969E-02    0.34596E-06    0.17960E-03    0.34596E-06    0.75574E-09
    12    0.79770E+03    0.11270E+01    0.15866E-03    0.11270E+01    0.80865E-02    0.35788E-06    0.15866E-03    0.35788E-06    0.65938E-09
    13    0.80189E+03    0.10538E+01    0.14140E-03    0.10538E+01    0.73514E-02    0.29655E-06    0.14140E-03    0.29655E-06    0.58052E-09
    14    0.80698E+03    0.10502E+01    0.12679E-03    0.10502E+01    0.64388E-02    0.20319E-06    0.12679E-03    0.20319E-06    0.51489E-09
    15    0.81339E+03    0.10934E+01    0.11427E-03    0.10934E+01    0.56596E-02    0.10304E-06    0.11427E-03    0.10304E-06    0.45973E-09
    16    0.82162E+03    0.11625E+01    0.10344E-03    0.11625E+01    0.52822E-02    0.14443E-07    0.10344E-03    0.14443E-07    0.41283E-09
    17    0.83155E+03    0.12403E+01    0.94065E-04    0.12403E+01    0.53621E-02   -0.56025E-07    0.94065E-04   -0.56025E-07    0.37266E-09
    18    0.84216E+03    0.13144E+01    0.85917E-04    0.13144E+01    0.57000E-02   -0.10459E-06    0.85917E-04   -0.10459E-06    0.33794E-09
    19    0.85427E+03    0.13817E+01    0.78758E-04    0.13817E+01    0.61401E-02   -0.12705E-06    0.78758E-04   -0.12705E-06    0.30773E-09
    20    0.86623E+03    0.14384E+01    0.72373E-04    0.14384E+01    0.66192E-02   -0.12195E-06    0.72373E-04   -0.12195E-06    0.28124E-09
    21    0.87843E+03    0.14853E+01    0.66679E-04    0.14853E+01    0.71368E-02   -0.99345E-07    0.66679E-04   -0.99345E-07    0.25791E-09
    22    0.89118E+03    0.15236E+01    0.61617E-04    0.15236E+01    0.77957E-02   -0.71056E-07    0.61617E-04   -0.71056E-07    0.23724E-09
    23    0.90428E+03    0.15580E+01    0.57092E-04    0.15580E+01    0.86901E-02   -0.44625E-07    0.57092E-04   -0.44625E-07    0.21887E-09
    24    0.91773E+03    0.15934E+01    0.53011E-04    0.15934E+01    0.98586E-02   -0.25006E-07    0.53011E-04   -0.25006E-07    0.20243E-09
    25    0.93150E+03    0.16313E+01    0.49320E-04    0.16313E+01    0.11296E-01   -0.11110E-07    0.49320E-04   -0.11110E-07    0.18769E-09
    26    0.94541E+03    0.16734E+01    0.45980E-04    0.16734E+01    0.12954E-01   -0.11566E-08    0.45980E-04   -0.11566E-08    0.17441E-09
    27    0.95970E+03    0.17182E+01    0.42960E-04    0.17182E+01    0.14815E-01    0.33716E-08    0.42960E-04    0.33716E-08    0.16242E-09
    28    0.97423E+03    0.17643E+01    0.40229E-04    0.17643E+01    0.16888E-01    0.84858E-09    0.40229E-04    0.84858E-09    0.15155E-09
    29    0.98907E+03    0.18094E+01    0.37752E-04    0.18094E+01    0.19153E-01   -0.76536E-08    0.37752E-04   -0.76536E-08    0.14166E-09
    30    0.10041E+04    0.18496E+01    0.35492E-04    0.18496E+01    0.21594E-01   -0.19823E-07    0.35492E-04   -0.19823E-07    0.13263E-09
    31    0.10193E+04    0.18819E+01    0.33413E-04    0.18819E+01    0.24224E-01   -0.31083E-07    0.33413E-04   -0.31083E-07    0.12437E-09
    32    0.10348E+04    0.19042E+01    0.31488E-04    0.19042E+01    0.27048E-01   -0.37295E-07    0.31488E-04   -0.37295E-07    0.11681E-09
    33    0.10505E+04    0.19163E+01    0.29712E-04    0.19163E+01    0.30065E-01   -0.38316E-07    0.29712E-04   -0.38316E-07    0.10986E-09
    34    0.10665E+04    0.19192E+01    0.28081E-04    0.19192E+01    0.33282E-01   -0.35377E-07    0.28081E-04   -0.35377E-07    0.10347E-09
    35    0.10827E+04    0.19113E+01    0.26581E-04    0.19113E+01    0.36692E-01   -0.31201E-07    0.26581E-04   -0.31201E-07    0.97576E-10
    36    0.10989E+04    0.18901E+01    0.25193E-04    0.18901E+01    0.40301E-01   -0.28157E-07    0.25193E-04   -0.28157E-07    0.92128E-10
    37    0.11153E+04    0.18554E+01    0.23901E-04    0.18554E+01    0.44149E-01   -0.25712E-07    0.23901E-04   -0.25712E-07    0.87085E-10
    38    0.11320E+04    0.18098E+01    0.22689E-04    0.18098E+01    0.48277E-01   -0.22878E-07    0.22689E-04   -0.22878E-07    0.82408E-10
    39    0.11491E+04    0.17549E+01    0.21554E-04    0.17549E+01    0.52675E-01   -0.19733E-07    0.21554E-04   -0.19733E-07    0.78064E-10
    40    0.11663E+04    0.16917E+01    0.20497E-04    0.16917E+01    0.57324E-01   -0.16622E-07    0.20497E-04   -0.16622E-07    0.74022E-10
    41    0.11837E+04    0.16210E+01    0.19518E-04    0.16210E+01    0.62215E-01   -0.13837E-07    0.19518E-04   -0.13837E-07    0.70254E-10
    42    0.12012E+04    0.15413E+01    0.18609E-04    0.15413E+01    0.67363E-01   -0.11454E-07    0.18609E-04   -0.11454E-07    0.66737E-10
    43    0.12187E+04    0.14511E+01    0.17764E-04    0.14511E+01    0.72787E-01   -0.94969E-08    0.17764E-04   -0.94969E-08    0.63452E-10
    44    0.12363E+04    0.13496E+01    0.16976E-04    0.13496E+01    0.78492E-01   -0.79891E-08    0.16976E-04   -0.79891E-08    0.60382E-10
    45    0.12543E+04    0.12360E+01    0.16239E-04    0.12360E+01    0.84493E-01   -0.69537E-08    0.16239E-04   -0.69537E-08    0.57506E-10
    46    0.12725E+04    0.11079E+01    0.15544E-04    0.11079E+01    0.90801E-01   -0.63861E-08    0.15544E-04   -0.63861E-08    0.54807E-10
    47    0.12909E+04    0.96600E+00    0.14889E-04    0.96600E+00    0.97404E-01   -0.61712E-08    0.14889E-04   -0.61712E-08    0.52273E-10
    48    0.13093E+04    0.81421E+00    0.14270E-04    0.81421E+00    0.10429E+00   -0.61656E-08    0.14270E-04   -0.61656E-08    0.49892E-10
    49    0.13279E+04    0.65600E+00    0.13684E-04    0.65600E+00    0.11141E+00   -0.62263E-08    0.13684E-04   -0.62263E-08    0.47652E-10
    50    0.13469E+04    0.48799E+00    0.13128E-04    0.48799E+00    0.11874E+00   -0.62101E-08    0.13128E-04   -0.62101E-08    0.45544E-10
    51    0.13661E+04    0.30556E+00    0.12599E-04    0.30556E+00    0.12623E+00   -0.60175E-08    0.12599E-04   -0.60175E-08    0.43556E-10
    52    0.13858E+04    0.10462E+00    0.12097E-04    0.10462E+00    0.13397E+00   -0.57241E-08    0.12097E-04   -0.57241E-08    0.41680E-10
