#    L    TT             EE             BB             TE          
     2    0.46515E+03    0.15181E-01    0.24006E-01    0.25165E+00
     3    0.38187E+03    0.19690E-01    0.27913E-01   -0.41480E+00
     4    0.36054E+03    0.21100E-01    0.27599E-01   -0.63177E+00
     5    0.35189E+03    0.19547E-01    0.24409E-01   -0.67028E+00
     6    0.34809E+03    0.16227E-01    0.19868E-01   -0.62486E+00
     7    0.34677E+03    0.12380E-01    0.15209E-01   -0.54759E+00
     8    0.34674E+03    0.89473E-02    0.11204E-01   -0.46809E+00
     9    0.34756E+03    0.64036E-02    0.81838E-02   -0.40046E+00
    10    0.34884E+03    0.48584E-02    0.61792E-02   -0.34685E+00
    11    0.35016E+03    0.41801E-02    0.50613E-02   -0.30981E+00
    12    0.35097E+03    0.41334E-02    0.46397E-02   -0.28813E+00
    13    0.35155E+03    0.45032E-02    0.47194E-02   -0.27961E+00
    14    0.35228E+03    0.51047E-02    0.51222E-02   -0.28220E+00
    15    0.35329E+03    0.58359E-02    0.57333E-02   -0.29394E+00
    16    0.35456E+03    0.66279E-02    0.64644E-02   -0.31307E+00
    17    0.35573E+03    0.74602E-02    0.72688E-02   -0.33839E+00
    18    0.35649E+03    0.83265E-02    0.81153E-02   -0.36881E+00
    19    0.35680E+03    0.92277E-02    0.89928E-02   -0.40302E+00
    20    0.35674E+03    0.10166E-01    0.98958E-02   -0.43997E+00
    21    0.35640E+03    0.11141E-01    0.10821E-01   -0.47981E+00
    22    0.35583E+03    0.12150E-01    0.11768E-01   -0.52282E+00
    23    0.35506E+03    0.13187E-01    0.12735E-01   -0.56861E+00
    24    0.35407E+03    0.14247E-01    0.13719E-01   -0.61663E+00
    25    0.35289E+03    0.15328E-01    0.14718E-01   -0.66661E+00
    26    0.35155E+03    0.16431E-01    0.15729E-01   -0.71824E+00
    27    0.35005E+03    0.17550E-01    0.16753E-01   -0.77098E+00
    28    0.34838E+03    0.18683E-01    0.17791E-01   -0.82447E+00
    29    0.34655E+03    0.19841E-01    0.18843E-01   -0.87923E+00
    30    0.34457E+03    0.21034E-01    0.19907E-01   -0.93580E+00
    31    0.34245E+03    0.22258E-01    0.20982E-01   -0.99370E+00
    32    0.34020E+03    0.23508E-01    0.22065E-01   -0.10523E+01
    33    0.33782E+03    0.24771E-01    0.23156E-01   -0.11114E+01
    34    0.33530E+03    0.26035E-01    0.24255E-01   -0.11708E+01
    35    0.33266E+03    0.27309E-01    0.25357E-01   -0.12304E+01
    36    0.32991E+03    0.28600E-01    0.26462E-01   -0.12900E+01
    37    0.32706E+03    0.29912E-01    0.27569E-01   -0.13495E+01
    38    0.32410E+03    0.31243E-01    0.28682E-01   -0.14088E+01
    39    0.32103E+03    0.32591E-01    0.29797E-01   -0.14677E+01
    40    0.31786E+03    0.33950E-01    0.30910E-01   -0.15261E+01
    41    0.31459E+03    0.35316E-01    0.32020E-01   -0.15841E+01
    42    0.31124E+03    0.36690E-01    0.33123E-01   -0.16414E+01
    43    0.30780E+03    0.38068E-01    0.34219E-01   -0.16980E+01
    44    0.30428E+03    0.39452E-01    0.35308E-01   -0.17539E+01
