#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.14386E+05    0.22910E+02   -0.31240E-02    0.22910E+02    0.37604E-01   -0.45915E-05   -0.31240E-02   -0.45915E-05    0.63155E-08
     3    0.11856E+05    0.26488E+02   -0.20500E-02    0.26488E+02    0.61869E-01   -0.39935E-05   -0.20500E-02   -0.39935E-05    0.38164E-08
     4    0.10039E+05    0.25750E+02   -0.15187E-02    0.25750E+02    0.69693E-01   -0.31175E-05   -0.15187E-02   -0.31175E-05    0.26255E-08
     5    0.86824E+04    0.22443E+02   -0.12025E-02    0.22443E+02    0.61881E-01   -0.22364E-05   -0.12025E-02   -0.22364E-05    0.19432E-08
     6    0.76375E+04    0.17879E+02   -0.99225E-03    0.17879E+02    0.45804E-01   -0.14548E-05   -0.99225E-03   -0.14548E-05    0.15073E-08
     7    0.68106E+04    0.13026E+02   -0.84218E-03    0.13026E+02    0.29276E-01   -0.82269E-06   -0.84218E-03   -0.82269E-06    0.12086E-08
     8    0.61426E+04    0.85509E+01   -0.72960E-03    0.85509E+01    0.17002E-01   -0.35137E-06   -0.72960E-03   -0.35137E-06    0.99333E-09
     9    0.55942E+04    0.48622E+01   -0.64212E-03    0.48622E+01    0.99992E-02   -0.30106E-07   -0.64212E-03   -0.30106E-07    0.83230E-09
    10    0.51352E+04    0.21492E+01   -0.57196E-03    0.21492E+01    0.69431E-02    0.15825E-06   -0.57196E-03    0.15825E-06    0.70813E-09
    11    0.47458E+04    0.42475E+00   -0.51440E-03    0.42475E+00    0.58776E-02    0.23414E-06   -0.51440E-03    0.23414E-06    0.61026E-09
    12    0.44119E+04   -0.41525E+00   -0.46623E-03   -0.41525E+00    0.54368E-02    0.22602E-06   -0.46623E-03    0.22602E-06    0.53134E-09
    13    0.41238E+04   -0.56295E+00   -0.42548E-03   -0.56295E+00    0.49002E-02    0.17063E-06   -0.42548E-03    0.17063E-06    0.46691E-09
    14    0.38745E+04   -0.22905E+00   -0.39057E-03   -0.22905E+00    0.44543E-02    0.10164E-06   -0.39057E-03    0.10164E-06    0.41339E-09
    15    0.36592E+04    0.37979E+00   -0.36034E-03    0.37979E+00    0.42431E-02    0.33665E-07   -0.36034E-03    0.33665E-07    0.36851E-09
    16    0.34734E+04    0.10735E+01   -0.33379E-03    0.10735E+01    0.43278E-02   -0.24416E-07   -0.33379E-03   -0.24416E-07    0.33041E-09
    17    0.33109E+04    0.17213E+01   -0.31031E-03    0.17213E+01    0.47001E-02   -0.67602E-07   -0.31031E-03   -0.67602E-07    0.29784E-09
    18    0.31654E+04    0.22247E+01   -0.28940E-03    0.22247E+01    0.51595E-02   -0.92002E-07   -0.28940E-03   -0.92002E-07    0.26973E-09
