#    L    TT             EE             BB             TE          
     2    0.29951E+04    0.62643E-01    0.22045E-01    0.99963E+01
     3    0.25927E+04    0.98534E-01    0.25925E-01    0.11098E+02
     4    0.23054E+04    0.11079E+00    0.25937E-01    0.10755E+02
     5    0.20885E+04    0.10008E+00    0.23221E-01    0.94642E+01
     6    0.19232E+04    0.76593E-01    0.19141E-01    0.77034E+01
     7    0.17960E+04    0.51454E-01    0.14848E-01    0.58250E+01
     8    0.16975E+04    0.31844E-01    0.11090E-01    0.40727E+01
     9    0.16211E+04    0.19871E-01    0.82099E-02    0.25995E+01
    10    0.15617E+04    0.14165E-01    0.62670E-02    0.14833E+01
    11    0.15145E+04    0.12091E-01    0.51622E-02    0.73546E+00
    12    0.14764E+04    0.11486E-01    0.47295E-02    0.32820E+00
    13    0.14450E+04    0.11155E-01    0.47885E-02    0.19640E+00
    14    0.14195E+04    0.10977E-01    0.51720E-02    0.26470E+00
    15    0.14003E+04    0.11101E-01    0.57689E-02    0.45607E+00
    16    0.13875E+04    0.11659E-01    0.64917E-02    0.69862E+00
    17    0.13796E+04    0.12664E-01    0.72933E-02    0.93949E+00
    18    0.13740E+04    0.13906E-01    0.81412E-02    0.11386E+01
    19    0.13712E+04    0.15258E-01    0.90230E-02    0.12807E+01
    20    0.13699E+04    0.16688E-01    0.99321E-02    0.13575E+01
    21    0.13703E+04    0.18210E-01    0.10866E-01    0.13761E+01
    22    0.13723E+04    0.19932E-01    0.11822E-01    0.13481E+01
    23    0.13758E+04    0.21930E-01    0.12800E-01    0.12920E+01
    24    0.13804E+04    0.24225E-01    0.13797E-01    0.12258E+01
    25    0.13862E+04    0.26801E-01    0.14809E-01    0.11601E+01
    26    0.13926E+04    0.29602E-01    0.15834E-01    0.11040E+01
    27    0.14000E+04    0.32609E-01    0.16872E-01    0.10606E+01
    28    0.14079E+04    0.35836E-01    0.17925E-01    0.10317E+01
    29    0.14164E+04    0.39274E-01    0.18991E-01    0.10135E+01
    30    0.14253E+04    0.42925E-01    0.20069E-01    0.99901E+00
    31    0.14346E+04    0.46795E-01    0.21158E-01    0.98082E+00
    32    0.14444E+04    0.50880E-01    0.22256E-01    0.95226E+00
    33    0.14547E+04    0.55165E-01    0.23361E-01    0.91118E+00
