#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.29951E+04    0.62641E-01    0.22044E-01    0.99963E+01    0.45994E-07   -0.26925E-03   -0.14692E-04
     3    0.25927E+04    0.98532E-01    0.25923E-01    0.11098E+02    0.55822E-07   -0.94023E-04   -0.18049E-04
     4    0.23054E+04    0.11078E+00    0.25934E-01    0.10755E+02    0.64194E-07   -0.45373E-04   -0.18263E-04
     5    0.20885E+04    0.10008E+00    0.23216E-01    0.94642E+01    0.71427E-07   -0.49873E-04   -0.16182E-04
     6    0.19232E+04    0.76586E-01    0.19134E-01    0.77034E+01    0.77706E-07   -0.76943E-04   -0.12629E-04
     7    0.17960E+04    0.51444E-01    0.14839E-01    0.58250E+01    0.83201E-07   -0.11256E-03   -0.84421E-05
     8    0.16975E+04    0.31831E-01    0.11077E-01    0.40727E+01    0.88035E-07   -0.15371E-03   -0.43256E-05
     9    0.16211E+04    0.19855E-01    0.81943E-02    0.25995E+01    0.92309E-07   -0.19978E-03   -0.77902E-06
    10    0.15617E+04    0.14145E-01    0.62479E-02    0.14833E+01    0.96087E-07   -0.24622E-03    0.18653E-05
    11    0.15145E+04    0.12068E-01    0.51392E-02    0.73547E+00    0.99457E-07   -0.28771E-03    0.34092E-05
    12    0.14763E+04    0.11458E-01    0.47023E-02    0.32821E+00    0.10244E-06   -0.32277E-03    0.38145E-05
    13    0.14449E+04    0.11123E-01    0.47567E-02    0.19642E+00    0.10508E-06   -0.35351E-03    0.33590E-05
    14    0.14194E+04    0.10940E-01    0.51354E-02    0.26473E+00    0.10742E-06   -0.38214E-03    0.23724E-05
    15    0.14002E+04    0.11059E-01    0.57269E-02    0.45611E+00    0.10950E-06   -0.40894E-03    0.11398E-05
    16    0.13875E+04    0.11611E-01    0.64442E-02    0.69866E+00    0.11134E-06   -0.43362E-03   -0.95063E-07
    17    0.13795E+04    0.12611E-01    0.72397E-02    0.93955E+00    0.11296E-06   -0.45567E-03   -0.11936E-05
    18    0.13738E+04    0.13846E-01    0.80812E-02    0.11386E+01    0.11439E-06   -0.47482E-03   -0.20354E-05
    19    0.13711E+04    0.15191E-01    0.89563E-02    0.12808E+01    0.11564E-06   -0.49219E-03   -0.24667E-05
    20    0.13698E+04    0.16614E-01    0.98583E-02    0.13576E+01    0.11672E-06   -0.50883E-03   -0.23909E-05
    21    0.13701E+04    0.18129E-01    0.10785E-01    0.13762E+01    0.11765E-06   -0.52420E-03   -0.19675E-05
    22    0.13722E+04    0.19843E-01    0.11733E-01    0.13483E+01    0.11845E-06   -0.53763E-03   -0.14052E-05
    23    0.13756E+04    0.21833E-01    0.12703E-01    0.12922E+01    0.11912E-06   -0.54948E-03   -0.86366E-06
    24    0.13802E+04    0.24119E-01    0.13691E-01    0.12260E+01    0.11968E-06   -0.56024E-03   -0.45611E-06
    25    0.13859E+04    0.26687E-01    0.14694E-01    0.11603E+01    0.12014E-06   -0.56994E-03   -0.16316E-06
    26    0.13924E+04    0.29478E-01    0.15710E-01    0.11043E+01    0.12050E-06   -0.57850E-03    0.46145E-07
    27    0.13997E+04    0.32476E-01    0.16738E-01    0.10610E+01    0.12077E-06   -0.58573E-03    0.11876E-06
    28    0.14076E+04    0.35692E-01    0.17781E-01    0.10321E+01    0.12097E-06   -0.59152E-03   -0.73369E-09
    29    0.14161E+04    0.39120E-01    0.18837E-01    0.10139E+01    0.12109E-06   -0.59596E-03   -0.29486E-06
    30    0.14250E+04    0.42760E-01    0.19904E-01    0.99947E+00    0.12113E-06   -0.59926E-03   -0.70798E-06
    31    0.14343E+04    0.46619E-01    0.20982E-01    0.98132E+00    0.12110E-06   -0.60191E-03   -0.11038E-05
    32    0.14440E+04    0.50693E-01    0.22067E-01    0.95282E+00    0.12101E-06   -0.60427E-03   -0.13542E-05
    33    0.14543E+04    0.54966E-01    0.23161E-01    0.91181E+00    0.12088E-06   -0.60605E-03   -0.14416E-05
    34    0.14649E+04    0.59434E-01    0.24260E-01    0.85778E+00    0.12069E-06   -0.60695E-03   -0.13904E-05
    35    0.14759E+04    0.64096E-01    0.25363E-01    0.78946E+00    0.12046E-06   -0.60711E-03   -0.12828E-05
    36    0.14870E+04    0.68973E-01    0.26468E-01    0.70488E+00    0.12018E-06   -0.60681E-03   -0.11927E-05
    37    0.14983E+04    0.74109E-01    0.27575E-01    0.60422E+00    0.11986E-06   -0.60635E-03   -0.11046E-05
    38    0.15100E+04    0.79550E-01    0.28687E-01    0.49029E+00    0.11951E-06   -0.60592E-03   -0.98993E-06
    39    0.15221E+04    0.85280E-01    0.29802E-01    0.36580E+00    0.11913E-06   -0.60530E-03   -0.85725E-06
    40    0.15343E+04    0.91275E-01    0.30915E-01    0.23316E+00    0.11871E-06   -0.60417E-03   -0.72429E-06
    41    0.15468E+04    0.97522E-01    0.32024E-01    0.94017E-01    0.11826E-06   -0.60230E-03   -0.60594E-06
    42    0.15594E+04    0.10403E+00    0.33126E-01   -0.52508E-01    0.11778E-06   -0.59975E-03   -0.50603E-06
    43    0.15720E+04    0.11083E+00    0.34222E-01   -0.20787E+00    0.11728E-06   -0.59666E-03   -0.42562E-06
    44    0.15847E+04    0.11792E+00    0.35310E-01   -0.37264E+00    0.11676E-06   -0.59318E-03   -0.36577E-06
    45    0.15978E+04    0.12530E+00    0.36389E-01   -0.54731E+00    0.11621E-06   -0.58946E-03   -0.32754E-06
    46    0.16111E+04    0.13300E+00    0.37458E-01   -0.73415E+00    0.11564E-06   -0.58561E-03   -0.31075E-06
    47    0.16245E+04    0.14100E+00    0.38515E-01   -0.93269E+00    0.11506E-06   -0.58168E-03   -0.31016E-06
    48    0.16380E+04    0.14928E+00    0.39559E-01   -0.11391E+01    0.11446E-06   -0.57771E-03   -0.31931E-06
    49    0.16517E+04    0.15780E+00    0.40589E-01   -0.13502E+01    0.11384E-06   -0.57371E-03   -0.33174E-06
    50    0.16658E+04    0.16653E+00    0.41603E-01   -0.15694E+01    0.11322E-06   -0.56973E-03   -0.34102E-06
    51    0.16800E+04    0.17540E+00    0.42599E-01   -0.18017E+01    0.11258E-06   -0.56575E-03   -0.34269E-06
    52    0.16947E+04    0.18453E+00    0.43577E-01   -0.20508E+01    0.11193E-06   -0.56173E-03   -0.34015E-06
    53    0.17094E+04    0.19407E+00    0.44535E-01   -0.23187E+01    0.11127E-06   -0.55757E-03   -0.33876E-06
    54    0.17241E+04    0.20403E+00    0.45473E-01   -0.25993E+01    0.11060E-06   -0.55319E-03   -0.34385E-06
    55    0.17389E+04    0.21440E+00    0.46390E-01   -0.28864E+01    0.10992E-06   -0.54851E-03   -0.36077E-06
    56    0.17540E+04    0.22505E+00    0.47286E-01   -0.31804E+01    0.10924E-06   -0.54349E-03   -0.39253E-06
    57    0.17695E+04    0.23585E+00    0.48159E-01   -0.34820E+01    0.10854E-06   -0.53823E-03   -0.43297E-06
    58    0.17853E+04    0.24682E+00    0.49008E-01   -0.37931E+01    0.10785E-06   -0.53287E-03   -0.47365E-06
    59    0.18013E+04    0.25797E+00    0.49832E-01   -0.41157E+01    0.10714E-06   -0.52755E-03   -0.50615E-06
    60    0.18174E+04    0.26935E+00    0.50631E-01   -0.44504E+01    0.10644E-06   -0.52243E-03   -0.52204E-06
    61    0.18341E+04    0.28104E+00    0.51403E-01   -0.47970E+01    0.10572E-06   -0.51760E-03   -0.51672E-06
    62    0.18506E+04    0.29302E+00    0.52148E-01   -0.51562E+01    0.10501E-06   -0.51297E-03   -0.50074E-06
    63    0.18673E+04    0.30527E+00    0.52865E-01   -0.55280E+01    0.10429E-06   -0.50842E-03   -0.48842E-06
    64    0.18844E+04    0.31779E+00    0.53555E-01   -0.59129E+01    0.10357E-06   -0.50381E-03   -0.49407E-06
    65    0.19016E+04    0.33056E+00    0.54216E-01   -0.63108E+01    0.10285E-06   -0.49902E-03   -0.53197E-06
    66    0.19192E+04    0.34352E+00    0.54848E-01   -0.67191E+01    0.10213E-06   -0.49395E-03   -0.61036E-06
    67    0.19369E+04    0.35666E+00    0.55451E-01   -0.71354E+01    0.10140E-06   -0.48864E-03   -0.71344E-06
    68    0.19552E+04    0.37002E+00    0.56025E-01   -0.75585E+01    0.10068E-06   -0.48314E-03   -0.81943E-06
    69    0.19736E+04    0.38356E+00    0.56568E-01   -0.79873E+01    0.99960E-07   -0.47752E-03   -0.90655E-06
    70    0.19925E+04    0.39732E+00    0.57080E-01   -0.84238E+01    0.99240E-07   -0.47184E-03   -0.95308E-06
    71    0.20115E+04    0.41128E+00    0.57560E-01   -0.88709E+01    0.98522E-07   -0.46616E-03   -0.94376E-06
    72    0.20307E+04    0.42542E+00    0.58010E-01   -0.93300E+01    0.97805E-07   -0.46052E-03   -0.88922E-06
    73    0.20502E+04    0.43970E+00    0.58428E-01   -0.98016E+01    0.97090E-07   -0.45495E-03   -0.80652E-06
    74    0.20699E+04    0.45411E+00    0.58814E-01   -0.10285E+02    0.96376E-07   -0.44948E-03   -0.71271E-06
    75    0.20899E+04    0.46866E+00    0.59170E-01   -0.10777E+02    0.95664E-07   -0.44413E-03   -0.62481E-06
    76    0.21103E+04    0.48335E+00    0.59494E-01   -0.11279E+02    0.94954E-07   -0.43893E-03   -0.55747E-06
    77    0.21311E+04    0.49816E+00    0.59788E-01   -0.11790E+02    0.94245E-07   -0.43385E-03   -0.51591E-06
    78    0.21523E+04    0.51313E+00    0.60050E-01   -0.12310E+02    0.93539E-07   -0.42886E-03   -0.50299E-06
    79    0.21738E+04    0.52819E+00    0.60281E-01   -0.12835E+02    0.92836E-07   -0.42391E-03   -0.52157E-06
    80    0.21956E+04    0.54333E+00    0.60482E-01   -0.13367E+02    0.92135E-07   -0.41896E-03   -0.57452E-06
    81    0.22177E+04    0.55851E+00    0.60651E-01   -0.13905E+02    0.91437E-07   -0.41398E-03   -0.66161E-06
    82    0.22402E+04    0.57375E+00    0.60790E-01   -0.14449E+02    0.90743E-07   -0.40897E-03   -0.77043E-06
    83    0.22628E+04    0.58903E+00    0.60898E-01   -0.15000E+02    0.90053E-07   -0.40394E-03   -0.88548E-06
    84    0.22859E+04    0.60433E+00    0.60975E-01   -0.15555E+02    0.89367E-07   -0.39887E-03   -0.99129E-06
    85    0.23091E+04    0.61964E+00    0.61021E-01   -0.16117E+02    0.88684E-07   -0.39378E-03   -0.10724E-05
    86    0.23326E+04    0.63496E+00    0.61037E-01   -0.16683E+02    0.88006E-07   -0.38868E-03   -0.11174E-05
    87    0.23566E+04    0.65028E+00    0.61022E-01   -0.17255E+02    0.87332E-07   -0.38357E-03   -0.11311E-05
    88    0.23807E+04    0.66559E+00    0.60977E-01   -0.17831E+02    0.86662E-07   -0.37847E-03   -0.11222E-05
    89    0.24052E+04    0.68088E+00    0.60902E-01   -0.18414E+02    0.85997E-07   -0.37342E-03   -0.10995E-05
    90    0.24300E+04    0.69612E+00    0.60797E-01   -0.18999E+02    0.85336E-07   -0.36842E-03   -0.10717E-05
    91    0.24551E+04    0.71129E+00    0.60664E-01   -0.19588E+02    0.84680E-07   -0.36349E-03   -0.10461E-05
    92    0.24805E+04    0.72638E+00    0.60503E-01   -0.20180E+02    0.84029E-07   -0.35864E-03   -0.10240E-05
    93    0.25062E+04    0.74139E+00    0.60314E-01   -0.20776E+02    0.83383E-07   -0.35386E-03   -0.10052E-05
    94    0.25322E+04    0.75627E+00    0.60099E-01   -0.21373E+02    0.82741E-07   -0.34915E-03   -0.98928E-06
