#           k/h    P           
    0.10000E-03    0.48001E+03
    0.10202E-03    0.48931E+03
    0.10408E-03    0.49879E+03
    0.10618E-03    0.50846E+03
    0.10833E-03    0.51831E+03
    0.11052E-03    0.52835E+03
    0.11275E-03    0.53859E+03
    0.11503E-03    0.54902E+03
    0.11735E-03    0.55966E+03
    0.11972E-03    0.57050E+03
    0.12214E-03    0.58155E+03
    0.12461E-03    0.59281E+03
    0.12712E-03    0.60430E+03
    0.12969E-03    0.61600E+03
    0.13231E-03    0.62793E+03
    0.13499E-03    0.64010E+03
    0.13771E-03    0.65249E+03
    0.14049E-03    0.66513E+03
    0.14333E-03    0.67801E+03
    0.14623E-03    0.69114E+03
    0.14918E-03    0.70453E+03
    0.15220E-03    0.71817E+03
    0.15527E-03    0.73207E+03
    0.15841E-03    0.74625E+03
    0.16161E-03    0.76070E+03
    0.16487E-03    0.77543E+03
    0.16820E-03    0.79044E+03
    0.17160E-03    0.80574E+03
    0.17507E-03    0.82134E+03
    0.17860E-03    0.83723E+03
    0.18221E-03    0.85344E+03
    0.18589E-03    0.86996E+03
    0.18965E-03    0.88679E+03
    0.19348E-03    0.90395E+03
    0.19739E-03    0.92144E+03
    0.20138E-03    0.93927E+03
    0.20544E-03    0.95744E+03
    0.20959E-03    0.97597E+03
    0.21383E-03    0.99485E+03
    0.21815E-03    0.10141E+04
    0.22255E-03    0.10337E+04
    0.22705E-03    0.10537E+04
    0.23164E-03    0.10741E+04
    0.23632E-03    0.10948E+04
    0.24109E-03    0.11160E+04
    0.24596E-03    0.11376E+04
    0.25093E-03    0.11596E+04
    0.25600E-03    0.11820E+04
    0.26117E-03    0.12048E+04
    0.26645E-03    0.12281E+04
    0.27183E-03    0.12518E+04
    0.27732E-03    0.12760E+04
    0.28292E-03    0.13006E+04
    0.28864E-03    0.13258E+04
    0.29447E-03    0.13514E+04
    0.30042E-03    0.13774E+04
    0.30649E-03    0.14040E+04
    0.31268E-03    0.14311E+04
    0.31899E-03    0.14587E+04
    0.32544E-03    0.14869E+04
    0.33201E-03    0.15156E+04
    0.33872E-03    0.15448E+04
    0.34556E-03    0.15746E+04
    0.35254E-03    0.16049E+04
    0.35966E-03    0.16359E+04
    0.36693E-03    0.16674E+04
    0.37434E-03    0.16995E+04
    0.38190E-03    0.17322E+04
    0.38962E-03    0.17656E+04
    0.39749E-03    0.17996E+04
    0.40552E-03    0.18342E+04
    0.41371E-03    0.18695E+04
    0.42207E-03    0.19055E+04
    0.43060E-03    0.19421E+04
    0.43929E-03    0.19794E+04
    0.44817E-03    0.20175E+04
    0.45722E-03    0.20562E+04
    0.46646E-03    0.20957E+04
    0.47588E-03    0.21359E+04
    0.48550E-03    0.21769E+04
    0.49530E-03    0.22187E+04
    0.50531E-03    0.22612E+04
    0.51552E-03    0.23046E+04
    0.52593E-03    0.23487E+04
    0.53656E-03    0.23937E+04
    0.54739E-03    0.24396E+04
    0.55845E-03    0.24862E+04
    0.56973E-03    0.25338E+04
    0.58124E-03    0.25822E+04
    0.59299E-03    0.26316E+04
    0.60496E-03    0.26818E+04
    0.61719E-03    0.27330E+04
    0.62965E-03    0.27852E+04
    0.64237E-03    0.28383E+04
    0.65535E-03    0.28924E+04
    0.66859E-03    0.29475E+04
    0.68210E-03    0.30036E+04
    0.69588E-03    0.30607E+04
    0.70993E-03    0.31189E+04
    0.72427E-03    0.31782E+04
    0.73891E-03    0.32385E+04
    0.75383E-03    0.33000E+04
    0.76906E-03    0.33625E+04
    0.78460E-03    0.34262E+04
    0.80045E-03    0.34911E+04
    0.81662E-03    0.35571E+04
    0.83311E-03    0.36244E+04
    0.84994E-03    0.36928E+04
    0.86711E-03    0.37625E+04
    0.88463E-03    0.38335E+04
    0.90250E-03    0.39057E+04
    0.92073E-03    0.39792E+04
    0.93933E-03    0.40540E+04
    0.95831E-03    0.41302E+04
    0.97767E-03    0.42077E+04
    0.99742E-03    0.42866E+04
    0.10176E-02    0.43669E+04
    0.10381E-02    0.44486E+04
    0.10591E-02    0.45317E+04
    0.10805E-02    0.46163E+04
    0.11023E-02    0.47024E+04
    0.11246E-02    0.47900E+04
    0.11473E-02    0.48791E+04
    0.11705E-02    0.49697E+04
    0.11941E-02    0.50619E+04
    0.12182E-02    0.51557E+04
    0.12429E-02    0.52511E+04
    0.12680E-02    0.53481E+04
    0.12936E-02    0.54468E+04
    0.13197E-02    0.55471E+04
    0.13464E-02    0.56492E+04
    0.13736E-02    0.57529E+04
    0.14013E-02    0.58584E+04
    0.14296E-02    0.59656E+04
    0.14585E-02    0.60747E+04
    0.14880E-02    0.61855E+04
    0.15180E-02    0.62981E+04
    0.15487E-02    0.64126E+04
