#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.102076E-04   0.192587E+08   0.192587E+08   0.256649E+08   0.256645E+08   0.192588E+08   0.192587E+08   0.192587E+08   0.192651E+08  -0.466423E+00   0.977092E+07   0.977092E+07   0.583310E+01
   0.112819E-04   0.192587E+08   0.192587E+08   0.256619E+08   0.256615E+08   0.192588E+08   0.192587E+08   0.192587E+08   0.192651E+08  -0.466422E+00   0.977092E+07   0.977092E+07   0.644681E+01
   0.124693E-04   0.192587E+08   0.192587E+08   0.256583E+08   0.256577E+08   0.192588E+08   0.192587E+08   0.192587E+08   0.192651E+08  -0.466422E+00   0.977092E+07   0.977092E+07   0.712504E+01
   0.137816E-04   0.192587E+08   0.192587E+08   0.256539E+08   0.256532E+08   0.192588E+08   0.192587E+08   0.192587E+08   0.192651E+08  -0.466422E+00   0.977092E+07   0.977092E+07   0.787456E+01
   0.152321E-04   0.192587E+08   0.192587E+08   0.256485E+08   0.256476E+08   0.192588E+08   0.192587E+08   0.192587E+08   0.192651E+08  -0.466422E+00   0.977091E+07   0.977091E+07   0.870284E+01
   0.168352E-04   0.192587E+08   0.192587E+08   0.256418E+08   0.256408E+08   0.192588E+08   0.192587E+08   0.192587E+08   0.192651E+08  -0.466421E+00   0.977090E+07   0.977090E+07   0.961812E+01
   0.186070E-04   0.192587E+08   0.192587E+08   0.256338E+08   0.256325E+08   0.192588E+08   0.192587E+08   0.192587E+08   0.192651E+08  -0.466421E+00   0.977090E+07   0.977090E+07   0.106295E+02
   0.205653E-04   0.192587E+08   0.192587E+08   0.256239E+08   0.256223E+08   0.192587E+08   0.192587E+08   0.192587E+08   0.192651E+08  -0.466420E+00   0.977089E+07   0.977089E+07   0.117470E+02
   0.227297E-04   0.192586E+08   0.192586E+08   0.256119E+08   0.256099E+08   0.192587E+08   0.192586E+08   0.192586E+08   0.192650E+08  -0.466420E+00   0.977088E+07   0.977088E+07   0.129817E+02
   0.251219E-04   0.192586E+08   0.192586E+08   0.255972E+08   0.255948E+08   0.192587E+08   0.192586E+08   0.192586E+08   0.192650E+08  -0.466419E+00   0.977086E+07   0.977086E+07   0.143459E+02
   0.277659E-04   0.192586E+08   0.192586E+08   0.255792E+08   0.255763E+08   0.192587E+08   0.192586E+08   0.192586E+08   0.192650E+08  -0.466418E+00   0.977085E+07   0.977085E+07   0.158528E+02
   0.306881E-04   0.192585E+08   0.192585E+08   0.255573E+08   0.255537E+08   0.192586E+08   0.192585E+08   0.192585E+08   0.192649E+08  -0.466417E+00   0.977083E+07   0.977083E+07   0.175173E+02
   0.339179E-04   0.192585E+08   0.192585E+08   0.255305E+08   0.255262E+08   0.192586E+08   0.192585E+08   0.192585E+08   0.192649E+08  -0.466415E+00   0.977080E+07   0.977080E+07   0.193556E+02
   0.374876E-04   0.192584E+08   0.192584E+08   0.254979E+08   0.254926E+08   0.192585E+08   0.192584E+08   0.192584E+08   0.192648E+08  -0.466414E+00   0.977078E+07   0.977077E+07   0.213855E+02
   0.414330E-04   0.192584E+08   0.192584E+08   0.254581E+08   0.254516E+08   0.192585E+08   0.192584E+08   0.192584E+08   0.192647E+08  -0.466412E+00   0.977074E+07   0.977074E+07   0.236265E+02
   0.457936E-04   0.192583E+08   0.192583E+08   0.254095E+08   0.254016E+08   0.192584E+08   0.192583E+08   0.192583E+08   0.192646E+08  -0.466409E+00   0.977070E+07   0.977069E+07   0.261000E+02
   0.506132E-04   0.192582E+08   0.192582E+08   0.253503E+08   0.253406E+08   0.192583E+08   0.192582E+08   0.192582E+08   0.192645E+08  -0.466406E+00   0.977064E+07   0.977064E+07   0.288293E+02
   0.559400E-04   0.192580E+08   0.192580E+08   0.252781E+08   0.252664E+08   0.192581E+08   0.192581E+08   0.192580E+08   0.192644E+08  -0.466402E+00   0.977058E+07   0.977057E+07   0.318397E+02
   0.618274E-04   0.192579E+08   0.192579E+08   0.251903E+08   0.251759E+08   0.192580E+08   0.192579E+08   0.192579E+08   0.192642E+08  -0.466397E+00   0.977050E+07   0.977049E+07   0.351586E+02
   0.683345E-04   0.192577E+08   0.192577E+08   0.250833E+08   0.250658E+08   0.192578E+08   0.192577E+08   0.192577E+08   0.192640E+08  -0.466391E+00   0.977040E+07   0.977039E+07   0.388157E+02
   0.755264E-04   0.192575E+08   0.192574E+08   0.249531E+08   0.249319E+08   0.192576E+08   0.192575E+08   0.192575E+08   0.192637E+08  -0.466384E+00   0.977028E+07   0.977027E+07   0.428426E+02
   0.834752E-04   0.192572E+08   0.192572E+08   0.247950E+08   0.247692E+08   0.192573E+08   0.192572E+08   0.192572E+08   0.192634E+08  -0.466375E+00   0.977014E+07   0.977012E+07   0.472732E+02
   0.922605E-04   0.192568E+08   0.192568E+08   0.246031E+08   0.245718E+08   0.192569E+08   0.192568E+08   0.192568E+08   0.192630E+08  -0.466365E+00   0.976996E+07   0.976994E+07   0.521428E+02
   0.101971E-03   0.192564E+08   0.192564E+08   0.243706E+08   0.243326E+08   0.192565E+08   0.192564E+08   0.192564E+08   0.192625E+08  -0.466352E+00   0.976974E+07   0.976972E+07   0.574884E+02
   0.112702E-03   0.192559E+08   0.192558E+08   0.240892E+08   0.240432E+08   0.192560E+08   0.192559E+08   0.192559E+08   0.192619E+08  -0.466336E+00   0.976948E+07   0.976946E+07   0.633477E+02
   0.124564E-03   0.192553E+08   0.192552E+08   0.237496E+08   0.236941E+08   0.192553E+08   0.192553E+08   0.192553E+08   0.192612E+08  -0.466317E+00   0.976915E+07   0.976913E+07   0.697578E+02
   0.137674E-03   0.192545E+08   0.192544E+08   0.233407E+08   0.232738E+08   0.192546E+08   0.192545E+08   0.192545E+08   0.192603E+08  -0.466294E+00   0.976876E+07   0.976873E+07   0.767548E+02
   0.152163E-03   0.192536E+08   0.192535E+08   0.228500E+08   0.227696E+08   0.192536E+08   0.192536E+08   0.192536E+08   0.192593E+08  -0.466266E+00   0.976828E+07   0.976824E+07   0.843708E+02
   0.168178E-03   0.192525E+08   0.192523E+08   0.222635E+08   0.221673E+08   0.192525E+08   0.192524E+08   0.192524E+08   0.192580E+08  -0.466231E+00   0.976770E+07   0.976765E+07   0.926320E+02
   0.185878E-03   0.192511E+08   0.192509E+08   0.215660E+08   0.214512E+08   0.192511E+08   0.192511E+08   0.192511E+08   0.192564E+08  -0.466189E+00   0.976699E+07   0.976693E+07   0.101555E+03
   0.205440E-03   0.192494E+08   0.192492E+08   0.207412E+08   0.206053E+08   0.192494E+08   0.192494E+08   0.192494E+08   0.192545E+08  -0.466139E+00   0.976612E+07   0.976606E+07   0.111143E+03
   0.227062E-03   0.192474E+08   0.192471E+08   0.197734E+08   0.196134E+08   0.192473E+08   0.192473E+08   0.192473E+08   0.192522E+08  -0.466078E+00   0.976507E+07   0.976499E+07   0.121377E+03
   0.250959E-03   0.192449E+08   0.192445E+08   0.186479E+08   0.184614E+08   0.192448E+08   0.192448E+08   0.192448E+08   0.192495E+08  -0.466004E+00   0.976380E+07   0.976370E+07   0.132216E+03
   0.277372E-03   0.192419E+08   0.192415E+08   0.173540E+08   0.171387E+08   0.192418E+08   0.192418E+08   0.192418E+08   0.192461E+08  -0.465915E+00   0.976225E+07   0.976213E+07   0.143578E+03
   0.306564E-03   0.192383E+08   0.192377E+08   0.158872E+08   0.156419E+08   0.192381E+08   0.192382E+08   0.192382E+08   0.192421E+08  -0.465808E+00   0.976037E+07   0.976023E+07   0.155340E+03
   0.338828E-03   0.192339E+08   0.192332E+08   0.142533E+08   0.139783E+08   0.192337E+08   0.192337E+08   0.192338E+08   0.192373E+08  -0.465681E+00   0.975810E+07   0.975793E+07   0.167324E+03
   0.374488E-03   0.192286E+08   0.192278E+08   0.124728E+08   0.121707E+08   0.192283E+08   0.192284E+08   0.192284E+08   0.192315E+08  -0.465528E+00   0.975536E+07   0.975516E+07   0.179287E+03
   0.413901E-03   0.192222E+08   0.192213E+08   0.105854E+08   0.102618E+08   0.192218E+08   0.192220E+08   0.192220E+08   0.192246E+08  -0.465347E+00   0.975207E+07   0.975183E+07   0.190916E+03
   0.457462E-03   0.192145E+08   0.192134E+08   0.865364E+07   0.831803E+07   0.192140E+08   0.192143E+08   0.192143E+08   0.192164E+08  -0.465133E+00   0.974811E+07   0.974784E+07   0.201827E+03
   0.505608E-03   0.192053E+08   0.192041E+08   0.676367E+07   0.642951E+07   0.192048E+08   0.192051E+08   0.192051E+08   0.192068E+08  -0.464881E+00   0.974338E+07   0.974306E+07   0.211571E+03
   0.558821E-03   0.191944E+08   0.191929E+08   0.501970E+07   0.470412E+07   0.191937E+08   0.191941E+08   0.191941E+08   0.191953E+08  -0.464586E+00   0.973774E+07   0.973737E+07   0.219659E+03
   0.617635E-03   0.191814E+08   0.191796E+08   0.353039E+07   0.325233E+07   0.191805E+08   0.191811E+08   0.191811E+08   0.191819E+08  -0.464242E+00   0.973104E+07   0.973062E+07   0.225599E+03
   0.682638E-03   0.191660E+08   0.191640E+08   0.238478E+07   0.216163E+07   0.191649E+08   0.191656E+08   0.191657E+08   0.191662E+08  -0.463843E+00   0.972312E+07   0.972265E+07   0.228949E+03
   0.754482E-03   0.191479E+08   0.191456E+08   0.162127E+07   0.146394E+07   0.191465E+08   0.191474E+08   0.191475E+08   0.191478E+08  -0.463381E+00   0.971380E+07   0.971328E+07   0.229382E+03
   0.833888E-03   0.191266E+08   0.191240E+08   0.120052E+07   0.110842E+07   0.191249E+08   0.191261E+08   0.191262E+08   0.191264E+08  -0.462847E+00   0.970289E+07   0.970232E+07   0.226739E+03
   0.921651E-03   0.191018E+08   0.190989E+08   0.100238E+07   0.960758E+06   0.190997E+08   0.191012E+08   0.191013E+08   0.191014E+08  -0.462230E+00   0.969017E+07   0.968956E+07   0.221058E+03
   0.101865E-02   0.190728E+08   0.190697E+08   0.866843E+06   0.849781E+06   0.190702E+08   0.190722E+08   0.190723E+08   0.190724E+08  -0.461517E+00   0.967539E+07   0.967474E+07   0.212556E+03
   0.112586E-02   0.190392E+08   0.190358E+08   0.677597E+06   0.658065E+06   0.190360E+08   0.190385E+08   0.190387E+08   0.190386E+08  -0.460693E+00   0.965828E+07   0.965760E+07   0.201565E+03
   0.124435E-02   0.190004E+08   0.189967E+08   0.438350E+06   0.401181E+06   0.189964E+08   0.189995E+08   0.189997E+08   0.189996E+08  -0.459741E+00   0.963853E+07   0.963782E+07   0.188474E+03
   0.137531E-02   0.189555E+08   0.189516E+08   0.255006E+06   0.203163E+06   0.189506E+08   0.189545E+08   0.189548E+08   0.189546E+08  -0.458643E+00   0.961575E+07   0.961504E+07   0.173742E+03
   0.152006E-02   0.189038E+08   0.188999E+08   0.196192E+06   0.142946E+06   0.188979E+08   0.189028E+08   0.189031E+08   0.189028E+08  -0.457381E+00   0.958956E+07   0.958884E+07   0.157967E+03
   0.168004E-02   0.188444E+08   0.188405E+08   0.181892E+06  -0.190906E+06   0.188372E+08   0.188433E+08   0.188438E+08   0.188433E+08  -0.455932E+00   0.955954E+07   0.955882E+07   0.141928E+03
   0.185685E-02   0.187764E+08   0.187725E+08   0.106466E+06  -0.155724E+06   0.187676E+08   0.187752E+08   0.187758E+08   0.187752E+08  -0.454274E+00   0.952514E+07   0.952444E+07   0.126468E+03
   0.205228E-02   0.186988E+08   0.186948E+08   0.353488E+05  -0.126962E+06   0.186880E+08   0.186974E+08   0.186981E+08   0.186974E+08  -0.452379E+00   0.948586E+07   0.948517E+07   0.112284E+03
   0.226827E-02   0.186102E+08   0.186062E+08   0.450959E+05  -0.103455E+06   0.185971E+08   0.186087E+08   0.186095E+08   0.186087E+08  -0.450219E+00   0.944110E+07   0.944043E+07   0.998571E+02
   0.250700E-02   0.185095E+08   0.185054E+08   0.301646E+05  -0.842463E+05   0.184936E+08   0.185078E+08   0.185088E+08   0.185078E+08  -0.447763E+00   0.939022E+07   0.938955E+07   0.894081E+02
   0.277085E-02   0.183953E+08   0.183911E+08   0.426166E+04  -0.685550E+05   0.183759E+08   0.183933E+08   0.183946E+08   0.183933E+08  -0.444975E+00   0.933253E+07   0.933186E+07   0.807371E+02
   0.306246E-02   0.182661E+08   0.182616E+08   0.112881E+05  -0.557415E+05   0.182426E+08   0.182638E+08   0.182653E+08   0.182638E+08  -0.441821E+00   0.926726E+07   0.926659E+07   0.733047E+02
   0.338478E-02   0.181203E+08   0.181156E+08  -0.668764E+04  -0.452817E+05   0.180919E+08   0.181176E+08   0.181195E+08   0.181176E+08  -0.438260E+00   0.919363E+07   0.919296E+07   0.665183E+02
   0.374101E-02   0.179562E+08   0.179512E+08  -0.504467E+04  -0.367474E+05   0.179219E+08   0.179530E+08   0.179554E+08   0.179530E+08  -0.434252E+00   0.911077E+07   0.911010E+07   0.600030E+02
   0.413473E-02   0.177720E+08   0.177667E+08  -0.677104E+04  -0.297874E+05   0.177307E+08   0.177683E+08   0.177711E+08   0.177683E+08  -0.429752E+00   0.901777E+07   0.901710E+07   0.538191E+02
   0.456989E-02   0.175658E+08   0.175602E+08  -0.628123E+04  -0.241147E+05   0.175162E+08   0.175615E+08   0.175649E+08   0.175615E+08  -0.424713E+00   0.891362E+07   0.891296E+07   0.482597E+02
   0.505085E-02   0.173356E+08   0.173295E+08  -0.286756E+04  -0.194940E+05   0.172761E+08   0.173305E+08   0.173346E+08   0.173305E+08  -0.419084E+00   0.879729E+07   0.879663E+07   0.434530E+02
   0.558243E-02   0.170791E+08   0.170724E+08  -0.321596E+04  -0.157330E+05   0.170082E+08   0.170732E+08   0.170780E+08   0.170732E+08  -0.412815E+00   0.866766E+07   0.866700E+07   0.391904E+02
   0.616996E-02   0.167943E+08   0.167869E+08  -0.321564E+04  -0.126742E+05   0.167099E+08   0.167873E+08   0.167931E+08   0.167873E+08  -0.405852E+00   0.852358E+07   0.852292E+07   0.352334E+02
   0.681932E-02   0.164788E+08   0.164705E+08  -0.386135E+04  -0.101887E+05   0.163790E+08   0.164706E+08   0.164774E+08   0.164706E+08  -0.398141E+00   0.836385E+07   0.836320E+07   0.316365E+02
   0.753702E-02   0.161303E+08   0.161210E+08  -0.373580E+04  -0.817121E+04   0.160129E+08   0.161207E+08   0.161287E+08   0.161207E+08  -0.389628E+00   0.818725E+07   0.818660E+07   0.284807E+02
   0.833025E-02   0.157466E+08   0.157361E+08  -0.202501E+04  -0.653551E+04   0.156094E+08   0.157354E+08   0.157448E+08   0.157354E+08  -0.380261E+00   0.799258E+07   0.799194E+07   0.256357E+02
   0.920698E-02   0.153255E+08   0.153137E+08  -0.381490E+04  -0.521122E+04   0.151663E+08   0.153126E+08   0.153235E+08   0.153126E+08  -0.369990E+00   0.777869E+07   0.777805E+07   0.230704E+02
   0.101760E-01   0.148652E+08   0.148517E+08  -0.229469E+04  -0.414086E+04   0.146818E+08   0.148504E+08   0.148629E+08   0.148504E+08  -0.358774E+00   0.754459E+07   0.754396E+07   0.207990E+02
   0.112469E-01   0.143641E+08   0.143486E+08  -0.223414E+04  -0.327748E+04   0.141546E+08   0.143472E+08   0.143615E+08   0.143472E+08  -0.346576E+00   0.728947E+07   0.728884E+07   0.187596E+02
   0.124306E-01   0.138212E+08   0.138035E+08  -0.196364E+04  -0.258278E+04   0.135840E+08   0.138020E+08   0.138182E+08   0.138020E+08  -0.333374E+00   0.701285E+07   0.701222E+07   0.169493E+02
   0.137389E-01   0.132361E+08   0.132158E+08  -0.161205E+04  -0.202546E+04   0.129698E+08   0.132145E+08   0.132327E+08   0.132145E+08  -0.319160E+00   0.671459E+07   0.671396E+07   0.153330E+02
   0.151849E-01   0.126093E+08   0.125861E+08  -0.101027E+04  -0.157990E+04   0.123132E+08   0.125852E+08   0.126054E+08   0.125852E+08  -0.303946E+00   0.639506E+07   0.639443E+07   0.138928E+02
   0.167830E-01   0.119545E+08   0.119280E+08  -0.992001E+03  -0.122638E+04   0.116278E+08   0.119278E+08   0.119500E+08   0.119278E+08  -0.288056E+00   0.606124E+07   0.606061E+07   0.126117E+02
   0.185493E-01   0.112524E+08   0.112224E+08  -0.727748E+03  -0.945148E+03   0.108958E+08   0.112231E+08   0.112474E+08   0.112231E+08  -0.271029E+00   0.570350E+07   0.570286E+07   0.114481E+02
   0.205016E-01   0.105181E+08   0.104844E+08  -0.433934E+03  -0.723388E+03   0.101328E+08   0.104862E+08   0.105124E+08   0.104862E+08  -0.253227E+00   0.532945E+07   0.532881E+07   0.103855E+02
   0.226592E-01   0.975012E+07   0.971263E+07  -0.389293E+03  -0.549081E+03   0.933879E+07   0.971581E+07   0.974382E+07   0.971581E+07  -0.234618E+00   0.493835E+07   0.493771E+07   0.939441E+01
   0.250440E-01   0.897400E+07   0.893298E+07  -0.294025E+03  -0.413817E+03   0.853961E+07   0.893755E+07   0.896711E+07   0.893755E+07  -0.215819E+00   0.454319E+07   0.454256E+07   0.845767E+01
   0.276798E-01   0.820028E+07   0.815626E+07  -0.185874E+03  -0.309637E+03   0.774629E+07   0.816201E+07   0.819289E+07   0.816201E+07  -0.197089E+00   0.414940E+07   0.414877E+07   0.754857E+01
   0.305930E-01   0.743530E+07   0.738921E+07  -0.213684E+03  -0.229907E+03   0.696553E+07   0.739561E+07   0.742756E+07   0.739561E+07  -0.178581E+00   0.376025E+07   0.375964E+07   0.664442E+01
   0.338127E-01   0.669894E+07   0.665218E+07  -0.143467E+03  -0.169641E+03   0.621689E+07   0.665829E+07   0.669109E+07   0.665829E+07  -0.160775E+00   0.338587E+07   0.338529E+07   0.573276E+01
   0.373714E-01   0.601449E+07   0.596888E+07  -0.931556E+02  -0.124749E+03   0.552287E+07   0.597336E+07   0.600683E+07   0.597336E+07  -0.144235E+00   0.303806E+07   0.303752E+07   0.481350E+01
   0.413045E-01   0.540371E+07   0.536136E+07  -0.659747E+02  -0.918116E+02   0.490219E+07   0.536241E+07   0.539660E+07   0.536241E+07  -0.129482E+00   0.272784E+07   0.272736E+07   0.390194E+01
   0.454350E-01   0.489057E+07   0.485326E+07   0.674395E+02  -0.687288E+02   0.438142E+07   0.484953E+07   0.488431E+07   0.484953E+07  -0.117097E+00   0.246744E+07   0.246702E+07   0.306520E+01
   0.495654E-01   0.449112E+07   0.445971E+07   0.519419E+02  -0.530830E+02   0.397321E+07   0.445039E+07   0.448584E+07   0.445039E+07  -0.107459E+00   0.226482E+07   0.226447E+07   0.236559E+01
   0.536959E-01   0.417198E+07   0.414647E+07   0.410376E+02  -0.420577E+02   0.364439E+07   0.413150E+07   0.416770E+07   0.413150E+07  -0.997589E-01   0.210298E+07   0.210269E+07   0.180846E+01
   0.578264E-01   0.390483E+07   0.388453E+07   0.330574E+02  -0.339763E+02   0.336787E+07   0.386452E+07   0.390142E+07   0.386452E+07  -0.933121E-01   0.196750E+07   0.196726E+07   0.139036E+01
   0.619568E-01   0.367005E+07   0.365375E+07   0.270142E+02  -0.278457E+02   0.312520E+07   0.362982E+07   0.366732E+07   0.362982E+07  -0.876450E-01   0.184840E+07   0.184820E+07   0.109926E+01
   0.660873E-01   0.345020E+07   0.343646E+07   0.222770E+02  -0.230302E+02   0.290051E+07   0.341003E+07   0.344789E+07   0.341003E+07  -0.823378E-01   0.173686E+07   0.173668E+07   0.914429E+00
   0.702177E-01   0.323492E+07   0.322233E+07   0.184641E+02  -0.191457E+02   0.268457E+07   0.319489E+07   0.323280E+07   0.319489E+07  -0.771429E-01   0.162763E+07   0.162746E+07   0.810767E+00
   0.743482E-01   0.302367E+07   0.301105E+07   0.153615E+02  -0.159766E+02   0.247693E+07   0.298388E+07   0.302155E+07   0.298388E+07  -0.720479E-01   0.152047E+07   0.152030E+07   0.762383E+00
   0.784786E-01   0.281303E+07   0.279960E+07   0.127988E+02  -0.133516E+02   0.227464E+07   0.277370E+07   0.281078E+07   0.277370E+07  -0.669728E-01   0.141368E+07   0.141350E+07   0.743606E+00
   0.826091E-01   0.261108E+07   0.259649E+07   0.106981E+02  -0.111940E+02   0.208410E+07   0.257235E+07   0.260863E+07   0.257235E+07  -0.621111E-01   0.131135E+07   0.131116E+07   0.734492E+00
   0.867395E-01   0.242337E+07   0.240771E+07   0.898609E+01  -0.943107E+01   0.190937E+07   0.238538E+07   0.242074E+07   0.238538E+07  -0.575964E-01   0.121630E+07   0.121611E+07   0.720185E+00
   0.918936E-01   0.221592E+07   0.219950E+07   0.730128E+01  -0.769147E+01   0.171805E+07   0.217892E+07   0.221316E+07   0.217892E+07  -0.526113E-01   0.111133E+07   0.111114E+07   0.682510E+00
   0.970477E-01   0.204358E+07   0.202739E+07   0.602179E+01  -0.636685E+01   0.155939E+07   0.200757E+07   0.204086E+07   0.200757E+07  -0.484739E-01   0.102420E+07   0.102402E+07   0.619519E+00
   0.102202E+00   0.190790E+07   0.189291E+07   0.505708E+01  -0.536606E+01   0.143314E+07   0.187273E+07   0.190539E+07   0.187273E+07  -0.452181E-01   0.955666E+06   0.955502E+06   0.537562E+00
   0.107356E+00   0.180396E+07   0.179087E+07   0.432370E+01  -0.460398E+01   0.133416E+07   0.176942E+07   0.180176E+07   0.176942E+07  -0.427237E-01   0.903183E+06   0.903038E+06   0.448496E+00
   0.112510E+00   0.172159E+07   0.171066E+07   0.374879E+01  -0.400559E+01   0.125379E+07   0.168753E+07   0.171975E+07   0.168753E+07  -0.407463E-01   0.861603E+06   0.861480E+06   0.364910E+00
   0.117664E+00   0.164964E+07   0.164069E+07   0.327735E+01  -0.351381E+01   0.118317E+07   0.161598E+07   0.164814E+07   0.161598E+07  -0.390188E-01   0.825282E+06   0.825178E+06   0.296608E+00
   0.122818E+00   0.157941E+07   0.157191E+07   0.287381E+01  -0.309161E+01   0.111569E+07   0.154617E+07   0.157815E+07   0.154617E+07  -0.373331E-01   0.789828E+06   0.789736E+06   0.248650E+00
   0.127972E+00   0.150585E+07   0.149912E+07   0.251813E+01  -0.271815E+01   0.104770E+07   0.147312E+07   0.150472E+07   0.147312E+07  -0.355692E-01   0.752696E+06   0.752612E+06   0.220977E+00
   0.133126E+00   0.142756E+07   0.142093E+07   0.220093E+01  -0.238376E+01   0.978289E+06   0.139545E+07   0.142644E+07   0.139545E+07  -0.336939E-01   0.713190E+06   0.713106E+06   0.209401E+00
   0.138280E+00   0.134617E+07   0.133919E+07   0.191915E+01  -0.208555E+01   0.908687E+06   0.131482E+07   0.134499E+07   0.131482E+07  -0.317470E-01   0.672146E+06   0.672060E+06   0.207450E+00
   0.143435E+00   0.126528E+07   0.125777E+07   0.167262E+01  -0.182369E+01   0.841347E+06   0.123479E+07   0.126402E+07   0.123479E+07  -0.298146E-01   0.631386E+06   0.631297E+06   0.208375E+00
   0.148589E+00   0.118926E+07   0.118128E+07   0.146158E+01  -0.159882E+01   0.779082E+06   0.115965E+07   0.118792E+07   0.115965E+07  -0.280003E-01   0.593106E+06   0.593014E+06   0.206801E+00
   0.153743E+00   0.112209E+07   0.111392E+07   0.128525E+01  -0.141045E+01   0.724292E+06   0.109330E+07   0.112072E+07   0.109330E+07  -0.263984E-01   0.559305E+06   0.559213E+06   0.199678E+00
   0.158897E+00   0.106609E+07   0.105808E+07   0.114076E+01  -0.125581E+01   0.678154E+06   0.103801E+07   0.106474E+07   0.103801E+07  -0.250632E-01   0.531140E+06   0.531051E+06   0.186433E+00
   0.164051E+00   0.102101E+07   0.101352E+07   0.102291E+01  -0.112954E+01   0.640165E+06   0.993505E+06   0.101976E+07   0.993505E+06  -0.239887E-01   0.508484E+06   0.508401E+06   0.168495E+00
   0.169205E+00   0.984527E+06   0.977766E+06   0.925421E+00  -0.102496E+01   0.608527E+06   0.957467E+06   0.983392E+06   0.957467E+06  -0.231185E-01   0.490148E+06   0.490073E+06   0.148469E+00
   0.174359E+00   0.953461E+06   0.947505E+06   0.842468E+00  -0.935835E+00   0.581035E+06   0.926774E+06   0.952461E+06   0.926774E+06  -0.223774E-01   0.474540E+06   0.474472E+06   0.129216E+00
   0.179513E+00   0.924752E+06   0.919517E+06   0.769454E+00  -0.857221E+00   0.555664E+06   0.898409E+06   0.923873E+06   0.898409E+06  -0.216925E-01   0.460116E+06   0.460055E+06   0.113060E+00
   0.184667E+00   0.895747E+06   0.891037E+06   0.702998E+00  -0.785467E+00   0.530721E+06   0.869767E+06   0.894956E+06   0.869767E+06  -0.210009E-01   0.445542E+06   0.445486E+06   0.101277E+00
   0.189821E+00   0.864666E+06   0.860237E+06   0.641058E+00  -0.718318E+00   0.505209E+06   0.839115E+06   0.863922E+06   0.839115E+06  -0.202608E-01   0.429932E+06   0.429878E+06   0.939766E-01
   0.194975E+00   0.831186E+06   0.826812E+06   0.582980E+00  -0.655103E+00   0.478943E+06   0.806142E+06   0.830452E+06   0.806142E+06  -0.194647E-01   0.413125E+06   0.413072E+06   0.903115E-01
   0.200130E+00   0.796373E+06   0.791898E+06   0.529147E+00  -0.596292E+00   0.452576E+06   0.771898E+06   0.795621E+06   0.771898E+06  -0.186378E-01   0.395657E+06   0.395604E+06   0.888715E-01
