#    L    TT             EE             BB             TE          
     2    0.17124E+07    0.10757E+01    0.11128E-05    0.13304E+04
     3    0.76349E+06    0.46406E+00    0.22267E-05    0.54768E+03
     4    0.38300E+06    0.28983E+00    0.37135E-05    0.28212E+03
     5    0.20842E+06    0.20067E+00    0.55747E-05    0.16246E+03
     6    0.12049E+06    0.13920E+00    0.78118E-05    0.10022E+03
     7    0.73105E+05    0.94812E-01    0.10427E-04    0.65246E+02
     8    0.46159E+05    0.64709E-01    0.13422E-04    0.44217E+02
     9    0.30163E+05    0.46229E-01    0.16801E-04    0.30899E+02
    10    0.20326E+05    0.35605E-01    0.20564E-04    0.22111E+02
    11    0.14095E+05    0.29067E-01    0.24717E-04    0.16114E+02
    12    0.10021E+05    0.24033E-01    0.29261E-04    0.11898E+02
    13    0.73482E+04    0.19384E-01    0.34200E-04    0.89370E+01
    14    0.55197E+04    0.15167E-01    0.39537E-04    0.68275E+01
    15    0.42570E+04    0.11718E-01    0.45276E-04    0.53363E+01
    16    0.33705E+04    0.93185E-02    0.51420E-04    0.42863E+01
    17    0.27458E+04    0.79665E-02    0.57972E-04    0.35536E+01
    18    0.22951E+04    0.73824E-02    0.64937E-04    0.30406E+01
    19    0.19695E+04    0.73104E-02    0.72317E-04    0.26941E+01
    20    0.17302E+04    0.75793E-02    0.80115E-04    0.24690E+01
    21    0.15546E+04    0.80648E-02    0.88334E-04    0.23226E+01
    22    0.14248E+04    0.87549E-02    0.96978E-04    0.22174E+01
    23    0.13292E+04    0.96797E-02    0.10605E-03    0.21393E+01
    24    0.12586E+04    0.10836E-01    0.11555E-03    0.20812E+01
    25    0.12070E+04    0.12217E-01    0.12548E-03    0.20416E+01
    26    0.11696E+04    0.13782E-01    0.13585E-03    0.20204E+01
    27    0.11435E+04    0.15522E-01    0.14664E-03    0.20098E+01
    28    0.11260E+04    0.17459E-01    0.15788E-03    0.20031E+01
    29    0.11152E+04    0.19588E-01    0.16955E-03    0.19982E+01
    30    0.11096E+04    0.21914E-01    0.18166E-03    0.19936E+01
    31    0.11081E+04    0.24463E-01    0.19421E-03    0.19899E+01
    32    0.11099E+04    0.27250E-01    0.20719E-03    0.19875E+01
    33    0.11146E+04    0.30265E-01    0.22061E-03    0.19843E+01
    34    0.11215E+04    0.33505E-01    0.23446E-03    0.19777E+01
    35    0.11302E+04    0.36949E-01    0.24875E-03    0.19628E+01
    36    0.11403E+04    0.40594E-01    0.26347E-03    0.19348E+01
    37    0.11515E+04    0.44476E-01    0.27862E-03    0.18940E+01
    38    0.11640E+04    0.48633E-01    0.29419E-03    0.18440E+01
    39    0.11776E+04    0.53055E-01    0.31020E-03    0.17859E+01
    40    0.11919E+04    0.57722E-01    0.32662E-03    0.17201E+01
    41    0.12069E+04    0.62627E-01    0.34346E-03    0.16466E+01
    42    0.12223E+04    0.67784E-01    0.36072E-03    0.15641E+01
    43    0.12383E+04    0.73217E-01    0.37839E-03    0.14712E+01
    44    0.12545E+04    0.78931E-01    0.39647E-03    0.13670E+01
    45    0.12713E+04    0.84943E-01    0.41495E-03    0.12512E+01
    46    0.12886E+04    0.91268E-01    0.43384E-03    0.11213E+01
    47    0.13062E+04    0.97889E-01    0.45312E-03    0.97798E+00
    48    0.13240E+04    0.10479E+00    0.47280E-03    0.82503E+00
    49    0.13421E+04    0.11194E+00    0.49287E-03    0.66579E+00
    50    0.13606E+04    0.11929E+00    0.51332E-03    0.49677E+00
    51    0.13794E+04    0.12679E+00    0.53416E-03    0.31325E+00
    52    0.13987E+04    0.13455E+00    0.55538E-03    0.11114E+00
    53    0.14180E+04    0.14273E+00    0.57698E-03   -0.11164E+00
    54    0.14373E+04    0.15133E+00    0.59895E-03   -0.34920E+00
    55    0.14567E+04    0.16035E+00    0.62130E-03   -0.59553E+00
    56    0.14766E+04    0.16967E+00    0.64402E-03   -0.85119E+00
    57    0.14967E+04    0.17915E+00    0.66711E-03   -0.11166E+01
    58    0.15172E+04    0.18881E+00    0.69056E-03   -0.13935E+01
    59    0.15378E+04    0.19867E+00    0.71439E-03   -0.16834E+01
    60    0.15585E+04    0.20876E+00    0.73858E-03   -0.19867E+01
    61    0.15797E+04    0.21919E+00    0.76314E-03   -0.23032E+01
    62    0.16008E+04    0.22993E+00    0.78807E-03   -0.26338E+01
    63    0.16220E+04    0.24094E+00    0.81337E-03   -0.29790E+01
