#    L    TT             EE             BB             TE          
     2    0.17129E+07    0.10911E+01    0.24386E-01    0.13307E+04
     3    0.76388E+06    0.48393E+00    0.28243E-01    0.54729E+03
     4    0.38337E+06    0.31106E+00    0.27852E-01    0.28149E+03
     5    0.20878E+06    0.22031E+00    0.24585E-01    0.16179E+03
     6    0.12084E+06    0.15547E+00    0.19979E-01    0.99594E+02
     7    0.73452E+05    0.10721E+00    0.15276E-01    0.64698E+02
     8    0.46507E+05    0.73656E-01    0.11243E-01    0.43748E+02
     9    0.30511E+05    0.52625E-01    0.82090E-02    0.30498E+02
    10    0.20675E+05    0.40455E-01    0.62001E-02    0.21764E+02
    11    0.14446E+05    0.33241E-01    0.50836E-02    0.15803E+02
    12    0.10372E+05    0.28163E-01    0.46666E-02    0.11610E+02
    13    0.77000E+04    0.23887E-01    0.47524E-02    0.86570E+01
    14    0.58722E+04    0.20273E-01    0.51620E-02    0.65450E+01
    15    0.46104E+04    0.17556E-01    0.57801E-02    0.50421E+01
    16    0.37252E+04    0.15949E-01    0.65181E-02    0.39730E+01
    17    0.31016E+04    0.15429E-01    0.73295E-02    0.32150E+01
    18    0.26516E+04    0.15712E-01    0.81833E-02    0.26717E+01
    19    0.23263E+04    0.16541E-01    0.90682E-02    0.22910E+01
    20    0.20870E+04    0.17748E-01    0.99788E-02    0.20290E+01
    21    0.19110E+04    0.19208E-01    0.10913E-01    0.18428E+01
    22    0.17807E+04    0.20907E-01    0.11868E-01    0.16946E+01
    23    0.16842E+04    0.22869E-01    0.12843E-01    0.15707E+01
    24    0.16126E+04    0.25084E-01    0.13837E-01    0.14646E+01
    25    0.15599E+04    0.27546E-01    0.14845E-01    0.13751E+01
    26    0.15212E+04    0.30213E-01    0.15866E-01    0.13022E+01
    27    0.14935E+04    0.33073E-01    0.16901E-01    0.12389E+01
    28    0.14743E+04    0.36143E-01    0.17950E-01    0.11787E+01
    29    0.14617E+04    0.39429E-01    0.19013E-01    0.11191E+01
    30    0.14542E+04    0.42947E-01    0.20088E-01    0.10580E+01
    31    0.14505E+04    0.46721E-01    0.21175E-01    0.99634E+00
    32    0.14501E+04    0.50757E-01    0.22272E-01    0.93535E+00
    33    0.14524E+04    0.55035E-01    0.23377E-01    0.87309E+00
    34    0.14567E+04    0.59539E-01    0.24489E-01    0.80710E+00
    35    0.14628E+04    0.64257E-01    0.25606E-01    0.73271E+00
    36    0.14701E+04    0.69194E-01    0.26725E-01    0.64505E+00
    37    0.14785E+04    0.74387E-01    0.27847E-01    0.54477E+00
    38    0.14881E+04    0.79876E-01    0.28976E-01    0.43549E+00
    39    0.14986E+04    0.85645E-01    0.30107E-01    0.31850E+00
    40    0.15097E+04    0.91672E-01    0.31237E-01    0.19429E+00
    41    0.15214E+04    0.97943E-01    0.32363E-01    0.62867E-01
    42    0.15335E+04    0.10447E+00    0.33483E-01   -0.76937E-01
    43    0.15460E+04    0.11128E+00    0.34598E-01   -0.22656E+00
    44    0.15587E+04    0.11838E+00    0.35704E-01   -0.38653E+00
    45    0.15720E+04    0.12578E+00    0.36802E-01   -0.55734E+00
    46    0.15856E+04    0.13350E+00    0.37890E-01   -0.74119E+00
    47    0.15995E+04    0.14151E+00    0.38968E-01   -0.93745E+00
    48    0.16135E+04    0.14981E+00    0.40032E-01   -0.11421E+01
    49    0.16277E+04    0.15836E+00    0.41083E-01   -0.13518E+01
    50    0.16423E+04    0.16710E+00    0.42117E-01   -0.15698E+01
    51    0.16571E+04    0.17599E+00    0.43134E-01   -0.18007E+01
    52    0.16723E+04    0.18514E+00    0.44133E-01   -0.20487E+01
    53    0.16875E+04    0.19469E+00    0.45113E-01   -0.23158E+01
    54    0.17027E+04    0.20467E+00    0.46073E-01   -0.25960E+01
    55    0.17180E+04    0.21505E+00    0.47012E-01   -0.28833E+01
    56    0.17336E+04    0.22571E+00    0.47930E-01   -0.31783E+01
    57    0.17495E+04    0.23654E+00    0.48826E-01   -0.34812E+01
    58    0.17657E+04    0.24752E+00    0.49699E-01   -0.37938E+01
    59    0.17820E+04    0.25869E+00    0.50547E-01   -0.41175E+01
    60    0.17985E+04    0.27008E+00    0.51369E-01   -0.44525E+01
    61    0.18154E+04    0.28179E+00    0.52166E-01   -0.47988E+01
    62    0.18321E+04    0.29379E+00    0.52936E-01   -0.51570E+01
    63    0.18489E+04    0.30606E+00    0.53678E-01   -0.55279E+01
