#           k/h    P           
    0.10000E-03    0.44644E+05
    0.10202E-03    0.45508E+05
    0.10408E-03    0.46388E+05
    0.10618E-03    0.47286E+05
    0.10833E-03    0.48201E+05
    0.11052E-03    0.49133E+05
    0.11275E-03    0.50084E+05
    0.11503E-03    0.51052E+05
    0.11735E-03    0.52040E+05
    0.11972E-03    0.53046E+05
    0.12214E-03    0.54072E+05
    0.12461E-03    0.55117E+05
    0.12712E-03    0.56183E+05
    0.12969E-03    0.57269E+05
    0.13231E-03    0.58375E+05
    0.13499E-03    0.59504E+05
    0.13771E-03    0.60653E+05
    0.14049E-03    0.61825E+05
    0.14333E-03    0.63019E+05
    0.14623E-03    0.64237E+05
    0.14918E-03    0.65477E+05
    0.15220E-03    0.66741E+05
    0.15527E-03    0.68030E+05
    0.15841E-03    0.69343E+05
    0.16161E-03    0.70681E+05
    0.16487E-03    0.72045E+05
    0.16820E-03    0.73435E+05
    0.17160E-03    0.74851E+05
    0.17507E-03    0.76295E+05
    0.17860E-03    0.77766E+05
    0.18221E-03    0.79265E+05
    0.18589E-03    0.80792E+05
    0.18965E-03    0.82349E+05
    0.19348E-03    0.83935E+05
    0.19739E-03    0.85551E+05
    0.20138E-03    0.87198E+05
    0.20544E-03    0.88876E+05
    0.20959E-03    0.90586E+05
    0.21383E-03    0.92328E+05
    0.21815E-03    0.94103E+05
    0.22255E-03    0.95912E+05
    0.22705E-03    0.97755E+05
    0.23164E-03    0.99633E+05
    0.23632E-03    0.10155E+06
    0.24109E-03    0.10349E+06
    0.24596E-03    0.10548E+06
    0.25093E-03    0.10750E+06
    0.25600E-03    0.10956E+06
    0.26117E-03    0.11166E+06
    0.26645E-03    0.11380E+06
    0.27183E-03    0.11598E+06
    0.27732E-03    0.11820E+06
    0.28292E-03    0.12046E+06
    0.28864E-03    0.12276E+06
    0.29447E-03    0.12510E+06
    0.30042E-03    0.12749E+06
    0.30649E-03    0.12992E+06
    0.31268E-03    0.13240E+06
    0.31899E-03    0.13492E+06
    0.32544E-03    0.13749E+06
    0.33201E-03    0.14010E+06
    0.33872E-03    0.14277E+06
    0.34556E-03    0.14548E+06
    0.35254E-03    0.14824E+06
    0.35966E-03    0.15105E+06
    0.36693E-03    0.15391E+06
    0.37434E-03    0.15682E+06
    0.38190E-03    0.15978E+06
    0.38962E-03    0.16280E+06
    0.39749E-03    0.16587E+06
    0.40552E-03    0.16899E+06
    0.41371E-03    0.17217E+06
    0.42207E-03    0.17541E+06
    0.43060E-03    0.17870E+06
    0.43929E-03    0.18205E+06
    0.44817E-03    0.18546E+06
    0.45722E-03    0.18892E+06
    0.46646E-03    0.19245E+06
    0.47588E-03    0.19604E+06
    0.48550E-03    0.19968E+06
    0.49530E-03    0.20339E+06
    0.50531E-03    0.20716E+06
    0.51552E-03    0.21099E+06
    0.52593E-03    0.21489E+06
    0.53656E-03    0.21885E+06
    0.54739E-03    0.22287E+06
    0.55845E-03    0.22696E+06
    0.56973E-03    0.23111E+06
    0.58124E-03    0.23533E+06
    0.59299E-03    0.23962E+06
    0.60496E-03    0.24397E+06
    0.61719E-03    0.24839E+06
    0.62965E-03    0.25288E+06
    0.64237E-03    0.25743E+06
    0.65535E-03    0.26205E+06
    0.66859E-03    0.26674E+06
    0.68210E-03    0.27149E+06
    0.69588E-03    0.27632E+06
    0.70993E-03    0.28121E+06
    0.72427E-03    0.28617E+06
    0.73891E-03    0.29119E+06
    0.75383E-03    0.29628E+06
    0.76906E-03    0.30144E+06
    0.78460E-03    0.30666E+06
    0.80045E-03    0.31195E+06
    0.81662E-03    0.31730E+06
    0.83311E-03    0.32271E+06
    0.84994E-03    0.32819E+06
    0.86711E-03    0.33372E+06
    0.88463E-03    0.33932E+06
    0.90250E-03    0.34497E+06
    0.92073E-03    0.35068E+06
    0.93933E-03    0.35644E+06
    0.95831E-03    0.36225E+06
    0.97767E-03    0.36811E+06
    0.99742E-03    0.37401E+06
    0.10176E-02    0.37996E+06
    0.10381E-02    0.38595E+06
    0.10591E-02    0.39198E+06
    0.10805E-02    0.39804E+06
    0.11023E-02    0.40413E+06
    0.11246E-02    0.41025E+06
    0.11473E-02    0.41638E+06
    0.11705E-02    0.42253E+06
    0.11941E-02    0.42870E+06
    0.12182E-02    0.43486E+06
    0.12429E-02    0.44103E+06
    0.12680E-02    0.44719E+06
    0.12936E-02    0.45333E+06
    0.13197E-02    0.45946E+06
    0.13464E-02    0.46555E+06
    0.13736E-02    0.47161E+06
    0.14013E-02    0.47763E+06
    0.14296E-02    0.48358E+06
    0.14585E-02    0.48948E+06
    0.14880E-02    0.49530E+06
    0.15180E-02    0.50104E+06
    0.15487E-02    0.50669E+06
    0.15800E-02    0.51223E+06
    0.16119E-02    0.51765E+06
    0.16445E-02    0.52294E+06
    0.16777E-02    0.52808E+06
    0.17116E-02    0.53307E+06
    0.17462E-02    0.53788E+06
    0.17814E-02    0.54250E+06
    0.18174E-02    0.54692E+06
    0.18541E-02    0.55112E+06
    0.18916E-02    0.55508E+06
    0.19298E-02    0.55879E+06
    0.19688E-02    0.56223E+06
    0.20086E-02    0.56538E+06
    0.20491E-02    0.56822E+06
    0.20905E-02    0.57073E+06
    0.21328E-02    0.57290E+06
    0.21758E-02    0.57471E+06
    0.22198E-02    0.57612E+06
    0.22646E-02    0.57713E+06
    0.23104E-02    0.57772E+06
    0.23571E-02    0.57786E+06
    0.24047E-02    0.57753E+06
    0.24533E-02    0.57672E+06
    0.25028E-02    0.57540E+06
    0.25534E-02    0.57355E+06
    0.26050E-02    0.57116E+06
    0.26576E-02    0.56821E+06
    0.27113E-02    0.56467E+06
    0.27660E-02    0.56054E+06
    0.28219E-02    0.55580E+06
    0.28789E-02    0.55043E+06
    0.29371E-02    0.54442E+06
    0.29964E-02    0.53777E+06
    0.30569E-02    0.53045E+06
    0.31187E-02    0.52247E+06
    0.31817E-02    0.51382E+06
    0.32460E-02    0.50450E+06
    0.33115E-02    0.49452E+06
    0.33784E-02    0.48389E+06
    0.34467E-02    0.47261E+06
    0.35163E-02    0.46069E+06
    0.35874E-02    0.44814E+06
    0.36598E-02    0.43495E+06
    0.37338E-02    0.42116E+06
    0.38092E-02    0.40679E+06
    0.38861E-02    0.39189E+06
    0.39646E-02    0.37654E+06
    0.40447E-02    0.36080E+06
    0.41264E-02    0.34475E+06
    0.42098E-02    0.32845E+06
    0.42948E-02    0.31185E+06
    0.43816E-02    0.29491E+06
    0.44701E-02    0.27763E+06
    0.45604E-02    0.26003E+06
    0.46525E-02    0.24221E+06
    0.47465E-02    0.22446E+06
    0.48424E-02    0.20713E+06
    0.49402E-02    0.19045E+06
    0.50400E-02    0.17463E+06
    0.51419E-02    0.15967E+06
    0.52457E-02    0.14503E+06
    0.53517E-02    0.13016E+06
    0.54598E-02    0.11481E+06
    0.55701E-02    0.99022E+05
    0.56826E-02    0.83251E+05
    0.57974E-02    0.68896E+05
    0.59145E-02    0.56925E+05
    0.60340E-02    0.47629E+05
    0.61559E-02    0.40931E+05
    0.62803E-02    0.36281E+05
    0.64072E-02    0.31489E+05
    0.65366E-02    0.24908E+05
    0.66686E-02    0.16713E+05
    0.68033E-02    0.88546E+04
    0.69408E-02    0.35544E+04
    0.70810E-02    0.12345E+04
    0.72240E-02    0.45058E+03
    0.73700E-02    0.20990E+03
    0.75189E-02    0.15158E+03
    0.76708E-02    0.19699E+03
    0.78257E-02    0.41195E+03
    0.79838E-02    0.11293E+04
    0.81451E-02    0.33052E+04
    0.83096E-02    0.84128E+04
    0.84775E-02    0.15673E+05
    0.86488E-02    0.21763E+05
    0.88235E-02    0.24570E+05
    0.90017E-02    0.24602E+05
    0.91836E-02    0.23836E+05
    0.93691E-02    0.24091E+05
    0.95583E-02    0.25538E+05
    0.97514E-02    0.27833E+05
    0.99484E-02    0.30572E+05
    0.10149E-01    0.33173E+05
    0.10354E-01    0.34958E+05
    0.10564E-01    0.35788E+05
    0.10777E-01    0.35832E+05
    0.10995E-01    0.35324E+05
    0.11217E-01    0.34518E+05
    0.11443E-01    0.33634E+05
    0.11675E-01    0.32721E+05
    0.11910E-01    0.31766E+05
    0.12151E-01    0.30760E+05
    0.12397E-01    0.29697E+05
    0.12647E-01    0.28576E+05
    0.12902E-01    0.27440E+05
    0.13163E-01    0.26339E+05
    0.13429E-01    0.25317E+05
    0.13700E-01    0.24409E+05
    0.13977E-01    0.23642E+05
    0.14259E-01    0.23023E+05
    0.14547E-01    0.22549E+05
    0.14841E-01    0.22220E+05
    0.15141E-01    0.22040E+05
    0.15447E-01    0.22010E+05
    0.15759E-01    0.22113E+05
    0.16077E-01    0.22328E+05
    0.16402E-01    0.22635E+05
    0.16734E-01    0.23013E+05
    0.17072E-01    0.23439E+05
    0.17416E-01    0.23891E+05
    0.17768E-01    0.24341E+05
    0.18127E-01    0.24762E+05
    0.18493E-01    0.25122E+05
    0.18867E-01    0.25392E+05
    0.19248E-01    0.25558E+05
    0.19637E-01    0.25608E+05
    0.20034E-01    0.25537E+05
    0.20438E-01    0.25337E+05
    0.20851E-01    0.25008E+05
    0.21272E-01    0.24569E+05
    0.21702E-01    0.24047E+05
    0.22141E-01    0.23469E+05
    0.22588E-01    0.22860E+05
    0.23044E-01    0.22242E+05
    0.23510E-01    0.21637E+05
    0.23985E-01    0.21064E+05
    0.24469E-01    0.20540E+05
    0.24964E-01    0.20081E+05
    0.25468E-01    0.19697E+05
    0.25982E-01    0.19381E+05
    0.26507E-01    0.19119E+05
    0.27043E-01    0.18898E+05
    0.27589E-01    0.18705E+05
    0.28146E-01    0.18529E+05
    0.28715E-01    0.18352E+05
    0.29295E-01    0.18158E+05
    0.29887E-01    0.17930E+05
    0.30490E-01    0.17652E+05
    0.31106E-01    0.17314E+05
    0.31735E-01    0.16922E+05
