#    L    TT             EE             BB             TE          
     2    0.17034E+04    0.70477E-01    0.24266E-01    0.70497E+01
     3    0.14728E+04    0.10968E+00    0.28133E-01    0.70932E+01
     4    0.13499E+04    0.12291E+00    0.27763E-01    0.64734E+01
     5    0.12718E+04    0.11091E+00    0.24520E-01    0.54811E+01
     6    0.12206E+04    0.84772E-01    0.19936E-01    0.43828E+01
     7    0.11873E+04    0.56701E-01    0.15249E-01    0.33385E+01
     8    0.11663E+04    0.34646E-01    0.11229E-01    0.24386E+01
     9    0.11543E+04    0.21050E-01    0.82019E-02    0.17263E+01
    10    0.11489E+04    0.14511E-01    0.61973E-02    0.12124E+01
    11    0.11474E+04    0.12163E-01    0.50830E-02    0.88226E+00
    12    0.11492E+04    0.11570E-01    0.46670E-02    0.71140E+00
    13    0.11527E+04    0.11361E-01    0.47530E-02    0.66207E+00
    14    0.11574E+04    0.11291E-01    0.51624E-02    0.69301E+00
    15    0.11641E+04    0.11494E-01    0.57802E-02    0.76912E+00
    16    0.11732E+04    0.12109E-01    0.65180E-02    0.85997E+00
    17    0.11841E+04    0.13155E-01    0.73292E-02    0.94437E+00
    18    0.11953E+04    0.14421E-01    0.81827E-02    0.10082E+01
    19    0.12075E+04    0.15767E-01    0.90674E-02    0.10496E+01
    20    0.12193E+04    0.17149E-01    0.99778E-02    0.10676E+01
    21    0.12311E+04    0.18584E-01    0.10911E-01    0.10660E+01
    22    0.12433E+04    0.20192E-01    0.11866E-01    0.10496E+01
    23    0.12558E+04    0.22073E-01    0.12841E-01    0.10261E+01
    24    0.12684E+04    0.24266E-01    0.13835E-01    0.10029E+01
    25    0.12812E+04    0.26768E-01    0.14843E-01    0.98249E+00
    26    0.12938E+04    0.29528E-01    0.15864E-01    0.96700E+00
    27    0.13067E+04    0.32520E-01    0.16898E-01    0.95550E+00
    28    0.13197E+04    0.35748E-01    0.17946E-01    0.94696E+00
    29    0.13328E+04    0.39194E-01    0.19009E-01    0.93798E+00
    30    0.13460E+04    0.42852E-01    0.20085E-01    0.92342E+00
    31    0.13591E+04    0.46727E-01    0.21171E-01    0.89974E+00
    32    0.13725E+04    0.50816E-01    0.22267E-01    0.86442E+00
    33    0.13860E+04    0.55106E-01    0.23371E-01    0.81763E+00
    34    0.13995E+04    0.59593E-01    0.24483E-01    0.76042E+00
    35    0.14132E+04    0.64281E-01    0.25599E-01    0.69181E+00
    36    0.14268E+04    0.69186E-01    0.26718E-01    0.60981E+00
    37    0.14404E+04    0.74351E-01    0.27840E-01    0.51446E+00
    38    0.14543E+04    0.79818E-01    0.28967E-01    0.40830E+00
    39    0.14685E+04    0.85573E-01    0.30098E-01    0.29311E+00
    40    0.14827E+04    0.91592E-01    0.31227E-01    0.17026E+00
    41    0.14970E+04    0.97864E-01    0.32353E-01    0.40461E-01
    42    0.15111E+04    0.10440E+00    0.33473E-01   -0.97449E-01
    43    0.15254E+04    0.11122E+00    0.34586E-01   -0.24506E+00
    44    0.15395E+04    0.11832E+00    0.35692E-01   -0.40309E+00
    45    0.15540E+04    0.12573E+00    0.36789E-01   -0.57216E+00
    46    0.15686E+04    0.13345E+00    0.37877E-01   -0.75463E+00
    47    0.15833E+04    0.14146E+00    0.38954E-01   -0.94979E+00
    48    0.15980E+04    0.14975E+00    0.40017E-01   -0.11536E+01
    49    0.16129E+04    0.15829E+00    0.41067E-01   -0.13625E+01
    50    0.16281E+04    0.16703E+00    0.42101E-01   -0.15797E+01
    51    0.16434E+04    0.17592E+00    0.43117E-01   -0.18099E+01
    52    0.16590E+04    0.18507E+00    0.44115E-01   -0.20571E+01
    53    0.16747E+04    0.19463E+00    0.45095E-01   -0.23233E+01
    54    0.16902E+04    0.20460E+00    0.46054E-01   -0.26026E+01
    55    0.17059E+04    0.21499E+00    0.46993E-01   -0.28889E+01
    56    0.17218E+04    0.22566E+00    0.47911E-01   -0.31828E+01
    57    0.17381E+04    0.23649E+00    0.48806E-01   -0.34847E+01
    58    0.17547E+04    0.24747E+00    0.49678E-01   -0.37963E+01
    59    0.17714E+04    0.25864E+00    0.50525E-01   -0.41192E+01
    60    0.17882E+04    0.27004E+00    0.51348E-01   -0.44537E+01
    61    0.18055E+04    0.28175E+00    0.52144E-01   -0.47997E+01
    62    0.18227E+04    0.29375E+00    0.52913E-01   -0.51578E+01
    63    0.18400E+04    0.30601E+00    0.53655E-01   -0.55287E+01
    64    0.18577E+04    0.31855E+00    0.54370E-01   -0.59131E+01
    65    0.18755E+04    0.33134E+00    0.55057E-01   -0.63112E+01
    66    0.18936E+04    0.34431E+00    0.55715E-01   -0.67208E+01
    67    0.19119E+04    0.35747E+00    0.56345E-01   -0.71390E+01
    68    0.19307E+04    0.37086E+00    0.56945E-01   -0.75644E+01
    69    0.19497E+04    0.38442E+00    0.57515E-01   -0.79951E+01
    70    0.19691E+04    0.39820E+00    0.58055E-01   -0.84330E+01
    71    0.19886E+04    0.41218E+00    0.58564E-01   -0.88804E+01
    72    0.20083E+04    0.42634E+00    0.59041E-01   -0.93390E+01
    73    0.20282E+04    0.44064E+00    0.59488E-01   -0.98093E+01
    74    0.20484E+04    0.45507E+00    0.59904E-01   -0.10291E+02
    75    0.20689E+04    0.46964E+00    0.60289E-01   -0.10782E+02
    76    0.20897E+04    0.48435E+00    0.60643E-01   -0.11282E+02
    77    0.21109E+04    0.49919E+00    0.60967E-01   -0.11791E+02
    78    0.21326E+04    0.51417E+00    0.61260E-01   -0.12310E+02
    79    0.21544E+04    0.52925E+00    0.61523E-01   -0.12835E+02
    80    0.21767E+04    0.54441E+00    0.61755E-01   -0.13367E+02
    81    0.21991E+04    0.55962E+00    0.61956E-01   -0.13906E+02
    82    0.22220E+04    0.57488E+00    0.62127E-01   -0.14451E+02
    83    0.22450E+04    0.59017E+00    0.62268E-01   -0.15003E+02
    84    0.22685E+04    0.60550E+00    0.62379E-01   -0.15559E+02
    85    0.22921E+04    0.62083E+00    0.62458E-01   -0.16122E+02
    86    0.23159E+04    0.63617E+00    0.62508E-01   -0.16689E+02
    87    0.23403E+04    0.65151E+00    0.62527E-01   -0.17260E+02
    88    0.23647E+04    0.66684E+00    0.62517E-01   -0.17835E+02
    89    0.23896E+04    0.68215E+00    0.62478E-01   -0.18417E+02
    90    0.24147E+04    0.69741E+00    0.62409E-01   -0.19001E+02
    91    0.24401E+04    0.71260E+00    0.62313E-01   -0.19589E+02
    92    0.24658E+04    0.72771E+00    0.62188E-01   -0.20180E+02
    93    0.24919E+04    0.74273E+00    0.62036E-01   -0.20774E+02
    94    0.25181E+04    0.75763E+00    0.61858E-01   -0.21370E+02
    95    0.25447E+04    0.77241E+00    0.61654E-01   -0.21968E+02
    96    0.25714E+04    0.78705E+00    0.61425E-01   -0.22568E+02
    97    0.25985E+04    0.80153E+00    0.61172E-01   -0.23169E+02
    98    0.26260E+04    0.81586E+00    0.60895E-01   -0.23768E+02
    99    0.26537E+04    0.82999E+00    0.60594E-01   -0.24370E+02
   100    0.26817E+04    0.84393E+00    0.60272E-01   -0.24969E+02
   101    0.27099E+04    0.85772E+00    0.59927E-01   -0.25569E+02
   102    0.27387E+04    0.87124E+00    0.59562E-01   -0.26167E+02
   103    0.27675E+04    0.88454E+00    0.59176E-01   -0.26765E+02
   104    0.27966E+04    0.89764E+00    0.58770E-01   -0.27358E+02
   105    0.28259E+04    0.91045E+00    0.58346E-01   -0.27950E+02
   106    0.28556E+04    0.92306E+00    0.57902E-01   -0.28538E+02
   107    0.28852E+04    0.93531E+00    0.57442E-01   -0.29122E+02
   108    0.29153E+04    0.94727E+00    0.56964E-01   -0.29703E+02
   109    0.29456E+04    0.95888E+00    0.56469E-01   -0.30279E+02
   110    0.29761E+04    0.97014E+00    0.55960E-01   -0.30848E+02
   111    0.30068E+04    0.98112E+00    0.55435E-01   -0.31412E+02
   112    0.30377E+04    0.99174E+00    0.54895E-01   -0.31971E+02
   113    0.30689E+04    0.10020E+01    0.54343E-01   -0.32523E+02
   114    0.31003E+04    0.10119E+01    0.53778E-01   -0.33067E+02
   115    0.31319E+04    0.10214E+01    0.53201E-01   -0.33604E+02
   116    0.31637E+04    0.10305E+01    0.52613E-01   -0.34131E+02
   117    0.31957E+04    0.10392E+01    0.52015E-01   -0.34650E+02
   118    0.32280E+04    0.10476E+01    0.51407E-01   -0.35160E+02
   119    0.32604E+04    0.10555E+01    0.50792E-01   -0.35659E+02
   120    0.32930E+04    0.10629E+01    0.50168E-01   -0.36147E+02
   121    0.33256E+04    0.10701E+01    0.49537E-01   -0.36625E+02
   122    0.33583E+04    0.10766E+01    0.48901E-01   -0.37091E+02
   123    0.33912E+04    0.10827E+01    0.48259E-01   -0.37545E+02
   124    0.34241E+04    0.10884E+01    0.47613E-01   -0.37986E+02
   125    0.34572E+04    0.10936E+01    0.46963E-01   -0.38413E+02
   126    0.34903E+04    0.10984E+01    0.46310E-01   -0.38828E+02
   127    0.35235E+04    0.11027E+01    0.45655E-01   -0.39230E+02
   128    0.35567E+04    0.11065E+01    0.44999E-01   -0.39616E+02
   129    0.35900E+04    0.11098E+01    0.44343E-01   -0.39988E+02
   130    0.36234E+04    0.11125E+01    0.43687E-01   -0.40343E+02
   131    0.36568E+04    0.11148E+01    0.43032E-01   -0.40684E+02
   132    0.36902E+04    0.11166E+01    0.42379E-01   -0.41008E+02
   133    0.37237E+04    0.11180E+01    0.41728E-01   -0.41317E+02
   134    0.37571E+04    0.11188E+01    0.41081E-01   -0.41606E+02
   135    0.37906E+04    0.11191E+01    0.40436E-01   -0.41878E+02
   136    0.38240E+04    0.11189E+01    0.39796E-01   -0.42131E+02
   137    0.38574E+04    0.11183E+01    0.39159E-01   -0.42366E+02
   138    0.38907E+04    0.11171E+01    0.38528E-01   -0.42581E+02
   139    0.39239E+04    0.11155E+01    0.37903E-01   -0.42777E+02
   140    0.39571E+04    0.11134E+01    0.37283E-01   -0.42953E+02
   141    0.39902E+04    0.11107E+01    0.36670E-01   -0.43108E+02
   142    0.40232E+04    0.11076E+01    0.36064E-01   -0.43243E+02
   143    0.40563E+04    0.11041E+01    0.35465E-01   -0.43357E+02
   144    0.40891E+04    0.11000E+01    0.34875E-01   -0.43450E+02
   145    0.41218E+04    0.10956E+01    0.34294E-01   -0.43521E+02
   146    0.41546E+04    0.10907E+01    0.33721E-01   -0.43571E+02
   147    0.41870E+04    0.10854E+01    0.33158E-01   -0.43597E+02
   148    0.42193E+04    0.10796E+01    0.32606E-01   -0.43602E+02
   149    0.42516E+04    0.10733E+01    0.32064E-01   -0.43583E+02
   150    0.42836E+04    0.10668E+01    0.31534E-01   -0.43540E+02
   151    0.43154E+04    0.10598E+01    0.31016E-01   -0.43474E+02
   152    0.43470E+04    0.10524E+01    0.30509E-01   -0.43385E+02
   153    0.43784E+04    0.10446E+01    0.30014E-01   -0.43269E+02
   154    0.44096E+04    0.10365E+01    0.29532E-01   -0.43130E+02
   155    0.44406E+04    0.10281E+01    0.29062E-01   -0.42967E+02
   156    0.44713E+04    0.10194E+01    0.28605E-01   -0.42779E+02
   157    0.45019E+04    0.10103E+01    0.28160E-01   -0.42566E+02
   158    0.45321E+04    0.10011E+01    0.27728E-01   -0.42327E+02
   159    0.45621E+04    0.99142E+00    0.27308E-01   -0.42063E+02
   160    0.45919E+04    0.98153E+00    0.26902E-01   -0.41773E+02
   161    0.46214E+04    0.97150E+00    0.26508E-01   -0.41458E+02
   162    0.46506E+04    0.96116E+00    0.26128E-01   -0.41117E+02
   163    0.46796E+04    0.95061E+00    0.25761E-01   -0.40750E+02
   164    0.47082E+04    0.93992E+00    0.25408E-01   -0.40359E+02
   165    0.47367E+04    0.92902E+00    0.25068E-01   -0.39939E+02
   166    0.47648E+04    0.91805E+00    0.24741E-01   -0.39495E+02
   167    0.47926E+04    0.90681E+00    0.24429E-01   -0.39025E+02
   168    0.48200E+04    0.89566E+00    0.24130E-01   -0.38528E+02
   169    0.48471E+04    0.88431E+00    0.23845E-01   -0.38003E+02
   170    0.48738E+04    0.87299E+00    0.23575E-01   -0.37453E+02
   171    0.49001E+04    0.86169E+00    0.23318E-01   -0.36875E+02
   172    0.49259E+04    0.85036E+00    0.23076E-01   -0.36271E+02
   173    0.49513E+04    0.83899E+00    0.22849E-01   -0.35640E+02
   174    0.49763E+04    0.82788E+00    0.22636E-01   -0.34983E+02
   175    0.50009E+04    0.81675E+00    0.22438E-01   -0.34299E+02
   176    0.50250E+04    0.80580E+00    0.22254E-01   -0.33588E+02
   177    0.50486E+04    0.79499E+00    0.22085E-01   -0.32851E+02
   178    0.50717E+04    0.78452E+00    0.21930E-01   -0.32087E+02
   179    0.50944E+04    0.77410E+00    0.21789E-01   -0.31296E+02
   180    0.51167E+04    0.76397E+00    0.21662E-01   -0.30480E+02
   181    0.51384E+04    0.75413E+00    0.21547E-01   -0.29638E+02
   182    0.51596E+04    0.74464E+00    0.21446E-01   -0.28769E+02
   183    0.51803E+04    0.73545E+00    0.21357E-01   -0.27875E+02
   184    0.52006E+04    0.72663E+00    0.21280E-01   -0.26955E+02
   185    0.52203E+04    0.71832E+00    0.21215E-01   -0.26011E+02
   186    0.52392E+04    0.71040E+00    0.21162E-01   -0.25040E+02
   187    0.52579E+04    0.70301E+00    0.21120E-01   -0.24045E+02
   188    0.52761E+04    0.69612E+00    0.21089E-01   -0.23025E+02
   189    0.52936E+04    0.68980E+00    0.21069E-01   -0.21981E+02
   190    0.53109E+04    0.68408E+00    0.21058E-01   -0.20914E+02
   191    0.53273E+04    0.67900E+00    0.21058E-01   -0.19821E+02
   192    0.53433E+04    0.67457E+00    0.21067E-01   -0.18704E+02
   193    0.53586E+04    0.67086E+00    0.21086E-01   -0.17566E+02
   194    0.53735E+04    0.66788E+00    0.21114E-01   -0.16403E+02
   195    0.53878E+04    0.66569E+00    0.21150E-01   -0.15219E+02
   196    0.54014E+04    0.66432E+00    0.21195E-01   -0.14012E+02
   197    0.54145E+04    0.66381E+00    0.21248E-01   -0.12784E+02
   198    0.54271E+04    0.66420E+00    0.21308E-01   -0.11534E+02
   199    0.54391E+04    0.66552E+00    0.21376E-01   -0.10263E+02
   200    0.54506E+04    0.66781E+00    0.21450E-01   -0.89722E+01
   201    0.54614E+04    0.67112E+00    0.21532E-01   -0.76604E+01
