#    L    TT             EE             TE             PP             TP          
     2    0.12249E+04    0.55151E-01    0.67606E+01    0.96159E+06   -0.79594E+03
     3    0.10866E+04    0.89879E-01    0.74953E+01    0.15074E+07    0.30726E+04
     4    0.98736E+03    0.10172E+00    0.70998E+01    0.19964E+07    0.61771E+04
     5    0.91887E+03    0.91308E-01    0.61493E+01    0.24302E+07    0.85533E+04
     6    0.87186E+03    0.68517E-01    0.50071E+01    0.28137E+07    0.10371E+05
     7    0.84011E+03    0.44308E-01    0.38862E+01    0.31537E+07    0.11777E+05
     8    0.81926E+03    0.25692E-01    0.29071E+01    0.34558E+07    0.12805E+05
     9    0.80654E+03    0.14639E-01    0.21272E+01    0.37251E+07    0.13480E+05
    10    0.79988E+03    0.96392E-02    0.15597E+01    0.39653E+07    0.13900E+05
    11    0.79714E+03    0.79627E-02    0.11925E+01    0.41809E+07    0.14205E+05
    12    0.79811E+03    0.74093E-02    0.99984E+00    0.43736E+07    0.14458E+05
    13    0.80102E+03    0.68237E-02    0.94192E+00    0.45458E+07    0.14649E+05
    14    0.80506E+03    0.61461E-02    0.97539E+00    0.47003E+07    0.14755E+05
    15    0.81071E+03    0.56109E-02    0.10632E+01    0.48388E+07    0.14776E+05
    16    0.81853E+03    0.54278E-02    0.11731E+01    0.49627E+07    0.14723E+05
    17    0.82824E+03    0.56343E-02    0.12828E+01    0.50737E+07    0.14626E+05
    18    0.83866E+03    0.60276E-02    0.13771E+01    0.51731E+07    0.14510E+05
    19    0.85061E+03    0.64649E-02    0.14527E+01    0.52617E+07    0.14368E+05
    20    0.86244E+03    0.69009E-02    0.15076E+01    0.53401E+07    0.14189E+05
    21    0.87457E+03    0.73541E-02    0.15459E+01    0.54095E+07    0.13985E+05
    22    0.88735E+03    0.79451E-02    0.15725E+01    0.54709E+07    0.13767E+05
    23    0.90055E+03    0.87797E-02    0.15948E+01    0.55248E+07    0.13535E+05
    24    0.91415E+03    0.99045E-02    0.16197E+01    0.55719E+07    0.13288E+05
    25    0.92807E+03    0.11316E-01    0.16492E+01    0.56125E+07    0.13032E+05
    26    0.94208E+03    0.12963E-01    0.16854E+01    0.56475E+07    0.12779E+05
    27    0.95645E+03    0.14826E-01    0.17267E+01    0.56772E+07    0.12535E+05
    28    0.97104E+03    0.16910E-01    0.17716E+01    0.57020E+07    0.12302E+05
    29    0.98596E+03    0.19188E-01    0.18175E+01    0.57221E+07    0.12077E+05
    30    0.10011E+04    0.21641E-01    0.18595E+01    0.57377E+07    0.11853E+05
    31    0.10164E+04    0.24280E-01    0.18938E+01    0.57491E+07    0.11625E+05
    32    0.10319E+04    0.27107E-01    0.19171E+01    0.57571E+07    0.11389E+05
    33    0.10478E+04    0.30121E-01    0.19295E+01    0.57619E+07    0.11154E+05
    34    0.10639E+04    0.33332E-01    0.19317E+01    0.57635E+07    0.10930E+05
    35    0.10801E+04    0.36732E-01    0.19227E+01    0.57623E+07    0.10718E+05
    36    0.10965E+04    0.40331E-01    0.19004E+01    0.57584E+07    0.10515E+05
    37    0.11129E+04    0.44170E-01    0.18646E+01    0.57521E+07    0.10313E+05
    38    0.11298E+04    0.48292E-01    0.18178E+01    0.57435E+07    0.10108E+05
    39    0.11470E+04    0.52684E-01    0.17616E+01    0.57328E+07    0.99018E+04
    40    0.11643E+04    0.57329E-01    0.16973E+01    0.57201E+07    0.97005E+04
    41    0.11818E+04    0.62218E-01    0.16255E+01    0.57056E+07    0.95077E+04
    42    0.11993E+04    0.67365E-01    0.15451E+01    0.56893E+07    0.93235E+04
    43    0.12170E+04    0.72789E-01    0.14542E+01    0.56713E+07    0.91474E+04
    44    0.12346E+04    0.78494E-01    0.13521E+01    0.56519E+07    0.89784E+04
    45    0.12526E+04    0.84495E-01    0.12381E+01    0.56311E+07    0.88160E+04
    46    0.12709E+04    0.90802E-01    0.11097E+01    0.56091E+07    0.86593E+04
    47    0.12894E+04    0.97403E-01    0.96759E+00    0.55859E+07    0.85071E+04
    48    0.13079E+04    0.10428E+00    0.81562E+00    0.55617E+07    0.83581E+04
    49    0.13265E+04    0.11141E+00    0.65724E+00    0.55364E+07    0.82110E+04
    50    0.13456E+04    0.11873E+00    0.48905E+00    0.55104E+07    0.80645E+04
    51    0.13649E+04    0.12622E+00    0.30638E+00    0.54835E+07    0.79178E+04
    52    0.13846E+04    0.13396E+00    0.10517E+00    0.54558E+07    0.77724E+04
    53    0.14043E+04    0.14212E+00   -0.11664E+00    0.54275E+07    0.76303E+04
    54    0.14239E+04    0.15071E+00   -0.35318E+00    0.53985E+07    0.74932E+04
    55    0.14437E+04    0.15972E+00   -0.59841E+00    0.53690E+07    0.73633E+04
    56    0.14639E+04    0.16901E+00   -0.85292E+00    0.53389E+07    0.72418E+04
    57    0.14843E+04    0.17848E+00   -0.11172E+01    0.53083E+07    0.71269E+04
    58    0.15051E+04    0.18813E+00   -0.13930E+01    0.52773E+07    0.70162E+04
    59    0.15261E+04    0.19796E+00   -0.16821E+01    0.52459E+07    0.69074E+04
    60    0.15472E+04    0.20804E+00   -0.19848E+01    0.52140E+07    0.67979E+04
    61    0.15688E+04    0.21845E+00   -0.23010E+01    0.51818E+07    0.66863E+04
    62    0.15903E+04    0.22916E+00   -0.26314E+01    0.51493E+07    0.65736E+04
    63    0.16120E+04    0.24015E+00   -0.29766E+01    0.51165E+07    0.64620E+04
    64    0.16340E+04    0.25144E+00   -0.33373E+01    0.50835E+07    0.63534E+04
    65    0.16561E+04    0.26299E+00   -0.37136E+01    0.50504E+07    0.62499E+04
    66    0.16786E+04    0.27475E+00   -0.41033E+01    0.50171E+07    0.61530E+04
    67    0.17012E+04    0.28672E+00   -0.45037E+01    0.49837E+07    0.60623E+04
    68    0.17244E+04    0.29893E+00   -0.49132E+01    0.49502E+07    0.59768E+04
    69    0.17477E+04    0.31135E+00   -0.53303E+01    0.49167E+07    0.58956E+04
    70    0.17713E+04    0.32401E+00   -0.57568E+01    0.48832E+07    0.58177E+04
    71    0.17951E+04    0.33691E+00   -0.61952E+01    0.48496E+07    0.57423E+04
    72    0.18192E+04    0.35001E+00   -0.66468E+01    0.48160E+07    0.56688E+04
    73    0.18434E+04    0.36328E+00   -0.71124E+01    0.47825E+07    0.55965E+04
    74    0.18678E+04    0.37670E+00   -0.75909E+01    0.47489E+07    0.55248E+04
    75    0.18925E+04    0.39029E+00   -0.80809E+01    0.47154E+07    0.54531E+04
    76    0.19175E+04    0.40403E+00   -0.85817E+01    0.46818E+07    0.53811E+04
    77    0.19429E+04    0.41793E+00   -0.90930E+01    0.46483E+07    0.53091E+04
    78    0.19687E+04    0.43200E+00   -0.96161E+01    0.46148E+07    0.52379E+04
    79    0.19946E+04    0.44620E+00   -0.10147E+02    0.45814E+07    0.51681E+04
    80    0.20209E+04    0.46053E+00   -0.10687E+02    0.45481E+07    0.51003E+04
    81    0.20474E+04    0.47493E+00   -0.11236E+02    0.45149E+07    0.50352E+04
    82    0.20742E+04    0.48942E+00   -0.11794E+02    0.44818E+07    0.49727E+04
    83    0.21013E+04    0.50399E+00   -0.12359E+02    0.44489E+07    0.49127E+04
    84    0.21286E+04    0.51862E+00   -0.12931E+02    0.44161E+07    0.48551E+04
    85    0.21560E+04    0.53329E+00   -0.13511E+02    0.43834E+07    0.47999E+04
    86    0.21837E+04    0.54802E+00   -0.14097E+02    0.43509E+07    0.47469E+04
    87    0.22118E+04    0.56276E+00   -0.14689E+02    0.43185E+07    0.46959E+04
    88    0.22400E+04    0.57754E+00   -0.15287E+02    0.42864E+07    0.46463E+04
    89    0.22685E+04    0.59233E+00   -0.15892E+02    0.42544E+07    0.45979E+04
    90    0.22972E+04    0.60711E+00   -0.16501E+02    0.42226E+07    0.45504E+04
    91    0.23261E+04    0.62186E+00   -0.17116E+02    0.41910E+07    0.45033E+04
    92    0.23553E+04    0.63657E+00   -0.17735E+02    0.41596E+07    0.44567E+04
    93    0.23849E+04    0.65122E+00   -0.18358E+02    0.41284E+07    0.44106E+04
    94    0.24145E+04    0.66580E+00   -0.18985E+02    0.40974E+07    0.43650E+04
    95    0.24444E+04    0.68028E+00   -0.19615E+02    0.40666E+07    0.43199E+04
    96    0.24743E+04    0.69467E+00   -0.20247E+02    0.40360E+07    0.42753E+04
    97    0.25047E+04    0.70894E+00   -0.20882E+02    0.40056E+07    0.42313E+04
    98    0.25353E+04    0.72309E+00   -0.21517E+02    0.39754E+07    0.41879E+04
    99    0.25661E+04    0.73708E+00   -0.22155E+02    0.39454E+07    0.41451E+04
   100    0.25971E+04    0.75090E+00   -0.22792E+02    0.39157E+07    0.41030E+04
   101    0.26283E+04    0.76463E+00   -0.23429E+02    0.38861E+07    0.40615E+04
   102    0.26600E+04    0.77811E+00   -0.24066E+02    0.38568E+07    0.40206E+04
   103    0.26916E+04    0.79142E+00   -0.24703E+02    0.38277E+07    0.39804E+04
   104    0.27235E+04    0.80455E+00   -0.25337E+02    0.37988E+07    0.39410E+04
   105    0.27556E+04    0.81743E+00   -0.25970E+02    0.37701E+07    0.39022E+04
   106    0.27879E+04    0.83015E+00   -0.26600E+02    0.37417E+07    0.38643E+04
   107    0.28201E+04    0.84253E+00   -0.27226E+02    0.37134E+07    0.38270E+04
   108    0.28527E+04    0.85468E+00   -0.27850E+02    0.36855E+07    0.37906E+04
   109    0.28855E+04    0.86649E+00   -0.28469E+02    0.36577E+07    0.37550E+04
   110    0.29184E+04    0.87799E+00   -0.29082E+02    0.36302E+07    0.37202E+04
   111    0.29514E+04    0.88924E+00   -0.29690E+02    0.36029E+07    0.36863E+04
   112    0.29846E+04    0.90017E+00   -0.30294E+02    0.35758E+07    0.36532E+04
   113    0.30180E+04    0.91079E+00   -0.30890E+02    0.35490E+07    0.36209E+04
   114    0.30515E+04    0.92100E+00   -0.31479E+02    0.35224E+07    0.35893E+04
   115    0.30852E+04    0.93098E+00   -0.32060E+02    0.34960E+07    0.35585E+04
   116    0.31190E+04    0.94048E+00   -0.32633E+02    0.34698E+07    0.35284E+04
   117    0.31530E+04    0.94960E+00   -0.33197E+02    0.34439E+07    0.34990E+04
   118    0.31872E+04    0.95848E+00   -0.33752E+02    0.34182E+07    0.34702E+04
   119    0.32214E+04    0.96696E+00   -0.34297E+02    0.33928E+07    0.34420E+04
   120    0.32557E+04    0.97491E+00   -0.34830E+02    0.33676E+07    0.34144E+04
   121    0.32901E+04    0.98263E+00   -0.35353E+02    0.33426E+07    0.33873E+04
   122    0.33244E+04    0.98980E+00   -0.35864E+02    0.33178E+07    0.33608E+04
   123    0.33589E+04    0.99652E+00   -0.36364E+02    0.32932E+07    0.33348E+04
   124    0.33934E+04    0.10028E+01   -0.36849E+02    0.32689E+07    0.33092E+04
   125    0.34279E+04    0.10087E+01   -0.37322E+02    0.32448E+07    0.32841E+04
   126    0.34625E+04    0.10142E+01   -0.37781E+02    0.32209E+07    0.32594E+04
   127    0.34971E+04    0.10192E+01   -0.38226E+02    0.31972E+07    0.32351E+04
   128    0.35316E+04    0.10237E+01   -0.38656E+02    0.31738E+07    0.32111E+04
   129    0.35662E+04    0.10278E+01   -0.39071E+02    0.31505E+07    0.31874E+04
   130    0.36008E+04    0.10313E+01   -0.39470E+02    0.31275E+07    0.31640E+04
   131    0.36354E+04    0.10345E+01   -0.39853E+02    0.31047E+07    0.31409E+04
   132    0.36700E+04    0.10371E+01   -0.40219E+02    0.30822E+07    0.31180E+04
   133    0.37045E+04    0.10392E+01   -0.40569E+02    0.30598E+07    0.30953E+04
   134    0.37390E+04    0.10409E+01   -0.40898E+02    0.30376E+07    0.30729E+04
   135    0.37734E+04    0.10421E+01   -0.41211E+02    0.30157E+07    0.30507E+04
   136    0.38077E+04    0.10428E+01   -0.41504E+02    0.29940E+07    0.30288E+04
   137    0.38420E+04    0.10431E+01   -0.41777E+02    0.29724E+07    0.30070E+04
   138    0.38762E+04    0.10428E+01   -0.42031E+02    0.29511E+07    0.29854E+04
   139    0.39102E+04    0.10422E+01   -0.42265E+02    0.29300E+07    0.29640E+04
   140    0.39442E+04    0.10409E+01   -0.42478E+02    0.29091E+07    0.29428E+04
   141    0.39779E+04    0.10392E+01   -0.42670E+02    0.28884E+07    0.29218E+04
   142    0.40117E+04    0.10371E+01   -0.42840E+02    0.28678E+07    0.29009E+04
   143    0.40454E+04    0.10345E+01   -0.42989E+02    0.28475E+07    0.28802E+04
   144    0.40788E+04    0.10314E+01   -0.43116E+02    0.28274E+07    0.28596E+04
   145    0.41121E+04    0.10280E+01   -0.43221E+02    0.28074E+07    0.28392E+04
   146    0.41454E+04    0.10240E+01   -0.43303E+02    0.27877E+07    0.28189E+04
   147    0.41784E+04    0.10196E+01   -0.43361E+02    0.27681E+07    0.27987E+04
   148    0.42112E+04    0.10148E+01   -0.43396E+02    0.27487E+07    0.27786E+04
   149    0.42439E+04    0.10095E+01   -0.43408E+02    0.27296E+07    0.27586E+04
   150    0.42763E+04    0.10039E+01   -0.43394E+02    0.27106E+07    0.27387E+04
   151    0.43085E+04    0.99794E+00   -0.43356E+02    0.26917E+07    0.27189E+04
   152    0.43404E+04    0.99145E+00   -0.43294E+02    0.26731E+07    0.26992E+04
   153    0.43722E+04    0.98463E+00   -0.43205E+02    0.26546E+07    0.26796E+04
   154    0.44038E+04    0.97748E+00   -0.43091E+02    0.26363E+07    0.26601E+04
   155    0.44351E+04    0.97001E+00   -0.42952E+02    0.26182E+07    0.26407E+04
   156    0.44660E+04    0.96221E+00   -0.42788E+02    0.26003E+07    0.26214E+04
   157    0.44968E+04    0.95409E+00   -0.42597E+02    0.25825E+07    0.26022E+04
   158    0.45273E+04    0.94573E+00   -0.42380E+02    0.25649E+07    0.25832E+04
