#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.102076E-04   0.204186E+08   0.204186E+08   0.272110E+08   0.272106E+08   0.204186E+08   0.204186E+08   0.204186E+08   0.204254E+08  -0.362061E+00   0.111904E+08   0.111904E+08   0.591055E+01
   0.112819E-04   0.204185E+08   0.204185E+08   0.272080E+08   0.272075E+08   0.204186E+08   0.204186E+08   0.204185E+08   0.204254E+08  -0.362061E+00   0.111904E+08   0.111904E+08   0.653241E+01
   0.124693E-04   0.204185E+08   0.204185E+08   0.272043E+08   0.272037E+08   0.204186E+08   0.204185E+08   0.204185E+08   0.204253E+08  -0.362062E+00   0.111904E+08   0.111904E+08   0.721965E+01
   0.137816E-04   0.204185E+08   0.204185E+08   0.271997E+08   0.271990E+08   0.204186E+08   0.204185E+08   0.204185E+08   0.204253E+08  -0.362062E+00   0.111904E+08   0.111904E+08   0.797912E+01
   0.152321E-04   0.204185E+08   0.204185E+08   0.271942E+08   0.271933E+08   0.204186E+08   0.204185E+08   0.204185E+08   0.204253E+08  -0.362063E+00   0.111904E+08   0.111904E+08   0.881840E+01
   0.168352E-04   0.204185E+08   0.204185E+08   0.271874E+08   0.271863E+08   0.204186E+08   0.204185E+08   0.204185E+08   0.204253E+08  -0.362063E+00   0.111904E+08   0.111904E+08   0.974584E+01
   0.186070E-04   0.204185E+08   0.204185E+08   0.271791E+08   0.271778E+08   0.204186E+08   0.204185E+08   0.204185E+08   0.204253E+08  -0.362064E+00   0.111904E+08   0.111904E+08   0.107707E+02
   0.205653E-04   0.204184E+08   0.204184E+08   0.271690E+08   0.271674E+08   0.204185E+08   0.204185E+08   0.204184E+08   0.204252E+08  -0.362065E+00   0.111904E+08   0.111904E+08   0.119030E+02
   0.227297E-04   0.204184E+08   0.204184E+08   0.271567E+08   0.271547E+08   0.204185E+08   0.204184E+08   0.204184E+08   0.204252E+08  -0.362067E+00   0.111903E+08   0.111903E+08   0.131541E+02
   0.251219E-04   0.204184E+08   0.204184E+08   0.271416E+08   0.271392E+08   0.204185E+08   0.204184E+08   0.204184E+08   0.204252E+08  -0.362068E+00   0.111903E+08   0.111903E+08   0.145364E+02
   0.277659E-04   0.204183E+08   0.204183E+08   0.271232E+08   0.271202E+08   0.204184E+08   0.204183E+08   0.204183E+08   0.204251E+08  -0.362070E+00   0.111903E+08   0.111903E+08   0.160633E+02
   0.306881E-04   0.204183E+08   0.204183E+08   0.271007E+08   0.270971E+08   0.204184E+08   0.204183E+08   0.204183E+08   0.204251E+08  -0.362072E+00   0.111902E+08   0.111902E+08   0.177499E+02
