#           k/h    P           
    0.10000E-03    0.51208E+03
    0.10202E-03    0.52200E+03
    0.10408E-03    0.53211E+03
    0.10618E-03    0.54242E+03
    0.10833E-03    0.55292E+03
    0.11052E-03    0.56363E+03
    0.11275E-03    0.57455E+03
    0.11503E-03    0.58567E+03
    0.11735E-03    0.59701E+03
    0.11972E-03    0.60858E+03
    0.12214E-03    0.62036E+03
    0.12461E-03    0.63237E+03
    0.12712E-03    0.64462E+03
    0.12969E-03    0.65710E+03
    0.13231E-03    0.66982E+03
    0.13499E-03    0.68278E+03
    0.13771E-03    0.69600E+03
    0.14049E-03    0.70947E+03
    0.14333E-03    0.72321E+03
    0.14623E-03    0.73720E+03
    0.14918E-03    0.75147E+03
    0.15220E-03    0.76601E+03
    0.15527E-03    0.78083E+03
    0.15841E-03    0.79594E+03
    0.16161E-03    0.81134E+03
    0.16487E-03    0.82704E+03
    0.16820E-03    0.84304E+03
    0.17160E-03    0.85934E+03
    0.17507E-03    0.87596E+03
    0.17860E-03    0.89290E+03
    0.18221E-03    0.91017E+03
    0.18589E-03    0.92777E+03
    0.18965E-03    0.94570E+03
    0.19348E-03    0.96399E+03
    0.19739E-03    0.98262E+03
    0.20138E-03    0.10016E+04
    0.20544E-03    0.10210E+04
    0.20959E-03    0.10407E+04
    0.21383E-03    0.10608E+04
    0.21815E-03    0.10813E+04
    0.22255E-03    0.11022E+04
    0.22705E-03    0.11235E+04
    0.23164E-03    0.11451E+04
    0.23632E-03    0.11673E+04
    0.24109E-03    0.11898E+04
    0.24596E-03    0.12127E+04
    0.25093E-03    0.12361E+04
    0.25600E-03    0.12600E+04
    0.26117E-03    0.12843E+04
    0.26645E-03    0.13091E+04
    0.27183E-03    0.13343E+04
    0.27732E-03    0.13600E+04
    0.28292E-03    0.13862E+04
    0.28864E-03    0.14129E+04
    0.29447E-03    0.14402E+04
    0.30042E-03    0.14679E+04
    0.30649E-03    0.14961E+04
    0.31268E-03    0.15249E+04
    0.31899E-03    0.15543E+04
    0.32544E-03    0.15842E+04
    0.33201E-03    0.16146E+04
    0.33872E-03    0.16457E+04
    0.34556E-03    0.16773E+04
    0.35254E-03    0.17095E+04
    0.35966E-03    0.17424E+04
    0.36693E-03    0.17758E+04
    0.37434E-03    0.18099E+04
    0.38190E-03    0.18446E+04
    0.38962E-03    0.18800E+04
    0.39749E-03    0.19160E+04
    0.40552E-03    0.19527E+04
    0.41371E-03    0.19901E+04
    0.42207E-03    0.20282E+04
    0.43060E-03    0.20670E+04
    0.43929E-03    0.21065E+04
    0.44817E-03    0.21468E+04
    0.45722E-03    0.21878E+04
    0.46646E-03    0.22296E+04
    0.47588E-03    0.22721E+04
    0.48550E-03    0.23154E+04
    0.49530E-03    0.23596E+04
    0.50531E-03    0.24045E+04
    0.51552E-03    0.24503E+04
    0.52593E-03    0.24969E+04
    0.53656E-03    0.25443E+04
    0.54739E-03    0.25926E+04
    0.55845E-03    0.26418E+04
    0.56973E-03    0.26919E+04
    0.58124E-03    0.27429E+04
    0.59299E-03    0.27949E+04
    0.60496E-03    0.28477E+04
    0.61719E-03    0.29015E+04
