#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.102076E-04   0.201576E+08   0.201576E+08   0.268633E+08   0.268629E+08   0.201577E+08   0.201577E+08   0.201576E+08   0.201644E+08  -0.449128E+00   0.966311E+07   0.966311E+07   0.588003E+01
   0.112819E-04   0.201576E+08   0.201576E+08   0.268602E+08   0.268597E+08   0.201577E+08   0.201576E+08   0.201576E+08   0.201643E+08  -0.449127E+00   0.966312E+07   0.966312E+07   0.649868E+01
   0.124693E-04   0.201576E+08   0.201576E+08   0.268565E+08   0.268559E+08   0.201576E+08   0.201576E+08   0.201576E+08   0.201643E+08  -0.449127E+00   0.966314E+07   0.966314E+07   0.718237E+01
   0.137816E-04   0.201575E+08   0.201575E+08   0.268519E+08   0.268512E+08   0.201576E+08   0.201575E+08   0.201575E+08   0.201642E+08  -0.449127E+00   0.966315E+07   0.966315E+07   0.793792E+01
   0.152321E-04   0.201574E+08   0.201574E+08   0.268463E+08   0.268455E+08   0.201575E+08   0.201574E+08   0.201574E+08   0.201641E+08  -0.449126E+00   0.966317E+07   0.966317E+07   0.877286E+01
   0.168352E-04   0.201573E+08   0.201573E+08   0.268395E+08   0.268384E+08   0.201574E+08   0.201573E+08   0.201573E+08   0.201640E+08  -0.449126E+00   0.966320E+07   0.966320E+07   0.969551E+01
   0.186070E-04   0.201572E+08   0.201572E+08   0.268312E+08   0.268299E+08   0.201573E+08   0.201572E+08   0.201572E+08   0.201639E+08  -0.449125E+00   0.966323E+07   0.966323E+07   0.107150E+02
   0.205653E-04   0.201570E+08   0.201570E+08   0.268210E+08   0.268194E+08   0.201571E+08   0.201571E+08   0.201570E+08   0.201638E+08  -0.449125E+00   0.966327E+07   0.966327E+07   0.118415E+02
   0.227297E-04   0.201569E+08   0.201569E+08   0.268086E+08   0.268066E+08   0.201570E+08   0.201569E+08   0.201569E+08   0.201636E+08  -0.449124E+00   0.966332E+07   0.966332E+07   0.130862E+02
   0.251219E-04   0.201567E+08   0.201566E+08   0.267935E+08   0.267910E+08   0.201567E+08   0.201567E+08   0.201567E+08   0.201634E+08  -0.449123E+00   0.966337E+07   0.966337E+07   0.144613E+02
   0.277659E-04   0.201564E+08   0.201564E+08   0.267749E+08   0.267720E+08   0.201565E+08   0.201564E+08   0.201564E+08   0.201631E+08  -0.449121E+00   0.966344E+07   0.966344E+07   0.159803E+02
   0.306881E-04   0.201561E+08   0.201561E+08   0.267524E+08   0.267488E+08   0.201562E+08   0.201561E+08   0.201561E+08   0.201628E+08  -0.449120E+00   0.966353E+07   0.966353E+07   0.176582E+02
   0.339179E-04   0.201557E+08   0.201557E+08   0.267248E+08   0.267204E+08   0.201558E+08   0.201557E+08   0.201557E+08   0.201624E+08  -0.449118E+00   0.966363E+07   0.966363E+07   0.195113E+02
   0.374876E-04   0.201552E+08   0.201552E+08   0.266911E+08   0.266858E+08   0.201553E+08   0.201552E+08   0.201552E+08   0.201619E+08  -0.449115E+00   0.966376E+07   0.966376E+07   0.215575E+02
   0.414330E-04   0.201546E+08   0.201546E+08   0.266501E+08   0.266436E+08   0.201547E+08   0.201546E+08   0.201546E+08   0.201613E+08  -0.449112E+00   0.966391E+07   0.966391E+07   0.238165E+02
   0.457936E-04   0.201539E+08   0.201539E+08   0.266000E+08   0.265921E+08   0.201540E+08   0.201539E+08   0.201539E+08   0.201605E+08  -0.449109E+00   0.966410E+07   0.966410E+07   0.263099E+02
   0.506132E-04   0.201530E+08   0.201530E+08   0.265390E+08   0.265293E+08   0.201531E+08   0.201530E+08   0.201530E+08   0.201597E+08  -0.449104E+00   0.966433E+07   0.966432E+07   0.290611E+02
   0.559400E-04   0.201520E+08   0.201519E+08   0.264646E+08   0.264528E+08   0.201520E+08   0.201520E+08   0.201520E+08   0.201586E+08  -0.449099E+00   0.966461E+07   0.966460E+07   0.320957E+02
   0.618274E-04   0.201507E+08   0.201506E+08   0.263740E+08   0.263596E+08   0.201507E+08   0.201507E+08   0.201507E+08   0.201572E+08  -0.449092E+00   0.966494E+07   0.966494E+07   0.354413E+02
   0.683345E-04   0.201491E+08   0.201490E+08   0.262637E+08   0.262462E+08   0.201492E+08   0.201491E+08   0.201491E+08   0.201556E+08  -0.449084E+00   0.966535E+07   0.966534E+07   0.391277E+02
   0.755264E-04   0.201471E+08   0.201471E+08   0.261296E+08   0.261082E+08   0.201472E+08   0.201471E+08   0.201471E+08   0.201537E+08  -0.449073E+00   0.966584E+07   0.966583E+07   0.431869E+02
   0.834752E-04   0.201448E+08   0.201448E+08   0.259665E+08   0.259406E+08   0.201449E+08   0.201448E+08   0.201448E+08   0.201513E+08  -0.449060E+00   0.966644E+07   0.966642E+07   0.476529E+02
   0.922605E-04   0.201419E+08   0.201419E+08   0.257687E+08   0.257372E+08   0.201420E+08   0.201419E+08   0.201419E+08   0.201484E+08  -0.449044E+00   0.966715E+07   0.966714E+07   0.525615E+02
   0.101971E-03   0.201384E+08   0.201384E+08   0.255289E+08   0.254907E+08   0.201385E+08   0.201384E+08   0.201384E+08   0.201448E+08  -0.449024E+00   0.966801E+07   0.966800E+07   0.579499E+02
   0.112702E-03   0.201342E+08   0.201341E+08   0.252388E+08   0.251926E+08   0.201343E+08   0.201342E+08   0.201342E+08   0.201405E+08  -0.448998E+00   0.966904E+07   0.966902E+07   0.638559E+02
   0.124564E-03   0.201291E+08   0.201290E+08   0.248885E+08   0.248327E+08   0.201291E+08   0.201291E+08   0.201291E+08   0.201353E+08  -0.448966E+00   0.967026E+07   0.967023E+07   0.703171E+02
   0.137674E-03   0.201228E+08   0.201227E+08   0.244668E+08   0.243995E+08   0.201229E+08   0.201228E+08   0.201228E+08   0.201289E+08  -0.448925E+00   0.967169E+07   0.967166E+07   0.773696E+02
   0.152163E-03   0.201153E+08   0.201151E+08   0.239606E+08   0.238798E+08   0.201153E+08   0.201153E+08   0.201153E+08   0.201212E+08  -0.448873E+00   0.967337E+07   0.967334E+07   0.850460E+02
   0.168178E-03   0.201062E+08   0.201060E+08   0.233555E+08   0.232588E+08   0.201062E+08   0.201061E+08   0.201061E+08   0.201120E+08  -0.448807E+00   0.967532E+07   0.967528E+07   0.933724E+02
   0.185878E-03   0.200952E+08   0.200950E+08   0.226356E+08   0.225204E+08   0.200952E+08   0.200951E+08   0.200951E+08   0.201008E+08  -0.448721E+00   0.967755E+07   0.967749E+07   0.102366E+03
   0.205440E-03   0.200819E+08   0.200817E+08   0.217842E+08   0.216478E+08   0.200819E+08   0.200819E+08   0.200819E+08   0.200873E+08  -0.448611E+00   0.968006E+07   0.967999E+07   0.112028E+03
   0.227062E-03   0.200661E+08   0.200658E+08   0.207848E+08   0.206242E+08   0.200661E+08   0.200661E+08   0.200661E+08   0.200712E+08  -0.448468E+00   0.968281E+07   0.968272E+07   0.122342E+03
   0.250959E-03   0.200472E+08   0.200469E+08   0.196221E+08   0.194348E+08   0.200472E+08   0.200472E+08   0.200472E+08   0.200520E+08  -0.448283E+00   0.968574E+07   0.968564E+07   0.133264E+03
   0.277372E-03   0.200248E+08   0.200244E+08   0.182847E+08   0.180685E+08   0.200247E+08   0.200247E+08   0.200247E+08   0.200293E+08  -0.448043E+00   0.968873E+07   0.968861E+07   0.144712E+03
   0.306564E-03   0.199983E+08   0.199978E+08   0.167674E+08   0.165211E+08   0.199982E+08   0.199982E+08   0.199982E+08   0.200024E+08  -0.447733E+00   0.969160E+07   0.969146E+07   0.156562E+03
   0.338828E-03   0.199673E+08   0.199667E+08   0.150757E+08   0.147996E+08   0.199671E+08   0.199672E+08   0.199672E+08   0.199710E+08  -0.447335E+00   0.969406E+07   0.969389E+07   0.168633E+03
   0.374488E-03   0.199313E+08   0.199305E+08   0.132299E+08   0.129266E+08   0.199310E+08   0.199311E+08   0.199311E+08   0.199344E+08  -0.446830E+00   0.969575E+07   0.969554E+07   0.180681E+03
   0.413901E-03   0.198898E+08   0.198889E+08   0.112701E+08   0.109452E+08   0.198894E+08   0.198896E+08   0.198896E+08   0.198924E+08  -0.446196E+00   0.969617E+07   0.969593E+07   0.192388E+03
   0.457462E-03   0.198425E+08   0.198414E+08   0.925975E+07   0.892275E+07   0.198420E+08   0.198423E+08   0.198423E+08   0.198446E+08  -0.445414E+00   0.969478E+07   0.969450E+07   0.203366E+03
   0.505608E-03   0.197894E+08   0.197881E+08   0.728662E+07   0.695090E+07   0.197888E+08   0.197891E+08   0.197891E+08   0.197909E+08  -0.444470E+00   0.969096E+07   0.969064E+07   0.213164E+03
   0.558821E-03   0.197304E+08   0.197289E+08   0.545741E+07   0.513998E+07   0.197296E+08   0.197301E+08   0.197301E+08   0.197314E+08  -0.443357E+00   0.968415E+07   0.968378E+07   0.221285E+03
   0.617635E-03   0.196659E+08   0.196641E+08   0.388405E+07   0.360358E+07   0.196650E+08   0.196655E+08   0.196656E+08   0.196665E+08  -0.442080E+00   0.967389E+07   0.967347E+07   0.227234E+03
   0.682638E-03   0.195964E+08   0.195944E+08   0.265930E+07   0.243273E+07   0.195953E+08   0.195960E+08   0.195960E+08   0.195966E+08  -0.440656E+00   0.965992E+07   0.965944E+07   0.230564E+03
   0.754482E-03   0.195226E+08   0.195203E+08   0.182531E+07   0.166284E+07   0.195212E+08   0.195221E+08   0.195222E+08   0.195226E+08  -0.439108E+00   0.964220E+07   0.964168E+07   0.230945E+03
   0.833888E-03   0.194452E+08   0.194426E+08   0.134576E+07   0.124582E+07   0.194435E+08   0.194447E+08   0.194447E+08   0.194450E+08  -0.437460E+00   0.962090E+07   0.962033E+07   0.228218E+03
   0.921651E-03   0.193649E+08   0.193620E+08   0.110200E+07   0.104867E+07   0.193628E+08   0.193643E+08   0.193644E+08   0.193645E+08  -0.435735E+00   0.959629E+07   0.959568E+07   0.222423E+03
   0.101865E-02   0.192822E+08   0.192790E+08   0.933559E+06   0.899878E+06   0.192795E+08   0.192815E+08   0.192816E+08   0.192817E+08  -0.433946E+00   0.956865E+07   0.956800E+07   0.213781E+03
   0.112586E-02   0.191972E+08   0.191938E+08   0.721894E+06   0.680343E+06   0.191941E+08   0.191965E+08   0.191967E+08   0.191967E+08  -0.432098E+00   0.953819E+07   0.953751E+07   0.202631E+03
   0.124435E-02   0.191101E+08   0.191065E+08   0.467569E+06   0.403605E+06   0.191062E+08   0.191093E+08   0.191095E+08   0.191094E+08  -0.430191E+00   0.950502E+07   0.950431E+07   0.189372E+03
   0.137531E-02   0.190205E+08   0.190166E+08   0.273755E+06   0.192337E+06   0.190157E+08   0.190195E+08   0.190198E+08   0.190196E+08  -0.428218E+00   0.946910E+07   0.946838E+07   0.174470E+03
   0.152006E-02   0.189277E+08   0.189238E+08   0.207549E+06   0.124942E+06   0.189218E+08   0.189267E+08   0.189271E+08   0.189268E+08  -0.426169E+00   0.943031E+07   0.942958E+07   0.158529E+03
   0.168004E-02   0.188311E+08   0.188272E+08   0.188304E+06  -0.233402E+06   0.188239E+08   0.188300E+08   0.188305E+08   0.188300E+08  -0.424026E+00   0.938842E+07   0.938771E+07   0.142335E+03
   0.185685E-02   0.187297E+08   0.187257E+08   0.109786E+06  -0.189035E+06   0.187208E+08   0.187284E+08   0.187290E+08   0.187284E+08  -0.421769E+00   0.934307E+07   0.934236E+07   0.126732E+03
   0.205228E-02   0.186222E+08   0.186182E+08   0.367097E+05  -0.153186E+06   0.186114E+08   0.186208E+08   0.186215E+08   0.186208E+08  -0.419371E+00   0.929380E+07   0.929311E+07   0.112423E+03
   0.226827E-02   0.185073E+08   0.185033E+08   0.452596E+05  -0.124175E+06   0.184942E+08   0.185058E+08   0.185066E+08   0.185058E+08  -0.416802E+00   0.924008E+07   0.923940E+07   0.998906E+02
   0.250700E-02   0.183836E+08   0.183795E+08   0.296786E+05  -0.100670E+06   0.183677E+08   0.183819E+08   0.183829E+08   0.183819E+08  -0.414029E+00   0.918128E+07   0.918061E+07   0.893563E+02
   0.277085E-02   0.182495E+08   0.182453E+08   0.342875E+04  -0.816074E+05   0.182301E+08   0.182475E+08   0.182488E+08   0.182475E+08  -0.411017E+00   0.911670E+07   0.911603E+07   0.806202E+02
   0.306246E-02   0.181032E+08   0.180988E+08   0.104903E+05  -0.661352E+05   0.180797E+08   0.181009E+08   0.181025E+08   0.181009E+08  -0.407728E+00   0.904556E+07   0.904489E+07   0.731413E+02
   0.338478E-02   0.179430E+08   0.179383E+08  -0.727181E+04  -0.535706E+05   0.179146E+08   0.179403E+08   0.179422E+08   0.179403E+08  -0.404120E+00   0.896703E+07   0.896636E+07   0.663248E+02
   0.374101E-02   0.177669E+08   0.177619E+08  -0.537064E+04  -0.433637E+05   0.177326E+08   0.177637E+08   0.177660E+08   0.177637E+08  -0.400152E+00   0.888021E+07   0.887954E+07   0.597925E+02
   0.413473E-02   0.175729E+08   0.175676E+08  -0.693335E+04  -0.350710E+05   0.175316E+08   0.175692E+08   0.175720E+08   0.175692E+08  -0.395776E+00   0.878414E+07   0.878347E+07   0.536012E+02
   0.456989E-02   0.173588E+08   0.173532E+08  -0.632904E+04  -0.283338E+05   0.173092E+08   0.173545E+08   0.173579E+08   0.173545E+08  -0.390946E+00   0.867778E+07   0.867712E+07   0.480413E+02
   0.505085E-02   0.171225E+08   0.171164E+08  -0.289964E+04  -0.228613E+05   0.170631E+08   0.171175E+08   0.171215E+08   0.171175E+08  -0.385611E+00   0.856005E+07   0.855939E+07   0.432391E+02
   0.558243E-02   0.168617E+08   0.168550E+08  -0.323827E+04  -0.184180E+05   0.167907E+08   0.168557E+08   0.168606E+08   0.168557E+08  -0.379718E+00   0.842983E+07   0.842918E+07   0.389849E+02
   0.616996E-02   0.165739E+08   0.165665E+08  -0.319995E+04  -0.148124E+05   0.164896E+08   0.165669E+08   0.165727E+08   0.165669E+08  -0.373216E+00   0.828597E+07   0.828532E+07   0.350394E+02
   0.681932E-02   0.162569E+08   0.162487E+08  -0.383809E+04  -0.118886E+05   0.161572E+08   0.162487E+08   0.162555E+08   0.162487E+08  -0.366049E+00   0.812730E+07   0.812665E+07   0.314560E+02
   0.753702E-02   0.159082E+08   0.158990E+08  -0.370412E+04  -0.952015E+04   0.157909E+08   0.158987E+08   0.159067E+08   0.158987E+08  -0.358165E+00   0.795263E+07   0.795199E+07   0.283146E+02
   0.833025E-02   0.155256E+08   0.155152E+08  -0.200467E+04  -0.760369E+04   0.153885E+08   0.155145E+08   0.155238E+08   0.155145E+08  -0.349512E+00   0.776082E+07   0.776019E+07   0.254839E+02
   0.920698E-02   0.151068E+08   0.150950E+08  -0.390684E+04  -0.605515E+04   0.149477E+08   0.150940E+08   0.151048E+08   0.150940E+08  -0.340040E+00   0.755082E+07   0.755018E+07   0.229331E+02
   0.101760E-01   0.146500E+08   0.146366E+08  -0.236015E+04  -0.480601E+04   0.144668E+08   0.146353E+08   0.146478E+08   0.146353E+08  -0.329707E+00   0.732166E+07   0.732103E+07   0.206756E+02
   0.112469E-01   0.141537E+08   0.141383E+08  -0.232442E+04  -0.380035E+04   0.139444E+08   0.141368E+08   0.141511E+08   0.141368E+08  -0.318478E+00   0.707260E+07   0.707197E+07   0.186495E+02
   0.124306E-01   0.136167E+08   0.135990E+08  -0.202750E+04  -0.299259E+04   0.133797E+08   0.135976E+08   0.136137E+08   0.135976E+08  -0.306330E+00   0.680312E+07   0.680250E+07   0.168519E+02
   0.137389E-01   0.130387E+08   0.130184E+08  -0.167994E+04  -0.234554E+04   0.127727E+08   0.130171E+08   0.130353E+08   0.130171E+08  -0.293255E+00   0.651305E+07   0.651242E+07   0.152474E+02
   0.151849E-01   0.124201E+08   0.123969E+08  -0.106206E+04  -0.182884E+04   0.121242E+08   0.123960E+08   0.124162E+08   0.123960E+08  -0.279263E+00   0.620259E+07   0.620197E+07   0.138180E+02
   0.167830E-01   0.117742E+08   0.117477E+08  -0.103748E+04  -0.141917E+04   0.114478E+08   0.117475E+08   0.117697E+08   0.117475E+08  -0.264652E+00   0.587843E+07   0.587780E+07   0.125469E+02
   0.185493E-01   0.110820E+08   0.110520E+08  -0.767058E+03  -0.109342E+04   0.107258E+08   0.110527E+08   0.110770E+08   0.110527E+08  -0.249001E+00   0.553114E+07   0.553050E+07   0.113925E+02
   0.205016E-01   0.103584E+08   0.103246E+08  -0.463692E+03  -0.836623E+03   0.997350E+07   0.103265E+08   0.103527E+08   0.103265E+08  -0.232640E+00   0.516809E+07   0.516746E+07   0.103382E+02
   0.226592E-01   0.960165E+07   0.956417E+07  -0.410947E+03  -0.634846E+03   0.919083E+07   0.956738E+07   0.959536E+07   0.956738E+07  -0.215539E+00   0.478860E+07   0.478797E+07   0.935444E+01
   0.250440E-01   0.883708E+07   0.879606E+07  -0.310148E+03  -0.478332E+03   0.840327E+07   0.880067E+07   0.883019E+07   0.880066E+07  -0.198266E+00   0.440529E+07   0.440465E+07   0.842422E+01
