#    L    TT             EE             BB             TE          
     2    0.99375E+03    0.55858E-01    0.30928E-05    0.44788E+01
     3    0.95535E+03    0.91007E-01    0.61868E-05    0.50363E+01
     4    0.92279E+03    0.10037E+00    0.10314E-04    0.49048E+01
     5    0.89766E+03    0.86519E-01    0.15475E-04    0.43931E+01
     6    0.87925E+03    0.61733E-01    0.21673E-04    0.37145E+01
     7    0.86732E+03    0.37930E-01    0.28909E-04    0.30060E+01
     8    0.86096E+03    0.21445E-01    0.37185E-04    0.23607E+01
     9    0.85917E+03    0.12859E-01    0.46505E-04    0.18309E+01
    10    0.86070E+03    0.95722E-02    0.56871E-04    0.14437E+01
    11    0.86429E+03    0.85594E-02    0.68287E-04    0.12040E+01
    12    0.87053E+03    0.79855E-02    0.80755E-04    0.10975E+01
    13    0.87791E+03    0.71946E-02    0.94280E-04    0.10923E+01
    14    0.88568E+03    0.65256E-02    0.10886E-03    0.11532E+01
    15    0.89428E+03    0.62010E-02    0.12451E-03    0.12514E+01
    16    0.90429E+03    0.63106E-02    0.14123E-03    0.13616E+01
    17    0.91576E+03    0.67508E-02    0.15902E-03    0.14608E+01
    18    0.92784E+03    0.72161E-02    0.17788E-03    0.15334E+01
    19    0.94134E+03    0.76364E-02    0.19782E-03    0.15828E+01
    20    0.95458E+03    0.80765E-02    0.21885E-03    0.16147E+01
    21    0.96792E+03    0.86396E-02    0.24096E-03    0.16374E+01
    22    0.98170E+03    0.94968E-02    0.26417E-03    0.16583E+01
    23    0.99574E+03    0.10693E-01    0.28846E-03    0.16820E+01
    24    0.10101E+04    0.12207E-01    0.31386E-03    0.17121E+01
    25    0.10247E+04    0.14040E-01    0.34036E-03    0.17515E+01
    26    0.10393E+04    0.16157E-01    0.36796E-03    0.18027E+01
    27    0.10543E+04    0.18514E-01    0.39666E-03    0.18624E+01
    28    0.10695E+04    0.21090E-01    0.42648E-03    0.19253E+01
    29    0.10850E+04    0.23855E-01    0.45740E-03    0.19799E+01
    30    0.11009E+04    0.26796E-01    0.48944E-03    0.20149E+01
    31    0.11168E+04    0.29923E-01    0.52260E-03    0.20319E+01
    32    0.11330E+04    0.33239E-01    0.55686E-03    0.20348E+01
    33    0.11494E+04    0.36739E-01    0.59225E-03    0.20232E+01
    34    0.11659E+04    0.40443E-01    0.62875E-03    0.19966E+01
    35    0.11827E+04    0.44407E-01    0.66637E-03    0.19553E+01
    36    0.11997E+04    0.48692E-01    0.70510E-03    0.18993E+01
    37    0.12168E+04    0.53290E-01    0.74495E-03    0.18306E+01
    38    0.12342E+04    0.58189E-01    0.78592E-03    0.17539E+01
    39    0.12520E+04    0.63385E-01    0.82800E-03    0.16707E+01
    40    0.12699E+04    0.68881E-01    0.87120E-03    0.15823E+01
    41    0.12881E+04    0.74685E-01    0.91551E-03    0.14887E+01
    42    0.13063E+04    0.80802E-01    0.96093E-03    0.13870E+01
    43    0.13247E+04    0.87231E-01    0.10075E-02    0.12739E+01
    44    0.13431E+04    0.93962E-01    0.10551E-02    0.11468E+01
    45    0.13619E+04    0.10099E+00    0.11038E-02    0.10031E+01
    46    0.13811E+04    0.10832E+00    0.11537E-02    0.83911E+00
    47    0.14004E+04    0.11594E+00    0.12046E-02    0.65642E+00
    48    0.14199E+04    0.12387E+00    0.12566E-02    0.46046E+00
    49    0.14396E+04    0.13208E+00    0.13097E-02    0.25610E+00
    50    0.14597E+04    0.14056E+00    0.13640E-02    0.41439E-01
    51    0.14799E+04    0.14928E+00    0.14193E-02   -0.18714E+00
    52    0.15005E+04    0.15831E+00    0.14757E-02   -0.43444E+00
    53    0.15212E+04    0.16781E+00    0.15331E-02   -0.70368E+00
    54    0.15418E+04    0.17776E+00    0.15917E-02   -0.99013E+00
    55    0.15627E+04    0.18814E+00    0.16513E-02   -0.12889E+01
    56    0.15839E+04    0.19879E+00    0.17120E-02   -0.16014E+01
    57    0.16056E+04    0.20961E+00    0.17738E-02   -0.19268E+01
    58    0.16276E+04    0.22060E+00    0.18367E-02   -0.22654E+01
    59    0.16498E+04    0.23181E+00    0.19006E-02   -0.26172E+01
    60    0.16722E+04    0.24329E+00    0.19657E-02   -0.29811E+01
    61    0.16952E+04    0.25513E+00    0.20317E-02   -0.33557E+01
    62    0.17181E+04    0.26731E+00    0.20989E-02   -0.37427E+01
    63    0.17412E+04    0.27979E+00    0.21671E-02   -0.41439E+01
    64    0.17647E+04    0.29257E+00    0.22364E-02   -0.45611E+01
    65    0.17883E+04    0.30562E+00    0.23068E-02   -0.49959E+01
    66    0.18122E+04    0.31887E+00    0.23783E-02   -0.54471E+01
    67    0.18364E+04    0.33232E+00    0.24508E-02   -0.59117E+01
    68    0.18610E+04    0.34600E+00    0.25244E-02   -0.63877E+01
    69    0.18859E+04    0.35987E+00    0.25992E-02   -0.68732E+01
    70    0.19112E+04    0.37397E+00    0.26750E-02   -0.73695E+01
    71    0.19368E+04    0.38828E+00    0.27518E-02   -0.78786E+01
    72    0.19625E+04    0.40277E+00    0.28298E-02   -0.84011E+01
    73    0.19885E+04    0.41741E+00    0.29089E-02   -0.89365E+01
    74    0.20148E+04    0.43219E+00    0.29891E-02   -0.94831E+01
    75    0.20413E+04    0.44710E+00    0.30704E-02   -0.10039E+02
    76    0.20682E+04    0.46216E+00    0.31529E-02   -0.10601E+02
    77    0.20954E+04    0.47734E+00    0.32364E-02   -0.11172E+02
