#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.107196E-04   0.180853E+08   0.180853E+08   0.241015E+08   0.241011E+08   0.180854E+08   0.180853E+08   0.180853E+08   0.180913E+08  -0.625929E+00   0.110802E+08   0.110802E+08   0.545312E+01
   0.118408E-04   0.180853E+08   0.180853E+08   0.240988E+08   0.240983E+08   0.180854E+08   0.180853E+08   0.180853E+08   0.180913E+08  -0.625932E+00   0.110802E+08   0.110802E+08   0.602332E+01
   0.130793E-04   0.180853E+08   0.180853E+08   0.240955E+08   0.240950E+08   0.180854E+08   0.180853E+08   0.180853E+08   0.180913E+08  -0.625935E+00   0.110803E+08   0.110803E+08   0.665311E+01
   0.144474E-04   0.180853E+08   0.180853E+08   0.240915E+08   0.240909E+08   0.180854E+08   0.180853E+08   0.180853E+08   0.180914E+08  -0.625940E+00   0.110804E+08   0.110804E+08   0.734869E+01
   0.159585E-04   0.180853E+08   0.180853E+08   0.240867E+08   0.240858E+08   0.180854E+08   0.180853E+08   0.180853E+08   0.180914E+08  -0.625945E+00   0.110805E+08   0.110805E+08   0.811691E+01
   0.176278E-04   0.180854E+08   0.180854E+08   0.240807E+08   0.240797E+08   0.180855E+08   0.180854E+08   0.180854E+08   0.180914E+08  -0.625951E+00   0.110807E+08   0.110807E+08   0.896533E+01
   0.194716E-04   0.180854E+08   0.180854E+08   0.240735E+08   0.240722E+08   0.180855E+08   0.180854E+08   0.180854E+08   0.180914E+08  -0.625959E+00   0.110808E+08   0.110808E+08   0.990229E+01
   0.215083E-04   0.180854E+08   0.180854E+08   0.240646E+08   0.240631E+08   0.180855E+08   0.180854E+08   0.180854E+08   0.180914E+08  -0.625969E+00   0.110811E+08   0.110811E+08   0.109370E+02
   0.237580E-04   0.180854E+08   0.180854E+08   0.240538E+08   0.240520E+08   0.180855E+08   0.180855E+08   0.180854E+08   0.180915E+08  -0.625980E+00   0.110813E+08   0.110813E+08   0.120795E+02
   0.262431E-04   0.180855E+08   0.180855E+08   0.240407E+08   0.240385E+08   0.180856E+08   0.180855E+08   0.180855E+08   0.180915E+08  -0.625994E+00   0.110816E+08   0.110816E+08   0.133411E+02
   0.289880E-04   0.180855E+08   0.180855E+08   0.240246E+08   0.240219E+08   0.180856E+08   0.180856E+08   0.180855E+08   0.180916E+08  -0.626012E+00   0.110820E+08   0.110820E+08   0.147339E+02
   0.320201E-04   0.180856E+08   0.180856E+08   0.240051E+08   0.240018E+08   0.180857E+08   0.180856E+08   0.180856E+08   0.180916E+08  -0.626033E+00   0.110825E+08   0.110825E+08   0.162715E+02
   0.353693E-04   0.180857E+08   0.180857E+08   0.239812E+08   0.239772E+08   0.180858E+08   0.180857E+08   0.180857E+08   0.180917E+08  -0.626058E+00   0.110831E+08   0.110831E+08   0.179688E+02
   0.390689E-04   0.180858E+08   0.180858E+08   0.239522E+08   0.239473E+08   0.180859E+08   0.180858E+08   0.180858E+08   0.180918E+08  -0.626090E+00   0.110838E+08   0.110838E+08   0.198419E+02
   0.431554E-04   0.180859E+08   0.180859E+08   0.239168E+08   0.239108E+08   0.180860E+08   0.180859E+08   0.180859E+08   0.180919E+08  -0.626128E+00   0.110847E+08   0.110847E+08   0.219087E+02
   0.476694E-04   0.180860E+08   0.180860E+08   0.238736E+08   0.238664E+08   0.180861E+08   0.180861E+08   0.180860E+08   0.180920E+08  -0.626175E+00   0.110857E+08   0.110857E+08   0.241887E+02
   0.526555E-04   0.180862E+08   0.180862E+08   0.238211E+08   0.238122E+08   0.180863E+08   0.180862E+08   0.180862E+08   0.180922E+08  -0.626231E+00   0.110870E+08   0.110870E+08   0.267032E+02
   0.581631E-04   0.180864E+08   0.180864E+08   0.237572E+08   0.237463E+08   0.180865E+08   0.180864E+08   0.180864E+08   0.180924E+08  -0.626301E+00   0.110886E+08   0.110886E+08   0.294753E+02
   0.642469E-04   0.180867E+08   0.180867E+08   0.236794E+08   0.236662E+08   0.180868E+08   0.180867E+08   0.180867E+08   0.180926E+08  -0.626385E+00   0.110905E+08   0.110905E+08   0.325301E+02
   0.709670E-04   0.180870E+08   0.180870E+08   0.235847E+08   0.235687E+08   0.180871E+08   0.180870E+08   0.180870E+08   0.180929E+08  -0.626488E+00   0.110928E+08   0.110928E+08   0.358947E+02
   0.783900E-04   0.180874E+08   0.180874E+08   0.234698E+08   0.234503E+08   0.180875E+08   0.180874E+08   0.180874E+08   0.180933E+08  -0.626614E+00   0.110956E+08   0.110956E+08   0.395980E+02
   0.865894E-04   0.180879E+08   0.180878E+08   0.233303E+08   0.233066E+08   0.180880E+08   0.180879E+08   0.180879E+08   0.180937E+08  -0.626767E+00   0.110991E+08   0.110991E+08   0.436710E+02
   0.956464E-04   0.180885E+08   0.180884E+08   0.231611E+08   0.231324E+08   0.180885E+08   0.180885E+08   0.180885E+08   0.180942E+08  -0.626953E+00   0.111033E+08   0.111033E+08   0.481464E+02
   0.105651E-03   0.180892E+08   0.180891E+08   0.229562E+08   0.229215E+08   0.180892E+08   0.180892E+08   0.180892E+08   0.180949E+08  -0.627180E+00   0.111084E+08   0.111084E+08   0.530580E+02
   0.116702E-03   0.180900E+08   0.180900E+08   0.227086E+08   0.226666E+08   0.180901E+08   0.180900E+08   0.180900E+08   0.180957E+08  -0.627456E+00   0.111146E+08   0.111146E+08   0.584408E+02
   0.128908E-03   0.180911E+08   0.180910E+08   0.224099E+08   0.223593E+08   0.180912E+08   0.180911E+08   0.180911E+08   0.180967E+08  -0.627792E+00   0.111222E+08   0.111222E+08   0.643296E+02
   0.142392E-03   0.180924E+08   0.180923E+08   0.220506E+08   0.219895E+08   0.180925E+08   0.180924E+08   0.180924E+08   0.180979E+08  -0.628200E+00   0.111314E+08   0.111314E+08   0.707582E+02
   0.157286E-03   0.180940E+08   0.180939E+08   0.216195E+08   0.215462E+08   0.180940E+08   0.180940E+08   0.180940E+08   0.180994E+08  -0.628695E+00   0.111426E+08   0.111426E+08   0.777575E+02
   0.173738E-03   0.180959E+08   0.180958E+08   0.211045E+08   0.210168E+08   0.180960E+08   0.180959E+08   0.180959E+08   0.181012E+08  -0.629295E+00   0.111562E+08   0.111561E+08   0.853537E+02
