#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.14231E+04    0.71358E-01    0.25723E-01    0.46742E+01    0.89654E-07   -0.40325E-02   -0.18092E-04
     3    0.12770E+04    0.10967E+00    0.29427E-01    0.44834E+01    0.10716E-06   -0.37886E-02   -0.21458E-04
     4    0.12204E+04    0.12022E+00    0.28595E-01    0.41368E+01    0.12170E-06   -0.36298E-02   -0.21331E-04
     5    0.11860E+04    0.10551E+00    0.24832E-01    0.36182E+01    0.13402E-06   -0.35111E-02   -0.18679E-04
     6    0.11636E+04    0.78138E-01    0.19838E-01    0.30318E+01    0.14451E-06   -0.34106E-02   -0.14485E-04
     7    0.11503E+04    0.50704E-01    0.14910E-01    0.24522E+01    0.15353E-06   -0.33203E-02   -0.97123E-05
     8    0.11437E+04    0.30527E-01    0.10808E-01    0.19309E+01    0.16132E-06   -0.32411E-02   -0.51227E-05
     9    0.11423E+04    0.19017E-01    0.78169E-02    0.14949E+01    0.16808E-06   -0.31731E-02   -0.12802E-05
    10    0.11447E+04    0.14010E-01    0.59128E-02    0.11633E+01    0.17393E-06   -0.31099E-02    0.14093E-05
    11    0.11492E+04    0.12394E-01    0.49249E-02    0.93970E+00    0.17905E-06   -0.30462E-02    0.27611E-05
    12    0.11560E+04    0.11940E-01    0.46300E-02    0.81869E+00    0.18349E-06   -0.29805E-02    0.28899E-05
    13    0.11637E+04    0.11616E-01    0.48196E-02    0.77607E+00    0.18733E-06   -0.29147E-02    0.21796E-05
    14    0.11720E+04    0.11462E-01    0.53093E-02    0.78356E+00    0.19065E-06   -0.28512E-02    0.10147E-05
    15    0.11815E+04    0.11666E-01    0.59863E-02    0.82212E+00    0.19353E-06   -0.27903E-02   -0.37953E-06
    16    0.11926E+04    0.12353E-01    0.67667E-02    0.87576E+00    0.19600E-06   -0.27316E-02   -0.18052E-05
    17    0.12049E+04    0.13477E-01    0.76102E-02    0.92843E+00    0.19811E-06   -0.26751E-02   -0.30077E-05
    18    0.12174E+04    0.14776E-01    0.84918E-02    0.96817E+00    0.19990E-06   -0.26208E-02   -0.37586E-05
    19    0.12308E+04    0.16141E-01    0.94024E-02    0.99285E+00    0.20140E-06   -0.25687E-02   -0.39794E-05
    20    0.12436E+04    0.17580E-01    0.10338E-01    0.10008E+01    0.20263E-06   -0.25187E-02   -0.36884E-05
    21    0.12562E+04    0.19142E-01    0.11296E-01    0.99693E+00    0.20362E-06   -0.24700E-02   -0.31434E-05
    22    0.12690E+04    0.20956E-01    0.12275E-01    0.98642E+00    0.20440E-06   -0.24221E-02   -0.26060E-05
    23    0.12818E+04    0.23081E-01    0.13273E-01    0.97427E+00    0.20498E-06   -0.23757E-02   -0.21276E-05
    24    0.12947E+04    0.25512E-01    0.14289E-01    0.96408E+00    0.20539E-06   -0.23312E-02   -0.17111E-05
    25    0.13077E+04    0.28238E-01    0.15319E-01    0.95427E+00    0.20564E-06   -0.22881E-02   -0.13731E-05
    26    0.13207E+04    0.31208E-01    0.16361E-01    0.94432E+00    0.20575E-06   -0.22456E-02   -0.11468E-05
    27    0.13337E+04    0.34409E-01    0.17416E-01    0.93606E+00    0.20572E-06   -0.22037E-02   -0.11191E-05
    28    0.13469E+04    0.37853E-01    0.18486E-01    0.93113E+00    0.20559E-06   -0.21625E-02   -0.13468E-05
    29    0.13601E+04    0.41516E-01    0.19570E-01    0.92302E+00    0.20533E-06   -0.21221E-02   -0.17151E-05
    30    0.13735E+04    0.45385E-01    0.20667E-01    0.90321E+00    0.20496E-06   -0.20826E-02   -0.20751E-05
    31    0.13869E+04    0.49478E-01    0.21773E-01    0.86965E+00    0.20449E-06   -0.20444E-02   -0.23096E-05
    32    0.14003E+04    0.53802E-01    0.22887E-01    0.82224E+00    0.20395E-06   -0.20075E-02   -0.23448E-05
    33    0.14140E+04    0.58332E-01    0.24008E-01    0.76232E+00    0.20333E-06   -0.19714E-02   -0.22502E-05
    34    0.14276E+04    0.63060E-01    0.25135E-01    0.69175E+00    0.20264E-06   -0.19357E-02   -0.21190E-05
    35    0.14413E+04    0.68013E-01    0.26267E-01    0.60995E+00    0.20189E-06   -0.19006E-02   -0.19995E-05
    36    0.14549E+04    0.73236E-01    0.27400E-01    0.51533E+00    0.20108E-06   -0.18663E-02   -0.19070E-05
    37    0.14686E+04    0.78763E-01    0.28535E-01    0.40856E+00    0.20022E-06   -0.18329E-02   -0.17700E-05
    38    0.14826E+04    0.84617E-01    0.29674E-01    0.29256E+00    0.19931E-06   -0.18007E-02   -0.15279E-05
    39    0.14968E+04    0.90776E-01    0.30813E-01    0.16829E+00    0.19836E-06   -0.17694E-02   -0.12496E-05
    40    0.15110E+04    0.97209E-01    0.31950E-01    0.36013E-01    0.19737E-06   -0.17386E-02   -0.10358E-05
    41    0.15254E+04    0.10390E+00    0.33080E-01   -0.10446E+00    0.19634E-06   -0.17082E-02   -0.96325E-06
    42    0.15397E+04    0.11085E+00    0.34203E-01   -0.25428E+00    0.19527E-06   -0.16783E-02   -0.10123E-05
    43    0.15541E+04    0.11809E+00    0.35317E-01   -0.41482E+00    0.19418E-06   -0.16489E-02   -0.11398E-05
    44    0.15684E+04    0.12562E+00    0.36422E-01   -0.58656E+00    0.19305E-06   -0.16204E-02   -0.13025E-05
    45    0.15830E+04    0.13346E+00    0.37515E-01   -0.76990E+00    0.19190E-06   -0.15927E-02   -0.14574E-05
