#           k/h    P           
    0.10000E-03    0.48096E+03
    0.10202E-03    0.49028E+03
    0.10408E-03    0.49978E+03
    0.10618E-03    0.50947E+03
    0.10833E-03    0.51935E+03
    0.11052E-03    0.52942E+03
    0.11275E-03    0.53968E+03
    0.11503E-03    0.55014E+03
    0.11735E-03    0.56081E+03
    0.11972E-03    0.57168E+03
    0.12214E-03    0.58276E+03
    0.12461E-03    0.59405E+03
    0.12712E-03    0.60557E+03
    0.12969E-03    0.61731E+03
    0.13231E-03    0.62928E+03
    0.13499E-03    0.64147E+03
    0.13771E-03    0.65391E+03
    0.14049E-03    0.66658E+03
    0.14333E-03    0.67951E+03
    0.14623E-03    0.69268E+03
    0.14918E-03    0.70610E+03
    0.15220E-03    0.71979E+03
    0.15527E-03    0.73375E+03
    0.15841E-03    0.74797E+03
    0.16161E-03    0.76247E+03
    0.16487E-03    0.77725E+03
    0.16820E-03    0.79231E+03
    0.17160E-03    0.80767E+03
    0.17507E-03    0.82333E+03
    0.17860E-03    0.83929E+03
    0.18221E-03    0.85556E+03
    0.18589E-03    0.87214E+03
    0.18965E-03    0.88905E+03
    0.19348E-03    0.90628E+03
    0.19739E-03    0.92385E+03
    0.20138E-03    0.94176E+03
    0.20544E-03    0.96002E+03
    0.20959E-03    0.97863E+03
    0.21383E-03    0.99760E+03
    0.21815E-03    0.10169E+04
    0.22255E-03    0.10367E+04
    0.22705E-03    0.10567E+04
    0.23164E-03    0.10772E+04
    0.23632E-03    0.10981E+04
    0.24109E-03    0.11194E+04
    0.24596E-03    0.11411E+04
    0.25093E-03    0.11632E+04
    0.25600E-03    0.11858E+04
    0.26117E-03    0.12088E+04
    0.26645E-03    0.12322E+04
    0.27183E-03    0.12561E+04
    0.27732E-03    0.12805E+04
    0.28292E-03    0.13053E+04
    0.28864E-03    0.13306E+04
    0.29447E-03    0.13564E+04
    0.30042E-03    0.13827E+04
    0.30649E-03    0.14095E+04
    0.31268E-03    0.14368E+04
    0.31899E-03    0.14647E+04
    0.32544E-03    0.14931E+04
    0.33201E-03    0.15221E+04
    0.33872E-03    0.15516E+04
    0.34556E-03    0.15817E+04
    0.35254E-03    0.16124E+04
    0.35966E-03    0.16437E+04
    0.36693E-03    0.16756E+04
    0.37434E-03    0.17081E+04
    0.38190E-03    0.17412E+04
    0.38962E-03    0.17750E+04
    0.39749E-03    0.18095E+04
    0.40552E-03    0.18446E+04
    0.41371E-03    0.18804E+04
    0.42207E-03    0.19170E+04
    0.43060E-03    0.19542E+04
    0.43929E-03    0.19922E+04
    0.44817E-03    0.20309E+04
    0.45722E-03    0.20703E+04
    0.46646E-03    0.21106E+04
    0.47588E-03    0.21516E+04
    0.48550E-03    0.21935E+04
    0.49530E-03    0.22361E+04
    0.50531E-03    0.22796E+04
    0.51552E-03    0.23240E+04
    0.52593E-03    0.23693E+04
    0.53656E-03    0.24154E+04
    0.54739E-03    0.24625E+04
    0.55845E-03    0.25105E+04
    0.56973E-03    0.25595E+04
    0.58124E-03    0.26094E+04
    0.59299E-03    0.26604E+04
    0.60496E-03    0.27123E+04
    0.61719E-03    0.27654E+04
    0.62965E-03    0.28194E+04
    0.64237E-03    0.28746E+04
    0.65535E-03    0.29309E+04
    0.66859E-03    0.29884E+04
    0.68210E-03    0.30470E+04
    0.69588E-03    0.31068E+04
    0.70993E-03    0.31679E+04
    0.72427E-03    0.32302E+04
    0.73891E-03    0.32938E+04
    0.75383E-03    0.33587E+04
    0.76906E-03    0.34250E+04
    0.78460E-03    0.34926E+04
    0.80045E-03    0.35617E+04
    0.81662E-03    0.36322E+04
    0.83311E-03    0.37043E+04
    0.84994E-03    0.37778E+04
    0.86711E-03    0.38530E+04
    0.88463E-03    0.39297E+04
    0.90250E-03    0.40082E+04
    0.92073E-03    0.40883E+04
    0.93933E-03    0.41701E+04
    0.95831E-03    0.42538E+04
    0.97767E-03    0.43392E+04
    0.99742E-03    0.44266E+04
    0.10176E-02    0.45159E+04
    0.10381E-02    0.46072E+04
    0.10591E-02    0.47005E+04
    0.10805E-02    0.47959E+04
    0.11023E-02    0.48935E+04
    0.11246E-02    0.49933E+04
    0.11473E-02    0.50953E+04
    0.11705E-02    0.51996E+04
    0.11941E-02    0.53063E+04
    0.12182E-02    0.54155E+04
    0.12429E-02    0.55271E+04
    0.12680E-02    0.56413E+04
    0.12936E-02    0.57581E+04
    0.13197E-02    0.58775E+04
    0.13464E-02    0.59997E+04
    0.13736E-02    0.61246E+04
    0.14013E-02    0.62524E+04
    0.14296E-02    0.63831E+04
    0.14585E-02    0.65168E+04
    0.14880E-02    0.66534E+04
    0.15180E-02    0.67931E+04
    0.15487E-02    0.69359E+04
    0.15800E-02    0.70819E+04
    0.16119E-02    0.72311E+04
    0.16445E-02    0.73835E+04
    0.16777E-02    0.75392E+04
    0.17116E-02    0.76983E+04
    0.17462E-02    0.78607E+04
    0.17814E-02    0.80265E+04
    0.18174E-02    0.81958E+04
    0.18541E-02    0.83686E+04
    0.18916E-02    0.85449E+04
    0.19298E-02    0.87248E+04
    0.19688E-02    0.89082E+04
    0.20086E-02    0.90952E+04
    0.20491E-02    0.92859E+04
    0.20905E-02    0.94803E+04
    0.21328E-02    0.96784E+04
    0.21758E-02    0.98802E+04
    0.22198E-02    0.10086E+05
    0.22646E-02    0.10295E+05
    0.23104E-02    0.10509E+05
    0.23571E-02    0.10726E+05
