#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.91551E+03    0.43061E+01   -0.16463E-02    0.43061E+01    0.55248E-01   -0.73859E-05   -0.16463E-02   -0.73859E-05    0.14942E-07
     3    0.88562E+03    0.48379E+01   -0.10937E-02    0.48379E+01    0.89321E-01   -0.61945E-05   -0.10937E-02   -0.61945E-05    0.89300E-08
     4    0.85641E+03    0.47159E+01   -0.81165E-03    0.47159E+01    0.98932E-01   -0.47698E-05   -0.81165E-03   -0.47698E-05    0.60848E-08
     5    0.83263E+03    0.42370E+01   -0.64103E-03    0.42370E+01    0.86262E-01   -0.34102E-05   -0.64103E-03   -0.34102E-05    0.44672E-08
     6    0.81484E+03    0.36076E+01   -0.52627E-03    0.36076E+01    0.62563E-01   -0.22351E-05   -0.52627E-03   -0.22351E-05    0.34408E-08
     7    0.80323E+03    0.29556E+01   -0.44370E-03    0.29556E+01    0.39120E-01   -0.12979E-05   -0.44370E-03   -0.12979E-05    0.27417E-08
     8    0.79685E+03    0.23610E+01   -0.38197E-03    0.23610E+01    0.22317E-01   -0.60371E-06   -0.38197E-03   -0.60371E-06    0.22406E-08
     9    0.79471E+03    0.18651E+01   -0.33447E-03    0.18651E+01    0.13173E-01   -0.13494E-06   -0.33447E-03   -0.13494E-06    0.18675E-08
    10    0.79584E+03    0.14871E+01   -0.29652E-03    0.14871E+01    0.94811E-02    0.13437E-06   -0.29652E-03    0.13437E-06    0.15812E-08
    11    0.79909E+03    0.12340E+01   -0.26514E-03    0.12340E+01    0.83317E-02    0.24032E-06   -0.26514E-03    0.24032E-06    0.13565E-08
    12    0.80508E+03    0.10977E+01   -0.23861E-03    0.10977E+01    0.77620E-02    0.23274E-06   -0.23861E-03    0.23274E-06    0.11760E-08
    13    0.81228E+03    0.10522E+01   -0.21605E-03    0.10522E+01    0.69526E-02    0.16156E-06   -0.21605E-03    0.16156E-06    0.10293E-08
    14    0.81994E+03    0.10673E+01   -0.19675E-03    0.10673E+01    0.61239E-02    0.69750E-07   -0.19675E-03    0.69750E-07    0.90784E-09
    15    0.82846E+03    0.11220E+01   -0.18011E-03    0.11220E+01    0.55490E-02   -0.24499E-07   -0.18011E-03   -0.24499E-07    0.80637E-09
    16    0.83836E+03    0.11983E+01   -0.16562E-03    0.11983E+01    0.54065E-02   -0.10914E-06   -0.16562E-03   -0.10914E-06    0.72054E-09
    17    0.84965E+03    0.12794E+01   -0.15292E-03    0.12794E+01    0.56636E-02   -0.17194E-06   -0.15292E-03   -0.17194E-06    0.64741E-09
    18    0.86147E+03    0.13524E+01   -0.14171E-03    0.13524E+01    0.60602E-02   -0.20329E-06   -0.14171E-03   -0.20329E-06    0.58449E-09
    19    0.87469E+03    0.14141E+01   -0.13177E-03    0.14141E+01    0.64862E-02   -0.20414E-06   -0.13177E-03   -0.20414E-06    0.53001E-09
    20    0.88764E+03    0.14616E+01   -0.12290E-03    0.14616E+01    0.69470E-02   -0.18029E-06   -0.12290E-03   -0.18029E-06    0.48245E-09
    21    0.90070E+03    0.15000E+01   -0.11491E-03    0.15000E+01    0.74927E-02   -0.14624E-06   -0.11491E-03   -0.14624E-06    0.44073E-09
    22    0.91416E+03    0.15350E+01   -0.10768E-03    0.15350E+01    0.82571E-02   -0.11572E-06   -0.10768E-03   -0.11572E-06    0.40394E-09
    23    0.92788E+03    0.15710E+01   -0.10112E-03    0.15710E+01    0.93066E-02   -0.90558E-07   -0.10112E-03   -0.90558E-07    0.37135E-09
    24    0.94192E+03    0.16113E+01   -0.95171E-04    0.16113E+01    0.10643E-01   -0.69872E-07   -0.95171E-04   -0.69872E-07    0.34232E-09
    25    0.95623E+03    0.16537E+01   -0.89747E-04    0.16537E+01    0.12252E-01   -0.53856E-07   -0.89747E-04   -0.53856E-07    0.31637E-09
    26    0.97061E+03    0.16974E+01   -0.84755E-04    0.16974E+01    0.14084E-01   -0.43348E-07   -0.84755E-04   -0.43348E-07    0.29308E-09
    27    0.98532E+03    0.17439E+01   -0.80147E-04    0.17439E+01    0.16125E-01   -0.40701E-07   -0.80147E-04   -0.40701E-07    0.27212E-09
    28    0.10003E+04    0.17945E+01   -0.75888E-04    0.17945E+01    0.18391E-01   -0.47178E-07   -0.75888E-04   -0.47178E-07    0.25318E-09
    29    0.10155E+04    0.18432E+01   -0.71946E-04    0.18432E+01    0.20851E-01   -0.58146E-07   -0.71946E-04   -0.58146E-07    0.23601E-09
    30    0.10310E+04    0.18820E+01   -0.68293E-04    0.18820E+01    0.23482E-01   -0.68024E-07   -0.68293E-04   -0.68024E-07    0.22039E-09
    31    0.10466E+04    0.19082E+01   -0.64909E-04    0.19082E+01    0.26307E-01   -0.73329E-07   -0.64909E-04   -0.73329E-07    0.20614E-09
    32    0.10625E+04    0.19211E+01   -0.61776E-04    0.19211E+01    0.29339E-01   -0.72200E-07   -0.61776E-04   -0.72200E-07    0.19313E-09
    33    0.10786E+04    0.19218E+01   -0.58855E-04    0.19218E+01    0.32567E-01   -0.67178E-07   -0.58855E-04   -0.67178E-07    0.18122E-09
    34    0.10949E+04    0.19122E+01   -0.56114E-04    0.19122E+01    0.35992E-01   -0.61442E-07   -0.56114E-04   -0.61442E-07    0.17029E-09
    35    0.11113E+04    0.18914E+01   -0.53543E-04    0.18914E+01    0.39632E-01   -0.56329E-07   -0.53543E-04   -0.56329E-07    0.16023E-09
    36    0.11279E+04    0.18577E+01   -0.51135E-04    0.18577E+01    0.43523E-01   -0.52179E-07   -0.51135E-04   -0.52179E-07    0.15096E-09
    37    0.11446E+04    0.18117E+01   -0.48883E-04    0.18117E+01    0.47696E-01   -0.47204E-07   -0.48883E-04   -0.47204E-07    0.14240E-09
    38    0.11617E+04    0.17560E+01   -0.46775E-04    0.17560E+01    0.52177E-01   -0.39878E-07   -0.46775E-04   -0.39878E-07    0.13449E-09
    39    0.11791E+04    0.16917E+01   -0.44797E-04    0.16917E+01    0.56946E-01   -0.31854E-07   -0.44797E-04   -0.31854E-07    0.12715E-09
    40    0.11967E+04    0.16188E+01   -0.42932E-04    0.16188E+01    0.61977E-01   -0.25578E-07   -0.42932E-04   -0.25578E-07    0.12035E-09
    41    0.12145E+04    0.15369E+01   -0.41165E-04    0.15369E+01    0.67257E-01   -0.22906E-07   -0.41165E-04   -0.22906E-07    0.11401E-09
    42    0.12323E+04    0.14449E+01   -0.39492E-04    0.14449E+01    0.72797E-01   -0.23323E-07   -0.39492E-04   -0.23323E-07    0.10812E-09
    43    0.12502E+04    0.13413E+01   -0.37910E-04    0.13413E+01    0.78619E-01   -0.25722E-07   -0.37910E-04   -0.25722E-07    0.10262E-09
    44    0.12682E+04    0.12256E+01   -0.36416E-04    0.12256E+01    0.84727E-01   -0.28994E-07   -0.36416E-04   -0.28994E-07    0.97497E-10
    45    0.12866E+04    0.10973E+01   -0.35006E-04    0.10973E+01    0.91136E-01   -0.32033E-07   -0.35006E-04   -0.32033E-07    0.92707E-10
    46    0.13053E+04    0.95418E+00   -0.33678E-04    0.95418E+00    0.97859E-01   -0.33954E-07   -0.33678E-04   -0.33954E-07    0.88221E-10
    47    0.13241E+04    0.79676E+00   -0.32424E-04    0.79676E+00    0.10489E+00   -0.34765E-07   -0.32424E-04   -0.34765E-07    0.84016E-10
    48    0.13431E+04    0.62904E+00   -0.31235E-04    0.62904E+00    0.11222E+00   -0.34696E-07   -0.31235E-04   -0.34696E-07    0.80074E-10
    49    0.13622E+04    0.45437E+00   -0.30102E-04    0.45437E+00    0.11981E+00   -0.33977E-07   -0.30102E-04   -0.33977E-07    0.76374E-10
    50    0.13818E+04    0.26933E+00   -0.29019E-04    0.26933E+00    0.12764E+00   -0.32838E-07   -0.29019E-04   -0.32838E-07    0.72896E-10
    51    0.14015E+04    0.69197E-01   -0.27977E-04    0.69197E-01    0.13566E+00   -0.31476E-07   -0.27977E-04   -0.31476E-07    0.69623E-10
    52    0.14217E+04   -0.15036E+00   -0.26976E-04   -0.15036E+00    0.14396E+00   -0.29948E-07   -0.26976E-04   -0.29948E-07    0.66540E-10
    53    0.14418E+04   -0.39170E+00   -0.26016E-04   -0.39170E+00    0.15270E+00   -0.28275E-07   -0.26016E-04   -0.28275E-07    0.63636E-10
    54    0.14619E+04   -0.64922E+00   -0.25099E-04   -0.64922E+00    0.16188E+00   -0.26481E-07   -0.25099E-04   -0.26481E-07    0.60896E-10
    55    0.14822E+04   -0.91721E+00   -0.24225E-04   -0.91721E+00    0.17149E+00   -0.24588E-07   -0.24225E-04   -0.24588E-07    0.58309E-10
    56    0.15029E+04   -0.11964E+01   -0.23395E-04   -0.11964E+01    0.18138E+00   -0.22640E-07   -0.23395E-04   -0.22640E-07    0.55863E-10
    57    0.15239E+04   -0.14869E+01   -0.22605E-04   -0.14869E+01    0.19144E+00   -0.20774E-07   -0.22605E-04   -0.20774E-07    0.53549E-10
    58    0.15452E+04   -0.17901E+01   -0.21854E-04   -0.17901E+01    0.20168E+00   -0.19146E-07   -0.21854E-04   -0.19146E-07    0.51359E-10
    59    0.15668E+04   -0.21071E+01   -0.21139E-04   -0.21071E+01    0.21211E+00   -0.17916E-07   -0.21139E-04   -0.17916E-07    0.49285E-10
    60    0.15885E+04   -0.24378E+01   -0.20457E-04   -0.24378E+01    0.22279E+00   -0.17240E-07   -0.20457E-04   -0.17240E-07    0.47318E-10
    61    0.16108E+04   -0.27819E+01   -0.19804E-04   -0.27819E+01    0.23380E+00   -0.17219E-07   -0.19804E-04   -0.17219E-07    0.45451E-10
    62    0.16330E+04   -0.31398E+01   -0.19179E-04   -0.31398E+01    0.24513E+00   -0.17722E-07   -0.19179E-04   -0.17722E-07    0.43678E-10
    63    0.16553E+04   -0.35121E+01   -0.18579E-04   -0.35121E+01    0.25675E+00   -0.18561E-07   -0.18579E-04   -0.18561E-07    0.41994E-10
    64    0.16781E+04   -0.38996E+01   -0.18001E-04   -0.38996E+01    0.26867E+00   -0.19547E-07   -0.18001E-04   -0.19547E-07    0.40393E-10
    65    0.17009E+04   -0.43025E+01   -0.17443E-04   -0.43025E+01    0.28086E+00   -0.20493E-07   -0.17443E-04   -0.20493E-07    0.38871E-10
    66    0.17241E+04   -0.47186E+01   -0.16902E-04   -0.47186E+01    0.29327E+00   -0.21228E-07   -0.16902E-04   -0.21228E-07    0.37423E-10
    67    0.17475E+04   -0.51455E+01   -0.16379E-04   -0.51455E+01    0.30589E+00   -0.21661E-07   -0.16379E-04   -0.21661E-07    0.36043E-10
    68    0.17714E+04   -0.55820E+01   -0.15875E-04   -0.55820E+01    0.31876E+00   -0.21716E-07   -0.15875E-04   -0.21716E-07    0.34729E-10
    69    0.17955E+04   -0.60270E+01   -0.15389E-04   -0.60270E+01    0.33184E+00   -0.21321E-07   -0.15389E-04   -0.21321E-07    0.33476E-10
    70    0.18199E+04   -0.64826E+01   -0.14922E-04   -0.64826E+01    0.34515E+00   -0.20403E-07   -0.14922E-04   -0.20403E-07    0.32282E-10
    71    0.18445E+04   -0.69516E+01   -0.14475E-04   -0.69516E+01    0.35868E+00   -0.18945E-07   -0.14475E-04   -0.18945E-07    0.31142E-10
    72    0.18694E+04   -0.74349E+01   -0.14047E-04   -0.74349E+01    0.37240E+00   -0.17171E-07   -0.14047E-04   -0.17171E-07    0.30053E-10
    73    0.18944E+04   -0.79326E+01   -0.13637E-04   -0.79326E+01    0.38627E+00   -0.15361E-07   -0.13637E-04   -0.15361E-07    0.29013E-10
    74    0.19197E+04   -0.84431E+01   -0.13243E-04   -0.84431E+01    0.40029E+00   -0.13797E-07   -0.13243E-04   -0.13797E-07    0.28019E-10
    75    0.19453E+04   -0.89643E+01   -0.12864E-04   -0.89643E+01    0.41446E+00   -0.12758E-07   -0.12864E-04   -0.12758E-07    0.27068E-10
    76    0.19712E+04   -0.94952E+01   -0.12499E-04   -0.94952E+01    0.42877E+00   -0.12450E-07   -0.12499E-04   -0.12450E-07    0.26158E-10
