#    L    TT             EE             BB             TE          
     2    0.50754E+03    0.16110E-01    0.25723E-01    0.36815E+00
     3    0.39137E+03    0.20345E-01    0.29427E-01   -0.35451E+00
     4    0.36402E+03    0.21289E-01    0.28595E-01   -0.57911E+00
     5    0.35338E+03    0.19246E-01    0.24832E-01   -0.61885E+00
     6    0.34874E+03    0.15575E-01    0.19838E-01   -0.57580E+00
     7    0.34704E+03    0.11584E-01    0.14910E-01   -0.50344E+00
     8    0.34685E+03    0.82092E-02    0.10808E-01   -0.43011E+00
     9    0.34758E+03    0.58439E-02    0.78169E-02   -0.37023E+00
    10    0.34881E+03    0.45287E-02    0.59128E-02   -0.32386E+00
    11    0.35012E+03    0.40620E-02    0.49249E-02   -0.29426E+00
    12    0.35089E+03    0.41784E-02    0.46300E-02   -0.27906E+00
    13    0.35140E+03    0.46629E-02    0.48196E-02   -0.27611E+00
    14    0.35208E+03    0.53377E-02    0.53093E-02   -0.28372E+00
    15    0.35303E+03    0.61167E-02    0.59863E-02   -0.29984E+00
    16    0.35420E+03    0.69467E-02    0.67667E-02   -0.32254E+00
    17    0.35528E+03    0.78139E-02    0.76102E-02   -0.35094E+00
    18    0.35593E+03    0.87158E-02    0.84918E-02   -0.38427E+00
    19    0.35614E+03    0.96548E-02    0.94024E-02   -0.42124E+00
    20    0.35597E+03    0.10633E-01    0.10338E-01   -0.46075E+00
    21    0.35551E+03    0.11649E-01    0.11296E-01   -0.50306E+00
    22    0.35483E+03    0.12699E-01    0.12275E-01   -0.54855E+00
    23    0.35393E+03    0.13774E-01    0.13273E-01   -0.59678E+00
    24    0.35282E+03    0.14869E-01    0.14289E-01   -0.64718E+00
    25    0.35152E+03    0.15985E-01    0.15319E-01   -0.69938E+00
    26    0.35005E+03    0.17124E-01    0.16361E-01   -0.75306E+00
    27    0.34842E+03    0.18284E-01    0.17416E-01   -0.80780E+00
    28    0.34661E+03    0.19462E-01    0.18486E-01   -0.86335E+00
    29    0.34464E+03    0.20666E-01    0.19570E-01   -0.92020E+00
    30    0.34253E+03    0.21903E-01    0.20667E-01   -0.97880E+00
    31    0.34028E+03    0.23170E-01    0.21773E-01   -0.10386E+01
    32    0.33789E+03    0.24462E-01    0.22887E-01   -0.10989E+01
    33    0.33535E+03    0.25765E-01    0.24008E-01   -0.11595E+01
    34    0.33269E+03    0.27068E-01    0.25135E-01   -0.12204E+01
    35    0.32991E+03    0.28380E-01    0.26267E-01   -0.12815E+01
    36    0.32702E+03    0.29713E-01    0.27400E-01   -0.13424E+01
    37    0.32402E+03    0.31067E-01    0.28535E-01   -0.14031E+01
    38    0.32091E+03    0.32440E-01    0.29674E-01   -0.14635E+01
    39    0.31768E+03    0.33830E-01    0.30813E-01   -0.15234E+01
    40    0.31436E+03    0.35231E-01    0.31950E-01   -0.15827E+01
    41    0.31094E+03    0.36640E-01    0.33080E-01   -0.16414E+01
    42    0.30743E+03    0.38055E-01    0.34203E-01   -0.16992E+01
    43    0.30384E+03    0.39474E-01    0.35317E-01   -0.17562E+01
    44    0.30017E+03    0.40897E-01    0.36422E-01   -0.18122E+01
    45    0.29642E+03    0.42322E-01    0.37515E-01   -0.18672E+01
    46    0.29260E+03    0.43749E-01    0.38596E-01   -0.19212E+01
    47    0.28871E+03    0.45175E-01    0.39664E-01   -0.19740E+01
    48    0.28475E+03    0.46601E-01    0.40717E-01   -0.20254E+01
    49    0.28073E+03    0.48025E-01    0.41752E-01   -0.20753E+01
    50    0.27665E+03    0.49445E-01    0.42770E-01   -0.21236E+01
    51    0.27252E+03    0.50861E-01    0.43767E-01   -0.21702E+01
    52    0.26834E+03    0.52270E-01    0.44744E-01   -0.22150E+01
    53    0.26412E+03    0.53672E-01    0.45699E-01   -0.22581E+01
    54    0.25985E+03    0.55065E-01    0.46632E-01   -0.22994E+01
    55    0.25555E+03    0.56446E-01    0.47541E-01   -0.23389E+01
    56    0.25122E+03    0.57814E-01    0.48426E-01   -0.23766E+01
    57    0.24685E+03    0.59168E-01    0.49286E-01   -0.24124E+01
    58    0.24247E+03    0.60507E-01    0.50121E-01   -0.24463E+01
