#    L    TT             EE             BB             TE          
     2    0.15797E+04    0.67606E-01    0.24390E-01    0.36965E+01
     3    0.14134E+04    0.10571E+00    0.28247E-01    0.38477E+01
     4    0.13221E+04    0.11856E+00    0.27855E-01    0.37505E+01
     5    0.12603E+04    0.10691E+00    0.24587E-01    0.34045E+01
     6    0.12180E+04    0.81606E-01    0.19981E-01    0.29374E+01
     7    0.11900E+04    0.54577E-01    0.15277E-01    0.24376E+01
     8    0.11720E+04    0.33521E-01    0.11244E-01    0.19642E+01
     9    0.11614E+04    0.20714E-01    0.82094E-02    0.15546E+01
    10    0.11564E+04    0.14685E-01    0.62004E-02    0.12306E+01
    11    0.11553E+04    0.12580E-01    0.50839E-02    0.99761E+00
    12    0.11575E+04    0.12020E-01    0.46670E-02    0.85482E+00
    13    0.11614E+04    0.11712E-01    0.47529E-02    0.78801E+00
    14    0.11666E+04    0.11485E-01    0.51625E-02    0.77779E+00
    15    0.11734E+04    0.11525E-01    0.57806E-02    0.80452E+00
    16    0.11823E+04    0.12012E-01    0.65186E-02    0.85001E+00
    17    0.11930E+04    0.12975E-01    0.73300E-02    0.89872E+00
    18    0.12039E+04    0.14207E-01    0.81838E-02    0.93974E+00
    19    0.12160E+04    0.15556E-01    0.90686E-02    0.97134E+00
    20    0.12275E+04    0.16967E-01    0.99792E-02    0.99108E+00
    21    0.12391E+04    0.18445E-01    0.10913E-01    0.99902E+00
    22    0.12510E+04    0.20096E-01    0.11868E-01    0.99567E+00
    23    0.12631E+04    0.22015E-01    0.12843E-01    0.98580E+00
    24    0.12753E+04    0.24236E-01    0.13837E-01    0.97446E+00
    25    0.12877E+04    0.26755E-01    0.14845E-01    0.96349E+00
    26    0.13001E+04    0.29522E-01    0.15866E-01    0.95493E+00
    27    0.13127E+04    0.32513E-01    0.16900E-01    0.94761E+00
    28    0.13254E+04    0.35735E-01    0.17949E-01    0.94041E+00
    29    0.13383E+04    0.39174E-01    0.19012E-01    0.93056E+00
    30    0.13513E+04    0.42825E-01    0.20087E-01    0.91379E+00
    31    0.13642E+04    0.46695E-01    0.21174E-01    0.88774E+00
    32    0.13773E+04    0.50783E-01    0.22270E-01    0.85098E+00
    33    0.13906E+04    0.55075E-01    0.23374E-01    0.80384E+00
    34    0.14040E+04    0.59567E-01    0.24486E-01    0.74728E+00
    35    0.14174E+04    0.64260E-01    0.25603E-01    0.67978E+00
    36    0.14308E+04    0.69171E-01    0.26721E-01    0.59892E+00
    37    0.14443E+04    0.74341E-01    0.27844E-01    0.50474E+00
    38    0.14580E+04    0.79813E-01    0.28971E-01    0.39991E+00
    39    0.14720E+04    0.85571E-01    0.30102E-01    0.28613E+00
    40    0.14859E+04    0.91593E-01    0.31232E-01    0.16464E+00
    41    0.15001E+04    0.97866E-01    0.32357E-01    0.36028E-01
    42    0.15141E+04    0.10440E+00    0.33478E-01   -0.10087E+00
    43    0.15282E+04    0.11122E+00    0.34591E-01   -0.24765E+00
    44    0.15423E+04    0.11833E+00    0.35697E-01   -0.40501E+00
    45    0.15566E+04    0.12573E+00    0.36795E-01   -0.57358E+00
    46    0.15711E+04    0.13345E+00    0.37883E-01   -0.75569E+00
    47    0.15857E+04    0.14146E+00    0.38960E-01   -0.95062E+00
    48    0.16003E+04    0.14976E+00    0.40024E-01   -0.11542E+01
    49    0.16151E+04    0.15830E+00    0.41074E-01   -0.13630E+01
    50    0.16301E+04    0.16704E+00    0.42108E-01   -0.15801E+01
    51    0.16453E+04    0.17593E+00    0.43125E-01   -0.18100E+01
    52    0.16609E+04    0.18508E+00    0.44123E-01   -0.20570E+01
    53    0.16764E+04    0.19464E+00    0.45103E-01   -0.23229E+01
    54    0.16919E+04    0.20461E+00    0.46062E-01   -0.26019E+01
    55    0.17075E+04    0.21500E+00    0.47002E-01   -0.28881E+01
    56    0.17234E+04    0.22567E+00    0.47919E-01   -0.31819E+01
    57    0.17396E+04    0.23650E+00    0.48815E-01   -0.34838E+01
    58    0.17561E+04    0.24748E+00    0.49687E-01   -0.37954E+01
    59    0.17727E+04    0.25865E+00    0.50535E-01   -0.41184E+01
    60    0.17895E+04    0.27005E+00    0.51358E-01   -0.44529E+01
    61    0.18068E+04    0.28176E+00    0.52154E-01   -0.47988E+01
    62    0.18239E+04    0.29376E+00    0.52924E-01   -0.51568E+01
    63    0.18412E+04    0.30602E+00    0.53666E-01   -0.55276E+01
    64    0.18588E+04    0.31856E+00    0.54382E-01   -0.59120E+01
    65    0.18766E+04    0.33135E+00    0.55069E-01   -0.63101E+01
    66    0.18947E+04    0.34432E+00    0.55727E-01   -0.67199E+01
    67    0.19129E+04    0.35749E+00    0.56357E-01   -0.71384E+01
    68    0.19317E+04    0.37087E+00    0.56958E-01   -0.75641E+01
    69    0.19507E+04    0.38443E+00    0.57528E-01   -0.79950E+01
    70    0.19700E+04    0.39821E+00    0.58068E-01   -0.84330E+01
    71    0.19895E+04    0.41220E+00    0.58578E-01   -0.88804E+01
    72    0.20092E+04    0.42636E+00    0.59056E-01   -0.93388E+01
    73    0.20290E+04    0.44066E+00    0.59503E-01   -0.98089E+01
    74    0.20492E+04    0.45509E+00    0.59919E-01   -0.10290E+02
    75    0.20697E+04    0.46966E+00    0.60305E-01   -0.10781E+02
    76    0.20905E+04    0.48437E+00    0.60659E-01   -0.11281E+02
    77    0.21117E+04    0.49920E+00    0.60984E-01   -0.11790E+02
    78    0.21333E+04    0.51419E+00    0.61277E-01   -0.12309E+02
    79    0.21551E+04    0.52926E+00    0.61540E-01   -0.12834E+02
    80    0.21773E+04    0.54443E+00    0.61772E-01   -0.13366E+02
    81    0.21998E+04    0.55963E+00    0.61974E-01   -0.13905E+02
    82    0.22226E+04    0.57490E+00    0.62146E-01   -0.14451E+02
    83    0.22456E+04    0.59019E+00    0.62287E-01   -0.15003E+02
    84    0.22690E+04    0.60552E+00    0.62398E-01   -0.15559E+02
    85    0.22926E+04    0.62085E+00    0.62479E-01   -0.16121E+02
    86    0.23164E+04    0.63619E+00    0.62529E-01   -0.16688E+02
    87    0.23408E+04    0.65153E+00    0.62549E-01   -0.17260E+02
    88    0.23652E+04    0.66686E+00    0.62539E-01   -0.17835E+02
    89    0.23900E+04    0.68217E+00    0.62500E-01   -0.18417E+02
    90    0.24151E+04    0.69743E+00    0.62432E-01   -0.19001E+02
    91    0.24405E+04    0.71262E+00    0.62336E-01   -0.19589E+02
    92    0.24662E+04    0.72773E+00    0.62212E-01   -0.20180E+02
    93    0.24923E+04    0.74275E+00    0.62061E-01   -0.20774E+02
    94    0.25185E+04    0.75766E+00    0.61883E-01   -0.21369E+02
    95    0.25451E+04    0.77243E+00    0.61680E-01   -0.21967E+02
    96    0.25717E+04    0.78707E+00    0.61451E-01   -0.22567E+02
    97    0.25989E+04    0.80156E+00    0.61198E-01   -0.23168E+02
    98    0.26264E+04    0.81588E+00    0.60922E-01   -0.23768E+02
    99    0.26540E+04    0.83001E+00    0.60622E-01   -0.24369E+02
   100    0.26820E+04    0.84395E+00    0.60300E-01   -0.24969E+02
   101    0.27102E+04    0.85775E+00    0.59956E-01   -0.25568E+02
   102    0.27390E+04    0.87126E+00    0.59591E-01   -0.26167E+02
   103    0.27678E+04    0.88457E+00    0.59206E-01   -0.26764E+02
   104    0.27969E+04    0.89766E+00    0.58800E-01   -0.27357E+02
   105    0.28262E+04    0.91048E+00    0.58376E-01   -0.27949E+02
   106    0.28559E+04    0.92308E+00    0.57934E-01   -0.28537E+02
   107    0.28855E+04    0.93533E+00    0.57474E-01   -0.29121E+02
   108    0.29156E+04    0.94730E+00    0.56996E-01   -0.29702E+02
   109    0.29459E+04    0.95891E+00    0.56503E-01   -0.30278E+02
   110    0.29764E+04    0.97017E+00    0.55993E-01   -0.30847E+02
   111    0.30071E+04    0.98115E+00    0.55469E-01   -0.31412E+02
   112    0.30380E+04    0.99177E+00    0.54931E-01   -0.31971E+02
   113    0.30692E+04    0.10020E+01    0.54379E-01   -0.32523E+02
   114    0.31005E+04    0.10119E+01    0.53814E-01   -0.33067E+02
   115    0.31322E+04    0.10215E+01    0.53238E-01   -0.33603E+02
   116    0.31639E+04    0.10305E+01    0.52651E-01   -0.34131E+02
   117    0.31960E+04    0.10392E+01    0.52053E-01   -0.34649E+02
   118    0.32283E+04    0.10476E+01    0.51447E-01   -0.35159E+02
   119    0.32606E+04    0.10556E+01    0.50831E-01   -0.35658E+02
   120    0.32932E+04    0.10630E+01    0.50208E-01   -0.36146E+02
   121    0.33258E+04    0.10701E+01    0.49579E-01   -0.36624E+02
   122    0.33585E+04    0.10767E+01    0.48943E-01   -0.37090E+02
   123    0.33914E+04    0.10828E+01    0.48301E-01   -0.37545E+02
   124    0.34243E+04    0.10885E+01    0.47656E-01   -0.37985E+02
   125    0.34574E+04    0.10937E+01    0.47007E-01   -0.38413E+02
   126    0.34905E+04    0.10984E+01    0.46354E-01   -0.38827E+02
   127    0.35237E+04    0.11027E+01    0.45700E-01   -0.39229E+02
   128    0.35569E+04    0.11065E+01    0.45045E-01   -0.39615E+02
   129    0.35902E+04    0.11098E+01    0.44390E-01   -0.39987E+02
   130    0.36235E+04    0.11125E+01    0.43734E-01   -0.40342E+02
   131    0.36569E+04    0.11149E+01    0.43080E-01   -0.40683E+02
   132    0.36904E+04    0.11167E+01    0.42428E-01   -0.41007E+02
   133    0.37238E+04    0.11180E+01    0.41778E-01   -0.41315E+02
   134    0.37573E+04    0.11189E+01    0.41131E-01   -0.41605E+02
   135    0.37908E+04    0.11192E+01    0.40488E-01   -0.41877E+02
   136    0.38241E+04    0.11190E+01    0.39848E-01   -0.42130E+02
   137    0.38575E+04    0.11183E+01    0.39213E-01   -0.42364E+02
   138    0.38909E+04    0.11171E+01    0.38582E-01   -0.42580E+02
   139    0.39240E+04    0.11156E+01    0.37957E-01   -0.42775E+02
   140    0.39573E+04    0.11134E+01    0.37339E-01   -0.42952E+02
   141    0.39903E+04    0.11108E+01    0.36726E-01   -0.43107E+02
   142    0.40234E+04    0.11077E+01    0.36121E-01   -0.43241E+02
   143    0.40564E+04    0.11041E+01    0.35523E-01   -0.43356E+02
   144    0.40892E+04    0.11001E+01    0.34934E-01   -0.43449E+02
   145    0.41219E+04    0.10957E+01    0.34353E-01   -0.43520E+02
   146    0.41547E+04    0.10907E+01    0.33782E-01   -0.43569E+02
   147    0.41871E+04    0.10854E+01    0.33220E-01   -0.43596E+02
   148    0.42194E+04    0.10796E+01    0.32668E-01   -0.43600E+02
   149    0.42517E+04    0.10734E+01    0.32128E-01   -0.43582E+02
   150    0.42837E+04    0.10668E+01    0.31598E-01   -0.43538E+02
   151    0.43155E+04    0.10599E+01    0.31081E-01   -0.43473E+02
   152    0.43471E+04    0.10524E+01    0.30575E-01   -0.43383E+02
   153    0.43785E+04    0.10447E+01    0.30081E-01   -0.43268E+02
   154    0.44097E+04    0.10366E+01    0.29600E-01   -0.43129E+02
   155    0.44407E+04    0.10282E+01    0.29131E-01   -0.42965E+02
   156    0.44714E+04    0.10195E+01    0.28674E-01   -0.42778E+02
   157    0.45019E+04    0.10104E+01    0.28230E-01   -0.42564E+02
   158    0.45322E+04    0.10011E+01    0.27799E-01   -0.42326E+02
   159    0.45622E+04    0.99149E+00    0.27381E-01   -0.42062E+02
   160    0.45919E+04    0.98160E+00    0.26975E-01   -0.41772E+02
   161    0.46215E+04    0.97157E+00    0.26583E-01   -0.41456E+02
   162    0.46507E+04    0.96124E+00    0.26204E-01   -0.41116E+02
   163    0.46797E+04    0.95069E+00    0.25838E-01   -0.40749E+02
   164    0.47083E+04    0.94000E+00    0.25485E-01   -0.40357E+02
   165    0.47367E+04    0.92910E+00    0.25146E-01   -0.39938E+02
   166    0.47648E+04    0.91813E+00    0.24821E-01   -0.39493E+02
   167    0.47927E+04    0.90689E+00    0.24509E-01   -0.39023E+02
   168    0.48201E+04    0.89574E+00    0.24212E-01   -0.38526E+02
