#    L    TT             EE             BB             TE          
     2    0.13789E+04    0.58225E-01    0.25558E-05    0.48027E+01
     3    0.12294E+04    0.93515E-01    0.51126E-05    0.51978E+01
     4    0.11327E+04    0.10100E+00    0.85233E-05    0.49568E+01
     5    0.10649E+04    0.84945E-01    0.12789E-04    0.43778E+01
     6    0.10160E+04    0.58996E-01    0.17912E-04    0.36613E+01
     7    0.98114E+03    0.35364E-01    0.23893E-04    0.29370E+01
     8    0.95701E+03    0.19820E-01    0.30736E-04    0.22935E+01
     9    0.94100E+03    0.12191E-01    0.38442E-04    0.17790E+01
    10    0.93097E+03    0.94375E-02    0.47014E-04    0.14144E+01
    11    0.92506E+03    0.85209E-02    0.56455E-04    0.11961E+01
    12    0.92339E+03    0.78486E-02    0.66769E-04    0.11051E+01
    13    0.92407E+03    0.69532E-02    0.77958E-04    0.11094E+01
    14    0.92610E+03    0.62913E-02    0.90025E-04    0.11737E+01
    15    0.92977E+03    0.60255E-02    0.10298E-03    0.12682E+01
    16    0.93554E+03    0.61600E-02    0.11681E-03    0.13668E+01
    17    0.94334E+03    0.65814E-02    0.13154E-03    0.14509E+01
    18    0.95220E+03    0.70021E-02    0.14716E-03    0.15098E+01
    19    0.96288E+03    0.74049E-02    0.16367E-03    0.15506E+01
    20    0.97361E+03    0.79030E-02    0.18109E-03    0.15808E+01
    21    0.98475E+03    0.85918E-02    0.19940E-03    0.16067E+01
    22    0.99658E+03    0.96174E-02    0.21863E-03    0.16326E+01
    23    0.10089E+04    0.10988E-01    0.23877E-03    0.16621E+01
    24    0.10217E+04    0.12648E-01    0.25981E-03    0.16985E+01
    25    0.10349E+04    0.14607E-01    0.28178E-03    0.17448E+01
    26    0.10483E+04    0.16838E-01    0.30466E-03    0.18032E+01
    27    0.10622E+04    0.19291E-01    0.32846E-03    0.18656E+01
    28    0.10765E+04    0.21939E-01    0.35318E-03    0.19228E+01
    29    0.10913E+04    0.24776E-01    0.37883E-03    0.19663E+01
    30    0.11064E+04    0.27805E-01    0.40540E-03    0.19892E+01
    31    0.11218E+04    0.31035E-01    0.43290E-03    0.19960E+01
    32    0.11374E+04    0.34465E-01    0.46133E-03    0.19917E+01
    33    0.11533E+04    0.38104E-01    0.49069E-03    0.19737E+01
    34    0.11694E+04    0.41986E-01    0.52097E-03    0.19394E+01
    35    0.11859E+04    0.46164E-01    0.55218E-03    0.18908E+01
    36    0.12026E+04    0.50688E-01    0.58431E-03    0.18301E+01
    37    0.12195E+04    0.55530E-01    0.61738E-03    0.17592E+01
    38    0.12368E+04    0.60658E-01    0.65137E-03    0.16818E+01
    39    0.12544E+04    0.66074E-01    0.68628E-03    0.15979E+01
    40    0.12723E+04    0.71795E-01    0.72211E-03    0.15070E+01
    41    0.12904E+04    0.77837E-01    0.75887E-03    0.14078E+01
    42    0.13086E+04    0.84204E-01    0.79654E-03    0.12977E+01
    43    0.13271E+04    0.90896E-01    0.83513E-03    0.11739E+01
    44    0.13456E+04    0.97897E-01    0.87464E-03    0.10345E+01
    45    0.13646E+04    0.10520E+00    0.91505E-03    0.87776E+00
    46    0.13839E+04    0.11281E+00    0.95638E-03    0.70046E+00
    47    0.14034E+04    0.12073E+00    0.99861E-03    0.50433E+00
    48    0.14231E+04    0.12895E+00    0.10417E-02    0.29495E+00
    49    0.14430E+04    0.13748E+00    0.10858E-02    0.77303E-01
    50    0.14633E+04    0.14629E+00    0.11307E-02   -0.15043E+00
    51    0.14838E+04    0.15535E+00    0.11765E-02   -0.39179E+00
    52    0.15048E+04    0.16473E+00    0.12233E-02   -0.65170E+00
    53    0.15258E+04    0.17460E+00    0.12709E-02   -0.93357E+00
    54    0.15469E+04    0.18492E+00    0.13194E-02   -0.12328E+01
    55    0.15681E+04    0.19566E+00    0.13687E-02   -0.15448E+01
    56    0.15898E+04    0.20669E+00    0.14190E-02   -0.18709E+01
    57    0.16118E+04    0.21788E+00    0.14702E-02   -0.22105E+01
    58    0.16343E+04    0.22926E+00    0.15222E-02   -0.25638E+01
    59    0.16570E+04    0.24085E+00    0.15751E-02   -0.29310E+01
    60    0.16799E+04    0.25271E+00    0.16289E-02   -0.33109E+01
    61    0.17034E+04    0.26493E+00    0.16836E-02   -0.37022E+01
    62    0.17268E+04    0.27750E+00    0.17391E-02   -0.41064E+01
    63    0.17504E+04    0.29037E+00    0.17955E-02   -0.45253E+01
    64    0.17744E+04    0.30353E+00    0.18529E-02   -0.49607E+01
    65    0.17986E+04    0.31697E+00    0.19111E-02   -0.54141E+01
    66    0.18231E+04    0.33061E+00    0.19701E-02   -0.58840E+01
    67    0.18479E+04    0.34444E+00    0.20301E-02   -0.63674E+01
    68    0.18732E+04    0.35849E+00    0.20909E-02   -0.68621E+01
    69    0.18987E+04    0.37274E+00    0.21527E-02   -0.73658E+01
    70    0.19246E+04    0.38720E+00    0.22153E-02   -0.78795E+01
    71    0.19508E+04    0.40187E+00    0.22789E-02   -0.84051E+01
    72    0.19773E+04    0.41672E+00    0.23433E-02   -0.89434E+01
    73    0.20040E+04    0.43171E+00    0.24086E-02   -0.94945E+01
    74    0.20309E+04    0.44682E+00    0.24749E-02   -0.10057E+02
    75    0.20582E+04    0.46207E+00    0.25421E-02   -0.10628E+02
    76    0.20857E+04    0.47744E+00    0.26102E-02   -0.11208E+02
    77    0.21137E+04    0.49292E+00    0.26792E-02   -0.11796E+02
    78    0.21420E+04    0.50854E+00    0.27492E-02   -0.12395E+02
    79    0.21706E+04    0.52423E+00    0.28201E-02   -0.13002E+02
    80    0.21995E+04    0.53998E+00    0.28919E-02   -0.13617E+02
    81    0.22288E+04    0.55574E+00    0.29647E-02   -0.14244E+02
    82    0.22584E+04    0.57153E+00    0.30385E-02   -0.14879E+02
    83    0.22883E+04    0.58732E+00    0.31132E-02   -0.15523E+02
    84    0.23185E+04    0.60310E+00    0.31889E-02   -0.16173E+02
    85    0.23489E+04    0.61884E+00    0.32656E-02   -0.16830E+02
    86    0.23795E+04    0.63456E+00    0.33433E-02   -0.17492E+02
    87    0.24106E+04    0.65020E+00    0.34220E-02   -0.18157E+02
    88    0.24417E+04    0.66579E+00    0.35017E-02   -0.18826E+02
    89    0.24732E+04    0.68131E+00    0.35824E-02   -0.19499E+02
    90    0.25049E+04    0.69671E+00    0.36641E-02   -0.20174E+02
    91    0.25369E+04    0.71198E+00    0.37469E-02   -0.20850E+02
    92    0.25691E+04    0.72710E+00    0.38307E-02   -0.21527E+02
    93    0.26018E+04    0.74207E+00    0.39155E-02   -0.22206E+02
    94    0.26345E+04    0.75684E+00    0.40014E-02   -0.22883E+02
    95    0.26675E+04    0.77142E+00    0.40884E-02   -0.23560E+02
    96    0.27006E+04    0.78578E+00    0.41764E-02   -0.24236E+02
    97    0.27341E+04    0.79991E+00    0.42655E-02   -0.24910E+02
    98    0.27679E+04    0.81380E+00    0.43557E-02   -0.25580E+02
