#    L    TT             EE             BB             TE          
     2    0.18866E+04    0.75406E-01    0.27426E-01    0.51957E+01
     3    0.16178E+04    0.11467E+00    0.31089E-01    0.48840E+01
     4    0.14944E+04    0.12251E+00    0.29735E-01    0.44321E+01
     5    0.14165E+04    0.10376E+00    0.25318E-01    0.38217E+01
     6    0.13633E+04    0.73700E-01    0.19787E-01    0.31487E+01
     7    0.13271E+04    0.45936E-01    0.14546E-01    0.24917E+01
     8    0.13030E+04    0.27133E-01    0.10353E-01    0.19127E+01
     9    0.12878E+04    0.17416E-01    0.74329E-02    0.14472E+01
    10    0.12791E+04    0.13670E-01    0.56935E-02    0.11184E+01
    11    0.12746E+04    0.12571E-01    0.49070E-02    0.91855E+00
    12    0.12737E+04    0.12227E-01    0.48047E-02    0.83339E+00
    13    0.12749E+04    0.11964E-01    0.51623E-02    0.83262E+00
    14    0.12775E+04    0.12075E-01    0.57896E-02    0.88161E+00
    15    0.12821E+04    0.12659E-01    0.65774E-02    0.95308E+00
    16    0.12889E+04    0.13689E-01    0.74485E-02    0.10236E+01
    17    0.12976E+04    0.15043E-01    0.83727E-02    0.10747E+01
    18    0.13070E+04    0.16433E-01    0.93333E-02    0.10957E+01
    19    0.13177E+04    0.17846E-01    0.10323E-01    0.10948E+01
    20    0.13281E+04    0.19397E-01    0.11336E-01    0.10810E+01
    21    0.13386E+04    0.21177E-01    0.12372E-01    0.10602E+01
    22    0.13495E+04    0.23325E-01    0.13432E-01    0.10364E+01
    23    0.13607E+04    0.25840E-01    0.14511E-01    0.10134E+01
    24    0.13722E+04    0.28661E-01    0.15606E-01    0.99522E+00
    25    0.13839E+04    0.31802E-01    0.16716E-01    0.98536E+00
    26    0.13956E+04    0.35242E-01    0.17840E-01    0.98645E+00
    27    0.14076E+04    0.38931E-01    0.18978E-01    0.99050E+00
    28    0.14198E+04    0.42844E-01    0.20132E-01    0.98831E+00
    29    0.14324E+04    0.46971E-01    0.21301E-01    0.97116E+00
    30    0.14453E+04    0.51318E-01    0.22483E-01    0.93197E+00
    31    0.14581E+04    0.55888E-01    0.23674E-01    0.87574E+00
    32    0.14710E+04    0.60677E-01    0.24871E-01    0.80836E+00
    33    0.14841E+04    0.65689E-01    0.26075E-01    0.72709E+00
    34    0.14973E+04    0.70950E-01    0.27283E-01    0.62915E+00
    35    0.15108E+04    0.76522E-01    0.28497E-01    0.51692E+00
    36    0.15243E+04    0.82460E-01    0.29712E-01    0.39303E+00
    37    0.15379E+04    0.88735E-01    0.30930E-01    0.25956E+00
    38    0.15518E+04    0.95312E-01    0.32147E-01    0.11991E+00
    39    0.15660E+04    0.10219E+00    0.33362E-01   -0.25459E-01
    40    0.15802E+04    0.10938E+00    0.34572E-01   -0.17703E+00
    41    0.15946E+04    0.11690E+00    0.35774E-01   -0.33583E+00
    42    0.16091E+04    0.12475E+00    0.36966E-01   -0.50433E+00
    43    0.16236E+04    0.13294E+00    0.38146E-01   -0.68531E+00
    44    0.16382E+04    0.14143E+00    0.39314E-01   -0.88065E+00
    45    0.16531E+04    0.15022E+00    0.40468E-01   -0.10922E+01
    46    0.16684E+04    0.15932E+00    0.41607E-01   -0.13229E+01
    47    0.16837E+04    0.16872E+00    0.42729E-01   -0.15711E+01
    48    0.16992E+04    0.17843E+00    0.43832E-01   -0.18309E+01
    49    0.17148E+04    0.18843E+00    0.44915E-01   -0.20972E+01
    50    0.17308E+04    0.19870E+00    0.45978E-01   -0.23716E+01
    51    0.17469E+04    0.20921E+00    0.47017E-01   -0.26575E+01
    52    0.17634E+04    0.22005E+00    0.48033E-01   -0.29599E+01
    53    0.17800E+04    0.23134E+00    0.49023E-01   -0.32822E+01
    54    0.17965E+04    0.24308E+00    0.49988E-01   -0.36198E+01
    55    0.18132E+04    0.25523E+00    0.50925E-01   -0.39681E+01
    56    0.18303E+04    0.26765E+00    0.51834E-01   -0.43285E+01
    57    0.18478E+04    0.28022E+00    0.52715E-01   -0.47003E+01
    58    0.18656E+04    0.29295E+00    0.53566E-01   -0.50836E+01
    59    0.18837E+04    0.30588E+00    0.54387E-01   -0.54785E+01
    60    0.19020E+04    0.31905E+00    0.55178E-01   -0.58837E+01
    61    0.19208E+04    0.33256E+00    0.55938E-01   -0.62979E+01
    62    0.19396E+04    0.34639E+00    0.56666E-01   -0.67226E+01
    63    0.19586E+04    0.36049E+00    0.57362E-01   -0.71595E+01
    64    0.19780E+04    0.37487E+00    0.58024E-01   -0.76108E+01
    65    0.19975E+04    0.38949E+00    0.58653E-01   -0.80778E+01
    66    0.20175E+04    0.40429E+00    0.59247E-01   -0.85591E+01
    67    0.20377E+04    0.41925E+00    0.59807E-01   -0.90517E+01
    68    0.20584E+04    0.43442E+00    0.60331E-01   -0.95533E+01
    69    0.20793E+04    0.44974E+00    0.60821E-01   -0.10062E+02
    70    0.21008E+04    0.46524E+00    0.61276E-01   -0.10577E+02
    71    0.21225E+04    0.48091E+00    0.61696E-01   -0.11103E+02
    72    0.21445E+04    0.49672E+00    0.62081E-01   -0.11639E+02
    73    0.21667E+04    0.51264E+00    0.62431E-01   -0.12185E+02
    74    0.21893E+04    0.52864E+00    0.62747E-01   -0.12740E+02
    75    0.22122E+04    0.54475E+00    0.63027E-01   -0.13303E+02
    76    0.22355E+04    0.56095E+00    0.63273E-01   -0.13872E+02
    77    0.22591E+04    0.57724E+00    0.63485E-01   -0.14448E+02
    78    0.22832E+04    0.59362E+00    0.63663E-01   -0.15033E+02
    79    0.23077E+04    0.61003E+00    0.63807E-01   -0.15623E+02
    80    0.23325E+04    0.62648E+00    0.63918E-01   -0.16221E+02
    81    0.23577E+04    0.64288E+00    0.63996E-01   -0.16827E+02
    82    0.23833E+04    0.65928E+00    0.64042E-01   -0.17441E+02
    83    0.24093E+04    0.67562E+00    0.64055E-01   -0.18061E+02
    84    0.24356E+04    0.69192E+00    0.64037E-01   -0.18686E+02
    85    0.24622E+04    0.70813E+00    0.63987E-01   -0.19316E+02
    86    0.24890E+04    0.72428E+00    0.63906E-01   -0.19949E+02
    87    0.25164E+04    0.74031E+00    0.63795E-01   -0.20584E+02
    88    0.25439E+04    0.75625E+00    0.63654E-01   -0.21221E+02
    89    0.25718E+04    0.77206E+00    0.63483E-01   -0.21862E+02
    90    0.26001E+04    0.78772E+00    0.63284E-01   -0.22502E+02
    91    0.26286E+04    0.80320E+00    0.63057E-01   -0.23143E+02
    92    0.26575E+04    0.81849E+00    0.62803E-01   -0.23784E+02
    93    0.26868E+04    0.83359E+00    0.62523E-01   -0.24425E+02
    94    0.27164E+04    0.84844E+00    0.62217E-01   -0.25063E+02
    95    0.27463E+04    0.86306E+00    0.61887E-01   -0.25701E+02
    96    0.27763E+04    0.87742E+00    0.61534E-01   -0.26336E+02
    97    0.28068E+04    0.89151E+00    0.61158E-01   -0.26969E+02
    98    0.28376E+04    0.90532E+00    0.60761E-01   -0.27597E+02
    99    0.28686E+04    0.91881E+00    0.60342E-01   -0.28224E+02
   100    0.29000E+04    0.93199E+00    0.59904E-01   -0.28843E+02
   101    0.29316E+04    0.94490E+00    0.59447E-01   -0.29459E+02
   102    0.29638E+04    0.95740E+00    0.58973E-01   -0.30070E+02
   103    0.29960E+04    0.96956E+00    0.58481E-01   -0.30675E+02
   104    0.30284E+04    0.98138E+00    0.57972E-01   -0.31273E+02
   105    0.30611E+04    0.99279E+00    0.57449E-01   -0.31863E+02
   106    0.30940E+04    0.10039E+01    0.56911E-01   -0.32447E+02
   107    0.31269E+04    0.10144E+01    0.56360E-01   -0.33021E+02
   108    0.31603E+04    0.10246E+01    0.55796E-01   -0.33588E+02
   109    0.31938E+04    0.10342E+01    0.55221E-01   -0.34145E+02
   110    0.32274E+04    0.10434E+01    0.54635E-01   -0.34691E+02
   111    0.32612E+04    0.10521E+01    0.54039E-01   -0.35227E+02
   112    0.32952E+04    0.10604E+01    0.53435E-01   -0.35752E+02
   113    0.33294E+04    0.10682E+01    0.52822E-01   -0.36266E+02
   114    0.33638E+04    0.10754E+01    0.52202E-01   -0.36766E+02
   115    0.33983E+04    0.10822E+01    0.51577E-01   -0.37254E+02
   116    0.34329E+04    0.10884E+01    0.50946E-01   -0.37727E+02
   117    0.34678E+04    0.10940E+01    0.50310E-01   -0.38186E+02
   118    0.35028E+04    0.10993E+01    0.49672E-01   -0.38631E+02
   119    0.35378E+04    0.11040E+01    0.49030E-01   -0.39060E+02
   120    0.35730E+04    0.11081E+01    0.48388E-01   -0.39472E+02
   121    0.36082E+04    0.11117E+01    0.47744E-01   -0.39868E+02
   122    0.36434E+04    0.11148E+01    0.47101E-01   -0.40246E+02
   123    0.36786E+04    0.11172E+01    0.46459E-01   -0.40607E+02
   124    0.37139E+04    0.11191E+01    0.45819E-01   -0.40947E+02
   125    0.37492E+04    0.11205E+01    0.45182E-01   -0.41269E+02
   126    0.37846E+04    0.11214E+01    0.44549E-01   -0.41572E+02
   127    0.38198E+04    0.11216E+01    0.43921E-01   -0.41854E+02
   128    0.38551E+04    0.11214E+01    0.43299E-01   -0.42116E+02
   129    0.38903E+04    0.11205E+01    0.42683E-01   -0.42356E+02
   130    0.39255E+04    0.11190E+01    0.42075E-01   -0.42574E+02
   131    0.39607E+04    0.11171E+01    0.41476E-01   -0.42770E+02
   132    0.39959E+04    0.11145E+01    0.40885E-01   -0.42943E+02
   133    0.40309E+04    0.11115E+01    0.40304E-01   -0.43093E+02
   134    0.40659E+04    0.11079E+01    0.39732E-01   -0.43218E+02
   135    0.41007E+04    0.11038E+01    0.39171E-01   -0.43320E+02
   136    0.41354E+04    0.10991E+01    0.38620E-01   -0.43395E+02
   137    0.41700E+04    0.10940E+01    0.38080E-01   -0.43446E+02
   138    0.42044E+04    0.10883E+01    0.37552E-01   -0.43471E+02
   139    0.42385E+04    0.10823E+01    0.37035E-01   -0.43470E+02
   140    0.42726E+04    0.10757E+01    0.36531E-01   -0.43444E+02
   141    0.43064E+04    0.10686E+01    0.36040E-01   -0.43390E+02
   142    0.43401E+04    0.10611E+01    0.35562E-01   -0.43309E+02
   143    0.43735E+04    0.10532E+01    0.35097E-01   -0.43201E+02
   144    0.44067E+04    0.10449E+01    0.34646E-01   -0.43067E+02
   145    0.44396E+04    0.10363E+01    0.34210E-01   -0.42904E+02
   146    0.44725E+04    0.10272E+01    0.33788E-01   -0.42714E+02
   147    0.45048E+04    0.10179E+01    0.33382E-01   -0.42494E+02
   148    0.45369E+04    0.10081E+01    0.32991E-01   -0.42247E+02
   149    0.45688E+04    0.99804E+00    0.32616E-01   -0.41971E+02
   150    0.46003E+04    0.98776E+00    0.32258E-01   -0.41664E+02
   151    0.46314E+04    0.97719E+00    0.31916E-01   -0.41328E+02
   152    0.46622E+04    0.96629E+00    0.31592E-01   -0.40964E+02
   153    0.46926E+04    0.95521E+00    0.31284E-01   -0.40568E+02
   154    0.47227E+04    0.94397E+00    0.30992E-01   -0.40143E+02
   155    0.47524E+04    0.93258E+00    0.30718E-01   -0.39688E+02
   156    0.47816E+04    0.92106E+00    0.30459E-01   -0.39204E+02
   157    0.48105E+04    0.90943E+00    0.30218E-01   -0.38689E+02
   158    0.48390E+04    0.89777E+00    0.29992E-01   -0.38144E+02
   159    0.48671E+04    0.88596E+00    0.29783E-01   -0.37570E+02
   160    0.48947E+04    0.87415E+00    0.29590E-01   -0.36965E+02
   161    0.49220E+04    0.86244E+00    0.29413E-01   -0.36331E+02
   162    0.49488E+04    0.85069E+00    0.29252E-01   -0.35667E+02
   163    0.49753E+04    0.83900E+00    0.29107E-01   -0.34973E+02
