#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.18867E+04    0.75403E-01    0.27423E-01    0.51958E+01    0.11415E-06   -0.83038E-02   -0.19413E-04
     3    0.16179E+04    0.11467E+00    0.31083E-01    0.48840E+01    0.13621E-06   -0.78834E-02   -0.22774E-04
     4    0.14944E+04    0.12250E+00    0.29727E-01    0.44321E+01    0.15441E-06   -0.75687E-02   -0.22335E-04
     5    0.14165E+04    0.10375E+00    0.25305E-01    0.38217E+01    0.16978E-06   -0.73069E-02   -0.19237E-04
     6    0.13633E+04    0.73682E-01    0.19769E-01    0.31487E+01    0.18282E-06   -0.70733E-02   -0.14602E-04
     7    0.13270E+04    0.45912E-01    0.14522E-01    0.24917E+01    0.19400E-06   -0.68595E-02   -0.94777E-05
     8    0.13029E+04    0.27102E-01    0.10322E-01    0.19127E+01    0.20362E-06   -0.66632E-02   -0.47612E-05
     9    0.12878E+04    0.17378E-01    0.73945E-02    0.14472E+01    0.21192E-06   -0.64829E-02   -0.11550E-05
    10    0.12791E+04    0.13623E-01    0.56465E-02    0.11184E+01    0.21910E-06   -0.63134E-02    0.99363E-06
    11    0.12745E+04    0.12514E-01    0.48506E-02    0.91858E+00    0.22535E-06   -0.61518E-02    0.17634E-05
    12    0.12736E+04    0.12160E-01    0.47379E-02    0.83342E+00    0.23075E-06   -0.59942E-02    0.14840E-05
    13    0.12748E+04    0.11886E-01    0.50843E-02    0.83267E+00    0.23539E-06   -0.58401E-02    0.42027E-06
    14    0.12774E+04    0.11985E-01    0.56996E-02    0.88168E+00    0.23940E-06   -0.56909E-02   -0.11666E-05
    15    0.12819E+04    0.12556E-01    0.64744E-02    0.95317E+00    0.24285E-06   -0.55485E-02   -0.28869E-05
    16    0.12887E+04    0.13572E-01    0.73317E-02    0.10237E+01    0.24579E-06   -0.54149E-02   -0.43509E-05
    17    0.12974E+04    0.14911E-01    0.82411E-02    0.10749E+01    0.24829E-06   -0.52887E-02   -0.52721E-05
    18    0.13067E+04    0.16286E-01    0.91861E-02    0.10958E+01    0.25041E-06   -0.51682E-02   -0.54939E-05
    19    0.13174E+04    0.17682E-01    0.10159E-01    0.10950E+01    0.25216E-06   -0.50520E-02   -0.52673E-05
    20    0.13278E+04    0.19216E-01    0.11155E-01    0.10812E+01    0.25357E-06   -0.49395E-02   -0.48855E-05
    21    0.13382E+04    0.20978E-01    0.12173E-01    0.10605E+01    0.25469E-06   -0.48311E-02   -0.44224E-05
    22    0.13491E+04    0.23106E-01    0.13213E-01    0.10367E+01    0.25556E-06   -0.47274E-02   -0.39022E-05
    23    0.13603E+04    0.25601E-01    0.14272E-01    0.10138E+01    0.25619E-06   -0.46280E-02   -0.33677E-05
    24    0.13718E+04    0.28402E-01    0.15346E-01    0.99569E+00    0.25660E-06   -0.45323E-02   -0.28916E-05
    25    0.13834E+04    0.31521E-01    0.16434E-01    0.98591E+00    0.25682E-06   -0.44392E-02   -0.26480E-05
    26    0.13951E+04    0.34938E-01    0.17535E-01    0.98708E+00    0.25687E-06   -0.43482E-02   -0.27694E-05
    27    0.14070E+04    0.38604E-01    0.18650E-01    0.99122E+00    0.25676E-06   -0.42599E-02   -0.31258E-05
    28    0.14192E+04    0.42492E-01    0.19779E-01    0.98912E+00    0.25651E-06   -0.41750E-02   -0.35296E-05
    29    0.14318E+04    0.46594E-01    0.20922E-01    0.97208E+00    0.25612E-06   -0.40930E-02   -0.38215E-05
    30    0.14446E+04    0.50914E-01    0.22077E-01    0.93299E+00    0.25559E-06   -0.40132E-02   -0.38964E-05
    31    0.14574E+04    0.55458E-01    0.23241E-01    0.87688E+00    0.25494E-06   -0.39354E-02   -0.38377E-05
    32    0.14702E+04    0.60219E-01    0.24410E-01    0.80962E+00    0.25421E-06   -0.38596E-02   -0.37549E-05
    33    0.14833E+04    0.65202E-01    0.25584E-01    0.72849E+00    0.25338E-06   -0.37860E-02   -0.36762E-05
    34    0.14965E+04    0.70433E-01    0.26763E-01    0.63069E+00    0.25247E-06   -0.37148E-02   -0.35932E-05
    35    0.15099E+04    0.75974E-01    0.27944E-01    0.51861E+00    0.25148E-06   -0.36459E-02   -0.34323E-05
    36    0.15234E+04    0.81881E-01    0.29128E-01    0.39487E+00    0.25043E-06   -0.35792E-02   -0.31385E-05
    37    0.15369E+04    0.88125E-01    0.30312E-01    0.26156E+00    0.24932E-06   -0.35143E-02   -0.27944E-05
    38    0.15508E+04    0.94668E-01    0.31496E-01    0.12207E+00    0.24815E-06   -0.34509E-02   -0.25035E-05
    39    0.15649E+04    0.10151E+00    0.32676E-01   -0.23120E-01    0.24693E-06   -0.33888E-02   -0.23159E-05
    40    0.15791E+04    0.10867E+00    0.33850E-01   -0.17451E+00    0.24566E-06   -0.33285E-02   -0.22683E-05
    41    0.15935E+04    0.11616E+00    0.35015E-01   -0.33314E+00    0.24434E-06   -0.32699E-02   -0.23801E-05
    42    0.16079E+04    0.12397E+00    0.36169E-01   -0.50146E+00    0.24299E-06   -0.32129E-02   -0.26017E-05
    43    0.16224E+04    0.13212E+00    0.37311E-01   -0.68225E+00    0.24160E-06   -0.31575E-02   -0.28665E-05
    44    0.16369E+04    0.14057E+00    0.38440E-01   -0.87740E+00    0.24018E-06   -0.31034E-02   -0.31079E-05
    45    0.16518E+04    0.14933E+00    0.39553E-01   -0.10887E+01    0.23873E-06   -0.30507E-02   -0.32600E-05
    46    0.16670E+04    0.15839E+00    0.40650E-01   -0.13193E+01    0.23726E-06   -0.29990E-02   -0.32748E-05
    47    0.16823E+04    0.16775E+00    0.41730E-01   -0.15673E+01    0.23576E-06   -0.29484E-02   -0.31778E-05
    48    0.16977E+04    0.17742E+00    0.42790E-01   -0.18269E+01    0.23425E-06   -0.28989E-02   -0.30127E-05
    49    0.17133E+04    0.18738E+00    0.43830E-01   -0.20930E+01    0.23272E-06   -0.28502E-02   -0.28228E-05
    50    0.17292E+04    0.19761E+00    0.44847E-01   -0.23672E+01    0.23117E-06   -0.28025E-02   -0.26515E-05
    51    0.17453E+04    0.20808E+00    0.45841E-01   -0.26530E+01    0.22962E-06   -0.27556E-02   -0.25323E-05
    52    0.17618E+04    0.21887E+00    0.46809E-01   -0.29553E+01    0.22805E-06   -0.27097E-02   -0.24595E-05
    53    0.17783E+04    0.23012E+00    0.47752E-01   -0.32774E+01    0.22648E-06   -0.26649E-02   -0.24176E-05
    54    0.17948E+04    0.24182E+00    0.48669E-01   -0.36149E+01    0.22490E-06   -0.26213E-02   -0.23913E-05
    55    0.18114E+04    0.25393E+00    0.49557E-01   -0.39630E+01    0.22332E-06   -0.25790E-02   -0.23653E-05
    56    0.18285E+04    0.26630E+00    0.50415E-01   -0.43233E+01    0.22173E-06   -0.25380E-02   -0.23286E-05
    57    0.18459E+04    0.27883E+00    0.51245E-01   -0.46950E+01    0.22014E-06   -0.24982E-02   -0.22887E-05
