#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.108623E-04   0.174175E+08   0.174175E+08   0.232114E+08   0.232110E+08   0.174176E+08   0.174175E+08   0.174175E+08   0.174233E+08  -0.691069E+00   0.114052E+08   0.114052E+08   0.543598E+01
   0.119966E-04   0.174175E+08   0.174175E+08   0.232088E+08   0.232083E+08   0.174176E+08   0.174175E+08   0.174175E+08   0.174233E+08  -0.691073E+00   0.114053E+08   0.114053E+08   0.600341E+01
   0.132492E-04   0.174175E+08   0.174175E+08   0.232056E+08   0.232050E+08   0.174176E+08   0.174175E+08   0.174175E+08   0.174233E+08  -0.691077E+00   0.114053E+08   0.114053E+08   0.663003E+01
   0.146326E-04   0.174175E+08   0.174175E+08   0.232017E+08   0.232010E+08   0.174176E+08   0.174175E+08   0.174175E+08   0.174233E+08  -0.691083E+00   0.114054E+08   0.114054E+08   0.732200E+01
   0.161605E-04   0.174176E+08   0.174176E+08   0.231970E+08   0.231962E+08   0.174176E+08   0.174176E+08   0.174176E+08   0.174234E+08  -0.691090E+00   0.114056E+08   0.114056E+08   0.808611E+01
   0.178480E-04   0.174176E+08   0.174176E+08   0.231912E+08   0.231902E+08   0.174177E+08   0.174176E+08   0.174176E+08   0.174234E+08  -0.691098E+00   0.114057E+08   0.114057E+08   0.892986E+01
   0.197116E-04   0.174176E+08   0.174176E+08   0.231842E+08   0.231830E+08   0.174177E+08   0.174176E+08   0.174176E+08   0.174234E+08  -0.691109E+00   0.114059E+08   0.114059E+08   0.986151E+01
   0.217699E-04   0.174177E+08   0.174176E+08   0.231756E+08   0.231742E+08   0.174177E+08   0.174177E+08   0.174177E+08   0.174234E+08  -0.691121E+00   0.114061E+08   0.114061E+08   0.108902E+02
   0.240430E-04   0.174177E+08   0.174177E+08   0.231652E+08   0.231634E+08   0.174178E+08   0.174177E+08   0.174177E+08   0.174235E+08  -0.691136E+00   0.114064E+08   0.114064E+08   0.120259E+02
   0.265535E-04   0.174178E+08   0.174178E+08   0.231524E+08   0.231502E+08   0.174178E+08   0.174178E+08   0.174178E+08   0.174236E+08  -0.691155E+00   0.114068E+08   0.114068E+08   0.132796E+02
   0.293262E-04   0.174178E+08   0.174178E+08   0.231369E+08   0.231342E+08   0.174179E+08   0.174178E+08   0.174178E+08   0.174236E+08  -0.691178E+00   0.114072E+08   0.114072E+08   0.146637E+02
   0.323883E-04   0.174179E+08   0.174179E+08   0.231180E+08   0.231147E+08   0.174180E+08   0.174179E+08   0.174179E+08   0.174237E+08  -0.691205E+00   0.114077E+08   0.114077E+08   0.161914E+02
   0.357702E-04   0.174180E+08   0.174180E+08   0.230949E+08   0.230909E+08   0.174181E+08   0.174180E+08   0.174180E+08   0.174238E+08  -0.691239E+00   0.114083E+08   0.114083E+08   0.178773E+02
   0.395052E-04   0.174182E+08   0.174181E+08   0.230668E+08   0.230619E+08   0.174182E+08   0.174182E+08   0.174182E+08   0.174239E+08  -0.691280E+00   0.114091E+08   0.114091E+08   0.197377E+02
   0.436303E-04   0.174183E+08   0.174183E+08   0.230325E+08   0.230266E+08   0.174184E+08   0.174183E+08   0.174183E+08   0.174241E+08  -0.691330E+00   0.114100E+08   0.114100E+08   0.217902E+02
   0.481860E-04   0.174185E+08   0.174185E+08   0.229908E+08   0.229837E+08   0.174186E+08   0.174185E+08   0.174185E+08   0.174243E+08  -0.691391E+00   0.114112E+08   0.114112E+08   0.240540E+02
   0.532175E-04   0.174187E+08   0.174187E+08   0.229401E+08   0.229313E+08   0.174188E+08   0.174188E+08   0.174187E+08   0.174245E+08  -0.691465E+00   0.114125E+08   0.114125E+08   0.265503E+02
   0.587743E-04   0.174190E+08   0.174190E+08   0.228783E+08   0.228676E+08   0.174191E+08   0.174190E+08   0.174190E+08   0.174248E+08  -0.691556E+00   0.114142E+08   0.114142E+08   0.293019E+02
