#    L    TT             EE             TE             PP             TP          
     2    0.77596E+03    0.53876E-01    0.41011E+01    0.19170E+07   -0.20077E+05
     3    0.78243E+03    0.88236E-01    0.47577E+01    0.29607E+07   -0.24152E+05
     4    0.77523E+03    0.98922E-01    0.47137E+01    0.38840E+07   -0.27352E+05
     5    0.76730E+03    0.87259E-01    0.42755E+01    0.46983E+07   -0.30011E+05
     6    0.76180E+03    0.64006E-01    0.36600E+01    0.54165E+07   -0.32226E+05
     7    0.75995E+03    0.40432E-01    0.30038E+01    0.60524E+07   -0.34076E+05
     8    0.76153E+03    0.23190E-01    0.23953E+01    0.66168E+07   -0.35687E+05
     9    0.76611E+03    0.13600E-01    0.18830E+01    0.71197E+07   -0.37143E+05
    10    0.77297E+03    0.96365E-02    0.14907E+01    0.75682E+07   -0.38407E+05
    11    0.78110E+03    0.84060E-02    0.12282E+01    0.79708E+07   -0.39439E+05
    12    0.79125E+03    0.78666E-02    0.10901E+01    0.83306E+07   -0.40244E+05
    13    0.80203E+03    0.71217E-02    0.10499E+01    0.86525E+07   -0.40878E+05
    14    0.81280E+03    0.63351E-02    0.10765E+01    0.89415E+07   -0.41396E+05
    15    0.82407E+03    0.57850E-02    0.11456E+01    0.92009E+07   -0.41817E+05
    16    0.83641E+03    0.56672E-02    0.12358E+01    0.94334E+07   -0.42150E+05
    17    0.84987E+03    0.59531E-02    0.13281E+01    0.96420E+07   -0.42411E+05
    18    0.86364E+03    0.63795E-02    0.14082E+01    0.98291E+07   -0.42611E+05
    19    0.87861E+03    0.68178E-02    0.14721E+01    0.99962E+07   -0.42759E+05
    20    0.89315E+03    0.72564E-02    0.15171E+01    0.10145E+08   -0.42860E+05
    21    0.90765E+03    0.77501E-02    0.15496E+01    0.10276E+08   -0.42912E+05
    22    0.92243E+03    0.84450E-02    0.15769E+01    0.10393E+08   -0.42911E+05
    23    0.93733E+03    0.94259E-02    0.16053E+01    0.10496E+08   -0.42874E+05
    24    0.95246E+03    0.10712E-01    0.16391E+01    0.10587E+08   -0.42816E+05
    25    0.96775E+03    0.12295E-01    0.16774E+01    0.10665E+08   -0.42729E+05
    26    0.98303E+03    0.14123E-01    0.17197E+01    0.10733E+08   -0.42605E+05
    27    0.99854E+03    0.16179E-01    0.17677E+01    0.10792E+08   -0.42447E+05
    28    0.10142E+04    0.18471E-01    0.18226E+01    0.10841E+08   -0.42261E+05
    29    0.10301E+04    0.20959E-01    0.18772E+01    0.10882E+08   -0.42052E+05
    30    0.10462E+04    0.23618E-01    0.19218E+01    0.10915E+08   -0.41823E+05
    31    0.10623E+04    0.26461E-01    0.19525E+01    0.10939E+08   -0.41582E+05
    32    0.10787E+04    0.29499E-01    0.19675E+01    0.10958E+08   -0.41333E+05
    33    0.10953E+04    0.32720E-01    0.19683E+01    0.10970E+08   -0.41071E+05
    34    0.11120E+04    0.36122E-01    0.19572E+01    0.10977E+08   -0.40789E+05
    35    0.11288E+04    0.39733E-01    0.19341E+01    0.10978E+08   -0.40492E+05
    36    0.11457E+04    0.43592E-01    0.18976E+01    0.10975E+08   -0.40187E+05
    37    0.11627E+04    0.47732E-01    0.18479E+01    0.10967E+08   -0.39878E+05
    38    0.11801E+04    0.52181E-01    0.17874E+01    0.10955E+08   -0.39569E+05
    39    0.11978E+04    0.56921E-01    0.17181E+01    0.10939E+08   -0.39256E+05
    40    0.12156E+04    0.61932E-01    0.16416E+01    0.10920E+08   -0.38936E+05
    41    0.12336E+04    0.67203E-01    0.15588E+01    0.10897E+08   -0.38606E+05
    42    0.12515E+04    0.72745E-01    0.14681E+01    0.10870E+08   -0.38267E+05
    43    0.12697E+04    0.78572E-01    0.13672E+01    0.10841E+08   -0.37924E+05
    44    0.12878E+04    0.84687E-01    0.12547E+01    0.10809E+08   -0.37581E+05
    45    0.13063E+04    0.91100E-01    0.11295E+01    0.10775E+08   -0.37240E+05
    46    0.13251E+04    0.97822E-01    0.98851E+00    0.10738E+08   -0.36905E+05
    47    0.13440E+04    0.10484E+00    0.83245E+00    0.10699E+08   -0.36573E+05
    48    0.13631E+04    0.11216E+00    0.66544E+00    0.10658E+08   -0.36241E+05
    49    0.13823E+04    0.11974E+00    0.49099E+00    0.10616E+08   -0.35905E+05
    50    0.14019E+04    0.12755E+00    0.30587E+00    0.10572E+08   -0.35563E+05
    51    0.14217E+04    0.13556E+00    0.10549E+00    0.10526E+08   -0.35213E+05
    52    0.14419E+04    0.14385E+00   -0.11450E+00    0.10479E+08   -0.34855E+05
    53    0.14620E+04    0.15258E+00   -0.35651E+00    0.10431E+08   -0.34494E+05
    54    0.14821E+04    0.16174E+00   -0.61500E+00    0.10381E+08   -0.34133E+05
    55    0.15024E+04    0.17133E+00   -0.88432E+00    0.10331E+08   -0.33774E+05
    56    0.15230E+04    0.18120E+00   -0.11652E+01    0.10279E+08   -0.33421E+05
    57    0.15440E+04    0.19124E+00   -0.14575E+01    0.10227E+08   -0.33074E+05
    58    0.15653E+04    0.20145E+00   -0.17623E+01    0.10174E+08   -0.32732E+05
