#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.77258E+03    0.40717E+01   -0.84868E-03    0.40717E+01    0.53847E-01   -0.72048E-05   -0.84868E-03   -0.72048E-05    0.15316E-07
     3    0.77987E+03    0.47298E+01   -0.60562E-03    0.47298E+01    0.88196E-01   -0.61344E-05   -0.60562E-03   -0.61344E-05    0.93435E-08
     4    0.77300E+03    0.46902E+01   -0.48305E-03    0.46902E+01    0.98879E-01   -0.47767E-05   -0.48305E-03   -0.47767E-05    0.64631E-08
     5    0.76520E+03    0.42575E+01   -0.40771E-03    0.42575E+01    0.87219E-01   -0.34549E-05   -0.40771E-03   -0.34549E-05    0.48032E-08
     6    0.75978E+03    0.36475E+01   -0.35523E-03    0.36475E+01    0.63975E-01   -0.22990E-05   -0.35523E-03   -0.22990E-05    0.37384E-08
     7    0.75798E+03    0.29963E+01   -0.31580E-03    0.29963E+01    0.40411E-01   -0.13682E-05   -0.31580E-03   -0.13682E-05    0.30063E-08
     8    0.75959E+03    0.23918E+01   -0.28519E-03    0.23918E+01    0.23181E-01   -0.67203E-06   -0.28519E-03   -0.67203E-06    0.24769E-08
     9    0.76419E+03    0.18823E+01   -0.26087E-03    0.18823E+01    0.13601E-01   -0.19628E-06   -0.26087E-03   -0.19628E-06    0.20798E-08
    10    0.77106E+03    0.14916E+01   -0.24057E-03    0.14916E+01    0.96437E-02    0.81966E-07   -0.24057E-03    0.81966E-07    0.17728E-08
    11    0.77921E+03    0.12297E+01   -0.22290E-03    0.12297E+01    0.84157E-02    0.19634E-06   -0.22290E-03    0.19634E-06    0.15303E-08
    12    0.78939E+03    0.10913E+01   -0.20719E-03    0.10913E+01    0.78752E-02    0.19518E-06   -0.20719E-03    0.19518E-06    0.13343E-08
    13    0.80019E+03    0.10502E+01   -0.19322E-03    0.10502E+01    0.71264E-02    0.12803E-06   -0.19322E-03    0.12803E-06    0.11740E-08
    14    0.81099E+03    0.10756E+01   -0.18085E-03    0.10756E+01    0.63343E-02    0.37749E-07   -0.18085E-03    0.37749E-07    0.10407E-08
    15    0.82229E+03    0.11435E+01   -0.16984E-03    0.11435E+01    0.57785E-02   -0.57303E-07   -0.16984E-03   -0.57303E-07    0.92877E-09
    16    0.83465E+03    0.12327E+01   -0.15994E-03    0.12327E+01    0.56558E-02   -0.14468E-06   -0.15994E-03   -0.14468E-06    0.83362E-09
    17    0.84814E+03    0.13243E+01   -0.15099E-03    0.13243E+01    0.59383E-02   -0.21116E-06   -0.15099E-03   -0.21116E-06    0.75217E-09
    18    0.86193E+03    0.14040E+01   -0.14288E-03    0.14040E+01    0.63633E-02   -0.24603E-06   -0.14288E-03   -0.24603E-06    0.68180E-09
    19    0.87692E+03    0.14679E+01   -0.13550E-03    0.14679E+01    0.68019E-02   -0.24955E-06   -0.13550E-03   -0.24955E-06    0.62061E-09
    20    0.89148E+03    0.15132E+01   -0.12875E-03    0.15132E+01    0.72423E-02   -0.22704E-06   -0.12875E-03   -0.22704E-06    0.56698E-09
    21    0.90600E+03    0.15461E+01   -0.12253E-03    0.15461E+01    0.77386E-02   -0.19315E-06   -0.12253E-03   -0.19315E-06    0.51976E-09
    22    0.92080E+03    0.15740E+01   -0.11674E-03    0.15740E+01    0.84361E-02   -0.16188E-06   -0.11674E-03   -0.16188E-06    0.47797E-09
    23    0.93572E+03    0.16028E+01   -0.11139E-03    0.16028E+01    0.94193E-02   -0.13510E-06   -0.11139E-03   -0.13510E-06    0.44082E-09
    24    0.95087E+03    0.16370E+01   -0.10644E-03    0.16370E+01    0.10707E-01   -0.11205E-06   -0.10644E-03   -0.11205E-06    0.40762E-09
    25    0.96618E+03    0.16754E+01   -0.10183E-03    0.16754E+01    0.12290E-01   -0.93283E-07   -0.10183E-03   -0.93283E-07    0.37785E-09
    26    0.98147E+03    0.17178E+01   -0.97508E-04    0.17178E+01    0.14118E-01   -0.80099E-07   -0.97508E-04   -0.80099E-07    0.35105E-09
    27    0.99700E+03    0.17657E+01   -0.93438E-04    0.17657E+01    0.16173E-01   -0.75275E-07   -0.93438E-04   -0.75275E-07    0.32685E-09
    28    0.10127E+04    0.18204E+01   -0.89607E-04    0.18204E+01    0.18463E-01   -0.80371E-07   -0.89607E-04   -0.80371E-07    0.30492E-09
    29    0.10286E+04    0.18746E+01   -0.86000E-04    0.18746E+01    0.20951E-01   -0.90585E-07   -0.86000E-04   -0.90585E-07    0.28499E-09
    30    0.10447E+04    0.19190E+01   -0.82601E-04    0.19190E+01    0.23608E-01   -0.10007E-06   -0.82601E-04   -0.10007E-06    0.26680E-09
    31    0.10608E+04    0.19495E+01   -0.79404E-04    0.19495E+01    0.26451E-01   -0.10512E-06   -0.79404E-04   -0.10512E-06    0.25017E-09
    32    0.10772E+04    0.19646E+01   -0.76398E-04    0.19646E+01    0.29489E-01   -0.10372E-06   -0.76398E-04   -0.10372E-06    0.23494E-09
    33    0.10938E+04    0.19654E+01   -0.73556E-04    0.19654E+01    0.32710E-01   -0.98412E-07   -0.73556E-04   -0.98412E-07    0.22096E-09
    34    0.11106E+04    0.19544E+01   -0.70850E-04    0.19544E+01    0.36113E-01   -0.92386E-07   -0.70850E-04   -0.92386E-07    0.20810E-09
    35    0.11274E+04    0.19315E+01   -0.68276E-04    0.19315E+01    0.39725E-01   -0.86879E-07   -0.68276E-04   -0.86879E-07    0.19625E-09
    36    0.11443E+04    0.18952E+01   -0.65835E-04    0.18952E+01    0.43586E-01   -0.82112E-07   -0.65835E-04   -0.82112E-07    0.18529E-09
    37    0.11613E+04    0.18457E+01   -0.63523E-04    0.18457E+01    0.47727E-01   -0.76196E-07   -0.63523E-04   -0.76196E-07    0.17516E-09
    38    0.11787E+04    0.17854E+01   -0.61334E-04    0.17854E+01    0.52176E-01   -0.67566E-07   -0.61334E-04   -0.67566E-07    0.16576E-09
    39    0.11964E+04    0.17163E+01   -0.59256E-04    0.17163E+01    0.56917E-01   -0.58073E-07   -0.59256E-04   -0.58073E-07    0.15704E-09
    40    0.12142E+04    0.16400E+01   -0.57273E-04    0.16400E+01    0.61929E-01   -0.50420E-07   -0.57273E-04   -0.50420E-07    0.14893E-09
    41    0.12323E+04    0.15573E+01   -0.55374E-04    0.15573E+01    0.67200E-01   -0.46664E-07   -0.55374E-04   -0.46664E-07    0.14136E-09
