#    L    TT             EE             BB             TE          
     2    0.50283E+03    0.15932E-01    0.25187E-01    0.33032E+00
     3    0.39062E+03    0.20339E-01    0.29065E-01   -0.37899E+00
     4    0.36377E+03    0.21457E-01    0.28464E-01   -0.60086E+00
     5    0.35330E+03    0.19551E-01    0.24898E-01   -0.63916E+00
     6    0.34873E+03    0.15945E-01    0.20026E-01   -0.59433E+00
     7    0.34705E+03    0.11946E-01    0.15146E-01   -0.51962E+00
     8    0.34687E+03    0.85097E-02    0.11036E-01   -0.44375E+00
     9    0.34759E+03    0.60602E-02    0.80056E-02   -0.38128E+00
    10    0.34881E+03    0.46625E-02    0.60507E-02   -0.33260E+00
    11    0.35011E+03    0.41311E-02    0.50140E-02   -0.30083E+00
    12    0.35087E+03    0.42051E-02    0.46797E-02   -0.28390E+00
    13    0.35137E+03    0.46656E-02    0.48409E-02   -0.27960E+00
    14    0.35205E+03    0.53294E-02    0.53127E-02   -0.28616E+00
    15    0.35300E+03    0.61049E-02    0.59798E-02   -0.30145E+00
    16    0.35418E+03    0.69338E-02    0.67557E-02   -0.32352E+00
    17    0.35526E+03    0.78006E-02    0.75978E-02   -0.35144E+00
    18    0.35592E+03    0.87019E-02    0.84793E-02   -0.38440E+00
    19    0.35613E+03    0.96402E-02    0.93904E-02   -0.42108E+00
    20    0.35597E+03    0.10618E-01    0.10326E-01   -0.46036E+00
    21    0.35551E+03    0.11634E-01    0.11284E-01   -0.50247E+00
    22    0.35483E+03    0.12683E-01    0.12264E-01   -0.54780E+00
    23    0.35394E+03    0.13759E-01    0.13263E-01   -0.59590E+00
    24    0.35283E+03    0.14854E-01    0.14279E-01   -0.64619E+00
    25    0.35153E+03    0.15969E-01    0.15309E-01   -0.69830E+00
    26    0.35007E+03    0.17108E-01    0.16351E-01   -0.75189E+00
    27    0.34844E+03    0.18267E-01    0.17406E-01   -0.80656E+00
    28    0.34663E+03    0.19445E-01    0.18476E-01   -0.86205E+00
    29    0.34467E+03    0.20648E-01    0.19560E-01   -0.91885E+00
