#    L    TT             EE             BB             TE          
     2    0.12754E+04    0.69779E-01    0.25187E-01    0.44020E+01
     3    0.11705E+04    0.10854E+00    0.29065E-01    0.43508E+01
     4    0.11368E+04    0.12034E+00    0.28464E-01    0.40894E+01
     5    0.11185E+04    0.10677E+00    0.24898E-01    0.36184E+01
     6    0.11085E+04    0.79919E-01    0.20026E-01    0.30532E+01
     7    0.11050E+04    0.52357E-01    0.15146E-01    0.24767E+01
     8    0.11065E+04    0.31691E-01    0.11036E-01    0.19480E+01
     9    0.11118E+04    0.19661E-01    0.80056E-02    0.15010E+01
    10    0.11199E+04    0.14306E-01    0.60507E-02    0.11590E+01
    11    0.11293E+04    0.12547E-01    0.50140E-02    0.92889E+00
    12    0.11403E+04    0.12080E-01    0.46797E-02    0.80736E+00
    13    0.11516E+04    0.11792E-01    0.48409E-02    0.77055E+00
    14    0.11630E+04    0.11664E-01    0.53127E-02    0.78945E+00
    15    0.11753E+04    0.11883E-01    0.59798E-02    0.84205E+00
    16    0.11888E+04    0.12590E-01    0.67557E-02    0.90919E+00
    17    0.12034E+04    0.13739E-01    0.75978E-02    0.97284E+00
    18    0.12179E+04    0.15065E-01    0.84793E-02    0.10196E+01
    19    0.12331E+04    0.16442E-01    0.93904E-02    0.10468E+01
    20    0.12474E+04    0.17861E-01    0.10326E-01    0.10528E+01
    21    0.12615E+04    0.19373E-01    0.11284E-01    0.10437E+01
    22    0.12756E+04    0.21119E-01    0.12264E-01    0.10262E+01
    23    0.12897E+04    0.23178E-01    0.13263E-01    0.10069E+01
    24    0.13037E+04    0.25561E-01    0.14279E-01    0.99079E+00
    25    0.13177E+04    0.28260E-01    0.15309E-01    0.97709E+00
    26    0.13315E+04    0.31227E-01    0.16351E-01    0.96587E+00
    27    0.13454E+04    0.34441E-01    0.17406E-01    0.95913E+00
    28    0.13593E+04    0.37908E-01    0.18476E-01    0.95833E+00
    29    0.13732E+04    0.41598E-01    0.19560E-01    0.95579E+00
    30    0.13873E+04    0.45491E-01    0.20656E-01    0.94159E+00
    31    0.14012E+04    0.49601E-01    0.21761E-01    0.91239E+00
    32    0.14151E+04    0.53930E-01    0.22874E-01    0.86714E+00
    33    0.14292E+04    0.58453E-01    0.23995E-01    0.80739E+00
    34    0.14433E+04    0.63158E-01    0.25121E-01    0.73550E+00
    35    0.14574E+04    0.68082E-01    0.26251E-01    0.65155E+00
    36    0.14714E+04    0.73273E-01    0.27383E-01    0.55437E+00
    37    0.14854E+04    0.78766E-01    0.28518E-01    0.44415E+00
    38    0.14997E+04    0.84588E-01    0.29656E-01    0.32349E+00
    39    0.15142E+04    0.90717E-01    0.30794E-01    0.19448E+00
    40    0.15287E+04    0.97129E-01    0.31930E-01    0.58836E-01
    41    0.15433E+04    0.10381E+00    0.33060E-01   -0.82505E-01
    42    0.15577E+04    0.11076E+00    0.34183E-01   -0.23109E+00
    43    0.15723E+04    0.11801E+00    0.35296E-01   -0.38906E+00
    44    0.15867E+04    0.12554E+00    0.36400E-01   -0.55766E+00
    45    0.16015E+04    0.13338E+00    0.37494E-01   -0.73807E+00
    46    0.16165E+04    0.14153E+00    0.38575E-01   -0.93306E+00
    47    0.16316E+04    0.14998E+00    0.39642E-01   -0.11419E+01
    48    0.16467E+04    0.15872E+00    0.40695E-01   -0.13603E+01
    49    0.16619E+04    0.16772E+00    0.41730E-01   -0.15847E+01
    50    0.16775E+04    0.17695E+00    0.42748E-01   -0.18181E+01
    51    0.16931E+04    0.18638E+00    0.43745E-01   -0.20651E+01
    52    0.17091E+04    0.19608E+00    0.44722E-01   -0.23299E+01
    53    0.17251E+04    0.20621E+00    0.45677E-01   -0.26149E+01
    54    0.17409E+04    0.21676E+00    0.46610E-01   -0.29147E+01
    55    0.17569E+04    0.22773E+00    0.47520E-01   -0.32234E+01
    56    0.17732E+04    0.23897E+00    0.48405E-01   -0.35419E+01
    57    0.17898E+04    0.25036E+00    0.49265E-01   -0.38700E+01
    58    0.18068E+04    0.26191E+00    0.50100E-01   -0.42086E+01
    59    0.18239E+04    0.27365E+00    0.50908E-01   -0.45586E+01
    60    0.18412E+04    0.28561E+00    0.51687E-01   -0.49195E+01
    61    0.18590E+04    0.29790E+00    0.52439E-01   -0.52907E+01
    62    0.18767E+04    0.31048E+00    0.53161E-01   -0.56728E+01
    63    0.18945E+04    0.32334E+00    0.53854E-01   -0.60667E+01
    64    0.19127E+04    0.33648E+00    0.54517E-01   -0.64734E+01
    65    0.19310E+04    0.34988E+00    0.55150E-01   -0.68933E+01
    66    0.19497E+04    0.36347E+00    0.55751E-01   -0.73246E+01
    67    0.19686E+04    0.37725E+00    0.56321E-01   -0.77649E+01
    68    0.19879E+04    0.39125E+00    0.56859E-01   -0.82133E+01
    69    0.20074E+04    0.40543E+00    0.57365E-01   -0.86685E+01
    70    0.20274E+04    0.41980E+00    0.57838E-01   -0.91330E+01
    71    0.20475E+04    0.43436E+00    0.58278E-01   -0.96095E+01
    72    0.20679E+04    0.44907E+00    0.58685E-01   -0.10099E+02
    73    0.20885E+04    0.46391E+00    0.59059E-01   -0.10600E+02
    74    0.21093E+04    0.47886E+00    0.59401E-01   -0.11112E+02
    75    0.21305E+04    0.49394E+00    0.59709E-01   -0.11633E+02
    76    0.21521E+04    0.50915E+00    0.59985E-01   -0.12160E+02
    77    0.21740E+04    0.52447E+00    0.60228E-01   -0.12693E+02
    78    0.21964E+04    0.53994E+00    0.60439E-01   -0.13235E+02
    79    0.22190E+04    0.55548E+00    0.60617E-01   -0.13782E+02
    80    0.22420E+04    0.57110E+00    0.60764E-01   -0.14335E+02
    81    0.22653E+04    0.58674E+00    0.60878E-01   -0.14895E+02
    82    0.22890E+04    0.60242E+00    0.60961E-01   -0.15462E+02
    83    0.23129E+04    0.61811E+00    0.61012E-01   -0.16035E+02
    84    0.23372E+04    0.63380E+00    0.61031E-01   -0.16614E+02
    85    0.23617E+04    0.64947E+00    0.61019E-01   -0.17199E+02
    86    0.23865E+04    0.66512E+00    0.60975E-01   -0.17791E+02
    87    0.24117E+04    0.68072E+00    0.60900E-01   -0.18387E+02
    88    0.24370E+04    0.69629E+00    0.60794E-01   -0.18988E+02
    89    0.24628E+04    0.71181E+00    0.60658E-01   -0.19594E+02
    90    0.24889E+04    0.72723E+00    0.60493E-01   -0.20202E+02
    91    0.25152E+04    0.74256E+00    0.60298E-01   -0.20813E+02
    92    0.25419E+04    0.75777E+00    0.60075E-01   -0.21426E+02
