#    L    TT             EE             BB             TE          
     2    0.14790E+04    0.72174E-01    0.26109E-01    0.47937E+01
     3    0.13244E+04    0.11116E+00    0.29899E-01    0.46232E+01
     4    0.12643E+04    0.12137E+00    0.28996E-01    0.42694E+01
     5    0.12282E+04    0.10568E+00    0.25086E-01    0.37289E+01
     6    0.12047E+04    0.77436E-01    0.19947E-01    0.31106E+01
     7    0.11908E+04    0.49693E-01    0.14919E-01    0.24945E+01
     8    0.11839E+04    0.29730E-01    0.10774E-01    0.19400E+01
     9    0.11825E+04    0.18650E-01    0.77895E-02    0.14799E+01
    10    0.11849E+04    0.14000E-01    0.59248E-02    0.11393E+01
    11    0.11894E+04    0.12559E-01    0.49953E-02    0.92067E+00
    12    0.11962E+04    0.12166E-01    0.47630E-02    0.81465E+00
    13    0.12038E+04    0.11892E-01    0.50132E-02    0.79328E+00
    14    0.12121E+04    0.11859E-01    0.55581E-02    0.82466E+00
    15    0.12215E+04    0.12236E-01    0.62846E-02    0.88630E+00
    16    0.12325E+04    0.13101E-01    0.71095E-02    0.95863E+00
    17    0.12448E+04    0.14366E-01    0.79953E-02    0.10211E+01
    18    0.12573E+04    0.15738E-01    0.89194E-02    0.10587E+01
    19    0.12708E+04    0.17135E-01    0.98729E-02    0.10737E+01
    20    0.12836E+04    0.18600E-01    0.10851E-01    0.10698E+01
    21    0.12963E+04    0.20212E-01    0.11853E-01    0.10543E+01
    22    0.13091E+04    0.22122E-01    0.12878E-01    0.10338E+01
    23    0.13220E+04    0.24373E-01    0.13923E-01    0.10128E+01
    24    0.13350E+04    0.26944E-01    0.14985E-01    0.99498E+00
    25    0.13481E+04    0.29833E-01    0.16062E-01    0.98113E+00
    26    0.13611E+04    0.33004E-01    0.17152E-01    0.97298E+00
    27    0.13742E+04    0.36427E-01    0.18256E-01    0.97057E+00
    28    0.13873E+04    0.40096E-01    0.19377E-01    0.97248E+00
    29    0.14007E+04    0.43984E-01    0.20512E-01    0.96786E+00
    30    0.14142E+04    0.48077E-01    0.21660E-01    0.94500E+00
    31    0.14277E+04    0.52389E-01    0.22819E-01    0.90441E+00
    32    0.14412E+04    0.56922E-01    0.23985E-01    0.84913E+00
    33    0.14549E+04    0.61656E-01    0.25158E-01    0.78019E+00
    34    0.14685E+04    0.66587E-01    0.26338E-01    0.69859E+00
    35    0.14823E+04    0.71771E-01    0.27523E-01    0.60407E+00
    36    0.14961E+04    0.77269E-01    0.28710E-01    0.49568E+00
    37    0.15099E+04    0.83091E-01    0.29901E-01    0.37470E+00
    38    0.15240E+04    0.89237E-01    0.31094E-01    0.24477E+00
    39    0.15384E+04    0.95691E-01    0.32288E-01    0.10778E+00
    40    0.15528E+04    0.10244E+00    0.33478E-01   -0.34997E-01
    41    0.15673E+04    0.10948E+00    0.34662E-01   -0.18314E+00
    42    0.15817E+04    0.11682E+00    0.35838E-01   -0.33878E+00
    43    0.15962E+04    0.12446E+00    0.37005E-01   -0.50465E+00
    44    0.16107E+04    0.13240E+00    0.38162E-01   -0.68261E+00
    45    0.16255E+04    0.14064E+00    0.39307E-01   -0.87442E+00
    46    0.16406E+04    0.14918E+00    0.40440E-01   -0.10832E+01
    47    0.16558E+04    0.15803E+00    0.41559E-01   -0.13078E+01
    48    0.16710E+04    0.16718E+00    0.42662E-01   -0.15430E+01
    49    0.16864E+04    0.17660E+00    0.43747E-01   -0.17844E+01
    50    0.17021E+04    0.18627E+00    0.44814E-01   -0.20345E+01
    51    0.17179E+04    0.19616E+00    0.45860E-01   -0.22971E+01
    52    0.17341E+04    0.20634E+00    0.46885E-01   -0.25768E+01
