#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.14790E+04    0.72171E-01    0.26106E-01    0.47937E+01    0.10321E-06   -0.49787E-02   -0.18474E-04
     3    0.13244E+04    0.11115E+00    0.29893E-01    0.46232E+01    0.12463E-06   -0.48314E-02   -0.21974E-04
     4    0.12643E+04    0.12136E+00    0.28987E-01    0.42695E+01    0.14256E-06   -0.47431E-02   -0.21862E-04
     5    0.12281E+04    0.10566E+00    0.25072E-01    0.37289E+01    0.15789E-06   -0.46773E-02   -0.19152E-04
     6    0.12047E+04    0.77417E-01    0.19928E-01    0.31106E+01    0.17109E-06   -0.46177E-02   -0.14883E-04
     7    0.11907E+04    0.49667E-01    0.14893E-01    0.24945E+01    0.18255E-06   -0.45601E-02   -0.10039E-04
     8    0.11838E+04    0.29697E-01    0.10741E-01    0.19400E+01    0.19254E-06   -0.45067E-02   -0.54098E-05
     9    0.11824E+04    0.18608E-01    0.77482E-02    0.14799E+01    0.20129E-06   -0.44582E-02   -0.16218E-05
    10    0.11848E+04    0.13949E-01    0.58743E-02    0.11393E+01    0.20895E-06   -0.44092E-02    0.88817E-06
    11    0.11893E+04    0.12498E-01    0.49346E-02    0.92069E+00    0.21573E-06   -0.43566E-02    0.20041E-05
    12    0.11961E+04    0.12094E-01    0.46913E-02    0.81468E+00    0.22166E-06   -0.42997E-02    0.19624E-05
    13    0.12037E+04    0.11808E-01    0.49295E-02    0.79333E+00    0.22685E-06   -0.42399E-02    0.11226E-05
    14    0.12119E+04    0.11763E-01    0.54615E-02    0.82473E+00    0.23142E-06   -0.41793E-02   -0.18128E-06
    15    0.12213E+04    0.12125E-01    0.61741E-02    0.88639E+00    0.23543E-06   -0.41191E-02   -0.17242E-05
    16    0.12323E+04    0.12976E-01    0.69841E-02    0.95873E+00    0.23893E-06   -0.40599E-02   -0.32804E-05
    17    0.12446E+04    0.14224E-01    0.78541E-02    0.10212E+01    0.24198E-06   -0.40023E-02   -0.45055E-05
    18    0.12570E+04    0.15580E-01    0.87614E-02    0.10589E+01    0.24463E-06   -0.39463E-02   -0.51146E-05
    19    0.12705E+04    0.16959E-01    0.96972E-02    0.10739E+01    0.24691E-06   -0.38913E-02   -0.51638E-05
    20    0.12833E+04    0.18405E-01    0.10657E-01    0.10700E+01    0.24885E-06   -0.38366E-02   -0.48112E-05
    21    0.12959E+04    0.19998E-01    0.11639E-01    0.10546E+01    0.25047E-06   -0.37823E-02   -0.42946E-05
    22    0.13087E+04    0.21888E-01    0.12643E-01    0.10341E+01    0.25184E-06   -0.37286E-02   -0.38157E-05
