#    L    TT             EE             TE             PP             TP          
     2    0.86772E+03    0.55441E-01    0.42717E+01    0.19689E+07   -0.34551E+05
     3    0.85613E+03    0.90025E-01    0.48493E+01    0.30073E+07   -0.40291E+05
     4    0.83814E+03    0.99552E-01    0.47445E+01    0.39121E+07   -0.43952E+05
     5    0.82220E+03    0.86367E-01    0.42659E+01    0.46994E+07   -0.46470E+05
     6    0.81017E+03    0.62185E-01    0.36268E+01    0.53849E+07   -0.48223E+05
     7    0.80292E+03    0.38577E-01    0.29603E+01    0.59845E+07   -0.49443E+05
     8    0.80000E+03    0.21912E-01    0.23517E+01    0.65105E+07   -0.50335E+05
     9    0.80073E+03    0.13015E-01    0.18464E+01    0.69740E+07   -0.51020E+05
    10    0.80420E+03    0.95065E-02    0.14666E+01    0.73827E+07   -0.51491E+05
    11    0.80936E+03    0.84147E-02    0.12190E+01    0.77455E+07   -0.51738E+05
    12    0.81692E+03    0.78255E-02    0.10934E+01    0.80661E+07   -0.51780E+05
    13    0.82542E+03    0.69910E-02    0.10613E+01    0.83495E+07   -0.51672E+05
    14    0.83416E+03    0.61868E-02    0.10911E+01    0.86008E+07   -0.51467E+05
    15    0.84359E+03    0.56742E-02    0.11595E+01    0.88236E+07   -0.51190E+05
    16    0.85425E+03    0.56034E-02    0.12469E+01    0.90206E+07   -0.50861E+05
    17    0.86622E+03    0.59140E-02    0.13339E+01    0.91948E+07   -0.50494E+05
    18    0.87867E+03    0.63267E-02    0.14062E+01    0.93487E+07   -0.50103E+05
    19    0.89245E+03    0.67457E-02    0.14629E+01    0.94838E+07   -0.49687E+05
    20    0.90590E+03    0.71978E-02    0.15042E+01    0.96014E+07   -0.49246E+05
    21    0.91940E+03    0.77516E-02    0.15370E+01    0.97035E+07   -0.48777E+05
    22    0.93327E+03    0.85530E-02    0.15675E+01    0.97920E+07   -0.48285E+05
    23    0.94736E+03    0.96570E-02    0.16000E+01    0.98679E+07   -0.47784E+05
    24    0.96174E+03    0.11053E-01    0.16371E+01    0.99322E+07   -0.47285E+05
    25    0.97636E+03    0.12733E-01    0.16781E+01    0.99858E+07   -0.46777E+05
