#    L    TT             EE             BB             TE          
     2    0.13724E+04    0.71778E-01    0.25963E-01    0.46280E+01
     3    0.12463E+04    0.11061E+00    0.29739E-01    0.44948E+01
     4    0.12014E+04    0.12099E+00    0.28868E-01    0.41708E+01
     5    0.11751E+04    0.10564E+00    0.25008E-01    0.36557E+01
     6    0.11586E+04    0.77685E-01    0.19912E-01    0.30609E+01
     7    0.11497E+04    0.50031E-01    0.14910E-01    0.24665E+01
     8    0.11466E+04    0.29987E-01    0.10770E-01    0.19302E+01
     9    0.11481E+04    0.18759E-01    0.77739E-02    0.14829E+01
    10    0.11529E+04    0.13988E-01    0.58866E-02    0.11476E+01
    11    0.11593E+04    0.12482E-01    0.49282E-02    0.92749E+00
    12    0.11677E+04    0.12052E-01    0.46656E-02    0.81522E+00
    13    0.11767E+04    0.11735E-01    0.48860E-02    0.78445E+00
    14    0.11861E+04    0.11630E-01    0.54024E-02    0.80490E+00
    15    0.11964E+04    0.11914E-01    0.61019E-02    0.85578E+00
    16    0.12083E+04    0.12689E-01    0.69009E-02    0.91927E+00
    17    0.12213E+04    0.13883E-01    0.77608E-02    0.97677E+00
    18    0.12343E+04    0.15214E-01    0.86583E-02    0.10146E+01
    19    0.12483E+04    0.16589E-01    0.95844E-02    0.10332E+01
    20    0.12615E+04    0.18038E-01    0.10535E-01    0.10341E+01
    21    0.12745E+04    0.19627E-01    0.11508E-01    0.10235E+01
    22    0.12876E+04    0.21496E-01    0.12502E-01    0.10075E+01
    23    0.13008E+04    0.23692E-01    0.13516E-01    0.99069E+00
    24    0.13140E+04    0.26200E-01    0.14547E-01    0.97642E+00
    25    0.13273E+04    0.29011E-01    0.15591E-01    0.96427E+00
    26    0.13404E+04    0.32086E-01    0.16647E-01    0.95492E+00
    27    0.13536E+04    0.35402E-01    0.17717E-01    0.94961E+00
    28    0.13669E+04    0.38964E-01    0.18802E-01    0.94862E+00
    29    0.13804E+04    0.42745E-01    0.19901E-01    0.94261E+00
    30    0.13940E+04    0.46731E-01    0.21012E-01    0.92080E+00
    31    0.14075E+04    0.50939E-01    0.22132E-01    0.88263E+00
    32    0.14211E+04    0.55375E-01    0.23260E-01    0.82995E+00
    33    0.14348E+04    0.60014E-01    0.24393E-01    0.76422E+00
    34    0.14485E+04    0.64851E-01    0.25533E-01    0.68706E+00
    35    0.14623E+04    0.69928E-01    0.26677E-01    0.59798E+00
    36    0.14761E+04    0.75302E-01    0.27823E-01    0.49560E+00
    37    0.14899E+04    0.80993E-01    0.28970E-01    0.38073E+00
    38    0.15040E+04    0.87008E-01    0.30120E-01    0.25655E+00
    39    0.15183E+04    0.93329E-01    0.31270E-01    0.12463E+00
    40    0.15326E+04    0.99935E-01    0.32416E-01   -0.14083E-01
    41    0.15471E+04    0.10682E+00    0.33555E-01   -0.15931E+00
    42    0.15615E+04    0.11398E+00    0.34686E-01   -0.31277E+00
    43    0.15760E+04    0.12144E+00    0.35808E-01   -0.47662E+00
    44    0.15904E+04    0.12919E+00    0.36919E-01   -0.65216E+00
    45    0.16051E+04    0.13725E+00    0.38018E-01   -0.84059E+00
