#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105427E-04   0.187950E+08   0.187950E+08   0.250473E+08   0.250469E+08   0.187951E+08   0.187950E+08   0.187950E+08   0.188012E+08  -0.602722E+00   0.110436E+08   0.110436E+08   0.563148E+01
   0.116477E-04   0.187950E+08   0.187950E+08   0.250445E+08   0.250440E+08   0.187951E+08   0.187950E+08   0.187950E+08   0.188013E+08  -0.602724E+00   0.110436E+08   0.110436E+08   0.622156E+01
   0.128685E-04   0.187950E+08   0.187950E+08   0.250411E+08   0.250405E+08   0.187951E+08   0.187950E+08   0.187950E+08   0.188013E+08  -0.602727E+00   0.110437E+08   0.110437E+08   0.687341E+01
   0.142173E-04   0.187950E+08   0.187950E+08   0.250370E+08   0.250363E+08   0.187951E+08   0.187950E+08   0.187950E+08   0.188013E+08  -0.602731E+00   0.110438E+08   0.110438E+08   0.759351E+01
   0.157075E-04   0.187950E+08   0.187950E+08   0.250319E+08   0.250310E+08   0.187951E+08   0.187950E+08   0.187950E+08   0.188013E+08  -0.602735E+00   0.110439E+08   0.110439E+08   0.838896E+01
   0.173539E-04   0.187950E+08   0.187950E+08   0.250257E+08   0.250247E+08   0.187951E+08   0.187950E+08   0.187950E+08   0.188013E+08  -0.602740E+00   0.110440E+08   0.110440E+08   0.926763E+01
   0.191728E-04   0.187950E+08   0.187950E+08   0.250181E+08   0.250169E+08   0.187951E+08   0.187950E+08   0.187950E+08   0.188013E+08  -0.602747E+00   0.110442E+08   0.110442E+08   0.102382E+02
   0.211824E-04   0.187950E+08   0.187950E+08   0.250089E+08   0.250074E+08   0.187951E+08   0.187950E+08   0.187950E+08   0.188013E+08  -0.602754E+00   0.110444E+08   0.110444E+08   0.113102E+02
   0.234026E-04   0.187951E+08   0.187951E+08   0.249977E+08   0.249958E+08   0.187951E+08   0.187951E+08   0.187951E+08   0.188013E+08  -0.602764E+00   0.110446E+08   0.110446E+08   0.124941E+02
   0.258556E-04   0.187951E+08   0.187951E+08   0.249840E+08   0.249817E+08   0.187952E+08   0.187951E+08   0.187951E+08   0.188013E+08  -0.602775E+00   0.110449E+08   0.110449E+08   0.138017E+02
   0.285656E-04   0.187951E+08   0.187951E+08   0.249672E+08   0.249644E+08   0.187952E+08   0.187951E+08   0.187951E+08   0.188013E+08  -0.602789E+00   0.110453E+08   0.110453E+08   0.152455E+02
