#    L    TT             EE             BB             TE          
     2    0.95192E+03    0.53743E-01    0.19142E-05    0.43521E+01
     3    0.90619E+03    0.87520E-01    0.38293E-05    0.48694E+01
     4    0.86961E+03    0.98239E-01    0.63838E-05    0.47478E+01
     5    0.84179E+03    0.87077E-01    0.95788E-05    0.42744E+01
     6    0.82149E+03    0.64342E-01    0.13416E-04    0.36503E+01
     7    0.80810E+03    0.40990E-01    0.17896E-04    0.30018E+01
     8    0.80035E+03    0.23655E-01    0.23020E-04    0.24071E+01
     9    0.79714E+03    0.13833E-01    0.28792E-04    0.19073E+01
    10    0.79742E+03    0.96800E-02    0.35212E-04    0.15204E+01
    11    0.79998E+03    0.83816E-02    0.42283E-04    0.12545E+01
    12    0.80535E+03    0.78576E-02    0.50008E-04    0.11056E+01
    13    0.81199E+03    0.71348E-02    0.58388E-04    0.10493E+01
    14    0.81916E+03    0.63144E-02    0.67426E-04    0.10565E+01
    15    0.82728E+03    0.56821E-02    0.77126E-04    0.11054E+01
    16    0.83683E+03    0.54617E-02    0.87489E-04    0.11776E+01
    17    0.84781E+03    0.56647E-02    0.98518E-04    0.12578E+01
    18    0.85930E+03    0.60604E-02    0.11022E-03    0.13342E+01
    19    0.87218E+03    0.65100E-02    0.12259E-03    0.14007E+01
    20    0.88484E+03    0.69801E-02    0.13563E-03    0.14516E+01
    21    0.89762E+03    0.74986E-02    0.14935E-03    0.14913E+01
    22    0.91082E+03    0.81900E-02    0.16376E-03    0.15255E+01
    23    0.92428E+03    0.91441E-02    0.17884E-03    0.15600E+01
    24    0.93806E+03    0.10389E-01    0.19461E-03    0.15989E+01
    25    0.95211E+03    0.11911E-01    0.21107E-03    0.16401E+01
    26    0.96626E+03    0.13656E-01    0.22821E-03    0.16822E+01
    27    0.98075E+03    0.15611E-01    0.24605E-03    0.17265E+01
    28    0.99545E+03    0.17791E-01    0.26457E-03    0.17744E+01
    29    0.10104E+04    0.20167E-01    0.28380E-03    0.18227E+01
    30    0.10257E+04    0.22717E-01    0.30371E-03    0.18654E+01
    31    0.10410E+04    0.25455E-01    0.32433E-03    0.18977E+01
    32    0.10566E+04    0.28391E-01    0.34564E-03    0.19162E+01
    33    0.10725E+04    0.31517E-01    0.36765E-03    0.19220E+01
    34    0.10885E+04    0.34837E-01    0.39035E-03    0.19172E+01
    35    0.11047E+04    0.38358E-01    0.41376E-03    0.19018E+01
    36    0.11210E+04    0.42099E-01    0.43786E-03    0.18744E+01
    37    0.11374E+04    0.46103E-01    0.46267E-03    0.18346E+01
    38    0.11542E+04    0.50410E-01    0.48816E-03    0.17841E+01
    39    0.11714E+04    0.55001E-01    0.51436E-03    0.17243E+01
    40    0.11887E+04    0.59849E-01    0.54125E-03    0.16560E+01
    41    0.12062E+04    0.64939E-01    0.56884E-03    0.15797E+01
    42    0.12237E+04    0.70284E-01    0.59712E-03    0.14941E+01
    43    0.12414E+04    0.75904E-01    0.62609E-03    0.13978E+01
    44    0.12590E+04    0.81803E-01    0.65576E-03    0.12901E+01
    45    0.12771E+04    0.87998E-01    0.68611E-03    0.11705E+01
    46    0.12954E+04    0.94501E-01    0.71715E-03    0.10366E+01
    47    0.13140E+04    0.10130E+00    0.74887E-03    0.88900E+00
    48    0.13326E+04    0.10839E+00    0.78128E-03    0.73159E+00
    49    0.13514E+04    0.11574E+00    0.81436E-03    0.56766E+00
    50    0.13706E+04    0.12331E+00    0.84813E-03    0.39374E+00
    51    0.13899E+04    0.13106E+00    0.88257E-03    0.20506E+00
    52    0.14097E+04    0.13909E+00    0.91769E-03   -0.27020E-02
    53    0.14295E+04    0.14754E+00    0.95348E-03   -0.23191E+00
    54    0.14493E+04    0.15643E+00    0.98995E-03   -0.47694E+00
    55    0.14692E+04    0.16573E+00    0.10271E-02   -0.73209E+00
    56    0.14895E+04    0.17532E+00    0.10649E-02   -0.99805E+00
    57    0.15101E+04    0.18508E+00    0.11033E-02   -0.12750E+01
    58    0.15310E+04    0.19500E+00    0.11425E-02   -0.15643E+01
    59    0.15521E+04    0.20513E+00    0.11823E-02   -0.18671E+01
    60    0.15734E+04    0.21549E+00    0.12227E-02   -0.21833E+01
    61    0.15952E+04    0.22619E+00    0.12639E-02   -0.25125E+01
    62    0.16170E+04    0.23720E+00    0.13056E-02   -0.28554E+01
    63    0.16389E+04    0.24849E+00    0.13481E-02   -0.32125E+01
    64    0.16612E+04    0.26008E+00    0.13912E-02   -0.35846E+01
    65    0.16836E+04    0.27195E+00    0.14350E-02   -0.39718E+01
