#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.14633E+04    0.69439E-01    0.24933E-01    0.47004E+01    0.91241E-07   -0.44024E-02   -0.17883E-04
     3    0.12988E+04    0.10760E+00    0.28733E-01    0.44910E+01    0.10901E-06   -0.40797E-02   -0.21266E-04
     4    0.12344E+04    0.11952E+00    0.28168E-01    0.41415E+01    0.12380E-06   -0.38709E-02   -0.21298E-04
     5    0.11957E+04    0.10657E+00    0.24700E-01    0.36263E+01    0.13637E-06   -0.37174E-02   -0.18854E-04
     6    0.11707E+04    0.80333E-01    0.19933E-01    0.30455E+01    0.14710E-06   -0.35916E-02   -0.14846E-04
     7    0.11555E+04    0.53042E-01    0.15132E-01    0.24720E+01    0.15635E-06   -0.34815E-02   -0.10203E-04
     8    0.11475E+04    0.32276E-01    0.11065E-01    0.19541E+01    0.16435E-06   -0.33862E-02   -0.56784E-05
     9    0.11449E+04    0.19969E-01    0.80420E-02    0.15186E+01    0.17131E-06   -0.33057E-02   -0.18063E-05
    10    0.11464E+04    0.14358E-01    0.60712E-02    0.11824E+01    0.17736E-06   -0.32331E-02    0.10337E-05
    11    0.11502E+04    0.12464E-01    0.50037E-02    0.95053E+00    0.18267E-06   -0.31620E-02    0.26172E-05
    12    0.11563E+04    0.11957E-01    0.46342E-02    0.82066E+00    0.18729E-06   -0.30895E-02    0.29483E-05
    13    0.11635E+04    0.11647E-01    0.47607E-02    0.77058E+00    0.19129E-06   -0.30178E-02    0.23769E-05
    14    0.11713E+04    0.11453E-01    0.52013E-02    0.77310E+00    0.19478E-06   -0.29498E-02    0.12871E-05
    15    0.11804E+04    0.11564E-01    0.58416E-02    0.80845E+00    0.19781E-06   -0.28854E-02   -0.56369E-07
    16    0.11911E+04    0.12142E-01    0.65946E-02    0.86008E+00    0.20043E-06   -0.28238E-02   -0.14310E-05
    17    0.12032E+04    0.13182E-01    0.74165E-02    0.91361E+00    0.20268E-06   -0.27646E-02   -0.26522E-05
    18    0.12154E+04    0.14448E-01    0.82784E-02    0.95838E+00    0.20461E-06   -0.27073E-02   -0.35498E-05
    19    0.12285E+04    0.15803E-01    0.91703E-02    0.98956E+00    0.20624E-06   -0.26526E-02   -0.39677E-05
    20    0.12410E+04    0.17216E-01    0.10087E-01    0.10024E+01    0.20758E-06   -0.26006E-02   -0.38287E-05
    21    0.12534E+04    0.18713E-01    0.11027E-01    0.10013E+01    0.20868E-06   -0.25505E-02   -0.33508E-05
