#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.12108E+04    0.31327E+01    0.15131E-02    0.31327E+01    0.54329E-01   -0.65438E-05    0.15131E-02   -0.65438E-05    0.75765E-08
     3    0.11427E+04    0.39773E+01    0.11020E-02    0.39773E+01    0.88533E-01   -0.56592E-05    0.11020E-02   -0.56592E-05    0.45985E-08
     4    0.10653E+04    0.41582E+01    0.84748E-03    0.41582E+01    0.98303E-01   -0.43799E-05    0.84748E-03   -0.43799E-05    0.31774E-08
     5    0.10007E+04    0.39123E+01    0.67615E-03    0.39123E+01    0.85808E-01   -0.31054E-05    0.67615E-03   -0.31054E-05    0.23608E-08
     6    0.95127E+03    0.34485E+01    0.55432E-03    0.34485E+01    0.62281E-01   -0.19854E-05    0.55432E-03   -0.19854E-05    0.18375E-08
     7    0.91524E+03    0.29061E+01    0.46413E-03    0.29061E+01    0.38985E-01   -0.10856E-05    0.46413E-03   -0.10856E-05    0.14778E-08
     8    0.88923E+03    0.23798E+01    0.39466E-03    0.23798E+01    0.22297E-01   -0.41972E-06    0.39466E-03   -0.41972E-06    0.12179E-08
     9    0.87108E+03    0.19236E+01    0.33951E-03    0.19236E+01    0.13229E-01    0.25844E-07    0.33951E-03    0.25844E-07    0.10229E-08
    10    0.85930E+03    0.15622E+01    0.29511E-03    0.15622E+01    0.95777E-02    0.27679E-06    0.29511E-03    0.27679E-06    0.87222E-09
    11    0.85223E+03    0.13058E+01    0.25922E-03    0.13058E+01    0.84360E-02    0.36941E-06    0.25922E-03    0.36941E-06    0.75317E-09
    12    0.84973E+03    0.11545E+01    0.22980E-03    0.11545E+01    0.78496E-02    0.35145E-06    0.22980E-03    0.35145E-06    0.65697E-09
    13    0.84982E+03    0.10916E+01    0.20531E-03    0.10916E+01    0.70102E-02    0.27078E-06    0.20531E-03    0.27078E-06    0.57827E-09
    14    0.85143E+03    0.10947E+01    0.18454E-03    0.10947E+01    0.61485E-02    0.16909E-06    0.18454E-03    0.16909E-06    0.51278E-09
    15    0.85485E+03    0.11394E+01    0.16674E-03    0.11394E+01    0.55427E-02    0.65929E-07    0.16674E-03    0.65929E-07    0.45776E-09
    16    0.86050E+03    0.12038E+01    0.15133E-03    0.12038E+01    0.53747E-02   -0.25210E-07    0.15133E-03   -0.25210E-07    0.41098E-09
    17    0.86818E+03    0.12738E+01    0.13792E-03    0.12738E+01    0.56152E-02   -0.92990E-07    0.13792E-03   -0.92990E-07    0.37091E-09
    18    0.87681E+03    0.13411E+01    0.12615E-03    0.13411E+01    0.60064E-02   -0.12906E-06    0.12615E-03   -0.12906E-06    0.33629E-09
    19    0.88721E+03    0.14040E+01    0.11577E-03    0.14040E+01    0.64380E-02   -0.13489E-06    0.11577E-03   -0.13489E-06    0.30617E-09
    20    0.89769E+03    0.14594E+01    0.10654E-03    0.14594E+01    0.69131E-02   -0.11636E-06    0.10654E-03   -0.11636E-06    0.27975E-09
    21    0.90861E+03    0.15057E+01    0.98315E-04    0.15057E+01    0.74752E-02   -0.87150E-07    0.98315E-04   -0.87150E-07    0.25649E-09
    22    0.92026E+03    0.15426E+01    0.90991E-04    0.15426E+01    0.82522E-02   -0.60247E-07    0.90991E-04   -0.60247E-07    0.23589E-09
    23    0.93239E+03    0.15774E+01    0.84420E-04    0.15774E+01    0.93100E-02   -0.37953E-07    0.84420E-04   -0.37953E-07    0.21758E-09
    24    0.94498E+03    0.16172E+01    0.78472E-04    0.16172E+01    0.10652E-01   -0.20045E-07    0.78472E-04   -0.20045E-07    0.20120E-09
    25    0.95800E+03    0.16611E+01    0.73088E-04    0.16611E+01    0.12264E-01   -0.68818E-08    0.73088E-04   -0.68818E-08    0.18651E-09
    26    0.97126E+03    0.17080E+01    0.68225E-04    0.17080E+01    0.14097E-01    0.72629E-09    0.68225E-04    0.72629E-09    0.17328E-09
    27    0.98501E+03    0.17556E+01    0.63825E-04    0.17556E+01    0.16135E-01    0.73104E-09    0.63825E-04    0.73104E-09    0.16133E-09
    28    0.99910E+03    0.18025E+01    0.59827E-04    0.18025E+01    0.18393E-01   -0.78608E-08    0.59827E-04   -0.78608E-08    0.15050E-09
    29    0.10136E+04    0.18452E+01    0.56176E-04    0.18452E+01    0.20843E-01   -0.20586E-07    0.56176E-04   -0.20586E-07    0.14065E-09
    30    0.10284E+04    0.18791E+01    0.52821E-04    0.18791E+01    0.23467E-01   -0.32115E-07    0.52821E-04   -0.32115E-07    0.13166E-09
    31    0.10434E+04    0.19038E+01    0.49729E-04    0.19038E+01    0.26290E-01   -0.39108E-07    0.49729E-04   -0.39108E-07    0.12344E-09
    32    0.10587E+04    0.19194E+01    0.46872E-04    0.19194E+01    0.29326E-01   -0.39773E-07    0.46872E-04   -0.39773E-07    0.11591E-09
