#    L    TT             EE             BB             TE          
     2    0.16858E+04    0.70409E-01    0.25653E-01    0.34556E+01
     3    0.15279E+04    0.10887E+00    0.29387E-01    0.36138E+01
     4    0.14275E+04    0.11958E+00    0.28574E-01    0.35760E+01
     5    0.13534E+04    0.10505E+00    0.24821E-01    0.32923E+01
     6    0.12998E+04    0.77853E-01    0.19832E-01    0.28723E+01
     7    0.12622E+04    0.50568E-01    0.14908E-01    0.24025E+01
     8    0.12361E+04    0.30506E-01    0.10807E-01    0.19497E+01
     9    0.12187E+04    0.19073E-01    0.78165E-02    0.15534E+01
    10    0.12081E+04    0.14106E-01    0.59127E-02    0.12383E+01
    11    0.12024E+04    0.12498E-01    0.49249E-02    0.10116E+01
    12    0.12006E+04    0.12028E-01    0.46300E-02    0.87545E+00
    13    0.12012E+04    0.11673E-01    0.48196E-02    0.81555E+00
    14    0.12035E+04    0.11486E-01    0.53093E-02    0.81101E+00
    15    0.12079E+04    0.11659E-01    0.59863E-02    0.83959E+00
    16    0.12147E+04    0.12321E-01    0.67667E-02    0.88122E+00
    17    0.12235E+04    0.13429E-01    0.76102E-02    0.92289E+00
    18    0.12327E+04    0.14722E-01    0.84918E-02    0.95687E+00
    19    0.12434E+04    0.16093E-01    0.94024E-02    0.98279E+00
    20    0.12537E+04    0.17546E-01    0.10338E-01    0.99860E+00
    21    0.12641E+04    0.19125E-01    0.11296E-01    0.10026E+01
    22    0.12751E+04    0.20951E-01    0.12275E-01    0.99404E+00
    23    0.12863E+04    0.23084E-01    0.13273E-01    0.98059E+00
    24    0.12978E+04    0.25521E-01    0.14289E-01    0.96998E+00
    25    0.13095E+04    0.28249E-01    0.15319E-01    0.96173E+00
    26    0.13213E+04    0.31221E-01    0.16361E-01    0.95492E+00
    27    0.13334E+04    0.34419E-01    0.17416E-01    0.94783E+00
    28    0.13457E+04    0.37855E-01    0.18486E-01    0.93916E+00
    29    0.13582E+04    0.41508E-01    0.19570E-01    0.92496E+00
    30    0.13710E+04    0.45370E-01    0.20667E-01    0.90027E+00
    31    0.13837E+04    0.49460E-01    0.21773E-01    0.86519E+00
    32    0.13966E+04    0.53788E-01    0.22887E-01    0.82050E+00
    33    0.14097E+04    0.58326E-01    0.24008E-01    0.76479E+00
    34    0.14230E+04    0.63060E-01    0.25135E-01    0.69689E+00
    35    0.14363E+04    0.68017E-01    0.26267E-01    0.61553E+00
    36    0.14497E+04    0.73242E-01    0.27400E-01    0.51953E+00
    37    0.14631E+04    0.78771E-01    0.28535E-01    0.41203E+00
    38    0.14768E+04    0.84631E-01    0.29674E-01    0.29810E+00
    39    0.14908E+04    0.90797E-01    0.30813E-01    0.17742E+00
    40    0.15048E+04    0.97235E-01    0.31950E-01    0.48117E-01
    41    0.15191E+04    0.10392E+00    0.33080E-01   -0.91654E-01
    42    0.15332E+04    0.11088E+00    0.34203E-01   -0.24275E+00
    43    0.15475E+04    0.11811E+00    0.35317E-01   -0.40578E+00
    44    0.15617E+04    0.12564E+00    0.36422E-01   -0.58045E+00
    45    0.15762E+04    0.13346E+00    0.37515E-01   -0.76639E+00
    46    0.15910E+04    0.14161E+00    0.38596E-01   -0.96517E+00
    47    0.16059E+04    0.15007E+00    0.39664E-01   -0.11761E+01
    48    0.16208E+04    0.15882E+00    0.40717E-01   -0.13953E+01
    49    0.16359E+04    0.16784E+00    0.41752E-01   -0.16195E+01
    50    0.16513E+04    0.17709E+00    0.42770E-01   -0.18522E+01
    51    0.16669E+04    0.18653E+00    0.43767E-01   -0.20982E+01
    52    0.16829E+04    0.19624E+00    0.44744E-01   -0.23618E+01
    53    0.16989E+04    0.20639E+00    0.45699E-01   -0.26454E+01
    54    0.17148E+04    0.21696E+00    0.46632E-01   -0.29434E+01
    55    0.17308E+04    0.22795E+00    0.47541E-01   -0.32500E+01
    56    0.17472E+04    0.23921E+00    0.48426E-01   -0.35660E+01
    57    0.17638E+04    0.25063E+00    0.49286E-01   -0.38916E+01
    58    0.17808E+04    0.26221E+00    0.50121E-01   -0.42281E+01
    59    0.17980E+04    0.27396E+00    0.50928E-01   -0.45766E+01
    60    0.18153E+04    0.28595E+00    0.51708E-01   -0.49372E+01
    61    0.18332E+04    0.29825E+00    0.52459E-01   -0.53092E+01
    62    0.18509E+04    0.31084E+00    0.53181E-01   -0.56933E+01
    63    0.18688E+04    0.32370E+00    0.53873E-01   -0.60898E+01
    64    0.18872E+04    0.33684E+00    0.54535E-01   -0.64994E+01
    65    0.19056E+04    0.35024E+00    0.55167E-01   -0.69221E+01
    66    0.19244E+04    0.36384E+00    0.55768E-01   -0.73557E+01
    67    0.19434E+04    0.37763E+00    0.56337E-01   -0.77977E+01
    68    0.19629E+04    0.39164E+00    0.56875E-01   -0.82469E+01
    69    0.19826E+04    0.40582E+00    0.57380E-01   -0.87020E+01
    70    0.20027E+04    0.42021E+00    0.57852E-01   -0.91651E+01
    71    0.20231E+04    0.43479E+00    0.58291E-01   -0.96389E+01
    72    0.20436E+04    0.44953E+00    0.58698E-01   -0.10125E+02
    73    0.20644E+04    0.46439E+00    0.59071E-01   -0.10623E+02
    74    0.20854E+04    0.47936E+00    0.59412E-01   -0.11132E+02
    75    0.21068E+04    0.49446E+00    0.59719E-01   -0.11651E+02
    76    0.21285E+04    0.50968E+00    0.59994E-01   -0.12178E+02
    77    0.21506E+04    0.52502E+00    0.60236E-01   -0.12713E+02
    78    0.21731E+04    0.54048E+00    0.60446E-01   -0.13258E+02
    79    0.21959E+04    0.55602E+00    0.60623E-01   -0.13808E+02
    80    0.22191E+04    0.57164E+00    0.60769E-01   -0.14365E+02
    81    0.22426E+04    0.58728E+00    0.60882E-01   -0.14928E+02
    82    0.22665E+04    0.60296E+00    0.60964E-01   -0.15498E+02
    83    0.22906E+04    0.61864E+00    0.61014E-01   -0.16074E+02
    84    0.23151E+04    0.63434E+00    0.61032E-01   -0.16654E+02
    85    0.23398E+04    0.65001E+00    0.61018E-01   -0.17239E+02
    86    0.23648E+04    0.66568E+00    0.60973E-01   -0.17830E+02
    87    0.23902E+04    0.68129E+00    0.60897E-01   -0.18424E+02
    88    0.24158E+04    0.69687E+00    0.60790E-01   -0.19023E+02
    89    0.24418E+04    0.71240E+00    0.60653E-01   -0.19626E+02
    90    0.24680E+04    0.72784E+00    0.60486E-01   -0.20232E+02
    91    0.24946E+04    0.74318E+00    0.60291E-01   -0.20841E+02
