#    L    TT             EE             BB             TE          
     2    0.16810E+04    0.69662E-01    0.25502E-01    0.33675E+01
     3    0.15287E+04    0.10823E+00    0.29332E-01    0.34531E+01
     4    0.14342E+04    0.11922E+00    0.28596E-01    0.33971E+01
     5    0.13638E+04    0.10487E+00    0.24888E-01    0.31404E+01
     6    0.13122E+04    0.77777E-01    0.19915E-01    0.27702E+01
     7    0.12755E+04    0.50568E-01    0.14987E-01    0.23546E+01
     8    0.12496E+04    0.30604E-01    0.10876E-01    0.19484E+01
     9    0.12320E+04    0.19284E-01    0.78760E-02    0.15844E+01
    10    0.12210E+04    0.14409E-01    0.59659E-02    0.12866E+01
    11    0.12147E+04    0.12839E-01    0.49771E-02    0.10642E+01
    12    0.12125E+04    0.12348E-01    0.46855E-02    0.92347E+00
    13    0.12127E+04    0.11934E-01    0.48817E-02    0.85343E+00
    14    0.12146E+04    0.11673E-01    0.53803E-02    0.83633E+00
    15    0.12185E+04    0.11781E-01    0.60676E-02    0.85257E+00
    16    0.12250E+04    0.12403E-01    0.68590E-02    0.88431E+00
    17    0.12333E+04    0.13497E-01    0.77140E-02    0.91960E+00
    18    0.12422E+04    0.14801E-01    0.86077E-02    0.95109E+00
    19    0.12525E+04    0.16199E-01    0.95308E-02    0.97743E+00
    20    0.12625E+04    0.17692E-01    0.10479E-01    0.99529E+00
    21    0.12727E+04    0.19316E-01    0.11450E-01    0.10019E+01
    22    0.12833E+04    0.21194E-01    0.12443E-01    0.99577E+00
    23    0.12943E+04    0.23376E-01    0.13455E-01    0.98430E+00
    24    0.13055E+04    0.25856E-01    0.14485E-01    0.97519E+00
    25    0.13170E+04    0.28624E-01    0.15529E-01    0.96756E+00
    26    0.13286E+04    0.31634E-01    0.16586E-01    0.96014E+00
    27    0.13406E+04    0.34869E-01    0.17656E-01    0.95139E+00
    28    0.13527E+04    0.38341E-01    0.18741E-01    0.94032E+00
    29    0.13651E+04    0.42034E-01    0.19841E-01    0.92339E+00
    30    0.13777E+04    0.45939E-01    0.20953E-01    0.89614E+00
    31    0.13903E+04    0.50080E-01    0.22076E-01    0.85919E+00
    32    0.14031E+04    0.54464E-01    0.23206E-01    0.81362E+00
    33    0.14161E+04    0.59061E-01    0.24344E-01    0.75723E+00
    34    0.14293E+04    0.63853E-01    0.25488E-01    0.68802E+00
    35    0.14425E+04    0.68874E-01    0.26636E-01    0.60493E+00
    36    0.14559E+04    0.74171E-01    0.27786E-01    0.50723E+00
    37    0.14692E+04    0.79777E-01    0.28939E-01    0.39847E+00
    38    0.14829E+04    0.85713E-01    0.30096E-01    0.28390E+00
    39    0.14968E+04    0.91955E-01    0.31253E-01    0.16272E+00
    40    0.15108E+04    0.98469E-01    0.32408E-01    0.32361E-01
    41    0.15250E+04    0.10524E+00    0.33556E-01   -0.10952E+00
    42    0.15391E+04    0.11227E+00    0.34698E-01   -0.26360E+00
    43    0.15534E+04    0.11959E+00    0.35830E-01   -0.43012E+00
    44    0.15676E+04    0.12720E+00    0.36953E-01   -0.60843E+00
    45    0.15821E+04    0.13512E+00    0.38065E-01   -0.79780E+00
    46    0.15969E+04    0.14336E+00    0.39165E-01   -0.99952E+00
    47    0.16118E+04    0.15190E+00    0.40252E-01   -0.12130E+01
    48    0.16267E+04    0.16075E+00    0.41323E-01   -0.14346E+01
    49    0.16418E+04    0.16987E+00    0.42377E-01   -0.16612E+01
    50    0.16573E+04    0.17922E+00    0.43414E-01   -0.18965E+01
    51    0.16729E+04    0.18876E+00    0.44430E-01   -0.21454E+01
    52    0.16889E+04    0.19858E+00    0.45426E-01   -0.24122E+01
    53    0.17050E+04    0.20883E+00    0.46400E-01   -0.26991E+01
    54    0.17209E+04    0.21952E+00    0.47352E-01   -0.30006E+01
    55    0.17370E+04    0.23062E+00    0.48280E-01   -0.33108E+01
    56    0.17534E+04    0.24200E+00    0.49184E-01   -0.36302E+01
    57    0.17702E+04    0.25353E+00    0.50063E-01   -0.39593E+01
    58    0.17872E+04    0.26522E+00    0.50916E-01   -0.42991E+01
    59    0.18044E+04    0.27709E+00    0.51742E-01   -0.46512E+01
    60    0.18218E+04    0.28919E+00    0.52541E-01   -0.50155E+01
    61    0.18398E+04    0.30160E+00    0.53311E-01   -0.53914E+01
    62    0.18576E+04    0.31431E+00    0.54052E-01   -0.57795E+01
    63    0.18756E+04    0.32729E+00    0.54763E-01   -0.61801E+01
    64    0.18941E+04    0.34054E+00    0.55445E-01   -0.65938E+01
    65    0.19126E+04    0.35406E+00    0.56096E-01   -0.70205E+01
    66    0.19315E+04    0.36778E+00    0.56716E-01   -0.74580E+01
    67    0.19506E+04    0.38168E+00    0.57304E-01   -0.79039E+01
    68    0.19703E+04    0.39581E+00    0.57861E-01   -0.83568E+01
    69    0.19901E+04    0.41011E+00    0.58385E-01   -0.88156E+01
    70    0.20103E+04    0.42461E+00    0.58877E-01   -0.92825E+01
    71    0.20308E+04    0.43931E+00    0.59336E-01   -0.97602E+01
    72    0.20515E+04    0.45415E+00    0.59762E-01   -0.10250E+02
    73    0.20724E+04    0.46913E+00    0.60155E-01   -0.10752E+02
    74    0.20935E+04    0.48421E+00    0.60515E-01   -0.11265E+02
    75    0.21151E+04    0.49941E+00    0.60843E-01   -0.11788E+02
    76    0.21369E+04    0.51473E+00    0.61138E-01   -0.12319E+02
    77    0.21592E+04    0.53016E+00    0.61400E-01   -0.12858E+02
    78    0.21818E+04    0.54572E+00    0.61630E-01   -0.13407E+02
    79    0.22048E+04    0.56135E+00    0.61829E-01   -0.13961E+02
    80    0.22282E+04    0.57706E+00    0.61995E-01   -0.14521E+02
    81    0.22518E+04    0.59278E+00    0.62129E-01   -0.15088E+02
    82    0.22759E+04    0.60854E+00    0.62232E-01   -0.15661E+02
    83    0.23002E+04    0.62430E+00    0.62304E-01   -0.16240E+02
    84    0.23249E+04    0.64007E+00    0.62344E-01   -0.16823E+02
    85    0.23497E+04    0.65581E+00    0.62352E-01   -0.17412E+02
    86    0.23749E+04    0.67154E+00    0.62329E-01   -0.18005E+02
    87    0.24005E+04    0.68722E+00    0.62276E-01   -0.18603E+02
    88    0.24263E+04    0.70286E+00    0.62192E-01   -0.19204E+02
    89    0.24524E+04    0.71844E+00    0.62079E-01   -0.19810E+02
    90    0.24789E+04    0.73392E+00    0.61936E-01   -0.20418E+02
    91    0.25056E+04    0.74930E+00    0.61765E-01   -0.21029E+02
    92    0.25327E+04    0.76455E+00    0.61565E-01   -0.21642E+02
    93    0.25602E+04    0.77967E+00    0.61339E-01   -0.22258E+02
    94    0.25878E+04    0.79463E+00    0.61086E-01   -0.22873E+02
    95    0.26158E+04    0.80941E+00    0.60808E-01   -0.23490E+02
    96    0.26439E+04    0.82401E+00    0.60505E-01   -0.24108E+02
    97    0.26726E+04    0.83841E+00    0.60178E-01   -0.24725E+02
    98    0.27015E+04    0.85261E+00    0.59827E-01   -0.25340E+02
    99    0.27306E+04    0.86656E+00    0.59454E-01   -0.25955E+02
   100    0.27600E+04    0.88026E+00    0.59059E-01   -0.26567E+02
   101    0.27897E+04    0.89378E+00    0.58643E-01   -0.27178E+02
   102    0.28200E+04    0.90697E+00    0.58207E-01   -0.27785E+02
   103    0.28503E+04    0.91989E+00    0.57751E-01   -0.28390E+02
   104    0.28809E+04    0.93255E+00    0.57276E-01   -0.28990E+02
   105    0.29116E+04    0.94488E+00    0.56784E-01   -0.29586E+02
   106    0.29427E+04    0.95695E+00    0.56274E-01   -0.30178E+02
   107    0.29738E+04    0.96860E+00    0.55748E-01   -0.30763E+02
   108    0.30054E+04    0.97992E+00    0.55206E-01   -0.31343E+02
   109    0.30371E+04    0.99083E+00    0.54649E-01   -0.31917E+02
   110    0.30690E+04    0.10013E+01    0.54078E-01   -0.32482E+02
   111    0.31011E+04    0.10115E+01    0.53494E-01   -0.33040E+02
   112    0.31334E+04    0.10212E+01    0.52897E-01   -0.33591E+02
   113    0.31660E+04    0.10306E+01    0.52288E-01   -0.34133E+02
   114    0.31987E+04    0.10394E+01    0.51669E-01   -0.34665E+02
   115    0.32316E+04    0.10480E+01    0.51039E-01   -0.35187E+02
   116    0.32647E+04    0.10560E+01    0.50401E-01   -0.35698E+02
   117    0.32981E+04    0.10635E+01    0.49754E-01   -0.36198E+02
   118    0.33316E+04    0.10707E+01    0.49100E-01   -0.36688E+02
   119    0.33652E+04    0.10774E+01    0.48439E-01   -0.37164E+02
   120    0.33990E+04    0.10835E+01    0.47773E-01   -0.37627E+02
   121    0.34328E+04    0.10894E+01    0.47102E-01   -0.38078E+02
