#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.16810E+04    0.69661E-01    0.25501E-01    0.33675E+01    0.44082E-07    0.36208E-02   -0.15789E-04
     3    0.15287E+04    0.10823E+00    0.29330E-01    0.34531E+01    0.53356E-07    0.37705E-02   -0.19318E-04
     4    0.14342E+04    0.11921E+00    0.28593E-01    0.33971E+01    0.61340E-07    0.37785E-02   -0.19278E-04
     5    0.13638E+04    0.10487E+00    0.24883E-01    0.31404E+01    0.68287E-07    0.37210E-02   -0.16683E-04
     6    0.13122E+04    0.77770E-01    0.19907E-01    0.27702E+01    0.74351E-07    0.36332E-02   -0.12524E-04
     7    0.12755E+04    0.50558E-01    0.14977E-01    0.23546E+01    0.79685E-07    0.35324E-02   -0.77598E-05
     8    0.12496E+04    0.30591E-01    0.10864E-01    0.19484E+01    0.84399E-07    0.34226E-02   -0.31736E-05
     9    0.12319E+04    0.19268E-01    0.78603E-02    0.15844E+01    0.88586E-07    0.33069E-02    0.64943E-06
    10    0.12209E+04    0.14390E-01    0.59467E-02    0.12866E+01    0.92303E-07    0.31912E-02    0.33080E-05
    11    0.12147E+04    0.12816E-01    0.49539E-02    0.10642E+01    0.95631E-07    0.30826E-02    0.46413E-05
    12    0.12125E+04    0.12321E-01    0.46581E-02    0.92348E+00    0.98590E-07    0.29817E-02    0.47703E-05
    13    0.12126E+04    0.11902E-01    0.48497E-02    0.85345E+00    0.10122E-06    0.28866E-02    0.40490E-05
    14    0.12145E+04    0.11636E-01    0.53434E-02    0.83636E+00    0.10356E-06    0.27958E-02    0.28367E-05
    15    0.12185E+04    0.11739E-01    0.60254E-02    0.85260E+00    0.10565E-06    0.27087E-02    0.13804E-05
    16    0.12249E+04    0.12355E-01    0.68111E-02    0.88436E+00    0.10751E-06    0.26247E-02   -0.93545E-07
    17    0.12332E+04    0.13443E-01    0.76601E-02    0.91966E+00    0.10915E-06    0.25440E-02   -0.13203E-05
    18    0.12421E+04    0.14741E-01    0.85474E-02    0.95117E+00    0.11061E-06    0.24666E-02   -0.20732E-05
    19    0.12524E+04    0.16132E-01    0.94637E-02    0.97752E+00    0.11189E-06    0.23920E-02   -0.23053E-05
    20    0.12623E+04    0.17618E-01    0.10405E-01    0.99540E+00    0.11301E-06    0.23199E-02   -0.20611E-05
    21    0.12725E+04    0.19235E-01    0.11368E-01    0.10021E+01    0.11398E-06    0.22509E-02   -0.15753E-05
    22    0.12832E+04    0.21104E-01    0.12353E-01    0.99592E+00    0.11482E-06    0.21853E-02   -0.10810E-05
    23    0.12941E+04    0.23278E-01    0.13357E-01    0.98448E+00    0.11553E-06    0.21223E-02   -0.62458E-06
    24    0.13053E+04    0.25750E-01    0.14378E-01    0.97540E+00    0.11614E-06    0.20612E-02   -0.21441E-06
    25    0.13168E+04    0.28508E-01    0.15413E-01    0.96780E+00    0.11664E-06    0.20024E-02    0.10944E-06
    26    0.13284E+04    0.31509E-01    0.16461E-01    0.96042E+00    0.11704E-06    0.19466E-02    0.29413E-06
    27    0.13403E+04    0.34735E-01    0.17521E-01    0.95171E+00    0.11736E-06    0.18936E-02    0.26674E-06
    28    0.13524E+04    0.38197E-01    0.18596E-01    0.94068E+00    0.11760E-06    0.18432E-02   -0.95316E-08
    29    0.13648E+04    0.41879E-01    0.19685E-01    0.92380E+00    0.11776E-06    0.17947E-02   -0.40850E-06
    30    0.13774E+04    0.45773E-01    0.20787E-01    0.89659E+00    0.11785E-06    0.17479E-02   -0.77745E-06
    31    0.13900E+04    0.49903E-01    0.21898E-01    0.85970E+00    0.11786E-06    0.17025E-02   -0.10169E-05
    32    0.14027E+04    0.54276E-01    0.23017E-01    0.81418E+00    0.11782E-06    0.16586E-02   -0.10723E-05
    33    0.14157E+04    0.58861E-01    0.24142E-01    0.75785E+00    0.11773E-06    0.16165E-02   -0.10143E-05
    34    0.14289E+04    0.63641E-01    0.25274E-01    0.68871E+00    0.11758E-06    0.15763E-02   -0.93054E-06
    35    0.14421E+04    0.68649E-01    0.26409E-01    0.60568E+00    0.11739E-06    0.15378E-02   -0.85185E-06
