#           k/h    P           
    0.10000E-03    0.45217E+03
    0.10202E-03    0.46091E+03
    0.10408E-03    0.46982E+03
    0.10618E-03    0.47891E+03
    0.10833E-03    0.48816E+03
    0.11052E-03    0.49760E+03
    0.11275E-03    0.50722E+03
    0.11503E-03    0.51702E+03
    0.11735E-03    0.52701E+03
    0.11972E-03    0.53719E+03
    0.12214E-03    0.54757E+03
    0.12461E-03    0.55815E+03
    0.12712E-03    0.56893E+03
    0.12969E-03    0.57991E+03
    0.13231E-03    0.59111E+03
    0.13499E-03    0.60252E+03
    0.13771E-03    0.61414E+03
    0.14049E-03    0.62600E+03
    0.14333E-03    0.63807E+03
    0.14623E-03    0.65038E+03
    0.14918E-03    0.66292E+03
    0.15220E-03    0.67571E+03
    0.15527E-03    0.68873E+03
    0.15841E-03    0.70200E+03
    0.16161E-03    0.71553E+03
    0.16487E-03    0.72931E+03
    0.16820E-03    0.74336E+03
    0.17160E-03    0.75767E+03
    0.17507E-03    0.77226E+03
    0.17860E-03    0.78712E+03
    0.18221E-03    0.80226E+03
    0.18589E-03    0.81769E+03
    0.18965E-03    0.83341E+03
    0.19348E-03    0.84943E+03
    0.19739E-03    0.86575E+03
    0.20138E-03    0.88237E+03
    0.20544E-03    0.89932E+03
    0.20959E-03    0.91658E+03
    0.21383E-03    0.93416E+03
    0.21815E-03    0.95207E+03
    0.22255E-03    0.97032E+03
    0.22705E-03    0.98892E+03
    0.23164E-03    0.10079E+04
    0.23632E-03    0.10271E+04
    0.24109E-03    0.10468E+04
    0.24596E-03    0.10668E+04
    0.25093E-03    0.10872E+04
    0.25600E-03    0.11080E+04
    0.26117E-03    0.11291E+04
    0.26645E-03    0.11507E+04
    0.27183E-03    0.11726E+04
    0.27732E-03    0.11950E+04
    0.28292E-03    0.12177E+04
    0.28864E-03    0.12409E+04
    0.29447E-03    0.12645E+04
    0.30042E-03    0.12886E+04
    0.30649E-03    0.13130E+04
    0.31268E-03    0.13380E+04
    0.31899E-03    0.13633E+04
    0.32544E-03    0.13892E+04
    0.33201E-03    0.14155E+04
    0.33872E-03    0.14422E+04
    0.34556E-03    0.14695E+04
    0.35254E-03    0.14973E+04
    0.35966E-03    0.15255E+04
    0.36693E-03    0.15543E+04
    0.37434E-03    0.15835E+04
    0.38190E-03    0.16133E+04
    0.38962E-03    0.16436E+04
    0.39749E-03    0.16745E+04
    0.40552E-03    0.17059E+04
    0.41371E-03    0.17378E+04
    0.42207E-03    0.17704E+04
    0.43060E-03    0.18034E+04
    0.43929E-03    0.18371E+04
    0.44817E-03    0.18713E+04
    0.45722E-03    0.19062E+04
    0.46646E-03    0.19416E+04
    0.47588E-03    0.19777E+04
    0.48550E-03    0.20143E+04
    0.49530E-03    0.20516E+04
    0.50531E-03    0.20896E+04
    0.51552E-03    0.21282E+04
    0.52593E-03    0.21674E+04
    0.53656E-03    0.22073E+04
    0.54739E-03    0.22479E+04
    0.55845E-03    0.22892E+04
    0.56973E-03    0.23311E+04
    0.58124E-03    0.23738E+04
    0.59299E-03    0.24171E+04
    0.60496E-03    0.24612E+04
    0.61719E-03    0.25060E+04
    0.62965E-03    0.25516E+04
    0.64237E-03    0.25979E+04
