#    L    TT             EE             BB             TE          
     2    0.47395E+03    0.16079E-01    0.25501E-01    0.30439E+00
     3    0.38349E+03    0.20399E-01    0.29330E-01   -0.37343E+00
     4    0.36099E+03    0.21379E-01    0.28593E-01   -0.58847E+00
     5    0.35197E+03    0.19345E-01    0.24883E-01   -0.62412E+00
     6    0.34802E+03    0.15662E-01    0.19907E-01   -0.57898E+00
     7    0.34663E+03    0.11651E-01    0.14977E-01   -0.50543E+00
     8    0.34661E+03    0.82561E-02    0.10864E-01   -0.43141E+00
     9    0.34742E+03    0.58758E-02    0.78603E-02   -0.37126E+00
    10    0.34870E+03    0.45532E-02    0.59467E-02   -0.32478E+00
    11    0.35004E+03    0.40848E-02    0.49539E-02   -0.29522E+00
    12    0.35082E+03    0.42035E-02    0.46581E-02   -0.28014E+00
    13    0.35133E+03    0.46924E-02    0.48497E-02   -0.27738E+00
    14    0.35201E+03    0.53723E-02    0.53434E-02   -0.28527E+00
    15    0.35295E+03    0.61567E-02    0.60254E-02   -0.30167E+00
    16    0.35413E+03    0.69921E-02    0.68111E-02   -0.32461E+00
    17    0.35519E+03    0.78648E-02    0.76601E-02   -0.35324E+00
    18    0.35583E+03    0.87723E-02    0.85474E-02   -0.38686E+00
    19    0.35603E+03    0.97172E-02    0.94637E-02   -0.42414E+00
    20    0.35585E+03    0.10702E-01    0.10405E-01   -0.46395E+00
    21    0.35538E+03    0.11725E-01    0.11368E-01   -0.50656E+00
    22    0.35468E+03    0.12781E-01    0.12353E-01   -0.55237E+00
    23    0.35376E+03    0.13862E-01    0.13357E-01   -0.60093E+00
    24    0.35263E+03    0.14963E-01    0.14378E-01   -0.65166E+00
    25    0.35132E+03    0.16085E-01    0.15413E-01   -0.70418E+00
    26    0.34983E+03    0.17230E-01    0.16461E-01   -0.75816E+00
    27    0.34818E+03    0.18396E-01    0.17521E-01   -0.81319E+00
    28    0.34635E+03    0.19581E-01    0.18596E-01   -0.86905E+00
    29    0.34436E+03    0.20792E-01    0.19685E-01   -0.92622E+00
    30    0.34223E+03    0.22036E-01    0.20787E-01   -0.98513E+00
    31    0.33996E+03    0.23310E-01    0.21898E-01   -0.10452E+01
    32    0.33754E+03    0.24608E-01    0.23017E-01   -0.11057E+01
    33    0.33498E+03    0.25917E-01    0.24142E-01   -0.11666E+01
    34    0.33230E+03    0.27226E-01    0.25274E-01   -0.12278E+01
    35    0.32950E+03    0.28544E-01    0.26409E-01   -0.12890E+01
    36    0.32659E+03    0.29883E-01    0.27546E-01   -0.13502E+01
    37    0.32356E+03    0.31243E-01    0.28686E-01   -0.14111E+01
    38    0.32042E+03    0.32623E-01    0.29829E-01   -0.14716E+01
    39    0.31717E+03    0.34019E-01    0.30971E-01   -0.15317E+01
    40    0.31383E+03    0.35426E-01    0.32111E-01   -0.15912E+01
    41    0.31038E+03    0.36841E-01    0.33245E-01   -0.16499E+01
    42    0.30685E+03    0.38261E-01    0.34370E-01   -0.17078E+01
    43    0.30324E+03    0.39687E-01    0.35487E-01   -0.17648E+01
    44    0.29954E+03    0.41115E-01    0.36594E-01   -0.18209E+01
    45    0.29577E+03    0.42546E-01    0.37689E-01   -0.18759E+01
    46    0.29193E+03    0.43978E-01    0.38772E-01   -0.19299E+01
    47    0.28801E+03    0.45410E-01    0.39841E-01   -0.19826E+01
    48    0.28403E+03    0.46840E-01    0.40895E-01   -0.20339E+01
    49    0.27999E+03    0.48268E-01    0.41931E-01   -0.20838E+01
    50    0.27589E+03    0.49692E-01    0.42949E-01   -0.21320E+01
    51    0.27173E+03    0.51111E-01    0.43947E-01   -0.21784E+01
    52    0.26753E+03    0.52524E-01    0.44923E-01   -0.22231E+01
    53    0.26328E+03    0.53929E-01    0.45878E-01   -0.22660E+01
    54    0.25900E+03    0.55325E-01    0.46809E-01   -0.23070E+01
    55    0.25468E+03    0.56708E-01    0.47717E-01   -0.23463E+01
    56    0.25032E+03    0.58079E-01    0.48600E-01   -0.23837E+01
    57    0.24594E+03    0.59436E-01    0.49458E-01   -0.24193E+01
    58    0.24153E+03    0.60776E-01    0.50290E-01   -0.24528E+01
    59    0.23711E+03    0.62100E-01    0.51094E-01   -0.24843E+01
    60    0.23267E+03    0.63405E-01    0.51871E-01   -0.25136E+01
    61    0.22821E+03    0.64692E-01    0.52618E-01   -0.25407E+01
    62    0.22375E+03    0.65958E-01    0.53337E-01   -0.25655E+01
    63    0.21927E+03    0.67205E-01    0.54025E-01   -0.25883E+01
    64    0.21480E+03    0.68432E-01    0.54683E-01   -0.26089E+01
    65    0.21032E+03    0.69639E-01    0.55310E-01   -0.26275E+01
    66    0.20585E+03    0.70826E-01    0.55905E-01   -0.26440E+01
    67    0.20138E+03    0.71989E-01    0.56469E-01   -0.26585E+01
    68    0.19693E+03    0.73127E-01    0.57001E-01   -0.26708E+01
    69    0.19249E+03    0.74236E-01    0.57500E-01   -0.26809E+01
    70    0.18806E+03    0.75312E-01    0.57966E-01   -0.26887E+01
    71    0.18366E+03    0.76353E-01    0.58399E-01   -0.26941E+01
    72    0.17929E+03    0.77362E-01    0.58798E-01   -0.26972E+01
    73    0.17494E+03    0.78340E-01    0.59164E-01   -0.26983E+01
    74    0.17061E+03    0.79291E-01    0.59497E-01   -0.26974E+01
    75    0.16632E+03    0.80217E-01    0.59797E-01   -0.26946E+01
    76    0.16206E+03    0.81119E-01    0.60064E-01   -0.26901E+01
    77    0.15783E+03    0.81996E-01    0.60298E-01   -0.26839E+01
    78    0.15363E+03    0.82842E-01    0.60500E-01   -0.26758E+01
    79    0.14948E+03    0.83654E-01    0.60669E-01   -0.26659E+01
    80    0.14537E+03    0.84427E-01    0.60805E-01   -0.26540E+01
    81    0.14131E+03    0.85159E-01    0.60910E-01   -0.26401E+01
    82    0.13730E+03    0.85850E-01    0.60983E-01   -0.26242E+01
    83    0.13333E+03    0.86501E-01    0.61023E-01   -0.26065E+01
    84    0.12942E+03    0.87112E-01    0.61032E-01   -0.25870E+01
    85    0.12555E+03    0.87686E-01    0.61009E-01   -0.25659E+01
    86    0.12174E+03    0.88223E-01    0.60954E-01   -0.25431E+01
    87    0.11798E+03    0.88722E-01    0.60869E-01   -0.25189E+01
    88    0.11428E+03    0.89183E-01    0.60752E-01   -0.24931E+01
    89    0.11064E+03    0.89604E-01    0.60606E-01   -0.24659E+01
    90    0.10706E+03    0.89986E-01    0.60429E-01   -0.24373E+01
    91    0.10354E+03    0.90326E-01    0.60224E-01   -0.24074E+01
    92    0.10008E+03    0.90627E-01    0.59991E-01   -0.23763E+01
    93    0.96689E+02    0.90887E-01    0.59729E-01   -0.23439E+01
    94    0.93361E+02    0.91107E-01    0.59442E-01   -0.23103E+01
    95    0.90098E+02    0.91287E-01    0.59128E-01   -0.22757E+01
    96    0.86898E+02    0.91428E-01    0.58788E-01   -0.22400E+01
    97    0.83764E+02    0.91531E-01    0.58425E-01   -0.22033E+01
    98    0.80695E+02    0.91595E-01    0.58037E-01   -0.21657E+01
    99    0.77692E+02    0.91620E-01    0.57627E-01   -0.21272E+01
   100    0.74754E+02    0.91607E-01    0.57194E-01   -0.20879E+01
   101    0.71883E+02    0.91557E-01    0.56740E-01   -0.20479E+01
   102    0.69078E+02    0.91470E-01    0.56265E-01   -0.20071E+01
   103    0.66341E+02    0.91346E-01    0.55770E-01   -0.19658E+01
   104    0.63670E+02    0.91184E-01    0.55256E-01   -0.19238E+01
   105    0.61067E+02    0.90987E-01    0.54723E-01   -0.18813E+01
   106    0.58532E+02    0.90754E-01    0.54173E-01   -0.18384E+01
   107    0.56064E+02    0.90484E-01    0.53605E-01   -0.17951E+01
   108    0.53666E+02    0.90180E-01    0.53022E-01   -0.17514E+01
   109    0.51336E+02    0.89840E-01    0.52423E-01   -0.17074E+01
   110    0.49075E+02    0.89466E-01    0.51810E-01   -0.16632E+01
   111    0.46883E+02    0.89058E-01    0.51182E-01   -0.16188E+01
   112    0.44760E+02    0.88615E-01    0.50542E-01   -0.15743E+01
   113    0.42705E+02    0.88140E-01    0.49890E-01   -0.15297E+01
   114    0.40716E+02    0.87633E-01    0.49226E-01   -0.14850E+01
   115    0.38794E+02    0.87094E-01    0.48551E-01   -0.14404E+01
   116    0.36936E+02    0.86524E-01    0.47867E-01   -0.13957E+01
   117    0.35142E+02    0.85925E-01    0.47175E-01   -0.13512E+01
   118    0.33412E+02    0.85295E-01    0.46474E-01   -0.13067E+01
   119    0.31744E+02    0.84638E-01    0.45767E-01   -0.12625E+01
   120    0.30138E+02    0.83952E-01    0.45053E-01   -0.12184E+01
   121    0.28592E+02    0.83240E-01    0.44334E-01   -0.11745E+01
   122    0.27105E+02    0.82501E-01    0.43611E-01   -0.11310E+01
   123    0.25678E+02    0.81736E-01    0.42884E-01   -0.10877E+01
   124    0.24309E+02    0.80946E-01    0.42154E-01   -0.10448E+01
   125    0.22996E+02    0.80132E-01    0.41422E-01   -0.10024E+01
   126    0.21740E+02    0.79295E-01    0.40690E-01   -0.96032E+00
   127    0.20539E+02    0.78434E-01    0.39957E-01   -0.91878E+00
   128    0.19393E+02    0.77552E-01    0.39225E-01   -0.87776E+00
   129    0.18300E+02    0.76648E-01    0.38495E-01   -0.83732E+00
   130    0.17260E+02    0.75724E-01    0.37767E-01   -0.79748E+00
   131    0.16271E+02    0.74780E-01    0.37042E-01   -0.75830E+00
   132    0.15333E+02    0.73817E-01    0.36321E-01   -0.71978E+00
   133    0.14444E+02    0.72836E-01    0.35604E-01   -0.68194E+00
   134    0.13603E+02    0.71839E-01    0.34892E-01   -0.64481E+00
   135    0.12809E+02    0.70827E-01    0.34186E-01   -0.60840E+00
   136    0.12060E+02    0.69801E-01    0.33485E-01   -0.57272E+00
   137    0.11355E+02    0.68761E-01    0.32790E-01   -0.53778E+00
   138    0.10694E+02    0.67710E-01    0.32102E-01   -0.50362E+00
   139    0.10073E+02    0.66649E-01    0.31421E-01   -0.47024E+00
   140    0.94931E+01    0.65578E-01    0.30748E-01   -0.43765E+00
   141    0.89521E+01    0.64498E-01    0.30083E-01   -0.40589E+00
   142    0.84487E+01    0.63412E-01    0.29426E-01   -0.37495E+00
   143    0.79818E+01    0.62319E-01    0.28779E-01   -0.34486E+00
   144    0.75501E+01    0.61222E-01    0.28141E-01   -0.31564E+00
   145    0.71523E+01    0.60121E-01    0.27514E-01   -0.28729E+00
   146    0.67871E+01    0.59017E-01    0.26897E-01   -0.25984E+00
   147    0.64533E+01    0.57912E-01    0.26291E-01   -0.23331E+00
   148    0.61496E+01    0.56807E-01    0.25696E-01   -0.20770E+00
   149    0.58746E+01    0.55703E-01    0.25114E-01   -0.18304E+00
   150    0.56272E+01    0.54601E-01    0.24544E-01   -0.15935E+00
   151    0.54060E+01    0.53503E-01    0.23987E-01   -0.13662E+00
   152    0.52101E+01    0.52408E-01    0.23443E-01   -0.11486E+00
   153    0.50385E+01    0.51318E-01    0.22912E-01   -0.94061E-01
   154    0.48903E+01    0.50233E-01    0.22394E-01   -0.74199E-01
   155    0.47643E+01    0.49155E-01    0.21890E-01   -0.55268E-01
   156    0.46598E+01    0.48083E-01    0.21398E-01   -0.37255E-01
   157    0.45756E+01    0.47019E-01    0.20920E-01   -0.20148E-01
   158    0.45108E+01    0.45964E-01    0.20455E-01   -0.39359E-02
   159    0.44644E+01    0.44917E-01    0.20004E-01    0.11394E-01
   160    0.44355E+01    0.43880E-01    0.19566E-01    0.25854E-01
   161    0.44231E+01    0.42853E-01    0.19141E-01    0.39455E-01
   162    0.44262E+01    0.41837E-01    0.18730E-01    0.52209E-01
   163    0.44438E+01    0.40834E-01    0.18332E-01    0.64129E-01
   164    0.44749E+01    0.39842E-01    0.17948E-01    0.75227E-01
   165    0.45186E+01    0.38864E-01    0.17578E-01    0.85514E-01
   166    0.45739E+01    0.37900E-01    0.17221E-01    0.95002E-01
   167    0.46399E+01    0.36951E-01    0.16878E-01    0.10370E+00
   168    0.47154E+01    0.36017E-01    0.16549E-01    0.11163E+00
   169    0.47996E+01    0.35098E-01    0.16233E-01    0.11880E+00
   170    0.48916E+01    0.34197E-01    0.15931E-01    0.12521E+00
   171    0.49902E+01    0.33313E-01    0.15644E-01    0.13088E+00
   172    0.50945E+01    0.32448E-01    0.15370E-01    0.13583E+00
   173    0.52036E+01    0.31601E-01    0.15110E-01    0.14007E+00
   174    0.53165E+01    0.30774E-01    0.14864E-01    0.14360E+00
   175    0.54322E+01    0.29967E-01    0.14632E-01    0.14644E+00
   176    0.55498E+01    0.29181E-01    0.14414E-01    0.14860E+00
   177    0.56688E+01    0.28416E-01    0.14210E-01    0.15011E+00
   178    0.57890E+01    0.27673E-01    0.14019E-01    0.15100E+00
   179    0.59098E+01    0.26951E-01    0.13841E-01    0.15129E+00
   180    0.60310E+01    0.26250E-01    0.13676E-01    0.15100E+00
   181    0.61521E+01    0.25571E-01    0.13523E-01    0.15018E+00
   182    0.62728E+01    0.24913E-01    0.13382E-01    0.14883E+00
   183    0.63927E+01    0.24278E-01    0.13251E-01    0.14699E+00
   184    0.65114E+01    0.23664E-01    0.13132E-01    0.14469E+00
   185    0.66285E+01    0.23072E-01    0.13024E-01    0.14195E+00
   186    0.67438E+01    0.22502E-01    0.12926E-01    0.13880E+00
   187    0.68567E+01    0.21954E-01    0.12837E-01    0.13527E+00
   188    0.69670E+01    0.21429E-01    0.12758E-01    0.13138E+00
   189    0.70742E+01    0.20926E-01    0.12688E-01    0.12716E+00
   190    0.71781E+01    0.20446E-01    0.12626E-01    0.12264E+00
   191    0.72781E+01    0.19988E-01    0.12573E-01    0.11784E+00
   192    0.73739E+01    0.19552E-01    0.12528E-01    0.11279E+00
   193    0.74652E+01    0.19140E-01    0.12490E-01    0.10751E+00
   194    0.75516E+01    0.18751E-01    0.12459E-01    0.10205E+00
   195    0.76327E+01    0.18384E-01    0.12434E-01    0.96409E-01
   196    0.77081E+01    0.18041E-01    0.12416E-01    0.90630E-01
   197    0.77775E+01    0.17721E-01    0.12404E-01    0.84735E-01
   198    0.78404E+01    0.17424E-01    0.12397E-01    0.78752E-01
   199    0.78966E+01    0.17151E-01    0.12396E-01    0.72706E-01
   200    0.79456E+01    0.16901E-01    0.12399E-01    0.66626E-01
   201    0.79872E+01    0.16675E-01    0.12406E-01    0.60534E-01
   202    0.80213E+01    0.16472E-01    0.12418E-01    0.54439E-01
   203    0.80484E+01    0.16291E-01    0.12434E-01    0.48347E-01
   204    0.80684E+01    0.16132E-01    0.12453E-01    0.42264E-01
   205    0.80816E+01    0.15995E-01    0.12476E-01    0.36194E-01
   206    0.80881E+01    0.15877E-01    0.12502E-01    0.30144E-01
   207    0.80882E+01    0.15780E-01    0.12531E-01    0.24119E-01
   208    0.80820E+01    0.15702E-01    0.12563E-01    0.18123E-01
   209    0.80697E+01    0.15643E-01    0.12598E-01    0.12164E-01
   210    0.80515E+01    0.15601E-01    0.12636E-01    0.62459E-02
   211    0.80276E+01    0.15578E-01    0.12676E-01    0.37459E-03
   212    0.79981E+01    0.15571E-01    0.12718E-01   -0.54445E-02
   213    0.79632E+01    0.15580E-01    0.12762E-01   -0.11206E-01
   214    0.79232E+01    0.15604E-01    0.12808E-01   -0.16904E-01
   215    0.78781E+01    0.15644E-01    0.12855E-01   -0.22533E-01
   216    0.78282E+01    0.15698E-01    0.12904E-01   -0.28088E-01
   217    0.77736E+01    0.15766E-01    0.12954E-01   -0.33563E-01
   218    0.77146E+01    0.15847E-01    0.13005E-01   -0.38953E-01
   219    0.76512E+01    0.15940E-01    0.13058E-01   -0.44253E-01
   220    0.75838E+01    0.16045E-01    0.13110E-01   -0.49456E-01
   221    0.75124E+01    0.16161E-01    0.13163E-01   -0.54557E-01
   222    0.74373E+01    0.16288E-01    0.13217E-01   -0.59551E-01
   223    0.73586E+01    0.16425E-01    0.13270E-01   -0.64433E-01
   224    0.72765E+01    0.16571E-01    0.13323E-01   -0.69196E-01
   225    0.71912E+01    0.16726E-01    0.13376E-01   -0.73836E-01
   226    0.71029E+01    0.16889E-01    0.13429E-01   -0.78347E-01
   227    0.70118E+01    0.17060E-01    0.13481E-01   -0.82722E-01
   228    0.69179E+01    0.17237E-01    0.13531E-01   -0.86958E-01
   229    0.68216E+01    0.17421E-01    0.13581E-01   -0.91048E-01
   230    0.67230E+01    0.17610E-01    0.13630E-01   -0.94987E-01
