#    L    TT             EE             BB             TE          
     2    0.16813E+04    0.69661E-01    0.25501E-01    0.33689E+01
     3    0.15290E+04    0.10823E+00    0.29330E-01    0.34547E+01
     4    0.14345E+04    0.11921E+00    0.28593E-01    0.33988E+01
     5    0.13641E+04    0.10487E+00    0.24883E-01    0.31419E+01
     6    0.13125E+04    0.77770E-01    0.19907E-01    0.27716E+01
     7    0.12757E+04    0.50558E-01    0.14977E-01    0.23558E+01
     8    0.12498E+04    0.30591E-01    0.10864E-01    0.19494E+01
     9    0.12321E+04    0.19268E-01    0.78603E-02    0.15852E+01
    10    0.12211E+04    0.14390E-01    0.59467E-02    0.12872E+01
    11    0.12149E+04    0.12816E-01    0.49539E-02    0.10647E+01
    12    0.12127E+04    0.12321E-01    0.46581E-02    0.92382E+00
    13    0.12128E+04    0.11902E-01    0.48497E-02    0.85371E+00
    14    0.12146E+04    0.11636E-01    0.53434E-02    0.83657E+00
    15    0.12186E+04    0.11739E-01    0.60254E-02    0.85277E+00
    16    0.12250E+04    0.12355E-01    0.68111E-02    0.88452E+00
    17    0.12333E+04    0.13443E-01    0.76601E-02    0.91982E+00
    18    0.12422E+04    0.14741E-01    0.85474E-02    0.95134E+00
    19    0.12524E+04    0.16132E-01    0.94637E-02    0.97771E+00
    20    0.12624E+04    0.17618E-01    0.10405E-01    0.99562E+00
    21    0.12725E+04    0.19235E-01    0.11368E-01    0.10023E+01
    22    0.12832E+04    0.21104E-01    0.12353E-01    0.99620E+00
    23    0.12941E+04    0.23278E-01    0.13357E-01    0.98480E+00
    24    0.13053E+04    0.25750E-01    0.14378E-01    0.97575E+00
    25    0.13168E+04    0.28508E-01    0.15413E-01    0.96818E+00
    26    0.13284E+04    0.31509E-01    0.16461E-01    0.96083E+00
    27    0.13403E+04    0.34735E-01    0.17521E-01    0.95215E+00
    28    0.13524E+04    0.38197E-01    0.18596E-01    0.94114E+00
    29    0.13648E+04    0.41879E-01    0.19685E-01    0.92428E+00
    30    0.13774E+04    0.45773E-01    0.20787E-01    0.89708E+00
    31    0.13899E+04    0.49903E-01    0.21898E-01    0.86020E+00
    32    0.14027E+04    0.54276E-01    0.23017E-01    0.81470E+00
    33    0.14157E+04    0.58861E-01    0.24142E-01    0.75837E+00
    34    0.14288E+04    0.63641E-01    0.25274E-01    0.68923E+00
    35    0.14421E+04    0.68649E-01    0.26409E-01    0.60621E+00
    36    0.14554E+04    0.73934E-01    0.27546E-01    0.50859E+00
    37    0.14687E+04    0.79526E-01    0.28686E-01    0.39990E+00
    38    0.14823E+04    0.85449E-01    0.29829E-01    0.28541E+00
    39    0.14963E+04    0.91676E-01    0.30971E-01    0.16431E+00
    40    0.15102E+04    0.98176E-01    0.32111E-01    0.34033E-01
    41    0.15244E+04    0.10493E+00    0.33245E-01   -0.10776E+00
    42    0.15385E+04    0.11195E+00    0.34370E-01   -0.26176E+00
    43    0.15527E+04    0.11925E+00    0.35487E-01   -0.42818E+00
    44    0.15669E+04    0.12685E+00    0.36594E-01   -0.60640E+00
    45    0.15814E+04    0.13475E+00    0.37689E-01   -0.79568E+00
    46    0.15962E+04    0.14297E+00    0.38772E-01   -0.99731E+00
    47    0.16110E+04    0.15150E+00    0.39841E-01   -0.12107E+01
    48    0.16260E+04    0.16033E+00    0.40895E-01   -0.14322E+01
    49    0.16410E+04    0.16944E+00    0.41931E-01   -0.16587E+01
    50    0.16565E+04    0.17877E+00    0.42949E-01   -0.18939E+01
    51    0.16721E+04    0.18829E+00    0.43947E-01   -0.21427E+01
    52    0.16881E+04    0.19809E+00    0.44923E-01   -0.24094E+01
    53    0.17041E+04    0.20833E+00    0.45878E-01   -0.26963E+01
    54    0.17200E+04    0.21900E+00    0.46809E-01   -0.29977E+01
    55    0.17361E+04    0.23008E+00    0.47717E-01   -0.33078E+01
    56    0.17525E+04    0.24144E+00    0.48600E-01   -0.36272E+01
    57    0.17692E+04    0.25296E+00    0.49458E-01   -0.39562E+01
    58    0.17862E+04    0.26463E+00    0.50290E-01   -0.42960E+01
    59    0.18034E+04    0.27648E+00    0.51094E-01   -0.46481E+01
    60    0.18208E+04    0.28856E+00    0.51871E-01   -0.50123E+01
    61    0.18387E+04    0.30095E+00    0.52618E-01   -0.53882E+01
    62    0.18565E+04    0.31365E+00    0.53337E-01   -0.57762E+01
    63    0.18745E+04    0.32660E+00    0.54025E-01   -0.61768E+01
    64    0.18929E+04    0.33984E+00    0.54683E-01   -0.65905E+01
    65    0.19115E+04    0.35334E+00    0.55310E-01   -0.70173E+01
    66    0.19303E+04    0.36703E+00    0.55905E-01   -0.74549E+01
    67    0.19494E+04    0.38092E+00    0.56469E-01   -0.79007E+01
    68    0.19690E+04    0.39503E+00    0.57001E-01   -0.83537E+01
    69    0.19889E+04    0.40931E+00    0.57500E-01   -0.88127E+01
    70    0.20091E+04    0.42379E+00    0.57966E-01   -0.92797E+01
    71    0.20295E+04    0.43847E+00    0.58399E-01   -0.97575E+01
    72    0.20502E+04    0.45330E+00    0.58798E-01   -0.10247E+02
    73    0.20710E+04    0.46825E+00    0.59164E-01   -0.10750E+02
    74    0.20922E+04    0.48331E+00    0.59497E-01   -0.11263E+02
    75    0.21137E+04    0.49849E+00    0.59797E-01   -0.11786E+02
    76    0.21355E+04    0.51380E+00    0.60064E-01   -0.12317E+02
    77    0.21577E+04    0.52921E+00    0.60298E-01   -0.12857E+02
    78    0.21804E+04    0.54475E+00    0.60500E-01   -0.13406E+02
    79    0.22033E+04    0.56036E+00    0.60669E-01   -0.13960E+02
    80    0.22267E+04    0.57605E+00    0.60805E-01   -0.14520E+02
    81    0.22503E+04    0.59175E+00    0.60910E-01   -0.15088E+02
    82    0.22743E+04    0.60749E+00    0.60983E-01   -0.15661E+02
    83    0.22986E+04    0.62324E+00    0.61023E-01   -0.16241E+02
    84    0.23233E+04    0.63899E+00    0.61032E-01   -0.16824E+02
    85    0.23482E+04    0.65471E+00    0.61009E-01   -0.17413E+02
    86    0.23733E+04    0.67042E+00    0.60954E-01   -0.18007E+02
    87    0.23989E+04    0.68608E+00    0.60869E-01   -0.18605E+02
    88    0.24246E+04    0.70170E+00    0.60752E-01   -0.19207E+02
    89    0.24508E+04    0.71726E+00    0.60606E-01   -0.19814E+02
    90    0.24772E+04    0.73273E+00    0.60429E-01   -0.20423E+02
    91    0.25039E+04    0.74809E+00    0.60224E-01   -0.21034E+02
    92    0.25310E+04    0.76332E+00    0.59991E-01   -0.21648E+02
    93    0.25585E+04    0.77843E+00    0.59729E-01   -0.22264E+02
    94    0.25861E+04    0.79336E+00    0.59442E-01   -0.22880E+02
    95    0.26141E+04    0.80813E+00    0.59128E-01   -0.23498E+02
