#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.103499E-04   0.189587E+08   0.189587E+08   0.252653E+08   0.252649E+08   0.189588E+08   0.189587E+08   0.189587E+08   0.189650E+08  -0.478018E+00   0.957224E+07   0.957224E+07   0.573807E+01
   0.114373E-04   0.189587E+08   0.189587E+08   0.252624E+08   0.252619E+08   0.189588E+08   0.189587E+08   0.189587E+08   0.189650E+08  -0.478017E+00   0.957222E+07   0.957222E+07   0.634074E+01
   0.126389E-04   0.189587E+08   0.189587E+08   0.252588E+08   0.252582E+08   0.189588E+08   0.189587E+08   0.189587E+08   0.189650E+08  -0.478015E+00   0.957222E+07   0.957222E+07   0.700665E+01
   0.139668E-04   0.189586E+08   0.189586E+08   0.252545E+08   0.252538E+08   0.189587E+08   0.189587E+08   0.189586E+08   0.189650E+08  -0.478013E+00   0.957220E+07   0.957220E+07   0.774244E+01
   0.154342E-04   0.189586E+08   0.189586E+08   0.252492E+08   0.252484E+08   0.189587E+08   0.189586E+08   0.189586E+08   0.189649E+08  -0.478011E+00   0.957218E+07   0.957218E+07   0.855541E+01
   0.170557E-04   0.189586E+08   0.189586E+08   0.252428E+08   0.252417E+08   0.189587E+08   0.189586E+08   0.189586E+08   0.189649E+08  -0.478008E+00   0.957216E+07   0.957216E+07   0.945362E+01
   0.188477E-04   0.189585E+08   0.189585E+08   0.252349E+08   0.252336E+08   0.189586E+08   0.189585E+08   0.189585E+08   0.189648E+08  -0.478005E+00   0.957214E+07   0.957214E+07   0.104460E+02
   0.208278E-04   0.189585E+08   0.189585E+08   0.252253E+08   0.252237E+08   0.189586E+08   0.189585E+08   0.189585E+08   0.189648E+08  -0.478001E+00   0.957211E+07   0.957211E+07   0.115423E+02
   0.230161E-04   0.189584E+08   0.189584E+08   0.252136E+08   0.252117E+08   0.189585E+08   0.189584E+08   0.189584E+08   0.189647E+08  -0.477996E+00   0.957207E+07   0.957207E+07   0.127534E+02
   0.254342E-04   0.189583E+08   0.189583E+08   0.251993E+08   0.251969E+08   0.189584E+08   0.189583E+08   0.189583E+08   0.189646E+08  -0.477990E+00   0.957203E+07   0.957203E+07   0.140912E+02
