#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.16101E+04    0.68150E-01    0.24751E-01    0.35398E+01    0.47314E-07    0.33825E-02   -0.15865E-04
     3    0.14506E+04    0.10649E+00    0.28626E-01    0.36475E+01    0.57352E-07    0.34520E-02   -0.19451E-04
     4    0.13600E+04    0.11877E+00    0.28133E-01    0.35623E+01    0.65938E-07    0.34181E-02   -0.19588E-04
     5    0.12965E+04    0.10620E+00    0.24718E-01    0.32577E+01    0.73379E-07    0.33380E-02   -0.17217E-04
     6    0.12518E+04    0.80246E-01    0.19980E-01    0.28402E+01    0.79852E-07    0.32387E-02   -0.13263E-04
     7    0.12213E+04    0.53120E-01    0.15189E-01    0.23858E+01    0.85531E-07    0.31336E-02   -0.86463E-05
     8    0.12008E+04    0.32441E-01    0.11118E-01    0.19496E+01    0.90535E-07    0.30241E-02   -0.41316E-05
     9    0.11878E+04    0.20182E-01    0.80860E-02    0.15664E+01    0.94969E-07    0.29107E-02   -0.27203E-06
    10    0.11807E+04    0.14599E-01    0.61038E-02    0.12581E+01    0.98896E-07    0.27983E-02    0.25532E-05
    11    0.11778E+04    0.12714E-01    0.50261E-02    0.10319E+01    0.10240E-06    0.26941E-02    0.41371E-05
    12    0.11784E+04    0.12184E-01    0.46487E-02    0.88964E+00    0.10552E-06    0.25991E-02    0.44882E-05
    13    0.11811E+04    0.11823E-01    0.47700E-02    0.81975E+00    0.10827E-06    0.25106E-02    0.39302E-05
    14    0.11850E+04    0.11558E-01    0.52076E-02    0.80478E+00    0.11073E-06    0.24264E-02    0.28241E-05
    15    0.11908E+04    0.11595E-01    0.58467E-02    0.82547E+00    0.11291E-06    0.23458E-02    0.14475E-05
    16    0.11988E+04    0.12112E-01    0.65996E-02    0.86384E+00    0.11484E-06    0.22685E-02    0.41397E-07
    17    0.12086E+04    0.13112E-01    0.74220E-02    0.90567E+00    0.11655E-06    0.21951E-02   -0.12026E-05
    18    0.12188E+04    0.14363E-01    0.82848E-02    0.94150E+00    0.11806E-06    0.21255E-02   -0.21142E-05
    19    0.12302E+04    0.15725E-01    0.91776E-02    0.97031E+00    0.11938E-06    0.20588E-02   -0.25538E-05
    20    0.12411E+04    0.17161E-01    0.10096E-01    0.98981E+00    0.12053E-06    0.19941E-02   -0.24572E-05
    21    0.12521E+04    0.18687E-01    0.11036E-01    0.99828E+00    0.12152E-06    0.19320E-02   -0.20259E-05
    22    0.12636E+04    0.20416E-01    0.11998E-01    0.99462E+00    0.12237E-06    0.18733E-02   -0.14962E-05
    23    0.12752E+04    0.22428E-01    0.12979E-01    0.98458E+00    0.12310E-06    0.18173E-02   -0.98844E-06
    24    0.12871E+04    0.24744E-01    0.13978E-01    0.97433E+00    0.12370E-06    0.17633E-02   -0.57330E-06
    25    0.12991E+04    0.27354E-01    0.14991E-01    0.96492E+00    0.12420E-06    0.17114E-02   -0.24125E-06
    26    0.13112E+04    0.30205E-01    0.16016E-01    0.95730E+00    0.12459E-06    0.16619E-02    0.14822E-07
