#    L    TT             EE             TE             PP             TP          
     2    0.11547E+04    0.53068E-01    0.32233E+01    0.97006E+06    0.32454E+05
     3    0.10881E+04    0.87075E-01    0.40350E+01    0.14890E+07    0.39640E+05
     4    0.10178E+04    0.97743E-01    0.41812E+01    0.19488E+07    0.43283E+05
     5    0.96054E+03    0.86417E-01    0.39182E+01    0.23544E+07    0.44953E+05
     6    0.91729E+03    0.63614E-01    0.34529E+01    0.27117E+07    0.45498E+05
     7    0.88617E+03    0.40376E-01    0.29172E+01    0.30279E+07    0.45393E+05
     8    0.86410E+03    0.23291E-01    0.23984E+01    0.33086E+07    0.44837E+05
     9    0.84905E+03    0.13734E-01    0.19467E+01    0.35590E+07    0.43951E+05
    10    0.83973E+03    0.97607E-02    0.15860E+01    0.37823E+07    0.42885E+05
    11    0.83467E+03    0.85218E-02    0.13262E+01    0.39829E+07    0.41796E+05
    12    0.83387E+03    0.79645E-02    0.11675E+01    0.41624E+07    0.40732E+05
    13    0.83538E+03    0.71684E-02    0.10952E+01    0.43229E+07    0.39681E+05
    14    0.83816E+03    0.62817E-02    0.10892E+01    0.44671E+07    0.38632E+05
    15    0.84256E+03    0.56010E-02    0.11270E+01    0.45965E+07    0.37585E+05
    16    0.84903E+03    0.53503E-02    0.11881E+01    0.47125E+07    0.36550E+05
    17    0.85742E+03    0.55328E-02    0.12574E+01    0.48164E+07    0.35537E+05
    18    0.86666E+03    0.59107E-02    0.13250E+01    0.49097E+07    0.34555E+05
    19    0.87757E+03    0.63510E-02    0.13889E+01    0.49929E+07    0.33595E+05
    20    0.88847E+03    0.68271E-02    0.14458E+01    0.50666E+07    0.32647E+05
    21    0.89974E+03    0.73657E-02    0.14943E+01    0.51320E+07    0.31727E+05
    22    0.91169E+03    0.80870E-02    0.15335E+01    0.51899E+07    0.30847E+05
    23    0.92407E+03    0.90724E-02    0.15695E+01    0.52409E+07    0.29998E+05
    24    0.93688E+03    0.10343E-01    0.16084E+01    0.52854E+07    0.29170E+05
    25    0.95007E+03    0.11885E-01    0.16505E+01    0.53240E+07    0.28368E+05
    26    0.96348E+03    0.13646E-01    0.16960E+01    0.53572E+07    0.27599E+05
    27    0.97733E+03    0.15614E-01    0.17428E+01    0.53855E+07    0.26865E+05
    28    0.99151E+03    0.17801E-01    0.17893E+01    0.54092E+07    0.26167E+05
    29    0.10061E+04    0.20180E-01    0.18325E+01    0.54285E+07    0.25498E+05
    30    0.10209E+04    0.22733E-01    0.18683E+01    0.54435E+07    0.24852E+05
    31    0.10359E+04    0.25480E-01    0.18955E+01    0.54547E+07    0.24224E+05
    32    0.10512E+04    0.28436E-01    0.19135E+01    0.54625E+07    0.23610E+05
    33    0.10668E+04    0.31588E-01    0.19215E+01    0.54673E+07    0.23017E+05
    34    0.10827E+04    0.34935E-01    0.19189E+01    0.54692E+07    0.22452E+05
    35    0.10987E+04    0.38485E-01    0.19038E+01    0.54684E+07    0.21912E+05
    36    0.11149E+04    0.42261E-01    0.18738E+01    0.54650E+07    0.21392E+05
    37    0.11313E+04    0.46304E-01    0.18313E+01    0.54594E+07    0.20889E+05
    38    0.11480E+04    0.50656E-01    0.17807E+01    0.54516E+07    0.20398E+05
    39    0.11651E+04    0.55294E-01    0.17222E+01    0.54417E+07    0.19921E+05
    40    0.11824E+04    0.60189E-01    0.16551E+01    0.54300E+07    0.19461E+05
    41    0.11999E+04    0.65323E-01    0.15782E+01    0.54165E+07    0.19020E+05
    42    0.12174E+04    0.70710E-01    0.14905E+01    0.54013E+07    0.18595E+05
    43    0.12351E+04    0.76372E-01    0.13908E+01    0.53846E+07    0.18184E+05
    44    0.12528E+04    0.82314E-01    0.12789E+01    0.53664E+07    0.17785E+05
    45    0.12710E+04    0.88553E-01    0.11547E+01    0.53469E+07    0.17394E+05
    46    0.12894E+04    0.95104E-01    0.10162E+01    0.53263E+07    0.17011E+05
    47    0.13080E+04    0.10196E+00    0.86407E+00    0.53045E+07    0.16635E+05
    48    0.13266E+04    0.10910E+00    0.70235E+00    0.52818E+07    0.16270E+05
    49    0.13455E+04    0.11651E+00    0.53442E+00    0.52580E+07    0.15918E+05
    50    0.13648E+04    0.12414E+00    0.35689E+00    0.52335E+07    0.15580E+05
    51    0.13843E+04    0.13196E+00    0.16505E+00    0.52082E+07    0.15259E+05
    52    0.14042E+04    0.14005E+00   -0.45550E-01    0.51821E+07    0.14953E+05
    53    0.14242E+04    0.14857E+00   -0.27741E+00    0.51554E+07    0.14660E+05
    54    0.14441E+04    0.15754E+00   -0.52508E+00    0.51280E+07    0.14378E+05
    55    0.14642E+04    0.16692E+00   -0.78300E+00    0.51001E+07    0.14105E+05
    56    0.14846E+04    0.17658E+00   -0.10520E+01    0.50717E+07    0.13839E+05
    57    0.15054E+04    0.18642E+00   -0.13323E+01    0.50428E+07    0.13579E+05
    58    0.15265E+04    0.19642E+00   -0.16253E+01    0.50135E+07    0.13324E+05
    59    0.15478E+04    0.20663E+00   -0.19322E+01    0.49837E+07    0.13073E+05
    60    0.15693E+04    0.21707E+00   -0.22531E+01    0.49536E+07    0.12826E+05
    61    0.15913E+04    0.22784E+00   -0.25873E+01    0.49231E+07    0.12582E+05
    62    0.16132E+04    0.23893E+00   -0.29356E+01    0.48923E+07    0.12341E+05
    63    0.16352E+04    0.25030E+00   -0.32983E+01    0.48613E+07    0.12107E+05
    64    0.16577E+04    0.26197E+00   -0.36762E+01    0.48300E+07    0.11880E+05
    65    0.16803E+04    0.27392E+00   -0.40694E+01    0.47986E+07    0.11663E+05
    66    0.17032E+04    0.28608E+00   -0.44757E+01    0.47670E+07    0.11457E+05
    67    0.17263E+04    0.29845E+00   -0.48925E+01    0.47353E+07    0.11260E+05
    68    0.17499E+04    0.31107E+00   -0.53185E+01    0.47036E+07    0.11072E+05
    69    0.17737E+04    0.32389E+00   -0.57523E+01    0.46718E+07    0.10890E+05
    70    0.17979E+04    0.33695E+00   -0.61961E+01    0.46399E+07    0.10713E+05
    71    0.18222E+04    0.35024E+00   -0.66525E+01    0.46080E+07    0.10540E+05
    72    0.18468E+04    0.36373E+00   -0.71226E+01    0.45762E+07    0.10369E+05
    73    0.18715E+04    0.37738E+00   -0.76070E+01    0.45443E+07    0.10202E+05
    74    0.18965E+04    0.39117E+00   -0.81045E+01    0.45124E+07    0.10037E+05
    75    0.19217E+04    0.40511E+00   -0.86134E+01    0.44805E+07    0.98742E+04
    76    0.19473E+04    0.41921E+00   -0.91329E+01    0.44486E+07    0.97143E+04
    77    0.19733E+04    0.43345E+00   -0.96625E+01    0.44168E+07    0.95572E+04
    78    0.19996E+04    0.44785E+00   -0.10204E+02    0.43850E+07    0.94036E+04
    79    0.20261E+04    0.46238E+00   -0.10752E+02    0.43532E+07    0.92541E+04
    80    0.20530E+04    0.47702E+00   -0.11310E+02    0.43215E+07    0.91093E+04
    81    0.20802E+04    0.49173E+00   -0.11876E+02    0.42899E+07    0.89695E+04
    82    0.21076E+04    0.50653E+00   -0.12451E+02    0.42585E+07    0.88346E+04
    83    0.21353E+04    0.52139E+00   -0.13033E+02    0.42271E+07    0.87041E+04
    84    0.21633E+04    0.53630E+00   -0.13622E+02    0.41959E+07    0.85776E+04
    85    0.21914E+04    0.55123E+00   -0.14218E+02    0.41648E+07    0.84549E+04
    86    0.22198E+04    0.56620E+00   -0.14821E+02    0.41339E+07    0.83354E+04
    87    0.22486E+04    0.58118E+00   -0.15429E+02    0.41031E+07    0.82190E+04
    88    0.22774E+04    0.59616E+00   -0.16043E+02    0.40725E+07    0.81052E+04
    89    0.23065E+04    0.61115E+00   -0.16664E+02    0.40420E+07    0.79939E+04
    90    0.23360E+04    0.62610E+00   -0.17288E+02    0.40118E+07    0.78846E+04
