#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.11547E+04    0.32233E+01    0.14214E-02    0.32233E+01    0.53068E-01   -0.64984E-05    0.14214E-02   -0.64984E-05    0.77939E-08
     3    0.10881E+04    0.40350E+01    0.10288E-02    0.40350E+01    0.87075E-01   -0.56303E-05    0.10288E-02   -0.56303E-05    0.47262E-08
     4    0.10178E+04    0.41812E+01    0.78985E-03    0.41812E+01    0.97743E-01   -0.43819E-05    0.78985E-03   -0.43819E-05    0.32621E-08
     5    0.96054E+03    0.39182E+01    0.63000E-03    0.39182E+01    0.86417E-01   -0.31337E-05    0.63000E-03   -0.31337E-05    0.24213E-08
     6    0.91729E+03    0.34529E+01    0.51661E-03    0.34529E+01    0.63614E-01   -0.20296E-05    0.51661E-03   -0.20296E-05    0.18828E-08
     7    0.88617E+03    0.29172E+01    0.43277E-03    0.29172E+01    0.40376E-01   -0.11357E-05    0.43277E-03   -0.11357E-05    0.15131E-08
     8    0.86410E+03    0.23984E+01    0.36819E-03    0.23984E+01    0.23291E-01   -0.46777E-06    0.36819E-03   -0.46777E-06    0.12461E-08
     9    0.84905E+03    0.19467E+01    0.31686E-03    0.19467E+01    0.13734E-01   -0.12984E-07    0.31686E-03   -0.12984E-07    0.10460E-08
    10    0.83973E+03    0.15860E+01    0.27547E-03    0.15860E+01    0.97607E-02    0.25309E-06    0.27547E-03    0.25309E-06    0.89141E-09
    11    0.83467E+03    0.13262E+01    0.24205E-03    0.13262E+01    0.85218E-02    0.36256E-06    0.24205E-03    0.36256E-06    0.76937E-09
    12    0.83387E+03    0.11675E+01    0.21469E-03    0.11675E+01    0.79645E-02    0.35729E-06    0.21469E-03    0.35729E-06    0.67081E-09
    13    0.83538E+03    0.10952E+01    0.19196E-03    0.10952E+01    0.71684E-02    0.28436E-06    0.19196E-03    0.28436E-06    0.59021E-09
    14    0.83816E+03    0.10892E+01    0.17264E-03    0.10892E+01    0.62817E-02    0.18636E-06    0.17264E-03    0.18636E-06    0.52318E-09
    15    0.84256E+03    0.11270E+01    0.15607E-03    0.11270E+01    0.56010E-02    0.84535E-07    0.15607E-03    0.84535E-07    0.46688E-09
    16    0.84903E+03    0.11881E+01    0.14173E-03    0.11881E+01    0.53503E-02   -0.64195E-08    0.14173E-03   -0.64195E-08    0.41903E-09
    17    0.85742E+03    0.12574E+01    0.12925E-03    0.12574E+01    0.55328E-02   -0.76835E-07    0.12925E-03   -0.76835E-07    0.37808E-09
    18    0.86666E+03    0.13250E+01    0.11833E-03    0.13250E+01    0.59107E-02   -0.11964E-06    0.11833E-03   -0.11964E-06    0.34269E-09
    19    0.87757E+03    0.13889E+01    0.10868E-03    0.13889E+01    0.63510E-02   -0.13317E-06    0.10868E-03   -0.13317E-06    0.31192E-09
    20    0.88847E+03    0.14458E+01    0.10009E-03    0.14458E+01    0.68271E-02   -0.11978E-06    0.10009E-03   -0.11978E-06    0.28495E-09
    21    0.89974E+03    0.14943E+01    0.92423E-04    0.14943E+01    0.73657E-02   -0.92532E-07    0.92423E-04   -0.92532E-07    0.26120E-09
    22    0.91169E+03    0.15335E+01    0.85596E-04    0.15335E+01    0.80870E-02   -0.64873E-07    0.85596E-04   -0.64873E-07    0.24018E-09
    23    0.92407E+03    0.15695E+01    0.79474E-04    0.15695E+01    0.90724E-02   -0.41089E-07    0.79474E-04   -0.41089E-07    0.22149E-09
    24    0.93688E+03    0.16084E+01    0.73932E-04    0.16084E+01    0.10343E-01   -0.22655E-07    0.73932E-04   -0.22655E-07    0.20479E-09
    25    0.95007E+03    0.16505E+01    0.68912E-04    0.16505E+01    0.11885E-01   -0.89697E-08    0.68912E-04   -0.89697E-08    0.18981E-09
    26    0.96348E+03    0.16960E+01    0.64369E-04    0.16960E+01    0.13646E-01    0.38868E-09    0.64369E-04    0.38868E-09    0.17632E-09
    27    0.97733E+03    0.17428E+01    0.60255E-04    0.17428E+01    0.15614E-01    0.30491E-08    0.60255E-04    0.30491E-08    0.16414E-09
    28    0.99151E+03    0.17893E+01    0.56520E-04    0.17893E+01    0.17801E-01   -0.28229E-08    0.56520E-04   -0.28229E-08    0.15310E-09
    29    0.10061E+04    0.18325E+01    0.53114E-04    0.18325E+01    0.20180E-01   -0.14121E-07    0.53114E-04   -0.14121E-07    0.14307E-09
    30    0.10209E+04    0.18683E+01    0.49987E-04    0.18683E+01    0.22733E-01   -0.26521E-07    0.49987E-04   -0.26521E-07    0.13391E-09
    31    0.10359E+04    0.18955E+01    0.47102E-04    0.18955E+01    0.25480E-01   -0.35769E-07    0.47102E-04   -0.35769E-07    0.12553E-09
    32    0.10512E+04    0.19135E+01    0.44431E-04    0.19135E+01    0.28436E-01   -0.38774E-07    0.44431E-04   -0.38774E-07    0.11786E-09
    33    0.10668E+04    0.19215E+01    0.41964E-04    0.19215E+01    0.31588E-01   -0.37044E-07    0.41964E-04   -0.37044E-07    0.11083E-09
    34    0.10827E+04    0.19189E+01    0.39695E-04    0.19189E+01    0.34935E-01   -0.33115E-07    0.39695E-04   -0.33115E-07    0.10435E-09
    35    0.10987E+04    0.19038E+01    0.37602E-04    0.19038E+01    0.38485E-01   -0.29052E-07    0.37602E-04   -0.29052E-07    0.98375E-10
    36    0.11149E+04    0.18738E+01    0.35663E-04    0.18738E+01    0.42261E-01   -0.26102E-07    0.35663E-04   -0.26102E-07    0.92857E-10
    37    0.11313E+04    0.18313E+01    0.33858E-04    0.18313E+01    0.46304E-01   -0.22699E-07    0.33858E-04   -0.22699E-07    0.87750E-10
    38    0.11480E+04    0.17807E+01    0.32171E-04    0.17807E+01    0.50656E-01   -0.17272E-07    0.32171E-04   -0.17272E-07    0.83016E-10
    39    0.11651E+04    0.17222E+01    0.30593E-04    0.17222E+01    0.55294E-01   -0.11027E-07    0.30593E-04   -0.11027E-07    0.78620E-10
    40    0.11824E+04    0.16551E+01    0.29121E-04    0.16551E+01    0.60189E-01   -0.58641E-08    0.29121E-04   -0.58641E-08    0.74530E-10
    41    0.11999E+04    0.15782E+01    0.27748E-04    0.15782E+01    0.65323E-01   -0.32616E-08    0.27748E-04   -0.32616E-08    0.70718E-10
    42    0.12174E+04    0.14905E+01    0.26466E-04    0.14905E+01    0.70710E-01   -0.29973E-08    0.26466E-04   -0.29973E-08    0.67161E-10
    43    0.12351E+04    0.13908E+01    0.25266E-04    0.13908E+01    0.76372E-01   -0.44252E-08    0.25266E-04   -0.44252E-08    0.63840E-10
