#    L    TT             EE             BB             TE          
     2    0.46197E+03    0.16754E-01    0.26617E-01    0.30761E+00
     3    0.37795E+03    0.20888E-01    0.30398E-01   -0.34772E+00
     4    0.35797E+03    0.21462E-01    0.29299E-01   -0.55174E+00
     5    0.35015E+03    0.19004E-01    0.25147E-01   -0.58143E+00
     6    0.34680E+03    0.15032E-01    0.19813E-01   -0.53578E+00
     7    0.34575E+03    0.10932E-01    0.14676E-01   -0.46561E+00
     8    0.34597E+03    0.76198E-02    0.10503E-01   -0.39738E+00
     9    0.34691E+03    0.54279E-02    0.75468E-02   -0.34451E+00
    10    0.34829E+03    0.43240E-02    0.57399E-02   -0.30502E+00
    11    0.34970E+03    0.40470E-02    0.48759E-02   -0.28277E+00
    12    0.35050E+03    0.43080E-02    0.47010E-02   -0.27389E+00
    13    0.35099E+03    0.48945E-02    0.49955E-02   -0.27642E+00
    14    0.35162E+03    0.56376E-02    0.55701E-02   -0.28929E+00
    15    0.35252E+03    0.64660E-02    0.63139E-02   -0.31006E+00
    16    0.35363E+03    0.73403E-02    0.71471E-02   -0.33641E+00
    17    0.35461E+03    0.82515E-02    0.80359E-02   -0.36794E+00
    18    0.35516E+03    0.91988E-02    0.89608E-02   -0.40448E+00
    19    0.35525E+03    0.10186E-01    0.99137E-02   -0.44465E+00
    20    0.35496E+03    0.11215E-01    0.10890E-01   -0.48722E+00
    21    0.35438E+03    0.12283E-01    0.11889E-01   -0.53247E+00
    22    0.35355E+03    0.13382E-01    0.12910E-01   -0.58086E+00
    23    0.35251E+03    0.14505E-01    0.13950E-01   -0.63198E+00
    24    0.35126E+03    0.15644E-01    0.15005E-01   -0.68521E+00
    25    0.34981E+03    0.16805E-01    0.16075E-01   -0.74010E+00
    26    0.34819E+03    0.17991E-01    0.17157E-01   -0.79628E+00
    27    0.34639E+03    0.19203E-01    0.18252E-01   -0.85348E+00
    28    0.34442E+03    0.20440E-01    0.19363E-01   -0.91161E+00
    29    0.34229E+03    0.21703E-01    0.20487E-01   -0.97105E+00
    30    0.34001E+03    0.22994E-01    0.21623E-01   -0.10321E+01
    31    0.33759E+03    0.24312E-01    0.22769E-01   -0.10941E+01
