#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.107268E-04   0.181145E+08   0.181145E+08   0.241406E+08   0.241402E+08   0.181146E+08   0.181145E+08   0.181145E+08   0.181206E+08  -0.506418E+00   0.905117E+07   0.905117E+07   0.548092E+01
   0.118486E-04   0.181145E+08   0.181145E+08   0.241379E+08   0.241374E+08   0.181146E+08   0.181145E+08   0.181145E+08   0.181205E+08  -0.506414E+00   0.905115E+07   0.905114E+07   0.605395E+01
   0.130878E-04   0.181144E+08   0.181144E+08   0.241346E+08   0.241340E+08   0.181145E+08   0.181144E+08   0.181144E+08   0.181205E+08  -0.506409E+00   0.905112E+07   0.905112E+07   0.668685E+01
   0.144565E-04   0.181144E+08   0.181144E+08   0.241305E+08   0.241299E+08   0.181145E+08   0.181144E+08   0.181144E+08   0.181204E+08  -0.506403E+00   0.905108E+07   0.905108E+07   0.738585E+01
   0.159684E-04   0.181143E+08   0.181143E+08   0.241256E+08   0.241248E+08   0.181144E+08   0.181143E+08   0.181143E+08   0.181203E+08  -0.506396E+00   0.905103E+07   0.905103E+07   0.815784E+01
   0.176384E-04   0.181142E+08   0.181142E+08   0.241196E+08   0.241186E+08   0.181143E+08   0.181142E+08   0.181142E+08   0.181202E+08  -0.506388E+00   0.905098E+07   0.905098E+07   0.901042E+01
   0.194831E-04   0.181141E+08   0.181141E+08   0.241123E+08   0.241110E+08   0.181142E+08   0.181141E+08   0.181141E+08   0.181201E+08  -0.506377E+00   0.905091E+07   0.905091E+07   0.995195E+01
   0.215207E-04   0.181140E+08   0.181140E+08   0.241033E+08   0.241018E+08   0.181141E+08   0.181140E+08   0.181140E+08   0.181200E+08  -0.506364E+00   0.905083E+07   0.905082E+07   0.109917E+02
   0.237714E-04   0.181138E+08   0.181138E+08   0.240924E+08   0.240906E+08   0.181139E+08   0.181138E+08   0.181138E+08   0.181198E+08  -0.506349E+00   0.905072E+07   0.905072E+07   0.121398E+02
   0.262575E-04   0.181136E+08   0.181136E+08   0.240791E+08   0.240769E+08   0.181137E+08   0.181136E+08   0.181136E+08   0.181196E+08  -0.506329E+00   0.905060E+07   0.905060E+07   0.134074E+02
   0.290036E-04   0.181134E+08   0.181134E+08   0.240629E+08   0.240602E+08   0.181135E+08   0.181134E+08   0.181134E+08   0.181194E+08  -0.506306E+00   0.905045E+07   0.905045E+07   0.148069E+02
   0.320368E-04   0.181131E+08   0.181131E+08   0.240431E+08   0.240398E+08   0.181132E+08   0.181131E+08   0.181131E+08   0.181191E+08  -0.506278E+00   0.905027E+07   0.905027E+07   0.163519E+02
   0.353874E-04   0.181127E+08   0.181127E+08   0.240190E+08   0.240150E+08   0.181128E+08   0.181127E+08   0.181127E+08   0.181187E+08  -0.506243E+00   0.905005E+07   0.905004E+07   0.180573E+02
   0.390883E-04   0.181123E+08   0.181123E+08   0.239896E+08   0.239847E+08   0.181124E+08   0.181123E+08   0.181123E+08   0.181183E+08  -0.506201E+00   0.904977E+07   0.904977E+07   0.199393E+02
   0.431762E-04   0.181117E+08   0.181117E+08   0.239538E+08   0.239478E+08   0.181118E+08   0.181117E+08   0.181117E+08   0.181177E+08  -0.506149E+00   0.904944E+07   0.904944E+07   0.220159E+02
   0.476917E-04   0.181111E+08   0.181111E+08   0.239102E+08   0.239029E+08   0.181112E+08   0.181111E+08   0.181111E+08   0.181171E+08  -0.506086E+00   0.904904E+07   0.904903E+07   0.243066E+02
   0.526795E-04   0.181103E+08   0.181103E+08   0.238570E+08   0.238481E+08   0.181104E+08   0.181103E+08   0.181103E+08   0.181162E+08  -0.506010E+00   0.904854E+07   0.904854E+07   0.268328E+02
   0.581888E-04   0.181093E+08   0.181093E+08   0.237924E+08   0.237815E+08   0.181094E+08   0.181093E+08   0.181093E+08   0.181153E+08  -0.505916E+00   0.904794E+07   0.904793E+07   0.296178E+02
   0.642744E-04   0.181081E+08   0.181081E+08   0.237137E+08   0.237005E+08   0.181082E+08   0.181081E+08   0.181081E+08   0.181141E+08  -0.505802E+00   0.904720E+07   0.904720E+07   0.326867E+02
   0.709964E-04   0.181067E+08   0.181067E+08   0.236180E+08   0.236020E+08   0.181068E+08   0.181067E+08   0.181067E+08   0.181126E+08  -0.505664E+00   0.904631E+07   0.904630E+07   0.360666E+02
   0.784214E-04   0.181049E+08   0.181049E+08   0.235018E+08   0.234823E+08   0.181050E+08   0.181049E+08   0.181049E+08   0.181108E+08  -0.505495E+00   0.904522E+07   0.904521E+07   0.397866E+02
   0.866229E-04   0.181028E+08   0.181027E+08   0.233606E+08   0.233370E+08   0.181028E+08   0.181028E+08   0.181028E+08   0.181086E+08  -0.505289E+00   0.904389E+07   0.904388E+07   0.438778E+02
   0.956822E-04   0.181002E+08   0.181001E+08   0.231895E+08   0.231608E+08   0.181002E+08   0.181002E+08   0.181002E+08   0.181060E+08  -0.505039E+00   0.904228E+07   0.904226E+07   0.483729E+02
   0.105689E-03   0.180970E+08   0.180969E+08   0.229824E+08   0.229476E+08   0.180970E+08   0.180970E+08   0.180970E+08   0.181027E+08  -0.504734E+00   0.904031E+07   0.904029E+07   0.533058E+02
   0.116742E-03   0.180931E+08   0.180930E+08   0.227319E+08   0.226899E+08   0.180932E+08   0.180931E+08   0.180931E+08   0.180988E+08  -0.504364E+00   0.903791E+07   0.903789E+07   0.587114E+02
   0.128951E-03   0.180884E+08   0.180883E+08   0.224298E+08   0.223790E+08   0.180884E+08   0.180884E+08   0.180884E+08   0.180940E+08  -0.503915E+00   0.903500E+07   0.903498E+07   0.646246E+02
   0.142437E-03   0.180827E+08   0.180826E+08   0.220663E+08   0.220052E+08   0.180827E+08   0.180827E+08   0.180827E+08   0.180882E+08  -0.503371E+00   0.903147E+07   0.903144E+07   0.710789E+02
   0.157334E-03   0.180757E+08   0.180756E+08   0.216303E+08   0.215568E+08   0.180758E+08   0.180757E+08   0.180757E+08   0.180811E+08  -0.502711E+00   0.902719E+07   0.902715E+07   0.781053E+02
   0.173788E-03   0.180673E+08   0.180671E+08   0.211092E+08   0.210213E+08   0.180673E+08   0.180673E+08   0.180673E+08   0.180725E+08  -0.501913E+00   0.902200E+07   0.902195E+07   0.857294E+02
   0.191964E-03   0.180571E+08   0.180569E+08   0.204894E+08   0.203847E+08   0.180571E+08   0.180571E+08   0.180570E+08   0.180622E+08  -0.500951E+00   0.901572E+07   0.901566E+07   0.939689E+02
   0.212040E-03   0.180447E+08   0.180445E+08   0.197564E+08   0.196322E+08   0.180447E+08   0.180447E+08   0.180447E+08   0.180496E+08  -0.499792E+00   0.900814E+07   0.900807E+07   0.102830E+03
   0.234216E-03   0.180298E+08   0.180295E+08   0.188954E+08   0.187492E+08   0.180298E+08   0.180298E+08   0.180298E+08   0.180345E+08  -0.498400E+00   0.899900E+07   0.899892E+07   0.112300E+03
   0.258711E-03   0.180118E+08   0.180115E+08   0.178930E+08   0.177222E+08   0.180118E+08   0.180118E+08   0.180118E+08   0.180162E+08  -0.496735E+00   0.898803E+07   0.898793E+07   0.122346E+03
   0.285767E-03   0.179902E+08   0.179898E+08   0.167381E+08   0.165405E+08   0.179901E+08   0.179902E+08   0.179902E+08   0.179943E+08  -0.494752E+00   0.897488E+07   0.897477E+07   0.132903E+03
   0.315654E-03   0.179644E+08   0.179639E+08   0.154251E+08   0.151993E+08   0.179642E+08   0.179643E+08   0.179643E+08   0.179681E+08  -0.492401E+00   0.895921E+07   0.895907E+07   0.143865E+03
   0.348666E-03   0.179335E+08   0.179329E+08   0.139566E+08   0.137024E+08   0.179333E+08   0.179334E+08   0.179334E+08   0.179369E+08  -0.489633E+00   0.894061E+07   0.894045E+07   0.155080E+03
   0.385130E-03   0.178969E+08   0.178962E+08   0.123473E+08   0.120663E+08   0.178967E+08   0.178968E+08   0.178968E+08   0.178999E+08  -0.486398E+00   0.891866E+07   0.891847E+07   0.166338E+03
   0.425408E-03   0.178538E+08   0.178529E+08   0.106282E+08   0.103248E+08   0.178534E+08   0.178536E+08   0.178536E+08   0.178562E+08  -0.482652E+00   0.889295E+07   0.889273E+07   0.177362E+03
   0.469898E-03   0.178032E+08   0.178021E+08   0.885039E+07   0.853210E+07   0.178027E+08   0.178030E+08   0.178030E+08   0.178052E+08  -0.478360E+00   0.886308E+07   0.886282E+07   0.187809E+03
   0.519042E-03   0.177444E+08   0.177431E+08   0.708577E+07   0.676383E+07   0.177438E+08   0.177441E+08   0.177442E+08   0.177459E+08  -0.473509E+00   0.882874E+07   0.882843E+07   0.197271E+03
   0.573325E-03   0.176767E+08   0.176753E+08   0.542451E+07   0.511357E+07   0.176760E+08   0.176764E+08   0.176764E+08   0.176777E+08  -0.468110E+00   0.878971E+07   0.878936E+07   0.205292E+03
   0.633284E-03   0.175997E+08   0.175981E+08   0.396465E+07   0.368146E+07   0.175988E+08   0.175994E+08   0.175994E+08   0.176004E+08  -0.462211E+00   0.874597E+07   0.874556E+07   0.211397E+03
