#    L    TT             EE             BB             TE          
     2    0.16677E+04    0.69702E-01    0.25417E-01    0.34575E+01
     3    0.15114E+04    0.10820E+00    0.29216E-01    0.35804E+01
     4    0.14152E+04    0.11936E+00    0.28497E-01    0.35250E+01
     5    0.13446E+04    0.10531E+00    0.24830E-01    0.32437E+01
     6    0.12935E+04    0.78389E-01    0.19899E-01    0.28382E+01
     7    0.12577E+04    0.51137E-01    0.15001E-01    0.23869E+01
     8    0.12328E+04    0.30953E-01    0.10904E-01    0.19503E+01
     9    0.12163E+04    0.19367E-01    0.79025E-02    0.15651E+01
    10    0.12063E+04    0.14294E-01    0.59818E-02    0.12556E+01
    11    0.12010E+04    0.12642E-01    0.49769E-02    0.10296E+01
    12    0.11996E+04    0.12158E-01    0.46683E-02    0.89044E+00
    13    0.12005E+04    0.11792E-01    0.48487E-02    0.82550E+00
    14    0.12030E+04    0.11575E-01    0.53336E-02    0.81556E+00
    15    0.12076E+04    0.11709E-01    0.60094E-02    0.83953E+00
    16    0.12145E+04    0.12339E-01    0.67912E-02    0.87818E+00
    17    0.12234E+04    0.13428E-01    0.76380E-02    0.91844E+00
    18    0.12328E+04    0.14722E-01    0.85236E-02    0.95227E+00
    19    0.12434E+04    0.16103E-01    0.94388E-02    0.97902E+00
    20    0.12538E+04    0.17566E-01    0.10379E-01    0.99630E+00
    21    0.12643E+04    0.19148E-01    0.11343E-01    0.10020E+01
    22    0.12753E+04    0.20971E-01    0.12328E-01    0.99492E+00
    23    0.12865E+04    0.23096E-01    0.13332E-01    0.98244E+00
    24    0.12980E+04    0.25524E-01    0.14355E-01    0.97209E+00
    25    0.13097E+04    0.28244E-01    0.15392E-01    0.96366E+00
    26    0.13215E+04    0.31207E-01    0.16441E-01    0.95651E+00
    27    0.13336E+04    0.34397E-01    0.17504E-01    0.94899E+00
    28    0.13459E+04    0.37823E-01    0.18582E-01    0.93985E+00
    29    0.13584E+04    0.41469E-01    0.19674E-01    0.92534E+00
    30    0.13711E+04    0.45323E-01    0.20779E-01    0.90073E+00
    31    0.13839E+04    0.49407E-01    0.21895E-01    0.86610E+00
    32    0.13967E+04    0.53730E-01    0.23018E-01    0.82214E+00
    33    0.14099E+04    0.58262E-01    0.24149E-01    0.76744E+00
    34    0.14231E+04    0.62990E-01    0.25287E-01    0.70075E+00
    35    0.14364E+04    0.67939E-01    0.26429E-01    0.62061E+00
    36    0.14498E+04    0.73151E-01    0.27573E-01    0.52569E+00
    37    0.14632E+04    0.78664E-01    0.28721E-01    0.41910E+00
    38    0.14769E+04    0.84509E-01    0.29872E-01    0.30594E+00
    39    0.14909E+04    0.90659E-01    0.31024E-01    0.18596E+00
    40    0.15049E+04    0.97080E-01    0.32174E-01    0.57362E-01
    41    0.15191E+04    0.10375E+00    0.33318E-01   -0.81630E-01
    42    0.15332E+04    0.11069E+00    0.34455E-01   -0.23187E+00
    43    0.15475E+04    0.11790E+00    0.35584E-01   -0.39398E+00
    44    0.15616E+04    0.12541E+00    0.36704E-01   -0.56766E+00
    45    0.15762E+04    0.13322E+00    0.37814E-01   -0.75256E+00
    46    0.15909E+04    0.14134E+00    0.38912E-01   -0.95023E+00
    47    0.16058E+04    0.14978E+00    0.39996E-01   -0.11600E+01
    48    0.16207E+04    0.15851E+00    0.41067E-01   -0.13780E+01
    49    0.16357E+04    0.16751E+00    0.42120E-01   -0.16010E+01
    50    0.16511E+04    0.17673E+00    0.43157E-01   -0.18324E+01
    51    0.16667E+04    0.18614E+00    0.44173E-01   -0.20770E+01
    52    0.16826E+04    0.19583E+00    0.45170E-01   -0.23392E+01
    53    0.16986E+04    0.20595E+00    0.46146E-01   -0.26213E+01
    54    0.17144E+04    0.21650E+00    0.47099E-01   -0.29177E+01
    55    0.17304E+04    0.22746E+00    0.48030E-01   -0.32227E+01
    56    0.17468E+04    0.23869E+00    0.48937E-01   -0.35370E+01
    57    0.17634E+04    0.25009E+00    0.49820E-01   -0.38609E+01
    58    0.17803E+04    0.26163E+00    0.50677E-01   -0.41955E+01
    59    0.17975E+04    0.27336E+00    0.51508E-01   -0.45422E+01
    60    0.18148E+04    0.28532E+00    0.52312E-01   -0.49009E+01
    61    0.18326E+04    0.29759E+00    0.53088E-01   -0.52711E+01
    62    0.18503E+04    0.31015E+00    0.53835E-01   -0.56534E+01
    63    0.18682E+04    0.32299E+00    0.54553E-01   -0.60481E+01
    64    0.18865E+04    0.33610E+00    0.55242E-01   -0.64559E+01
    65    0.19048E+04    0.34947E+00    0.55901E-01   -0.68768E+01
    66    0.19236E+04    0.36304E+00    0.56529E-01   -0.73086E+01
    67    0.19426E+04    0.37679E+00    0.57126E-01   -0.77488E+01
    68    0.19620E+04    0.39078E+00    0.57692E-01   -0.81961E+01
    69    0.19817E+04    0.40493E+00    0.58226E-01   -0.86492E+01
    70    0.20017E+04    0.41929E+00    0.58728E-01   -0.91102E+01
    71    0.20220E+04    0.43385E+00    0.59197E-01   -0.95818E+01
    72    0.20425E+04    0.44856E+00    0.59634E-01   -0.10065E+02
    73    0.20632E+04    0.46340E+00    0.60038E-01   -0.10561E+02
    74    0.20842E+04    0.47835E+00    0.60410E-01   -0.11068E+02
    75    0.21055E+04    0.49343E+00    0.60750E-01   -0.11584E+02
    76    0.21271E+04    0.50863E+00    0.61057E-01   -0.12109E+02
    77    0.21492E+04    0.52394E+00    0.61332E-01   -0.12643E+02
    78    0.21716E+04    0.53939E+00    0.61575E-01   -0.13185E+02
    79    0.21944E+04    0.55491E+00    0.61787E-01   -0.13733E+02
    80    0.22175E+04    0.57051E+00    0.61967E-01   -0.14288E+02
    81    0.22409E+04    0.58613E+00    0.62115E-01   -0.14849E+02
    82    0.22647E+04    0.60180E+00    0.62232E-01   -0.15417E+02
    83    0.22888E+04    0.61748E+00    0.62318E-01   -0.15990E+02
    84    0.23132E+04    0.63316E+00    0.62372E-01   -0.16568E+02
    85    0.23379E+04    0.64883E+00    0.62396E-01   -0.17152E+02
    86    0.23627E+04    0.66449E+00    0.62388E-01   -0.17740E+02
    87    0.23881E+04    0.68010E+00    0.62349E-01   -0.18332E+02
    88    0.24136E+04    0.69568E+00    0.62280E-01   -0.18928E+02
    89    0.24395E+04    0.71122E+00    0.62182E-01   -0.19530E+02
