#    L    TT             EE             TE             PP             TP          
     2    0.11917E+04    0.53714E-01    0.31452E+01    0.94251E+06    0.33614E+05
     3    0.11265E+04    0.87901E-01    0.39527E+01    0.14463E+07    0.41418E+05
     4    0.10532E+04    0.98037E-01    0.41156E+01    0.18934E+07    0.45443E+05
     5    0.99199E+03    0.85957E-01    0.38719E+01    0.22882E+07    0.47343E+05
     6    0.94505E+03    0.62672E-01    0.34221E+01    0.26365E+07    0.48025E+05
     7    0.91075E+03    0.39404E-01    0.28973E+01    0.29450E+07    0.47993E+05
     8    0.88596E+03    0.22613E-01    0.23862E+01    0.32192E+07    0.47469E+05
     9    0.86863E+03    0.13422E-01    0.19400E+01    0.34640E+07    0.46592E+05
    10    0.85743E+03    0.96961E-02    0.15831E+01    0.36826E+07    0.45521E+05
    11    0.85079E+03    0.85347E-02    0.13265E+01    0.38791E+07    0.44415E+05
    12    0.84865E+03    0.79507E-02    0.11714E+01    0.40550E+07    0.43319E+05
    13    0.84903E+03    0.71073E-02    0.11028E+01    0.42125E+07    0.42229E+05
    14    0.85085E+03    0.62174E-02    0.10999E+01    0.43541E+07    0.41138E+05
    15    0.85442E+03    0.55710E-02    0.11395E+01    0.44813E+07    0.40049E+05
    16    0.86018E+03    0.53673E-02    0.12005E+01    0.45954E+07    0.38969E+05
    17    0.86794E+03    0.55862E-02    0.12689E+01    0.46978E+07    0.37907E+05
    18    0.87664E+03    0.59740E-02    0.13358E+01    0.47897E+07    0.36870E+05
    19    0.88708E+03    0.64117E-02    0.13993E+01    0.48717E+07    0.35854E+05
    20    0.89758E+03    0.68920E-02    0.14558E+01    0.49446E+07    0.34854E+05
    21    0.90851E+03    0.74533E-02    0.15036E+01    0.50092E+07    0.33883E+05
    22    0.92016E+03    0.82210E-02    0.15419E+01    0.50665E+07    0.32954E+05
    23    0.93227E+03    0.92646E-02    0.15775E+01    0.51170E+07    0.32055E+05
    24    0.94485E+03    0.10592E-01    0.16173E+01    0.51612E+07    0.31175E+05
    25    0.95785E+03    0.12189E-01    0.16610E+01    0.51996E+07    0.30323E+05
    26    0.97108E+03    0.14006E-01    0.17074E+01    0.52327E+07    0.29508E+05
    27    0.98481E+03    0.16029E-01    0.17545E+01    0.52610E+07    0.28730E+05
    28    0.99887E+03    0.18271E-01    0.18008E+01    0.52848E+07    0.27988E+05
    29    0.10133E+04    0.20705E-01    0.18430E+01    0.53042E+07    0.27274E+05
    30    0.10281E+04    0.23314E-01    0.18769E+01    0.53194E+07    0.26581E+05
    31    0.10431E+04    0.26123E-01    0.19019E+01    0.53308E+07    0.25908E+05
