#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.11917E+04    0.31452E+01    0.14721E-02    0.31452E+01    0.53714E-01   -0.64998E-05    0.14721E-02   -0.64998E-05    0.75726E-08
     3    0.11265E+04    0.39527E+01    0.10749E-02    0.39527E+01    0.87901E-01   -0.56260E-05    0.10749E-02   -0.56260E-05    0.45906E-08
     4    0.10532E+04    0.41156E+01    0.82926E-03    0.41156E+01    0.98037E-01   -0.43608E-05    0.82926E-03   -0.43608E-05    0.31692E-08
     5    0.99199E+03    0.38719E+01    0.66350E-03    0.38719E+01    0.85957E-01   -0.30973E-05    0.66350E-03   -0.30973E-05    0.23532E-08
     6    0.94505E+03    0.34221E+01    0.54530E-03    0.34221E+01    0.62672E-01   -0.19842E-05    0.54530E-03   -0.19842E-05    0.18306E-08
     7    0.91075E+03    0.28973E+01    0.45756E-03    0.28973E+01    0.39404E-01   -0.10875E-05    0.45756E-03   -0.10875E-05    0.14717E-08
     8    0.88596E+03    0.23862E+01    0.38980E-03    0.23862E+01    0.22613E-01   -0.42173E-06    0.38980E-03   -0.42173E-06    0.12124E-08
     9    0.86863E+03    0.19400E+01    0.33589E-03    0.19400E+01    0.13422E-01    0.25954E-07    0.33589E-03    0.25954E-07    0.10181E-08
    10    0.85743E+03    0.15831E+01    0.29240E-03    0.15831E+01    0.96961E-02    0.28045E-06    0.29240E-03    0.28045E-06    0.86790E-09
    11    0.85079E+03    0.13265E+01    0.25722E-03    0.13265E+01    0.85347E-02    0.37692E-06    0.25722E-03    0.37692E-06    0.74930E-09
    12    0.84865E+03    0.11714E+01    0.22833E-03    0.11714E+01    0.79507E-02    0.36185E-06    0.22833E-03    0.36185E-06    0.65350E-09
    13    0.84903E+03    0.11028E+01    0.20428E-03    0.11028E+01    0.71073E-02    0.28279E-06    0.20428E-03    0.28279E-06    0.57513E-09
    14    0.85085E+03    0.10999E+01    0.18384E-03    0.10999E+01    0.62174E-02    0.18151E-06    0.18384E-03    0.18151E-06    0.50995E-09
    15    0.85442E+03    0.11395E+01    0.16630E-03    0.11395E+01    0.55710E-02    0.77880E-07    0.16630E-03    0.77880E-07    0.45518E-09
