#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.104291E-04   0.187689E+08   0.187689E+08   0.250124E+08   0.250120E+08   0.187690E+08   0.187689E+08   0.187689E+08   0.187751E+08  -0.485201E+00   0.944046E+07   0.944046E+07   0.569123E+01
   0.115237E-04   0.187689E+08   0.187689E+08   0.250095E+08   0.250090E+08   0.187690E+08   0.187689E+08   0.187689E+08   0.187751E+08  -0.485199E+00   0.944044E+07   0.944044E+07   0.628841E+01
   0.127333E-04   0.187688E+08   0.187688E+08   0.250060E+08   0.250054E+08   0.187689E+08   0.187688E+08   0.187688E+08   0.187751E+08  -0.485197E+00   0.944043E+07   0.944043E+07   0.694820E+01
   0.140698E-04   0.187688E+08   0.187688E+08   0.250018E+08   0.250011E+08   0.187689E+08   0.187688E+08   0.187688E+08   0.187751E+08  -0.485194E+00   0.944041E+07   0.944041E+07   0.767716E+01
   0.155466E-04   0.187688E+08   0.187688E+08   0.249966E+08   0.249957E+08   0.187689E+08   0.187688E+08   0.187688E+08   0.187750E+08  -0.485191E+00   0.944039E+07   0.944039E+07   0.848250E+01
   0.171784E-04   0.187687E+08   0.187687E+08   0.249902E+08   0.249892E+08   0.187688E+08   0.187687E+08   0.187687E+08   0.187750E+08  -0.485187E+00   0.944036E+07   0.944036E+07   0.937222E+01
   0.189815E-04   0.187687E+08   0.187687E+08   0.249825E+08   0.249812E+08   0.187688E+08   0.187687E+08   0.187687E+08   0.187749E+08  -0.485182E+00   0.944033E+07   0.944033E+07   0.103551E+02
   0.209738E-04   0.187686E+08   0.187686E+08   0.249730E+08   0.249715E+08   0.187687E+08   0.187686E+08   0.187686E+08   0.187748E+08  -0.485176E+00   0.944029E+07   0.944029E+07   0.114409E+02
   0.231753E-04   0.187685E+08   0.187685E+08   0.249615E+08   0.249596E+08   0.187686E+08   0.187685E+08   0.187685E+08   0.187748E+08  -0.485169E+00   0.944024E+07   0.944024E+07   0.126402E+02
   0.256078E-04   0.187684E+08   0.187684E+08   0.249474E+08   0.249451E+08   0.187685E+08   0.187684E+08   0.187684E+08   0.187746E+08  -0.485160E+00   0.944018E+07   0.944018E+07   0.139648E+02
   0.282957E-04   0.187683E+08   0.187683E+08   0.249302E+08   0.249274E+08   0.187684E+08   0.187683E+08   0.187683E+08   0.187745E+08  -0.485149E+00   0.944011E+07   0.944011E+07   0.154278E+02
   0.312657E-04   0.187681E+08   0.187681E+08   0.249092E+08   0.249058E+08   0.187682E+08   0.187681E+08   0.187681E+08   0.187744E+08  -0.485136E+00   0.944002E+07   0.944002E+07   0.170434E+02
   0.345474E-04   0.187679E+08   0.187679E+08   0.248837E+08   0.248794E+08   0.187680E+08   0.187679E+08   0.187679E+08   0.187742E+08  -0.485119E+00   0.943992E+07   0.943991E+07   0.188272E+02
   0.381736E-04   0.187677E+08   0.187677E+08   0.248525E+08   0.248473E+08   0.187678E+08   0.187677E+08   0.187677E+08   0.187739E+08  -0.485100E+00   0.943978E+07   0.943978E+07   0.207964E+02
   0.421804E-04   0.187674E+08   0.187674E+08   0.248144E+08   0.248081E+08   0.187675E+08   0.187674E+08   0.187674E+08   0.187736E+08  -0.485076E+00   0.943962E+07   0.943962E+07   0.229700E+02
   0.466077E-04   0.187671E+08   0.187671E+08   0.247680E+08   0.247604E+08   0.187672E+08   0.187671E+08   0.187671E+08   0.187733E+08  -0.485046E+00   0.943943E+07   0.943942E+07   0.253685E+02
   0.514998E-04   0.187667E+08   0.187667E+08   0.247115E+08   0.247022E+08   0.187668E+08   0.187667E+08   0.187667E+08   0.187729E+08  -0.485010E+00   0.943919E+07   0.943918E+07   0.280144E+02
   0.569053E-04   0.187662E+08   0.187662E+08   0.246427E+08   0.246313E+08   0.187663E+08   0.187662E+08   0.187662E+08   0.187723E+08  -0.484966E+00   0.943890E+07   0.943889E+07   0.309321E+02
   0.628782E-04   0.187656E+08   0.187655E+08   0.245589E+08   0.245451E+08   0.187656E+08   0.187656E+08   0.187655E+08   0.187717E+08  -0.484913E+00   0.943854E+07   0.943853E+07   0.341482E+02
   0.694781E-04   0.187648E+08   0.187648E+08   0.244570E+08   0.244401E+08   0.187649E+08   0.187648E+08   0.187648E+08   0.187709E+08  -0.484848E+00   0.943810E+07   0.943810E+07   0.376912E+02
   0.767707E-04   0.187639E+08   0.187638E+08   0.243330E+08   0.243125E+08   0.187639E+08   0.187639E+08   0.187639E+08   0.187700E+08  -0.484768E+00   0.943758E+07   0.943757E+07   0.415918E+02
   0.848287E-04   0.187627E+08   0.187627E+08   0.241825E+08   0.241576E+08   0.187628E+08   0.187627E+08   0.187627E+08   0.187688E+08  -0.484671E+00   0.943693E+07   0.943692E+07   0.458826E+02
   0.937325E-04   0.187614E+08   0.187613E+08   0.239998E+08   0.239696E+08   0.187614E+08   0.187614E+08   0.187614E+08   0.187674E+08  -0.484553E+00   0.943614E+07   0.943613E+07   0.505979E+02
   0.103571E-03   0.187597E+08   0.187596E+08   0.237786E+08   0.237419E+08   0.187598E+08   0.187597E+08   0.187597E+08   0.187656E+08  -0.484410E+00   0.943519E+07   0.943517E+07   0.557734E+02
   0.114442E-03   0.187577E+08   0.187576E+08   0.235110E+08   0.234666E+08   0.187577E+08   0.187577E+08   0.187577E+08   0.187635E+08  -0.484236E+00   0.943402E+07   0.943400E+07   0.614456E+02
   0.126454E-03   0.187552E+08   0.187551E+08   0.231880E+08   0.231345E+08   0.187552E+08   0.187552E+08   0.187552E+08   0.187610E+08  -0.484024E+00   0.943260E+07   0.943258E+07   0.676508E+02
   0.139727E-03   0.187522E+08   0.187521E+08   0.227994E+08   0.227349E+08   0.187522E+08   0.187522E+08   0.187522E+08   0.187579E+08  -0.483767E+00   0.943088E+07   0.943085E+07   0.744240E+02
   0.154393E-03   0.187485E+08   0.187484E+08   0.223330E+08   0.222555E+08   0.187486E+08   0.187485E+08   0.187485E+08   0.187541E+08  -0.483455E+00   0.942878E+07   0.942875E+07   0.817969E+02
   0.170599E-03   0.187441E+08   0.187439E+08   0.217756E+08   0.216829E+08   0.187441E+08   0.187441E+08   0.187441E+08   0.187495E+08  -0.483078E+00   0.942625E+07   0.942620E+07   0.897955E+02
   0.188505E-03   0.187387E+08   0.187385E+08   0.211126E+08   0.210022E+08   0.187387E+08   0.187387E+08   0.187387E+08   0.187439E+08  -0.482622E+00   0.942317E+07   0.942312E+07   0.984370E+02
   0.208291E-03   0.187322E+08   0.187319E+08   0.203287E+08   0.201978E+08   0.187321E+08   0.187321E+08   0.187321E+08   0.187372E+08  -0.482073E+00   0.941945E+07   0.941938E+07   0.107725E+03
   0.230154E-03   0.187243E+08   0.187240E+08   0.194084E+08   0.192543E+08   0.187242E+08   0.187242E+08   0.187242E+08   0.187291E+08  -0.481413E+00   0.941496E+07   0.941488E+07   0.117646E+03
   0.254311E-03   0.187148E+08   0.187144E+08   0.183376E+08   0.181577E+08   0.187147E+08   0.187147E+08   0.187147E+08   0.187193E+08  -0.480623E+00   0.940957E+07   0.940947E+07   0.128159E+03
   0.281004E-03   0.187033E+08   0.187029E+08   0.171054E+08   0.168976E+08   0.187032E+08   0.187032E+08   0.187032E+08   0.187075E+08  -0.479682E+00   0.940309E+07   0.940297E+07   0.139192E+03
   0.310499E-03   0.186896E+08   0.186890E+08   0.157068E+08   0.154697E+08   0.186894E+08   0.186895E+08   0.186895E+08   0.186934E+08  -0.478565E+00   0.939535E+07   0.939521E+07   0.150628E+03
