#    L    TT             EE             BB             TE          
     2    0.15782E+04    0.67630E-01    0.24395E-01    0.36909E+01
     3    0.14119E+04    0.10575E+00    0.28251E-01    0.38417E+01
     4    0.13206E+04    0.11861E+00    0.27857E-01    0.37448E+01
     5    0.12589E+04    0.10695E+00    0.24585E-01    0.33993E+01
     6    0.12167E+04    0.81638E-01    0.19975E-01    0.29326E+01
     7    0.11888E+04    0.54594E-01    0.15268E-01    0.24332E+01
     8    0.11709E+04    0.33522E-01    0.11231E-01    0.19601E+01
     9    0.11603E+04    0.20700E-01    0.81928E-02    0.15508E+01
    10    0.11555E+04    0.14660E-01    0.61796E-02    0.12271E+01
    11    0.11544E+04    0.12547E-01    0.50588E-02    0.99442E+00
    12    0.11567E+04    0.11981E-01    0.46372E-02    0.85198E+00
    13    0.11607E+04    0.11670E-01    0.47181E-02    0.78554E+00
    14    0.11659E+04    0.11440E-01    0.51224E-02    0.77568E+00
    15    0.11728E+04    0.11478E-01    0.57348E-02    0.80276E+00
    16    0.11818E+04    0.11961E-01    0.64667E-02    0.84853E+00
    17    0.11925E+04    0.12920E-01    0.72715E-02    0.89743E+00
    18    0.12035E+04    0.14145E-01    0.81183E-02    0.93856E+00
    19    0.12156E+04    0.15487E-01    0.89958E-02    0.97017E+00
    20    0.12272E+04    0.16889E-01    0.98986E-02    0.98984E+00
    21    0.12388E+04    0.18358E-01    0.10824E-01    0.99765E+00
    22    0.12508E+04    0.20000E-01    0.11771E-01    0.99412E+00
    23    0.12629E+04    0.21909E-01    0.12737E-01    0.98405E+00
    24    0.12752E+04    0.24119E-01    0.13721E-01    0.97249E+00
    25    0.12876E+04    0.26628E-01    0.14720E-01    0.96131E+00
    26    0.13000E+04    0.29384E-01    0.15730E-01    0.95255E+00
    27    0.13126E+04    0.32364E-01    0.16754E-01    0.94506E+00
    28    0.13254E+04    0.35575E-01    0.17791E-01    0.93771E+00
    29    0.13383E+04    0.39003E-01    0.18843E-01    0.92774E+00
    30    0.13513E+04    0.42641E-01    0.19907E-01    0.91087E+00
    31    0.13642E+04    0.46499E-01    0.20981E-01    0.88476E+00
    32    0.13774E+04    0.50574E-01    0.22064E-01    0.84793E+00
    33    0.13907E+04    0.54852E-01    0.23156E-01    0.80075E+00
    34    0.14041E+04    0.59330E-01    0.24254E-01    0.74416E+00
    35    0.14175E+04    0.64008E-01    0.25356E-01    0.67666E+00
    36    0.14310E+04    0.68904E-01    0.26461E-01    0.59579E+00
    37    0.14444E+04    0.74059E-01    0.27568E-01    0.50162E+00
    38    0.14581E+04    0.79515E-01    0.28681E-01    0.39682E+00
    39    0.14721E+04    0.85257E-01    0.29796E-01    0.28307E+00
    40    0.14861E+04    0.91262E-01    0.30910E-01    0.16162E+00
    41    0.15002E+04    0.97518E-01    0.32019E-01    0.33064E-01
    42    0.15143E+04    0.10404E+00    0.33122E-01   -0.10377E+00
    43    0.15284E+04    0.11084E+00    0.34219E-01   -0.25047E+00
    44    0.15424E+04    0.11793E+00    0.35307E-01   -0.40775E+00
    45    0.15567E+04    0.12531E+00    0.36386E-01   -0.57623E+00
    46    0.15713E+04    0.13301E+00    0.37456E-01   -0.75825E+00
    47    0.15859E+04    0.14101E+00    0.38514E-01   -0.95308E+00
    48    0.16005E+04    0.14928E+00    0.39559E-01   -0.11566E+01
    49    0.16152E+04    0.15780E+00    0.40589E-01   -0.13652E+01
    50    0.16302E+04    0.16652E+00    0.41603E-01   -0.15822E+01
    51    0.16454E+04    0.17539E+00    0.42599E-01   -0.18121E+01
    52    0.16610E+04    0.18452E+00    0.43577E-01   -0.20589E+01
    53    0.16765E+04    0.19405E+00    0.44535E-01   -0.23247E+01
    54    0.16919E+04    0.20401E+00    0.45473E-01   -0.26036E+01
    55    0.17075E+04    0.21438E+00    0.46390E-01   -0.28896E+01
    56    0.17234E+04    0.22502E+00    0.47285E-01   -0.31833E+01
    57    0.17396E+04    0.23583E+00    0.48158E-01   -0.34851E+01
    58    0.17560E+04    0.24679E+00    0.49007E-01   -0.37965E+01
    59    0.17726E+04    0.25794E+00    0.49831E-01   -0.41194E+01
    60    0.17894E+04    0.26931E+00    0.50630E-01   -0.44537E+01
    61    0.18066E+04    0.28099E+00    0.51401E-01   -0.47995E+01
    62    0.18237E+04    0.29297E+00    0.52146E-01   -0.51574E+01
    63    0.18410E+04    0.30521E+00    0.52864E-01   -0.55281E+01
    64    0.18586E+04    0.31773E+00    0.53553E-01   -0.59123E+01
    65    0.18763E+04    0.33049E+00    0.54214E-01   -0.63104E+01
    66    0.18944E+04    0.34344E+00    0.54846E-01   -0.67200E+01
    67    0.19126E+04    0.35658E+00    0.55449E-01   -0.71385E+01
